,Unnamed: 0,name,message
0,0,Ho'olheyak,DRX ㅎㅇㅌ
1,1,히나,lpl은 t1에게 매일 집니다.
2,2,Heaven,이번엔 짝수년도땐 2022 첫경기 T1 vs DRX
3,3,Heaven,이번엔 2024 짝수년도엔 두번째 경기 GEN VS T1이네 이번엔 잘 인도하길..
4,4,엌ㅋㅋ,젠티전은 싸델 못 참지용
5,5,으엥,왜 lck에 lpl팀이 있지
6,6,A D,쯔엔지에
7,7,Heaven,젠지 티원 전부 검정옷이네.. ㄷㄷ
8,8,개따먹고싶은 청년.,됐고 젠티전이나 보여줘라
9,9,ㆍ,티젠 몇시 시작임 ??
10,10,Heaven,형님들 젠지가 이번 올해 월즈 흰티 유니폼이면 월즈 징크스 우승 ㅆㄱㄴ?
11,11,이 름,농심이 개팰듯 ㅇㅈ?
12,12,Darkside,T1 fans still here
13,13,윤기중,반갑습니다 여러분
14,14,얼얼얼,젠티는 몇시 시작?
15,15,Cortana,지우지우야 응원한다
16,16,Anjfqhk,안녕하ㅗ
17,17,Heaven,7시
18,18,쥰쥬쥰쥰,팡이팅 팡이팅
19,19,후라이,젠티 7시 반
20,20,무명,DRX 파란색 빠졌네
21,21,은재,drx 응원한다 팡이팅
22,22,류지성,1. 경기수 늘리기
23,23,lIllIIIIIIlIl,스프링 첫날부터 국제전 가슴이 웅장해진다 ㄹㅇ
24,24,디어라잇,럼자오자레 나오나요?
25,25,하자장,이번 시즌은 한화가 지배한다!
26,26,iiiiiiiiiii,돌고돌아 젠티다 어짜피
27,27,리마스터,한화가 1등!!!!
28,28,낭만소나담,폭스팀 ??
29,29,Galaxy,젠지 화이팅
30,30,링잉,테디 가즈아아아
31,31,Tri Tran Van,hi
32,32,람보,첫날부터 중국팀이랑 매치 ㄷㄷ
33,33,T heia,어 외국팀이 어째서 lck에
34,34,ㅇㅇ,티젠전 몇시지
35,35,ᄋᄋ,벌써 국제전을 하냐
36,36,별,티원은lpl에게 지지 않는다.
37,37,Galaxy,bbq치킨이 스폰에 없네 아쉽다
38,38,조노,팀기케쵸페리 화이팅
39,39,KHS,fearx는 리브샌박임?
40,40,신무형은신이야,ㅇㅇ
41,41,지환,네
42,42,랑이,오늘 페이커 나옴?
43,43,Choi Gun,z
44,44,ㅇㅇ,찌엔지에 짜요!
45,45,공작왕 메이킹,젠지 우우우우
46,46,단,찌엔지부수러나옴
47,47,무적권,오늘 페이커 나오나요?
48,48,멍뭉,티원 대악마는 기껏해야 징동밖에 없는데 ㄹㅇㅋㅋ
49,49,Austin Kim,대 황 젠
50,50,김종원,농심 화이팅
51,51,랫서팬더,뭔가 소리난다
52,52,우준,첫날부터 국제전
53,53,티1모방지위원회,젠장 또 대 상 혁 이야
54,54,송ᄒ,88848
55,55,흐흐하하,88848
56,56,윤기중,7시반은 롤드컵임? 왜 중국팀이 잇지
57,57,ce A,drx 승 t1승입니다
58,58,형모형,대상혁
59,59,오동환,이게 개막전임?
60,60,k.o,어제 t1 광동 상대로 승패패당하던데
61,61,랑이,어제 포비 대륙 횡단 무빙 보여주던데 오늘은 페이커가 보여주나?
62,62,쵸비상,개막전부터 국제전 ㅅㅅㅅ
63,63,rickroll,팡희와 테디의 통나무가 어떨지 ㅈㄴ 기대되면 ㄱㅊ
64,64,윤호영,t1 몇시임?
65,65,김민,단판임?
66,66,윤재민,어제 페이커 카페 다녀왔습니다페이커 카페가 열린 건 아니고요그냥 카페에서 페이커 생각했습니다카페에 간 건 아니고요그냥 집에서 커피를 마셨습니다사실 커피도 안마셨습니다그냥 페이커인 상태입니다
67,67,김도윤,국제전 ㄷㄷ
68,68,타카,T1은 LPL에게 지지 않습니다
69,69,뵈년,/숭배모드
70,70,떡치,3시작아니엿냐?
71,71,qlr,오랜만이다
72,72,가로막기,7시반부터 lck시작이네요 5시는 lck cl이자너
73,73,syenedittomrade,페이커없으면 아무것도아닌것들이 왜 맨날 팬들 하대할까 ㅋㅋㅋ 나눔은 좀 알아서 하게 냅둬라 진짜 뭔 팬미팅도 없애질않나;
74,74,mohg,드디어 하는구나
75,75,예압베베,이거 1군 경기에요??
76,76,niemi,1557 vs 88848
77,77,브숭,네네 1군
78,78,taakmc,CL 아니죠?
79,79,김수빈,이거 진짜에요?
80,80,게이오대학기다려라,네
