,Unnamed: 0,name,message
0,0,Hhs,KT랑 담원 기대 중 ㅋㅎㅋ
1,1,sukjin ji,고고고
2,2,Ba Banana,오늘누구누구죠?
3,3,하다다다,오늘 누구누구 경기임?
4,4,Agare,let's GOO BROO 
5,5,새우깡,쇼메 화이팅
6,6,ᄀᄂᄃ,폭스가 어느팀임
7,7,강두완,FOX == FearX == 옛 샌박
8,8,김도현,왜 킅 질꺼같냐 느낌이
9,9,미치게한다,ㄷㄷ
10,10,무적권,오늘 페이커 나오나요?
11,11,S L,샌박망했나
12,12,큐큥이,오늘 누구누구인가요?
13,13,릭순,브리온 담원/샌박 킅
14,14,김지훈,kt 이기자ㅏㅏㅏㅏ
15,15,따뜻한 망고 주스,롤하
16,16,이민석,ㄹㅈㄷ
17,17,박민수,루쇼 가보자
18,18,이종훈,디플러스 기아 ㅎㅇㅌ
19,19,브이칠에쎄치,가보자 담원
20,20,악마,사람들 미친뜻이 오네 ㄷㄷ
21,21,jinwoo Park,호날두 선발인가요?
22,22,님임,오늘 T1경기 안함?
23,23,Free원더,루시드 드가자~
24,24,반복의힘,아잉 기모링
25,25,ㅇㅎㅇ,담원 화이팅!!
26,26,아날로그,박지성 선발임
27,27,Prror,오늘 박지성 선발인가요?
28,28,김서하,티원 경기 내일이에요
29,29,상민,네
30,30,call blue,어쩐지drx두번이더라
31,31,중기,대 흥 민
32,32,ehdgus_rla,형들 이거 볼까 어제 못 본거 보고 올까
33,33,김동윤,fear x가 뭐임? ㅋㅋ
34,34,lilillil,담원 승 예측합니다
35,35,람쥐썬더,디플 기대된다
36,36,김수홍,어제 티원 3세트가 레전드였는데
37,37,Pray,피어엑스 립샌
38,38,S L,작은거 온다
39,39,큐큥이,DK 가 누구인가요
40,40,김태중,브리온온다
41,41,임홍섭,따이 쑤왕 효옥
42,42,poin,첼코임?
43,43,Free원더,DK = 킹루쇼에켈
44,44,이종훈,듣보드립칠 T1팬들은 제발 미리좀 나가주세요 그냥 님들 경기만 보라고요 남의팀 경기와서 괜히 분탕질 놓지말고요
45,45,아린팬,광동 이름 바뀜?
46,46,Toy Company,어제 티원이 못한 건가요 아니면 젠지가 잘 한 건가요
47,47,너나해,손흥민이랑 페이커중에 누가 더 유명함??
48,48,모볼,샌드박스임
49,49,ㅇㅎㅇ,최용혁 화이팅!!!
50,50,광선검 ,손이요
51,51,팩,호우
52,52,포동,폭스가 어느팀이 바뀐거냐...
53,53,서진,광동 말고 샌박 이름 바꼇어요
54,54,S L,어제 경기 안봤냐 쏘니는 롤에서도 언급되는 남자야
55,55,Youngbin Kim,칸나 어캐됨
56,56,yc LEE,딮기 케티 누가 더 쌔보임?
57,57,아린팬,아 FOX가 샌박임?
58,58,무적권,오늘 페이커 나오나요?
59,59,와꾸크레,이제 채팅되나??
60,60,김도현,뭔가 케이티 질꺼같음 느낌상
61,61,Casey케읻시,Fox는 뭐에요
62,62,리르를,샌박이 FearX로 팀명 바꿨는데
63,63,초롱이,페이커는 어제 했네요
64,64,ᄋᄌ,산업스파이 ㅇㅈㄹ ㅋㅋㅋ
65,65,이종훈,자 페이커 나오냐고 하시는분들 페이커 팀이 어디죠? 네 T1이죠. 근데 지금 오늘 경기표에 T1이 있나요? 제발 30초 아니 15초만 생각하고 말하세요
66,66,굠문,칸나 쉼
67,67,현승,칸나는 휴식 ㅇㅇ
68,68,Youngbin Kim,아 결국 팀 몬구햇구나
69,69,벼닉스,대 상 혁
70,70,빼빼,D는 너무 까는 것 같아서 않넣었나
71,71,Casey케읻시,DK멤버가 어떻게 되나요?
72,72,무적권,오늘 페이커 나오나요?
73,73,스팸계란밥,ㅅㅇㄱㅇㅅㅇㄱ
74,74,HawOn,상체 대박이긴 하지 ... 부릅따
75,75,힉힉호무리,리헨즈가 kt 엿죠?
76,76,영국집,네
77,77,윤민수,그대를위해 저 달을 선물하고싶어요
78,78,김시주,준위가 뭔가요?
79,79,S L,응 젠지가 이겼어
80,80,윤태영,젠지한테 따잇ㅋㅋ
81,81,들푸,어제 경기 생각하면 웃음벨이네 ㅋㅋㅋㅋ
82,82,서진,dk 킹겐 루시드 쇼메 에이밍 켈린 일거예용
83,83,인간,손흥민은 롤로따지면 누구임?
84,84,윈터,브리온이 딮기보다 잘할수있으려나 기대되네
85,85,안영범,따잇 ㅋㅋㅋㅋ
86,86,사람,뭐가 웃음벨임?ㅋㅋ 몇달전 롤드컵 우승 벌써 잊은거임? 탕후루조 8강주제에?ㅋ
87,87,JUJIN KIM,팩트: T1은 롤드컵에서만 중국팀에 지지 않았다
88,88,낭만자객,젠평 ㅋㅋ
89,89,벼닉스,중국팀한테 졌는데 웃음벨아닌가요? LPL 이긴다면서 ㅋ
90,90,임홍섭,슼갈들 침착맨한테 깝치다 진압당한거 개웃겼음
91,91,김태성,LCK
92,92,God Balor,5시 시작인가?
93,93,Philippe Coutinho,젠지 ? 티원 ? 그래봤자 나의 우상 크리스티아누 호날두 밑임 ㅋ
94,94,힉힉호무리,수시1등 많이하셈 우린 수능1등할게
95,95,츠무,모든팀들원해줍시다 예쁜채팅으로
96,96,윤태영,그럼 웃음벨 아님?ㅋㅋㅋ 이거 지금보면 웃기긴한데
97,97,피치피치어피치,갈드컵 적당히 하고 경기나 보자
98,98,S L,소니가요 소니가 대신 오늘은 뭐 나오나요
99,99,aiiqi91,첫판인데 티젠
100,100,쑤우우,이거 재방이죠?
101,101,인간,t1이 msi 젠지 이기지않음?
102,102,골댕 짱구,dd
103,103,심성보,c가문 ㄷㄷ
104,104,무적권,오늘 페이커 나오나요?
105,105,벼닉스,어제 drx 경기보고 느낌 전패각
106,106,이종훈,브리온은 B고 딮기는 D니깐 브리온이 이김
107,107,Dim ple,에욱
108,108,큐큥이,브리온은 어느 나라예요?
109,109,굠문,브리온은 오케이브리온이니까 O지
110,110,서진,다 한국팀이에요 ㅋㅋ
111,111,윤태영,drx가 그렇게 터질줄ㄹ은 모ㄹ랐는데
112,112,너캐쇼고베,젠티한딮 순이려나
113,113,김동호,단군형은 맨유 옷 입고 절망하는게 제일 재밌는데...
114,114,ᅮ,담원은 언제겜하나요??
115,115,111 222,클템 약 파는중ㅋㅋ
116,116,공백,오늘은 동부 쳐맞는 날이냐
117,117,골댕 짱구,브리온은 브라질 팀이에요
118,118,Haru(offi_cial) ,88848~^~^
119,119,ㅅㅅ,롤대남백수들 다 모였네 ㅎㅇ
