,Unnamed: 0,name,message
0,0,Syalabi Seet,LETS GO T1
1,1,무적권,오늘 페이커 나오나요?
2,2,손성윤,T1 화이팅♡
3,3,창식맨,오
4,4,우니야울지마,광동 기대된다
5,5,무적권,티원 2승 대기중
6,6,팩린탄,t1은 뭔데 벌써 2경기고
7,7,ISTP,:hand-pink-waving:
8,8,Porda 1011,"T1 is the strongestThere are still many good players, but most of them are equal to or worse than Faker. However, Faker has maintained his position as the strongest for 10 years"
9,9,Nevayne,왜 T1은 2R고 KDF는 1R냐 아는사람
10,10,무적권,T1원 전세게 1등팀이니까 항상 남보다 빨리감
11,11,온니블랙,T1 1승 ㅊㅋ
12,12,S M,왜 5시 시작이냐 ㅡㅡ 빨리빨리 안하냐
13,13,아재요,T1 서커스기대되네
14,14,AP,손흥민 화이팅!
15,15,ISTP,:hand-pink-waving:
16,16,쪼잉,오늘 부터 구호 없앤다는데요?
17,17,랫서팬더,어 소리난다
18,18,힘!!,광동 홧팅
19,19,오목쨩,T1 오늘도 파이팅!
20,20,Main Dps,데프트 보나요?????
21,21,신유형,오늘 해설 누구임?
22,22,롤체이스,T1홧팅!!!케리어 응원할게요!
23,23,박지윤,ㆍ
24,24,K MyungU_,광동
25,25,김승환,티원 축하
26,26,AP,유재석이요
27,27,길사원,대상 혁
28,28,지태영,먼 십할 30분전부터 방송을켜놓노
29,29,랄뚜기,이번 시즌은 농심이 먹는다
30,30,마스터리,오늘 T1 지면...우승자 징크스 가는건가
31,31,통새우만두,DRX 라스칼 테디 제발 잘해서 이겨줘라
32,32,준민,오늘 T1 2연패는 아니겠지 
33,33,JH,티원이이깁니다 그때 젠지전은 아다리가안맞아진거고요
34,34,어둠의 수확 원툴,광동 고마워요~
35,35,Box Light,대 상 혁 숭배합니다
36,36,화덕,싱글벙글 왔더니 30분 남았네 ㅋㅋ
37,37,스타벅스티슈도둑김형섭,광동 ㅎㅇㅌ
38,38,keeper grave,각성한 광동의 2ㄷ0 승리
39,39,아재요,제시간에 시작하는꼴을못보노
40,40,지나가는사람,역배의 광동
