name,message
영준 안,왠지 기인 든든한테 터질 거 같음
황이트(knight),팩트 : 티원의 롤드컵 우승은 반쪽의 반쪽짜리 우승이다 근거 1.젠지만 만나면 발리는팀이 우승팀??? 2.카나비가 애국행동으로 던져줌 3.현 BLG랑 붙으면 1557임
Fahyv,오늘 멸망전 바로 오픈하네
111s,그런데 시디즈 왜 스폰 끊음? 아시안게임까지 스폰할정도로 관심 많던데...
강재영,오늘도 어김없이 인생이 불행한 사람이 있구나
세트충,젠지 져라
서장원,생방도 2시에 시작임? 원래 공식 드가면 30~40분 전부터 카운트다운 하지않냐
P프로빗,오늘 어디하고 어디임?
박읏쨔,zz
제발해줘,제목안읽냐
정윤현,브리온 폭스 농심 젠지
DS Y,문열어~~~~~~~
홍민용,드가자
王赛祖,。。。。。
인큐브릭,??
ᄋᄌ,문 왜안열어 ㅡㅡ
김성걸,문열어-.-
김진우,담당자님 열어주세여
ss s,어이 문열어
조승윤,어이
100저지먼트,뭐여 영업안해?
서장원,뭔제목을 안읽노
찌발럼아,와 12시간 자고 일어났따;;
JH B,귀요미들
JY Kim,14시 3분인데 뭐함
Jake Kim,문을열어라
박성원,뭐하누
김성걸,문을 여시오
개짐승,?
두승수,14:15분에 한대
로하스,3시에 본경기 시작이였네 2시경기시작인줄
윤영진,브리온 로고는 초록색이어야하고 drx는 파랑색이어야 하는거 아님?
채채성,경기는 3시 시작이다
상우,:hand-pink-waving:
100저지먼트,아 자고오면되겠네
Song Five,빨리해 빨리! 현기증난단 말이에요
서장원,15분으로 다시 늘렸노
올ㅋ,브리온 fox보다 농젠이 좀 더 기대될지도
보로롱,오늘 두경기 다 작은거임??
이세희,농심 젠지 ㅈㄴ 재밌겠네
김성걸,경기는 20분 뒤임? ㅋㅋㅋㅋ
한루,근데 진짜 팀 더 늘리고 하루에 3팀 하면 좋겠다
bran,1위결정전이다
좋아하니까 보러왔어요,폭스 오늘도 지면 ;;;;
guB,브리온이랑 립샌은 팬없는데 비공식 경기로 제치고 농젠만 하면 안되나요
버터쿠키,안그래도 적자인거 뻔히 아는데 들어올 팀이 있겠냐고 ㅋㅋ
피치,한루님이 투자 하심될듯
Shellion,농심 vs 젠지.. 기대가 된다
루로크,농심이 중국팀 이길듯?
ᄋᄌ,보이루
Bawool ᅵee,농심이 솔직히 젠지 어케이김..
yelpalfmireAsia,1555
사용자김수현,대기 음악 까리하게 선정 해놨네
오승현,농심제발
먹구름,엠브로vs위메이드폭스 인가요??
bran,농젠전 솔직히 농심이 질건아는데 응원하게되네
맛만볼까유,흙이즈와 금지우의 대결
개따먹고싶은 청년.,농심 내려와라 ㅋㅋ
몰라,첫매치 졸음 가득하겠네
정윤현,농심이 이기면 티<젠<농 아닌가
김성걸,대기브금 왜좋노 ㅋㅋ
Bawool ᅵee,이브금 김동준 수영장파티 브금아님?
ggjgjhy,농심 내려와라 우우우우우
T T,스포르타 ㅎㅇㅌ
JH B,귀요미들 뭐해?? 여기서 채팅치고 있쪄쪄?
토끼놀이터,T1 6등 ㅋㅋㅋㅋㅋㅋ
수현,첫경기 농젠 재기방 인가요
햄스터,젠지는 LCK팀인가요??
keeper grave,1557이라는 절대 넘볼 수 없는 대황t1 ㄷㄷㄷㄷㄷ
bran,찌엔짜이는 위대한 수령의 LPL팀 입니다
뼈다구리,88848
사인,근데브리온이랑 여우팀은 누가정배니
주영,몇시 경기임???
섭,난 T1 롤드컵 우승 인정 안함 T1은 잘했던게 아니고 걍 이기는법 알았던거임
sick Ji,T는 6이랑 어울린다
일사이삼구,플옵 농심이 가겠다
조한성_Official,여우가 정배
형님,아니 군대에 준위가 어딧노 미필앜ㅋㅋ아니 그럼 준병 준령 준장도 있게?풉ㅋㅋㅋ
ᄋᄋ,오늘도 어김없이 팔팔이들의 시위가 이어진다 88848
가똥이06,브리온 너무 못히던데
헤르츠,농심 이겨라
디올,ㅋㅋㅋㅋ섭아 니가 인정 안하면 뭐가 달라지냐?
yun,화이팅
현제입니다,진짜 ㅈ노잼 매치네 
앙기모띠,이번 한화 약팀이 아니던데
달리다가넘어졌어,어우슼
쿄큐리,오늘 농심 응원 한다
좋아하니까 보러왔어요,젠>티 정배
bran,나만 동부권 대결 재밌나?
runrinie,ㅋㅋ t1 우승인정 안하면 어쩔건데 ㅋㅋ
라곤,한화 경기 언제함..?
주접킹,오늘 브리온이 2대떡할듯?
sick Ji,군대에 준위가 있으면 존윅도 있냐?
90 Hyunss,폭스가 이길 듯
써니롱피만두,광동은 첫주차 상대가 너무 빡세네
변서준,ㅉㅉ라이엇아 세러데이 쇼다운은 순위가 궁금한 두팀이 아니라 강팀 두팀을 보고싶어하는 거란다
유튜브프리미엄6,그미드 = 버스원툴
영준 안,주말인데 제일 노잼경기 몰아놨네
블랑,준위 작년에 폐지된 계급인디
하잇티비,동부의 티원
이동영,와 매치업 개레전드네 자러감
오종태,제위
디올,여기는 88848 하는 사람 없어서 다행이네
잉꾸,님들 두두가잘함? 페이커가잘함
고독한골방철학가,888룰8
이모라이프,노잼 매치네..
신당동,888룰8
사람,888 ㅡ 8
플레인요거트맛있다,DK 킅 누가이길거같음?
90 Hyunss,내일 DKT ㅈㄴ 재밌겠다
sick Ji,동부의 1황 더보기리그 우승 T6 화이팅!!!
bran,디킅은 해봐야 알것같긴한데 킅이 더 세지않으려나?
ks kim,kt가 이김 ㅇㅅㅇㅋ
Katrina D,1경기 프리뷰 : DRX 옆에 설 팀
홍합,두두가 페이커는 그냥 개쳐바르지 ㅇㅇ
민호,내일이 재밌네
URA URA,^눈물샘촉촉^
공백,t1 6등 뭐노
NETO,DRX 2패 뭐여..
wodnd wjs,ㅈ노잼매치네
박재현,내일 누구랑 하는데
굠문,읏맨 이기자
김탄산수,한 화 생 명
박준식,한잔해
써니롱피만두,내일 광한 딮킅
이승호,티원 망해라
쿸 한,농심 젠지 바르자
bran,한화가 이번주는 1위일것같네
게임,동부권
동충하초,읏과 농심이구나
사인,얘들아 내일 dk.kt는 재미있는경기냐?
찬이김,쇼다운이 뭐임?
m1ngyu han,농심 화이팅
기모리앙,저게 먼세러데이 쇼다운ㅋㅋㅋㅋㅋㅋ ㅈ밥들끼리겨루는데 ㅋㅋ
Nyamsus,디플 kt 경기가 젤 기대되네 꽉에 개꿀잼 경기만 나왓음 좋겠다
Song,t6화이팅
Crow,원래 ㅈ밥대전이 꿀잼임 뒤가 없거든 ㅋㅋㅋ
정유찬,88848
정수인,엠생들 ㅎㅇㅎㅇ
vai ri,예아
써니롱피만두,지금 광동 DRX 하면 누가 이길것 같냐
Glory Kyung,월즈 우승 달다 달어
김james,@정수인 자아성찰 ㅎㅇ
라곤,광동이 이기지 않을까요..? 
지원지투,888룰8
90 Hyunss,자강두천이네 광동 drx ㅋㅋㅋ
종환,대황젠
NETO,ㅋㅋㅋㅋ
볼베,sebar것들아 ㅋㅋ ㅎ2
기모리앙,디알엑스 1승도못햇으면좋겟다 ㅂㅅ팀이여서
오호민,따이후왕찌엔
abcdef u,노래 제목좀...
권강현,아칼리 버프좀
