,Unnamed: 0,name,message
0,0,NA NA,내일 티원경기하는날이다
1,1,에하임,88848
2,2,굠문,3시
3,3,핥짝,여기 겨울이
4,4,정우,금일부터 88848 채팅시 캡쳐후 젠지 법무팀에 고소자료로 제출합니다. 합의 절대없습니다. 
5,5,blaaaaa,88848 88848 신나는 노래~
6,6,90 Hyunss,DKT 개같이 기대되면 ㄱㅊㅋㅋ
7,7,Plum,88848
8,8,Lris,88848
9,9,Jisung Bae,광동 이길만하나요?
10,10,정민,누가 레드임?
11,11,ㅇㅇ,정우님 ㅇㄷ좀 부탁드립니다
12,12,정우,금일부터 88848 채팅시 캡쳐후 젠지 법무팀에 고소자료로 제출합니다. 합의 절대없습니다. 
13,13,김삿갓,누가 레드인지 지금 아냐 인게임 들어가야지
14,14,담배만갑,/주술회전 명장면
15,15,keeper grave,광동=t1 1557
16,16,멀쳐눌러보냐,88488
17,17,heo07w,헉
18,18,ky6931 s,대황젠
19,19,목이짧은기린,ㅎㅇㅌ
20,20,ㅇㅇ,언제 시작임?
21,21,90 Hyunss,킷타~!
22,22,고독한골방철학가,88848
23,23,사람,88848
24,24,느긋한두부과자,잠만 T1순위 왜이래
25,25,슈퍼달팽이,한화가 2:0으로 이기면 단독 1위인가?
26,26,홍하양,88848이뭐임
27,27,정수빈,딮기나 킅도 한쪽이 떡집내면 공동1등 가능
28,28,최현성,쵸비 롤드컵 광탈
29,29,서현이,t1 1라운드때 젠지랑 경기해서 져서 그럼
30,30,안녕,오늘 다 재밌겠다
31,31,hj lee,KT 볼만 하더라
32,32,이이,티원은 일주일도 안됐는데 왜 1패함?
33,33,권이,T5
34,34,밍 굘,내수젠지 ㅍㅇㅌ
35,35,흰색 배경,88848이란 쵸비 선수의 롤드컵 커리어를 의미하는 것으로 8->8강 이런 식의 의미입니다.
36,36,Charlie Kim,이번시즌은 한화가 슈퍼팀인가
37,37,--,농심애들 경기 재밌더라ㅋㅋㅋㅋ
38,38,야빈,이거노래 뭐냐
39,39,빼오리,오늘 광동이 1셋 딸 수 있으려나
40,40,maker,한화 예상보다 많이 흔들리던데. 티젠한테 발릴듯
41,41,Youngbin Kim,커즈가왜 광동을 택한거쥐
42,42,기생오라비,걍 광동이 함 일 냈으면 ㅋㅋㅋ
43,43,이창현,광동 호감인데스 오늘 뭔가 보여줬으면 좋겠는데스웅
44,44,김mh,"글쎄,, 시티팝 종류 같은데,,"
45,45,무명,한화도 생각보다 약해서 할만할수도
46,46,p ower,8884888할거 같으면 개추
47,47,하얀민들레,광동이 킅젠티는 못이길거라 생각했는데 한화는 비빌만하지않나...좀만잘해바바
48,48,에러,8884888 이 균형있고 좋네
49,49,Bo Bo,젠지 리빌딩 업이냐 다운이냐 옆이냐
50,50,기주,젠지 내려치기는 이미져서 못하니까 한화 내려치기하는거
51,51,a a,ㄹㅇ ㅋㅋ
52,52,통새우만두,젠첩들아 여기와서 또 분탕치지마라 어제 너무 역겹더라 선수한테 패드립하고 다른팀부여잡고 욕하는거 솔직히 추해 알았냐
53,53,동호,젠지 업이지
54,54,강성휘,오늘도 싸움이네요
55,55,밥석궁,DK화이팅
56,56,신희윤,dk kt 와 기대되는데
57,57,Youngbin Kim,순수 채급은 한화가 괴물임
58,58,259remix,음악 캐주얼하고 좋네
59,59,황부리그 LCK,하 dk 응원하는데 kt가 이길거 같다
60,60,승민,오늘 경기 젠지 없는데 자꾸 젠지젠지 거리는 애들은 불쌍하노
61,61,stain,젠지 옆그레이드아니냐
62,62,움하하,젠지는 신이야 쵸비 월즈우승하자제발
63,63,451,옆그레이드한 젠지한테 진 티원ㄴ은 도대체...
64,64,zzzzzwjdjh,88848
65,65,정수빈,도피쵸페딜 기캐쵸페리 비교해보삼
66,66,도플라이,오늘 치킨각이냐???
67,67,정태양,이상혁 레전드
68,68,Kai do,중국영토 지지하는 그팀..
69,69,최원,젠지 선수는 응원함. 단지 무결성 싸제르는 젠지가 토쏠리게 싫을 뿐.
70,70,_ Kimsan,슼갈들 하는 짓이 페미랑 다를바없네
71,71,동김동동,ㅇ 젠첩
72,72,강성휘,이기는편 우리편 :face_with_tears_of_joy:
73,73,노루,젠지 응원하면 뭐함? 중국에게 갖다바칠텐데 ㅋㅋ
74,74,잠더,선수들은 죄가 없음
75,75,송덕배,한화 화이팅~
76,76,통새우만두,나 딮기팬이라서 티젠싸우는건 내알빠아닌데 젠지팬들아 선수한테 패드립치고 갈라치기 작작해라 알겠냐? 젠지애들 진짜 역한게 아무상관없는 팀경기와서도 쌩난리치고 상대에대한존중이 1도없어 클린팬문화좀만들자 
77,77,stain,옆그레이드 한 젠지한테 진 티원이라기엔 최근에 젠지 만나면 다졌어서 그냥 당연하긴하지 ㅋㅋ 옆그레이드했으니까 또 롤드컵 8강딱할것같긴한데
78,78,김태성,LCK
79,79,Bo Bo,슼갈들 땜시 아나운서 다 그만둔거 팩트아니냐
80,80,흰색 배경,슼갈이 페미면 젠첩은 뭐라고 표현해야하나... 나치? 아닌데.. 페미가 나치 선언한 걸 보면 나치는 아니고... 젠첩 = 페미 = 나치가 맞는 듯 ㅇㅇ
81,81,김mh,"오늘 잼나겠네,, ㅋ 대진표 좋네"
82,82,김진명,광동 1세트만이라도 따보자
83,83,석희윤,슼팬=토트넘팬 공식임 외우셈
84,84,이게몽미,광동 오늘 기대한다 화이팅
85,85,기주, 슼갈 때문에 동준좌 CL 해설하고있는게 팩트긴함
86,86,오늘,구독자채팅인데도 이상한애들 많네
87,87,움하하,도란한테 발목묶여있던 쵸비 드디어 벗어났으니 제발 우승하자 제발 페이커 나락가자
88,88,인간,슼팬=한국인 젠갈=중국인
89,89,Jacky,LPL
90,90,벤카,오늘도 경기 안보고 갈드컵만 할 앰생들이면 개추 ㅋㅋ
91,91,푸항항,벅벅
92,92,태학 김,다들 직업이 뭐길래 이시간에 lck봐여??
93,93,HeeMyung Rho,담원 KT재밌겠다
94,94,o ri,근데 준위다음 소위 아님????
95,95,유nam생,일요일인데 왜 못봄?
96,96,Cubic,태윤이 또 던져주겠지 난 믿어 우리 태윤^^
97,97,김민석,일요일 이 시간에 일을 하는게 불쌍한 직업인거 같은데
98,98,통새우만두,나 딮기팬이라서 티젠싸우는건 내알빠아닌데 젠지팬들아 선수한테 패드립치고 갈라치기 작작해라 알겠냐? 젠지애들 진짜 역한게 아무상관없는 팀경기와서도 쌩난리치고 상대에대한존중이 1도없어 클린팬문화좀만들자
99,99,OhMyPickle,일요일 2시에 안보면 언제봄?
100,100,Nguyên chung khôn chung khôn,get jinx
101,101,정민,누가 레드임?
102,102,으라차차,좋아 가보자고
103,103,정상원,담원 경기 언제 시작하나요?
104,104,오야지,님들 이번에 꼴등 누구 예상함??
105,105,황문경,아라잇
106,106,어리둥절범고래,브리온..?
107,107,라마인,담원 예정은 7:30 정도인데
108,108,_ Kimsan,나 딮기팬인데 = 나 티원팬인데 티원욕먹게하기 싫어서 딮기코스프레한다
109,109,핥탍텙,원래 중국인들이 이유없이 남한테 피해잘줌 따이 후앙 찌엔이 중국팀이니깐 그 팬들도 중국인과 다를바 없음
110,110,baegae baegae,광동이이긴다
111,111,벤카,오늘 광동폼 넘사벽인데 기대해도 좋다 
112,112,나메남,바구태 순위 결정전 ㅋㅋ
113,113,손흥민,브금 왤케 초켓몬 같냐
114,114,노루,대황킅 파이팅 !!
115,115,ShoxCodes,murica
116,116,Charlie Kim,다필요없고 10년뒤에 님들이 친 채팅 봐보셈ㅋㅋ
117,117,Youngbin Kim,어제 보닌깐 불독 폼 더 올려야겟던뎁
118,118,큼직한바람,대 황 딮 대 황 킅
119,119,석희윤,세계에서 가장 중국스러운게 한국인데 깨어난민족행세가 웃기긴함
120,120,유nam생,클리스만 왜 자꾸 이강인 윙어에 둠??
121,121,벼닉스,대 상 혁
