name,message
김재형,대 상 혁
iPhone 16,대상혁 경기가 먼저야? 대 상 혁
꺄뀽,88848보다 1557이 더 작은 숫자니까 더안좋은거지
iPhone 16,1557 = 15분짜리 1게임 88848=5년의 커리어
ᄋᄌ,큰거오네
IRU-MINA,대상혁
김ㅤ벨ㅤ루,대상혁
베 베#0 з 0🖤,아직도 마니 기다려야되네ㅠ:face-pink-tears:
민석,오늘 큰거 온다~~~!!
삶은노래,대 상혁
ED Kwon,대 상 혁
Hubbyllama,근데 어그로를 진심으로 끌리는거냐 아니면 컨셉이냐...
F-35 J,제오페구케 렛츠 고
Louis Gong,진자림 화이팅:red_heart:🩵🩷
황이트(knight),팩트 : 티원의 롤드컵 우승은 반쪽의 반쪽짜리 우승이다 근거 1.젠지만 만나면 발리는팀이 우승팀??? 2.카나비가 애국행동으로 던져줌 3.현 BLG랑 붙으면 1557임
jinwoo Park,대상혁
ED Kwon,88888 나가라
선플러,t1종나 사랑한다.
홍차,자 오늘도 다들 기도합시다 페멘
kim ju hyun,문열어!!!
김도환,티원 오늘은 이기자 ..
홍차,경기 시작 전에 다들 나가서 클템 좀 줍줍하고 오세요
Jisoo Park,티원화이팅!!
오셒,오늘 중계 울프
Cashew_ nuts,타이완 넘버원
Little Bach,티원 좀 괴롭혀본 애들로만 롤스터 구성한 느낌이야
랙돌은랙돌랙돌,내일 하는가네
IRU-MINA,대상혁
이태규,kt 파이팅!!!!
알락꼬리꼬마도요,1557
니달리,88838
인생이 행복했으면..,오늘 하는거 맞죠?
김민규,888룰8
최경욱,t1 보여줘 보여줘
유우유우,티원 가보자
제로스,큰거 오나
론드,우승해서 1557은 조뚜 타격음따
김민규,시디즈 스폰 빠지게 만든 '그' 팀...
joougun,케리아 베릴 인간상성 땜에 오늘 레클레스 선발인가?
La Ciel,기대된다 두근두근
김이잉,비이이ㅣㅣ이ㅣㅣㅣㅣ상
P K,난 개인적으로 티원이 이겼으면 한다
민,T1 승리합니다
조현준,광동한테 졌으면서 티원에게 이기겠냐 에혀 ㅋㅋ
마스,88848 럼자오자레
joougun,티원 화이팅
D:e,티원이 무조건 이겨요 
이은강,ㄷㄱㄷㄱ
삶은노래,티원 퐈이링
김기웅,ㅁㅇㄹ
우스우스,가즈아
제로스,ㄷㄱㅈ
삼돌,문 열어
정현,ㅌㅇㅎㅇㅌ
빅보스업,티원은 너무 잘하는 애들만 모아놔서 재미가 읍다
김의주,하이요 ㅋ
김유신,케리아
Jun JI,왜아직 20분남음
Jisoo Park,가자아ㅏ
Gpzopab,ㄷㅅㅎ
야톰,대리아
지성몬,대 상 혁
권영대,5시 시작이니깐
Purposes,티원이 져야 리그가 재밌어지고 티원이 각성해서 잼슴
어리둥절범고래,하이하이
