name,message
HeeMyung Rho,젠지 화이팅~
래광이,몇시 시작임?
모기,담원 화이팅
박태윤,딮기많응
발레리나,광동 화이팅
레드필드 II H.R,2시 15분 시작입니다.
김몰랑토끼,대 황 메
STlNKY PAJEET,88848
슈타복스,오늘은 오전 오후 경기 둘다 개꿀잼각 ㅋㅋ
호,큰거 온다
kim ju hyun,문열어~~~
코드봇,담원 젠지
아재요,따이 후앙 찌엔ㅋㅋ
BareFootian,lck에 외국팀이있네
스윙맨 쵸리,저축은행팀은 인간적으로 뺴야되는거 아니냐
순둥이,문열어
Jaehong PARK,중국팀도 있는데 저축은행팀 쯤이야
STlNKY PAJEET,88848
Nightbot,@Nicolas Schmid -> You're welcome. [stop spamming caps] [warning]
BareFootian,중국팀말하는거였는데 
스윙맨 쵸리,폼떨어지는데 2금융권이면...
하관이상준,드가자
Nightbot,"@Casey케읻시 -> Nightbot one, bad guys zero. [stop spamming words/phrases] [warning]"
마흔 세살무직,뭐다요 이거이
Smellsliketeenspirit,제발 쇼메야 보여줘 ㅠㅠㅠㅠ
유재헌,88848
노해찬,안녕하십니드까
ㅇㅎㅈ,와 오늘도 빅매치다잉
김의주,시작인가?
자판기,건부 잡으러 드가자아~~
새싹,젠지 가보자 가보자~
아무말대잔치,숭배합니다 league of legends greatest of all time FAKER 대상혁 또 당신입니까
_ laodod,쇼메 스맵그대사 한번
김태연,큰거온다
루이,딮기 파이팅!낭만이 이겼으면 좋겠다
아뇨 뚱인데여,아 존나 재밌겠다
백수오빠,젠짜이 가보자~~
레고나르던디카프리오,낭만 vs 야망
탐욕왕,크트 어제 졌나보네 ㅋㅋ
임채강,GENVSDK♡
2023 World Champion Legend team T1,lpl ???
이트롤,자 드가자
유진선,갱오지마라 건부야 vs 카정오지마라 허수야
ㅇㅎㅈ, 님들 저 내일 토익시험임 ㅜㅜㅜ응원좀
유승만,오 Gen vs dk
옳은갖음,국제전 ㄷㄷㄷ
노해찬,lck 역사상 없었던
유튜버쭈비,젠지 이겨줘~
김의주,토익 900 드가자
smurfcat,lck 화이팅
노엘의 물안경,토익 ㅋㅋ ㄹㅇ 추억이노
루이,젠지 캐니언이 디케이 쇼메이커를 처치하였습니다<<어케 보냐....
미르,런건부 참교육 드가자~
ᄒ픽스,토익 850 드가자
불꽃남자이예준,내일 토익이니까 경기도 Lck global로 보십시오
MG LEEM,상하이 라이브러리 관장님 쥔젠부 부셔버립시다 화이팅!!!
2023 World Champion Legend team T1,LCK 경기 아님 ?? 왜 LPL이 껴있음 ??? 진짜 웃기다 ㄹㅇ ㅋㅋㅋㅋㅋ 
Cubic,캐니언오빠 화이팅
정지훈,동부리그 싸움 치열하네
Jinyoung Lee,t1처음 이겨본 건부 귀하다
Barbomon,토익 잘 보고 꼭 카투사 가세여
NELLO,오늘 두경기 다 치열하네ㅋㅋ
block,15분 뒤 바로 시작인가요?
J2P,아뇨 분석데스크 먼저 하고
커피는 아이스만,DK가 젠지를 2:1로 이기고 T1이 한화를 2:0으로 이기면 사자동률 가능 ㅋㅋㅋㅋㅋ
ㅇㅎㅈ,감사합니다 여러분 파이팅 담원 기아 파이팅!!!!!!!
동불주,무관은 어쩔수있나...
ㅎ,시간 ㅈㄴ끌거임
힐링,딮키 이겨라
수세,와 오늘 개꿀잼매치넹
흔한일상,88848 온다!@!!!
쭈쭈미,오늘 경기 사실상 결승아님?ㅋㅋ
이강제,젠지 광동 화이팅!!
이준원,광동 이겼음 좋겠다 하지만 허수도 잘했음 좋겠다
보로롱,오늘 작은거임 큰거임?
ᄋᄌ,큰거오네
qucjdu,젠지가 개 바르지 ㅋㅋ
루이,누가 이기든 슬플 꺼같네
--,오늘 경기 진짜 다 개꿀잼이네 ㅋㅋㅋ 낭만과 야망의 싸움 젠딮 / 동부결정전 농광
흐잇,농심이랑 광동중에 누가더 잘해요?
불꽃남자이예준,결승은 한티전이지
김민준,젠광이 정배네
오랜지7,쇼메 화이팅!!!!
이진우,죽이러간다
모브,국제전 경기가 돌아왔다
야,선수들을 인질로 잡고 있는 LPL팀 Gen vs 인질로 잡힌 선수들과 그 선수들 중 과거 친했던 자신의 동료였던 건부를 구출해야하는 쇼메가 있는 DK
xxsxxxxinxxx,중국팀이 lck도 오네....
슝슝,lck도 이제 국제 대회구나..
빅몬,국제전 ON
김태연,담원 한세트만이라도 따주면 좋겠다
헤응,불 기대된다
2023 World Champion Legend team T1,제발 DK가 이겼으면 좋겠다 LCK 리그인데 LPL있는것부터가 말이 안됨
RTX Quadro 8000,쇼메쇼메 화잍
_ laodod,t1팬들 젠지 웰케 싫어함 ㅋㅋ 그렇게 다른팀미드 다까더니
쭈쭈미,lpl 이4연승중이노 눈물나는 lck 수준 ㅋㅋ 쵸비야 빨리탈출 ㄱㄱ
대장,1557
Wonyoung_10,정작 페이커 까이는건 가만히 못봄 ㅋㅋ
Minyoung,젠지는 lck시청자라면 다싫어하는데? lpl팀이잖아
모브,LPL을 이겨라 DK!
qucjdu,Dk 30분은.버티냐?
--,실력은 농심이 더 좋다고 생각하는데 광동 이번에 불들어오면서 공격적으로 잘 하는듯.. 지우랑 불대결인데 지우와 아구몬일지 라자몽일지 봐야하는 맛 ㅋㅋㅋ
란란루맨,중국응 이겨라 DK
기모찌맨,젠지 싫어하는 이유는 젠지만 만나면 ㅈㄴ털리니까겠지
힘내유미,왜난 광동이 더 기다려지냐 나만그럼?
임건웅,dk 내전이랑 ㅈ밥대전 오늘 재밌겠노
슝슝,어어 팩트로 패지마라
J2P,나도 쇼다운보다 뒷 경기가 더 기대된다
두루미,오늘 국제전이냐
헤르츠,젠담 3위 확정전 기대되노
JJ,찌엔지 뽜이팅!
Cubic,캐니언 사랑해
신희윤,광동좆밥아닙니다~
The Answer,"미드 서열은 쇼메>쵸비,페이커>루시드>비디디와 기타미드 순서로 보면 딱 맞을거야."
루이,쇼메형 믿을게
HeeMyung Rho,젠지 화이팅~
hon turky,아직 시작안했노
유승만,DK 화이팅~~!!!
임뽕뿡,담원호ㅑ아ㅣ팅
_ laodod,젠지가 왜 LPL인데? ㅋㅋ 프론트가 말했다고 중국팀이되는거임? 걍 억까치고싶어서 하는거면서 
이재호,딮기 화이팅
탐욕왕,티원 1패 누구한테 짐?
MG LEEM,페이커 쇼메이커 제카 스카웃 루키 도인비 폰 쵸비 중에 본인 스킨이 없는 사람이 한 명 있다는데 혹시 누군지 아세요???
마흔 세살무직,예쁜 여자친구 구함
E T,젠지
hoohoo,티원 1패 젠지요
김주형,광동 다음 경기도 경기력좋으면 ㄹㅇ 플옵권도 노려볼만 할지도?
대장,4년합 최고팀 호소 정작 젠지 8연패 
uce,88848?
크림스파게티,젠담대전 드걔쟤~
