name,message
지금집에가니,88848 VS 준준준준준 누가 이기나요??
김동욱,우린 우승했는데 ㅋ 88848은
qq,5준은 롤드컵 우승함
지금집에가니,우리는 중국의 '동북공정 일대일로'를 지지합니다
지금집에가니,롤드컵 우승했는데 왜 LCK 우승은 없음??
아이유가뭐하는아이유,1557
Siuuuu,88848 기무찌
pham pham,lck 우승하면 스킨주든? ㅋㅋㅎ
Stag,Can't wait to clap HLE
Milli Rock,누가 제일 인기많음? LCK프로중에
지금집에가니,우리는 중국의 '동북공정 일대일로'를 지지합니다
황승연,페이커
arjwchi,티원 파이팅
Porda 1011,페이커 없으면 lck 망할거임
지금집에가니,ㄴㄴ 중국 없으면 망함
zLYLIN,근데 티원 우승스킨 언제 나오나요?
리마스터,한화생명 2대0 2대1로 이기자^^^
모야,아 이거
쥬냥,딮기 화이팅
트페리,얘들아 오늘 티원 한화 누가정배냐
zLYLIN,티원
유제,한화 발라버리자 티쪽이들!
지구평평해,한화생명 화이팅
홍합,티원 개쳐발라야된다 ㄹㅇ
끼단2,스무스하게 2:0으로 t1승
쿸 한,티워은 좀 쳐 지고
KGM KG모빌리티 김순형,t1
서정희,티원 완승!!!
마흔 세살무직,여자친구 구함
st ar,근데 한화 이번에 좀 쌔긴해 
독뎌,가자ㅓ
도승,고고
노해찬,락스의 재림? 한화vs 롤드컵 우승팀의 재림 t1 누가 될것인가?
qwulpa,한티 개재밌겠네
최건우,듀렉스 티원 제발
SeungHyuk Shin,멸망전재밌겠네
Myjmin,늬들이 페이컬 아냐
cytoooooo,돌 발 행 동
서지원,단독 10위 결정전 ㄷㄷ
ᄋᄋ,어제 아형본사람? 재밌음?
Fake faker,얼마나 못할까
그저그런닉네임,직 무 태 만
Nightbot,"@土司 -> So, who wants to dance?! [stop spamming caps] [warning]"
마흔 세살무직,예쁜 여자친구 구함
박준모,ok는 지면 진짜 전패다
쉬입,1557
_A,오늘 티원 몇시임
상윤,티원 5시30분
별이는외계인,똥매치 ㄷㄷ
야미,t1 t1 t1 t1 t1 t1 이기자 
김범준,시디즈 스폰 어디 갔나요?
alita Mohammed,머여 주말은 3시에 하냐?
청로기,와오늘개꿀잼예정
26FE,동부팀 멸망전 기대되네
긍정왕,브금좀 알려주세요 ㅠㅠ
mohagga,오늘 꼴결이누 ㅋㅋㅋㅋㅋㅋ
성은,머야 한화 티원 왜 뒷타임 
Thai Blayt,10등 결정전 ㄷㄷ
쿄큐리,어제 아형 T1 편 다들 봤지?
XX X,재밌었음?
동글동글햐,재밌던데
Porda 1011,최하위 최상위 경기네
포우,DRX는 완전 망해야됨
닛끔,디알엑스 대 브리온이 더 기대된다 ㅋㅋㅋㅋ
개,구 마 휴 지
나나나,동부 서부 경기구만
ym Kim,큰거온다
섭으웨이,작은거 온다
IiiIiIiIii,시디즈 장사 잘하네
guB,1라운드 팀들 팬도없는데 비공식경기로 돌리고 2매치 먼저 해주세요
변지섭,ㅈ밥대전이네 ㅋㅋ
광부하는 카슈의 일기,네오젠지 vs 티원
미농,구 마 휴 지
이민현,끝vs끝 대전
허허,브리온 1승 챙겨보자
파카,한화랑 티원이 레전드경긴데 언제함
새벽과밤,큰거온다
전구와빛사이,그웬
안녕예도하_DOHA,DRX 화이티잉
황zepiro,최강의 엄대결 ㄷㄷ
이그,엄대엄
dlffk dl,님들저 한달연봉 250인데 괜찮나요?
MINJAE,drx파이ㅣ티ㅣㅣㅣㅇ
김민성,그웬~
쿄큐리,"어제 구마휴지 휴지컵 우승 MVP, 페이커 휴지컵 트롤러, 오너 남자를 몰라, 케리아 이수근 신발 교환, 제우스 어 형이야!, "
흔한일상,큰거온다 88848
MinJun Kim,왜 이노래만 들으면 팍플의 그웬 노래가 대뇌 재생이되는거지??? ㅠㅠ
댓글써서 구독자1만명찍기,사실상 티한전이 미리보는 결승임..디플 따위한테 1세트 따이는 젠지로는 플옵 2라까지가 한계일듯 ㅋ
김은수1901,구마휴지
D.I Lee,1경기는 멸망전?
뇸,와우 신챔이 나왔습니다
마신리벨,지금 브금 뭔지 아시는분 제목
Porda 1011,저도 티원 팬인데 타 팀 비하는 하지마세요 쪽팔립니다
park커모도,티원 경기는 몇시에 시작인가요
A,오늘 6꽉인가
V,한화>>>>>t1 실화놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이제는 한화 밑이노 ㅋㅋㅋㅋㅋㅋㅋㅋ
김규진,어떻게 딱 3패팀 두팀이 엮이냐
버섯,lck 복지 좋네 0승 팀끼리 붙여서 1승도 챙겨주고
guB,중국팀 이번에 lck로 편입했나보네요 짜이엔지 이름 이쁘네요
XX X,우주그루브 브금입니다
Jaeheon Jeong,3시경기는 동부리그 최저점 가리기 경기네 ㅋㅋ
흔한일상,난 티원팬 아닌데 88848
라마인,tft 브금 신나노
Tfu8h8gdwhe6ll,브리온승
무역,DRX 이기자...
이용현,멸망전 ...
지성몬,88848
DD,웅장해지는 약자들의 대결
사람사는세상,작은거 온다..
안녕예도하_DOHA,DRX 화이팅
Jin Cometti,한화 t1경기나 빨리 보여줘라
적 셔,콩팥을 지켜요! 
슈거,누가이거보라고 칼들고협박햇냐?
ᄋᄌ,진짜 쪼그만거 온다
김시은,t1화이팅
Kkyyky,왜 화가나있어?
독뎌,가야지 반드시 가야지
Nightbot,@라마인 -> Questionable judgement. [stop spamming words/phrases] [warning]
김유환,T1 5시 반에 하나요
윤기나,작은 거 온대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
lllIIIlllllol,꼴지들의 게임이 온다
이야호,ㅈ밥 대전 드가자~
틸틸이,T1 5시30분에 하네....
뭣이중헌디어허이,라스칼도 모건도 화이팅이여... 
싫어요,drx 꼴지 드가자~~
야천광,ㅈ밥대전이 꿀잼이긴해
유제,티쪽이들 화이팅!! 한화 개발라버려!
Fort5,어떻게 경기하는 팀이 듀렉스ㅋㅋ브리온ㅋㅋ
melody,DRX 신화 보여주세요
콰트로,똥오줌대결
경리,디알엑스 화이팅
월백개미,꼴찌들도 니들게임가서 20 30킬한다
뽀황,1557 bex
힙합,지금 훈련소다. 야팔
댓글써서 구독자1만명찍기,"젠첩들이 티원 응원하는 이유 : 88848의 주역이 딜리이트와 피넛, 도란의 탓이라고 죽자고 주장하기 위해"
ᄋᄌ,누가 최고의 ㅈ밥이 될것인가
난다요,훈련소 폰 가능?
샤카잔,엄
김탄산수,망가진 라스칼테디의 drx vs 쪼마난 육각형 브리온
이정우,ㅇㅈ 말하는거 보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
phk,훈련소에서 뭔 폰이냐 ㅋㅋㅋ 
김진영,좆밥대결이네?
꾸꾸릿,한화 잡아야되는데 
SIZ,큰거온다
킴뤼이,뺑이쳐라 졈만이들아ㅋㅋㅋㅋㅋㅋㅋㅋ앞이안보인다
MsPower991,오늘 세미 빅매치였네
melody,테장군님...
외노자,역시 내수용 젠지가 1등인가?
UTNT,남부의 왕 매치
잰옹,잣밥싸움이 젤 재밌잖아 ㄱㄷ
완양,오늘 티원지면 한강갈게요
lilillil,개 재밌겠노 ㅋㅋㅋㅋ
시바새끼,족밥대전중 최강자는 ?
샤카잔,뭐야 이 퓨쳐베이스는
신비한은하의소원,브금 포켓몬 같네
Wonjae Choi,꼴지대전 가즈아
김탄산수,노래가 칩튠 같다
Son,ㅈ밥 대전이라고 하지말자
Supadope The,ㅋ
Youngbin Kim,냉동카레 전자랜즈에 몇분 돌리야됨 ???
쿄큐리,롤순이들아 모건이 잘생겼냐? 윌러가 잘생겼냐? 
ZENICS,또 페이커 까네 진짜 하자들 많네
코와이네,괜찮은 배우 추천좀
ㅂㅂㄷㅁㅇㄷ,이병헌
이하제,꼴등결정전 & 은메달결정전
댓글써서 구독자1만명찍기,쵸비는 페이커 슈퍼토스할때 마당쓸기해서 징동한테 따였음 ㅋㅋ
곰준익,송강호
Civil,젠지 우승 가자! Lck4연속 우승 화이팅!
개쩌는영상에만댓글다는사람,이거 만당이잖아ㅋㅋㅋㅋㅋㅋ
이신,동부서부는 바뀌질않네
윗유,drx 가자!!!!!!
Sableye,만바!
아재요,신 상 혁
알수없음,bgm-let the games begin(hyper potions remix)
그레이스필드,작은거 온다
11l,ㄹㅇKT 동부가나 했는데 여전하고
슈,앙 빨리 시작하쟈
외노자,내수는 또 젠지인가
오갓디르,대상혁
최영현,동부 서부가 뭐에요
길냥,이경기 진짜 재밌겠다 엄대엄
Woojin Lee,눈치있게 2:0하자 한화티원정시에시작하게
S2399Q,라스칼 모건 외모 ㄷㄷㄷ
난다요,ㅇㅈ ㅋㅋ
신스틸러치얼맨,서부 (1~5위팀) 동부 (6~10위팀)
아토,LCK 1세대 팀들끼리 붙네
상구,황부 0위
쿄큐리,가슴이 옹졸해 지는 경기 보러 왔따.
송슬,오늘 한화 응원하는 젠붕이 있나?
yyhss,몇시부터해야?
댓글써서 구독자1만명찍기,북부(1~2위팀) 남부(9~10등팀)
최건우,듀렉스 티원 예상
개쩌는영상에만댓글다는사람,솥 밥 대 전
이창근,그럼 형부는?
안동혁,t1몇시에 하나요? 대답좀요
냠냠,아직도 시작 안함? 대단하다
00,한화응원하는게 왜 젠붕이임? ㅋㅋㅋㅋ
붕어빵호떡,8시요
ᄋᄋ,ㄷㄱㅈ
윗유,5:30
zxld234,강등전 다시 부활해야되면 개추
김홍석,T1 제오페구케 화이팅!! 광동전에 이어 기세 이어서 한화도 잡고 연승가서 젠지 복수도 꼭 하지!! 
강준구,드가자
기모리앙,ㅋㅋㅋㅋ여기백수들개많네 ㅋㅋㅋㅋ
Kenshi,t1 6시에함
초코맛바나나우유,ㅈ밥싸움 벌써부터 웅장해진다
김채령,안녕하세요 제 채팅 보이나요?
Oo,일요일에 일하는 노동자도 잇노?
19 0711,월요일인데 개백수 개많네 ㅋㅋㅋ
handsarang,보임
용이,안보여요 채령씨
이정빈,"어제클럽갔는데 강동원닮았다고 번호따였다 , 질문받는다"
ahn_nng,안보여요
fjtldk099,오늘 멸망전 시작이냐?
이용현,아임.파이어~~~~~
JSEB,채령씨 예쁜가요?
Nightbot,@Main -> I do what I must. [stop spamming words/phrases] [warning]
울다넘어진곰,일요일인디
UglyKorean,둘중에 하나가 이긴다는게 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
상윤,요일개념이 없는거보니 본인이 개백수노 ㅋㅋ
테이텀 Tatum,배신자 캐니언 ! 두고보자! 
박제임스,41
The Answer,악플다는 사람 특 : 딜라이트 처럼 생김
Truyện Voz,Skt fighting 
아재요,신 상 혁
길냥,오프닝 지린다
바보번호 601번,대 상 혁
Kist Sun,한화 회장 김승연ㅎㅇㅌ한화디펜스 팀장 ㅇㅅㅎ 업무중에 블라인드좀 그만보쇼
그니,ㅋㅋㅋ
이름,ㅈㅂ대전 재밌겠노
푸른별하나,웅장하다
Hyj,우리은행 ㄷㄷ
오은준,☆☆ Gen.G
깨릭깨릭,오늘 몇시에시작하냐
강희영,한화 지금까지 전승임?
ㅂㅂㄷㅁㅇㄷ,라이엇이 젠지 별 떼란거 말 안듣고 계속 달고있어도 문제없나?
소호,으악
리친한,여기서 악플다는 놈들은 다 얼굴이 베리나 인가?
조현준,ㅈㅂ대전이라 어그로도 없네 ㅋㅋㅋㅋㅋㅋ
송슬,이경기 보는애들 리스펙한다 형은 드라마나 보다 한화경기때 온다
JINWOO,drx 승
K.H. Min,제발좀해줘
YOONJAE,올해LCK 는 게임이다 흥미롭긴하네
제리압빠,9위 10위 대전 ㅋㅋㅋㅋㅋㅋㅋ 지리네
미소,:yawning_face::yawning_face::yawning_face:
한지수,좀 해라
진혁,제발 기드온 해줘 ㅋㅋㅋㅋ
zxld234,해설 맛있네 오늘
최건우,해설진 봐라
마신리벨,오 클템 ㄷㄷㄷㄷㄷ
커피조아,전클노 ㄷㄷ
아뇨뚱인데요,꿀템~
마,딜라이트처럼 생김은 ㅈㄴ너무하네 
댓글써서 구독자1만명찍기,"젠첩팬 특: 남자팬 얼굴은 구제역, 여자팬 얼굴은 베리나"
Seok bo,티원 kt 말고 누구한테 이김?
ᄋᄋ,1군해설 ㅋㅋ
서현,멸망전ㅋㅋ
시몬스,에욱
cbum,한화한테 처맞을 준비?
초은하그렌라간,지금 여 있는 게이들이 찐팬인듯
제타,노철씨 숙취안풀린얼굴같네
한루,한화 t1 보기전에 보는 에피타이저
J,오늘 해설진은 다르네?
외노자,조빱대전이 재밌지
신스틸러치얼맨,스폰지해줘 vs 기드온해줘 하위권 자존심 매치 대결..
Nightbot,@man hi -> You're starting to bug me. [stop spamming words/phrases] [warning]
SkyDragon,이게 멸망전이지~
메론바,디알엑스 브리온 지는팀은 멸망한다..
펄기아,조빱대전
순둥이,멸망전
Rudi I,나락결정전 미쳤다
Minyoung,나락매치 ㄷㄷ
Kenshi,나락전 ㅋㅋㅋ
