name,message
ᄋᄌ,지각 ㅡㅡ
밴먹이면디짐,공짜로 앉아서 이런 양질의 경기를 보면서 왜이리 호들갑이야 
고정희,ㅇㅉㄹㄱ
전율,현기증난다구여!!!징징
이 름,오늘 광동이 대떡대고 kt가 대떡냄
박서준,님들 경기 몇시시작임?
수리,ㄷㄷ 3분 지각
하하하,뭐함
리촤드퐈커,큰거온다
아리34,경기 5시임
sangjin lee,?
FXUT,꽝동 오늘 이기제?
밴먹이면디짐,불? 불독? 쇼메가 소방수 트타 꺼내서 다 꺼버린다 인정박고 개추좀요
아아야ᅥᄋ,광동 화이팅
전업투자자,5분 지각임?
현종황,문열어
수현 김,88848 ㅋ
헬몽키,광동전 개재밌겠다
에어조던비앤비,방송 켜라
P YC,주인장!!ㅠㅠ
얍얍,문 열어!!
임재현,머야 오늘 안하는거임?
2,광동 경기가 이렇게 기대되다니 ㅋㅋㅋㅋㅋㅋㅋ
Tiffany1837,Open the door
Juyeong Kang,왜 시작안함?
밴먹이면디짐,2013년부터 지금까지 10년이 넘는 기간동안 한번도 지각안한 대상혁이 새삼 대단하다고 느껴지네
뭉,광동 가자ㅏㅏㅏㅏ
늑늑,문열어
김홍석,빨리 문열어!!
jennieruby,왜안나오냐
그너니,문열어!!!
꼬부기,문열어
ba yonet,졸 속 행 정 라 코 반 성
헬몽키,5신가보네
ᄆᄆᄋ,??
장승준,이거언제함
구창모,똑똑
김성일,뭐여
Invincible,문열어
현종황,LCK는 광동이 두려운가????
튀김오뚜기,지각이여
sangjin lee,이것들이 장난하나!! 형아 화낸다!?!!!
Juyeong Kang,뭐야 오늘 안함?
융코로아,15ㅜㄴ
김부비,왜 또 3분 카운트엠 
예시,광통 담원.언제 시작해요?
Running Yuumi,:stayhome::stayhome:
로밍,휴
snorlax,문 왜 안염?
책걸상,문열라우
뉴트럴밀크호텔,마 문좀열어보소 주인장
김부비,자 드가자 ~ ㅋㅋㅋㅋ
다니엘,와 19...
시엘스카이,문열어!
준협,광동이 세상을 지배한다
0p0,광동 드가자 
헬몽키,광동 ㅎㅇㅌ
12번째리세,큰 거 온다
개미,광동 집으로 드가자
이기찬,두두개재두개재
김태훈,몇시시작임
멀쳐눌러보냐,불독은 골드미드수준이다
sangjin lee,"킹겐 폼봐선 광동이 이길듯,"
우샤스,광동은 이번주 다 이기면 상위권이구만 화이팅
유제,쇼메랑 쵸비랑 둘 중에 누가 더 못하냐? ㅋㅋ
p00,담찍이들 발작버튼 on
KK,젠지 1황 티한딮 3강 킅광 2중 체제 ㅇㅇ
hs lee,이번주 매치 왜이래
wild flower,광동 응원한다. 월드만 가자
기모리앙,자신이 2찍이다 손
캌토ㅐ,발
인간,쵸비vs쇼메 누가최고임?
NORU,과연 광동은 강팀일까 판독기 ON
김진우,하 불 왤케 잘샐겼냐
김부비,캬 불 잘생긴거 보소 ㅋㅋ
boy B,오늘 왜 늦은건가요?
view,제발 광동
ᄋᄋ,광동 제발
개미,오늘 광동 태윤 출전 드가자~view제발 광동
12번째리세,디플 팬 다 어디갔어ㅜ
p00,kt에게 발린 dk 그저 dwg g0a ㅋㅋ 잡으러간다 ㅋkt에게 발린 dk 그저 dwg g0a ㅋㅋ 잡으러간다 ㅋ
ᅳ명진,디플 팬 다 건부 따라 찌엔지 가버렸어!
쪽파든햄스터맨,광동이 딮기 이기면 서부되는거임?
유제,한화가 무슨 얼어죽을 3강이냐 ㅋㅋ 3연 동부 잡고 3승 쌓아놓은거지 티원전 경기력 보니까 티젠킅딮한테 다 지겠더만
아이유가뭐하는아이유,오늘 금쪽이 나옴??
아아야ᅥᄋ,쇼메 화이팅
하늘모퉁이,킹겐 해죠 ㅋ
ㅇㅇ,엄
wild flower,저런거 보면 2찍 하고 싶다 2찍 차별하는거 보면 차별 금지의 마인드로 2찍하고 싶어 난 1일 3찍 이다 ㅋㅋㅋ
고최,킹겐 오늘도 아트픽해서 뒤만돌다가 터질듯 ㅋㅋㅋ
굉장히슬픈사람,DK 가보자
SuperLEO_레오,콩두 파이팅
평범한사람,태윤에서 불로 바뀌니 전패할거 같던 광동에 기대를 하게 되네 ㅋㅋ
seung pr,어어 광동아 안된다
SGY K,디케이 화이팅@!!!!!!1
내이름은백구,불형제 오늘도 한판은 이길려나 디케이는 좀 쎄지ㅋㅋ
모기,담원 화이팅
강형욱물은개,불 기대된다 ㅋㅋ
이종훈,디플러스 기아는 그랜드슬램에 도전합니다
