name,message
밴먹이면디짐,T1킬러 DRX
아재요,빅게임헌터 ㄷㄷ
ㅇㅇㅇ,빨리 했으면 조케따...
삶은노래,티원!!!!!!
민,T1 킬러 DRX 이러네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어휴.. 할 말이 없노..
현이,디알엑스 티원 모두 ㅎㅇㅌ!!!
Juve Han._.,모두 건승 gg !!
I LOVE BLUBERRY,티원 어떤 서커스픽하려나ㅋㅋㅋㅋ
배추님,럼블 세나 나올거같다
파피하크,기대도 안된다 ㅋㅋ 개노잼일듯 ㄹㅇ drx 개못하던데 에휴..ㅉ
페이커,티원 경기는 이기든 지든 재밌어~
wlsrn dla,티원경기는 재미 없을수가 없는데 약한팀이랑 싸우면 서커스 더 볼수 있음
KK,롤드컵 결승 매치 (한 팀 멤버 다 바뀜)
whehe,그때의 듀렉스가 아니지않나요?
의진,ㅈㅈㅈ
ri o,티원 먼저하나?
조철웅,피어엑스 ㄷ 농심 누가 이기나요?
나뚜루먹고싶다,ㅇㅇ
똘복이,문열어라 큰거온다
밴먹이면디짐,두고봐라 T1헌터의 유전자는 살아있다
박현욱,페이커 나옴?
하낫둘,페이작아
임건,브리온 잘함?
왜들저럼,베트남의 희망 브리온
글쎄다,광동 무서워...
Yong Lee,플레이오프는 몇일부터 몇일까지 하는지 알수 있나요?
야옹이,안녕하세요 여러분
이용현,광동나와! 광동따운!
Gi Chan Seo,드가자
mi gga,?
퇴근하교,drx 못하지않음?
강두완,오늘도 자각임?
최재훈,똥싸느라 좀 늦는데요 양해좀요
ㅇㅇ,문열어!!!!!
초코퍼지,개발리지 drx가
원딜하는 하윤이,이럴거면 네시반 왜쓴거임
전업투자자,햄버거나 처먹으면서 봐야겠다
오늘은웃자,;;
임건,20분 ㄷ
신나는일상,두개재
COSMOS,여우 잘하나요?
현지,"오늘 매치 재미없넹,,"
ㅇㅇ,1군경기임 2군경기임?
희희,두가자
gerong ,티원 화이팅
지구본,햄버거 처먹으면서 보자
김홍석,대황 T1 깔끔하게 DRX잡고 연승가보자!!!! 화이팅!! 대상혁!!
구칠이팬,2022vs2023 년 인가..?
승욱 이,이커형이랑 테디 언제적이야
Nightbot,@최한솔 -> Sometimes I even amaze myself. [stop spamming words/phrases] [warning]
momo,보약경기
ᄒᄀ,테디도 성불했으면 좋겠음..
테슬라횡성간다,젠장 또 대상혁....
뭐라노,놀랍게도 t1 상대로 가장 진 지 오래된 팀은 drx다 ㄷㄷ
박민우,페이커 600승까지 2경기 3000킬까지 9킬 남았습니다 숭배합시다 대상혁
류지호,Drx가 티원를 이기고 광동이 젠지를 이기고 디플이 한화를 이겨야 재밌는데...
pham pham,작년 복수 드가자
리얼월드,숭배합니다 GOAT...
젠이츠,오늘3천킬하냐
Nightbot,@KK -> No disassembly required. [stop spamming words/phrases] [warning]
초코퍼지,drx 그냥 브리온이랑 엄대엄이던데 개발리지 
문씨다,숭배시간입니다.. 다들 착석해주세요
memseb,drx 브리온은 해체해라 진짜 개못하는데
구상만,젠지는 1패도 안할거같아요.. 젠황 화이팅!!전승우승가자잇!~~ 쵸비홧팅!
노광,bgm 숭배 음악인가요?
COIU,무ㅗ노
John Nadalo,님들 사랑니빼고 1일찬데 흡연가능한가여??
구칠이팬,아빠 저 동상은 뭐에요 저건...대.산
ㅈㄱㅎ,88848
Zeram,살살빨면 가능
옹기종기,사랑니뺀쪽으로 오징어 먹으면 오히려 덜 아픔
전업투자자,오늘 drx 찢어발기자
"('-'€D,,",테디 ㅠㅠ
랄뚜기,t1 drx ㄷㄷ 오늘 빅매치네
김홍석,내가 보기엔 광동 이번년도는 달라서 씨드백 받고 더 쎄져서 젠지도 잡고 롤드컵 갈꺼같음ㅋㅋ
민기,지혈됐으면 걍.피셈 ㅋㅋ
견쌍섭,대 8 8 8 4 8
이은호,님들 병무청에서 우편옴 ㅈ됐음 어케함
地天,88848이 뭔가요?
강기분듣고국어1,롤즈 결승 매치네 
장군테디,걍 펴두댐
최강 NS Jiwoo,쵸비 성적표요
김태영,티 젠 광 한 4개팀 진출할듯
SURF,안부답장 ㄱ
JS Y,888룰8
나무나무,몇시에함?
ㅇㅇ,8884888
즐거운인생,이번주는 꽁승 매치만 있네
cj,근데
ㄴㅌ,대광동
멋쟁이써니,ㄷㄷ
우열,drx성적 안 좋은데..?
김승환,광동이 젠지를 꺾는다면
This is my 돌,하.... drx 힘내길 
건희 이,롤드컵 진지하게 티한딮광 감
John Nadalo,아직 입에서 가끔 피맛나긴하는데 담배ㄱㅊ????
원이,죽음
류지호,딮은 진짜 아닌거같은데 ㅋㅋㅋ
박성혁,t1언제시작함?
정신병없습니다,DRX 오늘 ㄱㄸㅇ 겠이 ㅠㅠ 명복을 빔..
panther 2,88848이 뭔가요?
asd asd,ㄱㅊ 걍 죽으면돼
준우,티젠환광갈듯
ABCDE,구마 v 테디 ㄷㄷㄷㄷㄷ
Ji Oh,아니 테디 왤케 수척해졌음?? 티원때랑 넘 다르잖아;;
0S0o,1 5 5 7
Bro Not,게임은 t1이 이기고 바텀은 테디가 이겨라
hallo,어차피 돌고돌아 티젠아님?
