name,message
호주산한우,광동 젠지잡고 서부 자리굳히기 들어가자
랫서팬더,근데 솔직히 말해서 88848 아니지않나요 정확히는 888덕담8 인듯 덕담 덕분에 올라갔으니 
황이트(knight),팩트 : 티원의 롤드컵 우승은 반쪽의 반쪽짜리 우승이다 근거 1.젠지만 만나면 발리는팀이 우승팀??? 2.카나비가 애국행동으로 던져줌3.현 BLG랑 붙으면 1557이다 4.페이커는 쵸비와 나이트만 만나면 힘을 못쓴다
ㅎㄹ,88848이 무엇인가요?
txmg,88848이랑 1557이 뭐길레 맨날 올라오는 건가요 ?
조현준,1557 1557 1557
유승훈,88848 거리는 애들 내가 꼭 교도소 보내줄게^^ ㅋㅋㅋㅋㅋㅋ
경진하,884848
달달하나,88848 스크림 깡패 광동이 잡아주나?
LIV NsP,88848 국가권력급 단어라서 함부로 말하면 안됨 ㄹㅇ 교도소 갈 수 있음
MsPower991,젠지 광동 나름 빅매치같은데 지금 광동 폼보면
room 4long,무쳤다 젠지 vs 광동이라고?? 대호야 가능해?
난뒝,광동 중국팀 젠지 잡아볼까?
낭만사,광동 화이팅~
ㄴㄱㄷㄱㄷㄱ,젠지 >>>>>>>>> 1557 t1
할매순대국밥,교도소드립은 뭐임? 진짜모름
김주형,자자 광동 드가자
동김동동,광동 이번에 젠지 잡기만하면 진짜 민심 안그래도 좋은데 개떡상이다 ㄹㅇ
Siuuuu,1세트만 이겨도 레전드긴함
김주형,1557 88848 다 잡고 1등 드가자~
커피맛집,진짜 광동이 이기면 역대급 업셋아니냐
너굴너굴,광동...제발 보여줘...그 잠재력을
room 4long,근데 대호가 감독하면 일어나는 일이라..
동김동동,"불. ""해줘"""
님뀨,젠지한테되겠냐
txmg,젠지가 순위 1등이던데 왜 계속 욕먹는건가요 ? 논란있었나요 ?
인생목표 알평,그팀팬들이 롤판 대부분이라ㅇㅇ
랑이,오늘 큰거 오냐
LIV NsP,쵸비는 올해가 마지막기회다 올해 롤드컵 우승하면 페이커를 넘어 역체롤 gaot가 되는거고 올해마저 롤드컵 못먹으면 2인자로 끝나는거여
Tommy Lee,맥느님 믿습니다 !
준용,광동과 징동은 취향차이
김주형,어허 이젠 광서 입니다
Yaegun Kim,광동 보려고 밤 11시 반인데 기다리고 있다... 이겨줘 광동!
솔캠퍼,어우슼
