name,message
굠문,"무난하게 KT,T1의 승리겠고만..."
김진욱,ㅣ
정우,;
권혁준 Gwon Hyeokjun,KT DK 어차피 다 광동아래 ㅋ
ruby,hi
John Lee,그새 출근하고 시작 시간 설정 고쳤네ㅋㅋㅋ새벽 2시라고 하길래 갑자기 LEC가 된 줄 알았음ㅋㅋ
앵암,자 1시간뒤에
정형욱,T1가즈아
김대은,형들 3시 반 이후에 치킨 오도록 주문 하면 되나요?
바코드,뭐여 엘씨케이 글로벌 베트남은 3시45분 시작으로 되있는데 뭐가 맞는겨
KH Han,2시에 한다더니 왜 안하냐??
세트충,t1이겨라
김도현,딮기 플옵은 올수있냐 ㅋㅋ
바코드,페이커 12년만에 2996킬 오늘 3천킬 가냐? 너무 좋다
huykee,티원 ㅎㅇㅌ
어리바리,왜 시작안하지
대프리카원주민,왜안하누
나,:text-green-game-over:
여름남자,애들아 좋은 아침 오늘 스코어 예상 해줄게 KT 2:1 승 티원 2:0 승 오늘 경기 하이라이트 데프트 캐리 케리아 캐리 이상 끝
NAIYC,퓨식이 화이팅 
이승준,어제 새벽에 꺼짐?
Nightbot,@원일 -> Much better. [stop spamming words/phrases] [warning]
Nightbot,@세놀사 -> You have my attention. [stop spamming words/phrases] [warning]
Nightbot,@jun -> I hope you learned your lesson. [stop spamming words/phrases] [warning]
Nightbot,@이이 -> Sometimes I even amaze myself. [stop spamming words/phrases] [warning]
민,T1 언제 [하나요?
goest,왤케 일찍하너
S L,5시쯤/
Nguyễn Thu Phương,5:30 한국 3:30 베트남 
kuki,88848
똘복이,난 왜 1경기 잦밥대전만 기대되냐 2경기는 체급차가 너무나서 원사이드경기 나올거라 기대가 아예안댐
오셒,이 시간에 일 안하고 롤챔스 보는 애들은 뭐냐?
여자아이들,어차피젠지가우승할텐데
abcd,애초에 주말인데 일하는건 너밖에없는거아님..?
toska,ㄹㅇㅋㅋ
헤롱헤롱,kt가 언제부터 ㅈ밥이었냐 ㅋㅋㅋㅋ
사탕주세요🍭,ㅋㅋㅋㅋㅋ
니안,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ14시로 해야하는데
ᄀᄀ,주말인데 일과를 왜해 ㅋㅋ
김민성,오셒 ㅋㅋㅋ 지가 일한다고 다른사람도 다 일하는줄 아네 ㅋㅋㅋ
이동신,drx bro 빼고 8팀끼리 경기수 늘리자
물맨,브리온 처형식인가요?
ㅇㅇ,걍 8팀으로해서 3라운드형식으로 가자
유로킴,와 토요일에 일하고 있으면 얼마나 불쌍한거야 ㅠㅠ
고양이.,이제 진짜 시작이네 ㅋㅋㅋ
서장원,얘네 요즘 맨날 20분쯤 라이브시작하네
오셒,나 대위 10년차인데 어제 전입온 준위가 자꾸 하극상한다 어카냐
루인에스테라,몇시 시작임?
똘복이,솔까 지금까지 경기력보면 kt 잦밥취급당해도 할말없지
박현찬,왜 경기결과가 벌써 보이나요?
박기태,새벽에 레전드였는데 ㅋㅋㅋㅋ
저주할께,근데 오늘 경기는 쫄깃쫄깃함 전혀없을거같음 ㅋㅋ
ㄱㅁㄱ,오늘 왜 쇼다운임?
el presidente,DRX 출신 선수들이 KT에 많잖음
김민성,새벽에 얘네 시간 착각해서 켰다는게 정설 ㅋㅋㅋㅋ
순둥이,주말이라 2시부터하네요
보라색맛났어,드디어 표식이 DRX에게 복수하는걸 보는구나 
gasd ciaq,표식아 표출해라
Rain In Autumn,뭐야 오늘 t1 경기 있었어??
이창민,일단 티원 브리온 2대0
루인에스테라,스포츠는 언제 어떻게 이변이 터질지 모름
권혁준 Gwon Hyeokjun,t1 bro 는 이변 안터진다 
Nguyễn Thu Phương,지금 채팅 사람이 많지 않기 때문에 채팅하는 게 좀 잼있네 
toska,어제 밤에 층간소음 개지렸다는데
이민서,몇시에 시작임?
ᄋᄉᄋ,모르겠고 흥민이형 감아차기가 지렸다
CIOB,브리온은 뭔데 1승도 못했냐
JSH,돈까스 시켰다 오면 바로 먹을수있는거 맞냐>>
신당동,저런 브리온에게 세트 1패를 내준 DRX가 세삼 대단하게 느껴지네
소갈비찜먹고싶당,니네가 우리 표비뎊베를 버려? 대망의 복수혈전 ㄷㄷ
ㅁㄴㅇㅁㄴㅇ,테디 오늘 망가지는거 아니냐
문강이,축구 경기는 1557안나오나요
審神者,DRX를 부순다..
리티에,drx는 또 처발리겠구만
Quinlyn412 ,3시에 시작함?
직전신장,오늘은 빅매치 없네
이해,형 연금복권 2등 됐다
수제사과,딮기 7등 뭐냐
김현빈,kt drx 2대0 t1 bro 2대0
ossos osos,젠지는 국내리그에서는 날라댕기는데 왜 국제 대회가면 잼병되냐?
slaspa,한잔해~
이성적인댓글러,브리온은 그냥... 돈 안쓰면 어떻게 되는지 보여주는 좋은 예 
World Hello,팩트)KT는 광동 아래다
김민준,DRX를 부순다 그것뿐이다
세례명레오,오늘은 업셋이 없겠다.. 
