name,message
굠문,2/17 인가 그럼 한참남음
Jiyong Lee,중국 ㅎㅇㅌ
David anh,도피딜이 젠지 본체인건 맞는데 기캐리는 선넘었지 돈을 얼마를 부은겨
ronaldodelima,zeus = top dog
닛끔,헤윙!!
지금 이,오늘은 약팀 경기밖에 없네 ..
페이커,젠지야 한번씩 져줘~인간미가 넘없잖아~~
김홍석,어차피 HLE전 말곤 볼꺼없음 정배는 HLE GEN임
굠문,어제도 전경기 정배 2:0이었는데 듀렉스의 변수가 있었음
동명짱짱123,오늘은 2대떡 데이?
똘복이,ㅇㅇ 정답
멜론 머스크,NS 업셋 가자 
S CDR,아 뭔가 질팀 정해져있는거같은데;
남형우,ㅎㅇㅌ
Coan Cave,오늘 몇시 시작인가요?
wild flower,언재 식작하누???
나나,하 두번째 티젠전 3월9일이네;;;; 언제 기다림
hadden,포켓몬 골드인줄 알앗네 ㄷㄷ
김홍석,어차피 이제 젠지는 우리 티원한테 질꺼임ㅋㅋ 폼 더 올라와서 모름
뽀뿌,피어엑스 화이팅!!:popcorn-yellow-striped-smile:
G K,오
하띵,대 상혁
JS H,농심이 한화에 비빌수 있나? 힘차이 많이 나는 경기는 봐도 재미가 없어
S CDR,뭐야 피어엑스 서부진입했네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
wild flower,광동 앉아서 공동 5위 대것내
나나,지고 이기고를 떠나서 j밥대전이나 양학말고 좀 웅장한 나루토사스케전 보고싶음 ㄹㅇ로
세린,ㄹㅇㅋㅋ
정수빈,한화 이기고 연휴 들어가자 화이팅
캠파왕,농심이 한화에게는 재물되는 급인가요?
남진환,88848
EOK J,젠지 한판지겠네
D.I Lee,농심경기하네 
gerosez,오늘은 정배 아닐까?
S CDR,개인적으로 농심이기고 젠지 줫발리는 게임나왔으면 좋겠다..
lvxye,오늘은 정배네
굠문,젠지가 발리는일은 이세계에 없지
maker,개인적인 건 일기장에 써라
Wasang Ba,오늘 농심 승
달팽이,T1 광동 언제하냐 1557 보고싶은데
에러,88848이 정배지 내수는
똘복이,야 한화랑 농심 스코어 보소 4-1 대 1-4 그냥 스코어가 정반대 대칭이누 ㅋㅋㅋ
서울호,그래봤자 한화가 이겨
마크투,한화 솔직히 기대이하
페이커,어제 티원 bro전 케리아 서폿이 아니라 미드인줄~~
Minjae Kang,우리 지우 숨통좀 트이게 해주세요...
stay,1557 1557 나도 한 번 불러본다 ~
Youngbin Kim,피터 정신차러
아아아,티원팬인데 어제 브리온상대로 농락한건 좀 그렇더라… 대상혁 3천킬 축하하긴하는데 너무 무시하면서 게임한거같음 비매너
정수빈,17일 빅뱅인가 젠한전 범인찾기??
김머프,작은거 온다..
그냥,노잼경기밖에 없지않음?
Iyn,오늘은 무난하게 지나가는 건가요
maker,약팀이 너무 약해서 오늘 노잼경기임
현준이,도란이랑 왜 똑같이 생겼냐
