name,message
wickKid,쵸비 볼살 쪼물딱
뽀황,대황비
Clown H,88848초는 몇시간임?
Jun Seo Moon,보오올탱
페이커,젠지가 어차피 이기겠지~~
신당동,따이후앙삐
GFighter,젠지 화이팅!
Clown H,한국인이면 제발 kt응원해주세요
나 08,kt가보자
송민우,88848은 1480시간 이고 61일임
유니동,솔직히 젠지팬들은 쵸비 lpl 안간것만으로도 감사해야하지 않냐
살짝대,ㄹㅇ
정현찬,쵸비는 무관전용 솔로랭커 아니냐
Juhwan,"21쵸비 = 강등권멤버로 월즈 8강, 18페이커 = lck 7등"
pham pham,발렌타인데이에도 롤하는 롤대남들이면 개추 ㅋㅋ
닛끔,그러고보니 발렌타인 데이네
이상호,얘들아 젠지 광동 티원 200갔는데 가능성있냐
achlys,ktttttttt
선혁,몇시에 시작해요?
쿠아,따이
Rio JOE,서울시에서 시작해요.
바보,1라운드 언제 시작?
Acis,이건 KT 가 이겨줘야지
리짠이와체리꽁지시월,5시
K1X,함 끊자 젠지
김동현,KT ㅎㅇㅌ
FXUT,젠지 압승
스텐드,갓갓갓갓갓갓 ㅜ
가나다,존나 명절 잘쉬고 왔냐 귀족 스포츠 ㅋㅋㅋㅋㅋㅋ
유승훈,손흥민 이강인 맞짱뜬거 실화냐 ㄷㄷㄷㄷㄷ
너굴너굴,광동 화이팅
Polar bear,짜이엔지 짜 ---- 요!
23 1,정글 1황표식 캐리가보자
현정한,근데왜 슼미드는쵸비서브냐 ㅋㅋ
이서,안봐도 젠지 압승 ㅇㅇ
김홍석,KT 화이팅!!
융가리,젠지 kt 넘 기대되자누~! 둘다 회아팅!!
Vzzx,발로란트는 1440인데 왜 롤은 1080임?
삐지,화이팅
Jiacheng Yuan,gen 100%win
김우진,똥젠지 똥젠지 똥젠지
LIV NsP,손흥민 이강인 싸움?????
ㅇㅈㅇ,bdd감다뒤라서 젠지압승으로끝나고 밑에는 drx....그만알아보도록하자
Gladden,광동 퐈이팅~
배정유,발로란트는 fps니까
깅뽕,화이팅
Gumball Whatts,t1 is god
