name,message
엌ㅋㅋ,젠지 팬들은 또 화났냐?
Clown H,88견들 왜이렇게 화가남?
Austin Kim,국대벤치
Woosuk Shin,88848
김홍석,대황 T1 화이팅!! 서커스픽으로 이기고 연승 쭉쭉 달려보자!!
J.W EO,T1팬하고 젠지팬분들 싸우는거 그만하고 각자팀 응원해요! 상대팀을 너무 깎아내리기만 해요 ㅠ_ㅠ 모두다 훌륭한 선수들입니다!!
도토리,티원져라 제발
S L,큰거 오냐
연금술사,오늘 대상혁 나오네
김홍석,우리 티원 DK잡고 1등 달려보자!! 한화도 화이팅! 티원 한화 이기자!!
李叔叔,今天
Austin Kim,1557 벤치
오명환,티원 픽이 어찌될려나 무조건 이기겠지만
현우진아님,제발 좀 서로 응원하는팀좀 쳐깎아내리지좀 말자 왜그렇게 사는거임 도대체??
진도준,ㅇ
실버볼트,겜은 5시부터죠?
똘복이,솔직히 둘다 대떡매치각이라 기대가 전혀 안된다....
Austin Kim,벤치
HyeopGeak,faker
족구와칸쵸,88848 어제 아지르 실버급이던데
1557 T1,겜 6시부터 합니다.
RBK,5분뒤 처형식인가요
진도준,구라사절
zxc,티원잡으러 드가자~~~
석현 강,정몽규ㅜ 사퇴해라\
이드래곤,축구이야기 ㄴ
노래듣기,온다 외요
지성몬,대 상 혁
LCB,경기는 대략 몇 시 시작인가요..?
S L,대상혁 손가락 꺾여있으면 누가 범인이냐
김신형,클린스만 사퇴하라
김도현,프로의 F도 모르면 훈수하지말고 조용히 봅시다
Ji Oh,@Austin Kim 응 벤치여도 롤드컵 우승이야. 백날 아무도 안쳐주는 금메달 따봐. 우승컵 하나 없는 88 미드 ㅋㅋ
1557 T1,클리스만 사퇴 기자회견 오늘 8시에 한대요
에러,대상혁 1557 
Yadyreve Repap,아는척 자제좀
여름남자,형들 내왔다 이제곧 열린다 드가자!!
연블리,입원하고 보는즁 에휴 대상혁 짱
李叔叔,我们
마이웨이,가자 대상혁
ᄆᄆᄇ,최우제 사랑해
정석 이,가즈아 슥슥슥!!!1
노래듣기,lpl도 재미 없어서 차이니스분들 대상혁보러옴..
