name,message
도토리,광동 화이팅
디마겐,오늘껀 너무 뻔하네 킅 광서프릭스
황이트(knight),팩트 : 티원의 롤드컵 우승은 반쪽의 반쪽짜리 우승이다 근거 1. 젠지한테 만나는 족족 ㅊ맞는 팀이 우승팀? 2. BLG와 5전제 ㅊ맞고 3전제 봐준거 겨우 이김 3. 내내 미드차이가 심했다 4. 징동전은 카나비가 애국행동으로 던져줘서 운좋게 이긴거다 5. 징동전은 룰러가 포지션 잘못으로 운좋게 아지르에게 궁 뽀록 각을 준것이다
아재요,따이 후앙 찌엔ㅋㅋ
김도현,황이트야 그래서 어쩌라고 닌 롤드컵 우승이라도 해봤니 근거 가져와서 뭐하게 ㅋㅋ
에러,1557 888룰8 
김진영,젠지 대떡으로 바르고 농심한테 저점떠서 질까봐 두렵다 나는.... 오늘 지면 놀림받을까봐 두렵다...
도토리,젠지 티원 언급 좀 하지마세요. 오늘 두팀 다 경기없는데 왜그러는지 노이해..
김홍석,KT KDF 화이팅!! 
김도현,내일 젠지 한화 누가 이기려나 기세로만 보면 한화인데
go환,원딜 솔직히말해서요 농심 지우가
Ndjdk,쵸비가 아리 들고 만년서리랑 점멸이렁 헷갈려서 진다네요~~
그너니,Kt 롤러코스터~~ 화이팅!
김도현,가재맨이 미드 질리언 들어도 쵸비는 그냥이김
여름남자,애들아 형 왔다
여름남자,표식이 보러왔다 손 들어봐
아묻따,표이루~~
딱따구리부리박기,ㄱㄱ
루시안로즈,문열어!!!!!!!!!
J,오 시작하나
ggllllll,비디디 랑 지우 개인팬인데 둘다 화이팅
다람쥐,표이루
이보크,"(속보)클린스만경질 위약금 70억, 이강인 징계 논의는 다음주"
도토리,아무나 이겨라. 오늘 경기는 별로 관심 없다
준수,ㅇㅈ 도토리님말이 맞습니다
OUROBOROS,대황쵸비 캐니언 기인 똥안쌌으면 안졌다 ㅇㅈ? 롤드컵은 888룰8이지만 내가 역체미랑께
el presidente,광동 피어엑스는 나름 유의미한 매치업아닌가
배그하는남자,88848
정상인,고점의 표식과... 스크림이 현실화되는 광동ㄷㄷ
ᄋᄋ,대 상 혁
DorMir,대상혁
여름남자,KT 젠지 1차전 진짜 빅 꿀재미였다 이번에도 기대하고 기다린다 KT 드가자!
Flem,역시 대상혁
투리 우,페이커는 어떻게
에러,럼자오자레 어케 생각함 ?
초닥교,대상혁
SS,광동오늘 이기면 서부 확정이냐
DD,오늘 경기는 별로 맛이 없네
STlNKY PAJEET,88848
이몽룡운,오늘은 일방적이겠노
ggllllll,언더독들 경기가 재밌는법
OUROBOROS,88848 언급시 고소 또는 칼부림합니다 888룰8로 고쳐주세요
스콜,오늘 농심이 2대0으로 이기면 딮기 8위 ㄷㄷ
yb,kt승 kdf승 결과뻔한데 왜봄
맑음,ㄴ
소라카와이네,뭐가 뻔함
정상인,우리 jiuuuuuuuuuu무시함?
배그하는남자,흠 이번에 국제전에서 지는패턴이 리그에서도 나온 젠진데 항상 어디라인이 크게터지지는 않았지만 이상하게 ㅈ된느낌 근데 이게 쵸비있는팀에서 항상나타나는 패턴임 과연 코난롤의 쵸비가 리그에서만 잘했는데 이젠 리그에서도 kt한테 딲이네ㅋ
YukiMotti,BGM모냐 간지나네
이보크,"유의미한경기포인트집어드림 kt vs 농심 레전드원딜 데프트vs 차세대원딜유망주 지우 자존심대결 / 광동vs폭스 광동이길시 서부권 안정적안착, 폭스이기면 딮기는 8위로오열하는경기"
Xxtrashbin xX,siuuuuu....
Samfa온,여긴 ㅇㅅㅇ 하는 애들 없어서 좋네 ㅇㅅㅇ
루시안로즈,여긴 ㅇㅅㅇ 하는 사람 없어서 너무 좋다
Amber Zhoon,브금 Psyops
김민권,ㅇㅅㅇ
캡틴코리아,이영호 화이팅
aidare cho,1557
에러,888룰88888888
asdfg,오늘 매치업 개노잼이네
Orelinde,ㅇㅅㅇ
거대박쥐,니 인생 뻔히 별거 없을거 뻔한데 왜 사는거임?
J1,어제경기보단 훨씬 재밌을듯
이마리,와 표식이 2위야
윗집소리,대 상 혁
135 habibi,"궁금한 점, 응원 말고 왜 욕을 하는거임????"
김모티,대 상 혁
John Nadalo,대 상 혁 외쳐!! 대! 상! 혁!
Aki,앙 앙 앙 따이 후앙 찌엔지~~
KM L,대상혁
Python,젠지가 이번 롤드컵 우승할 확률이 888.48%로 매우 높은 수치가 나왔네요~~
장아현,광동이 플옵 가겠지?
도토리,쵸비있는팀에서 진다는 패턴은 고정관념이다. KT전은 젠지가 조금 저점이 떴을뿐. 담에 만나면 개바를거임.
스콜,네네
옴뇸뇸,대 상 혁
민성,디플러스 7ㅣ아가 뭐에요…?
YukiMotti,psyops 곡이름 감사합니다.
ㅇㅅ,암튼 졌죠?ㅋㅋㅋ
ggllllll,"티원 젠지 경기가 더노잼임 로스터 몇년째 같아서 당연히 이겨야하는 경기, 젠지 경기는 노쟘"
이보크,찐티원팬은 젠지욕안해여~ 분탕은 무시무시 팬도아님~~
유승훈,오늘 노잼매치 밖에 없네 ㅡㅡ
TEAMREIGN,KT KDF 승
맛있는 치즈스틱,T1”1”
루시안로즈,그저 1위 ㅋㅋㅋㅋㅋ깔깔
지성몬,대 상 혁
Jaemin Ryou,든든 콜미만 좀 정신차리자.. 제발
hj lee,애들아 라이벌팀 까는건 스포츠를 즐기는 지극히 정상적인 마인드인데..거기에 너무 매몰되지만 마라..이 48따리들아
김블랑,어디서 6연패가 입을열어 이기고 말하던가~ 
우사우사우사밍,광동 피어 재밌을거같은디
여누,오 오늘 160 하네
yb, kt승 kdf승 결과뻔한데 왜봄?
Arin Tel,지우 잘 하는거 같은데 팀이 약해서 불쌍하네
윗집소리,대 상 혁
qhgi qhgi,88848
이보크,우리같이 롤파크 직관다니고 옾라에서 활동하는 티원팬은 젠지욕안해여~~~~ 방구석 가짜티원팬들이 분탕하는거는 무시하고요... 기분나쁘긴젠지팬분들은 제가대신사과먼저할게오~ 앞으로는무시해여 티원젠지 같이가보즈아 ^^
챠챠주,페이크어
자미,대 상 혁
기뻐,왜 젠지전보다 무섭냐..
UTNT,케이티는 엊그제하고 또함? 광동도 있네?
맛있는 치즈스틱,오늘 개노잼이네
freshgreen,인생을 클린스만처럼 웃기만하고 100억버네
통오짱,혁규 왜케 잘생겼냐 진짜
멍뭉,티원 대악마는 LCK에 없는건 팩트 맞는듯...?? 반박시 롤알못 인증이다 ㅋㅋㅋ
윗집소리,혁규 꾸라랑 방송 더 안하나
전성범,케이티가 농심 이기겠지? 하도 롤코타서 불안하다
이기민,디플러스 7ㅣ아
꺼북,광동 피어엑스는 기대되는데
알화임,대악마? 대항마말하시는거?
이보크,kt팬분들 저희.티원팬들도 같이응원할게요 아자아자 티젠킅!!! 우리는 하나 서로서로 건강하게 발전해요 ^_^
페이즈맘,데프트대존잘
갈기파도,광피전은 무조건 광동이 이김 오늘도 볼거없음
Yun S,티원 젠지 이겨본적 있나?
이레빈스,오 오늘 리플레이구나
김홍석,대상혁
네,대 상 혁
백이,대 상 혁
서표,광동아 치킨시켜놓고 기다릴께~
여누,또 당신입니까 대 상 혁
HWANG kr,kt가 젠지잡고 티원이 나머지 잡고 각 미쳤다
ᄋᄆᄋ.,대 상 혁
Suboyaniano,농심은 영맛살 낀거같은데 
스윙맨 쵸리,대 상 혁
도토리,노블클라쎄님이 맞는말 함. 분탕질하는 애들 전부 신고 무시ㄱㄱ
킹덕배,대황표식
이진영,대 황 표식
방울,대황식
"('-'€D,,",젠첩 이제는 인신공격까지 해?
민성,"디플러스 7ㅣ아, 쓰레기메이커가 뭐에오….?"
비2무,시작도 안했는데 분탕이 ㄷㄷ
댓글 참교육 계정,지우 뭔가 개쩌는 매드무비 보여줬으면 좋겠다
루시안로즈,애들아 오늘 누가이기냐 ?
이보크,티원팬인데 안그래도 kt팬이랑 우리팬들은 서로 호의적인관계라... 티킅 쌍통신사 lck먹어보즈아 ^ ^ kt팬분들 티원팬들이 힘좀실어드릴게요 아잣아잣!!! 분탕은 무시무시!!! 우리 티원팬들은 클린문화앞장섭니다. 욕한다 = 티원팬아님 이렇게 생각해주세영!!!!!!!!!!!
양쪼리,농심이 이기면 개재미있겠넹
제이콕,KT 4연승 예상합니다.
정주호,시작언제임
석이룸,영맛살은 대체 뭔...
Latte Cream,OK저축은행은 왜저러냐
HWANG kr,리플레이 몇시?
히히,대 광 -동
ㅁㄴㅇㅁㄴㅇ,자 몸보신 드가자~~ ^^
여누,원딜 숟가락 메타라 농심이 힘들어
BereuNain,kt도 6승대열애 합류할것인가
윗집소리,불 의 발 견
스타일리시,대 황 킅
Glory Kyung,대상혁
Ryan sonè,따이후앙슼
신나는일상,대상혀4
류,대 상 혁
Sinwoo,표식이 너무잘해 
서지원,퓨식
호랑이,울프 방송 언제키냐
강성우,대 상 혁
ssipas,광동이 FOX잡으면 서부권 유지 ㅆㄱㄴ?
N,대 황 식
기묘한나그네,나여잔데=여자 아님 나 남잔데= 남자 아님 나 티원팬인데= 티원팬 아님 틴원팬분들 어쩌구저쩌구= 분탕충
김홍석,KT 22 KT보다 더쌤!! 이번엔 4강 가보자!! 홧팅!! 
ggllllll,비디디 지우 커즈 기인 화이팅 !!
카터,표식을 내친 듀 ㄷㄷ
바나나꿀단지,3강 2중 예상에서 디플자리에 광동이 있네 ㄷㄷㄷㄷㄷㄷㄷ
폭8,대 광 동
구름,어젠 lck개노잼이였는데 후
춘배 김,기브ㅡ자
깨비네,대 황 프 트
이은강,솔직히 1경기보다 2경기 광동이 더 기다려짐ㅋㅋㅋ 요즘 폼 좋아서
이보크,(클린문화앞장서는티원팬) 티원 농심 둘다 응원할게여 재밌는경기부탁드려요 kt가 이기면 더 좋구 ^^ 티킅동맹 든든합니다. 이번 스프링은 우리들의.것 티원 케이티 아자아자 둘이.손잡고 가보자
현제입니다,아니 걍 서부권팀들만 경기하면 안됨?? 동부팀들 진짜 너무 노잼인데 다 해체시키고 서부팀들만 경기하자 제발
정상윤,케티승 폭스승
가요루,딮기는?
John Nadalo,얘들아 형 올해 진급한다
Llll,내일 젠지 한화 기대되네
BereuNain,요즘 광동 경기 재미있음
네모의 꿈,광동 피어엑스 기대되네
윗집소리,이번에 티젠/한/킅광 으로 서부 마무리된다 ㅇㅈ?
ljrock,동부권 해체하면 딮기 사라지는데 뭔 뻘소리임 ㅋㅋ
독새,그래서 브리온은 언제 해체함?
Lavie O,왜 오늘 티원 경기 없음?
hj lee,케이티 오늘 고점임?
es,동부팀이 있어서 서부팀이 빛나는거임
기묘한나그네,나도 요새 광동이랑 티원경기 보는제미
응애,4등 vs 8등보단 5등 vs 6등이지
좋아하니까 보러왔어요,오늘 은근히 중요한 경기네 ㄷㄷ
찬,젠지는 왜 3등인가요 ???
ᄋᄋ,아 뭐야
노리슈,경기는 KT랑 티원이 제일재밌음 
좋아yo,젠지 숙소에 탁구대 있어요
박원,젠장또 대상혁이야
녹차맛커피,대상혁~~~~~~~~~
쿠아,젠장 또 대상혁이야
Jerry Rookie,올해는 팀들 경기가 다 재밌음
이은강,KDF vs FOX가 너무 그냥 기대됨
ajajshdheh,댄싱혁
Suboyaniano,저희나라 롤대남들 댓글수준 과관이네 
이보크,(클린문화앞장서는티원팬) 티원 KT 광동 3팀은 동맹관계 확고합니다 ^ ^ 우리세팀 이번스프링 돌풍일으켜보자구 아자아자 오늘 KT 광동 승리 기원할게~~ 각팀팬분들ㄷ도 아자아자화이팅
RIMNO RAPIS RIVEY,kt 우승기원
Mogumofu,신짱혁
김도현,흠 농심 한세트라도 따면 좋을텐데
김민우,ㅋ
나태와성실사이,표식 요즘 너무 잘한다
Llll,저희나라는 뭔말임 ㅋㅋㅋㅋ
이예옉,클린스만이 농심 감독으로 온다는데?
돼지고기 키우기,Skt우승임 ㅋㅋ
뭣이중헌디어허이,퍼표비뎊베 화이팅이여
K.H. Min,다들 저녁 드시면서 보시려고 하나요~?
윗집소리,오늘도 도사님 도술 보여주시나요
이현성,농심이묜 닉넴 신라면해야하는거아니녀
John Nadalo,얘드랑 형 올해 진급한다ㅋㅋㅋㅋ
김홍석,어차피 우승은 T1 준우승은 중국팀임
깨비네,김혁규 왤케잘생겼냐??
EWI,데프트 샤프하게 나왔네 
네모의 꿈,kt고점이 월즈 drx 느낌 나더라
조현준,이상혁 POG 포인트 과관이네 진짜
현제입니다,LPL 서부팀이랑 LCK 서부팀들끼리만 모아서 슈퍼리그 만들자 fox인지 뭔지 개듣보팀 경기하는 걸 우리가 봐야되냐?
cyworld,지우는 레전드
정세현,우리 도사님 또 다른보법 보여주나
이현승,이강인
이승호,손흥민
스텐드,ㅇㅅㅇ
Tommy Lee,젠지도 이기지만 농심도 위험한 KT 화이팅 !
정유찬,/경기시작
디마겐,오늘 킅 광서프릭스 100콩 갑니다
hj lee,저희 나라는 자신의 나라를 나춰서 높은 나라 앞에서 쓰는 말인데
방울,kt가 진짜 재밌지
주대용,롤러코스터 가나 오늘도
크앙,농심? kt팬은 그래도 불안해하고있다...
옆방형님,저점의 KT 뜨면 농심한테 지냐?
시나브로,맞춤법 일부러 틀리는 빌런입니다 지나가세요
멍뭉,다들 주목! 대상혁 숭배시간입니다. 잠시 채팅을 멈춰주세요. 뮤비에서 페이커 마지막 등장씬 나올때 모두 대상혁을 외쳐주세요! 채팅 딜레이가 있으니 잠시 채팅 멈춰주세요. 페이커 등장시 대상혁을 쳐서 숭배합시다. 오늘 예배시간 화력 보겠습니다. 마지막 페이커 등장시 대 상 혁 입력 부탁드립니다!
Latte Cream,유니폼은 젠지가 가장 낫다
ggllllll,보러 와놓고 ㅋㅋ 봐야하나 이러고 있네 니들도 언도독들의 우승이 그리운거잖어
좋아yo,3연국내우승
김도현,요즘 표식 쩔긴함
이보크,(클린문화앞장서는티원팬) 티원 KT 광동 3팀은 동맹관계 확고합니다 ^ ^ 우리세팀 이번스프링 돌풍일으켜보자구 아자아자 오늘 KT 광동 승리 기원할게~~ 각팀팬분들ㄷ도 아자아자화이팅!!! 농심피어엑스따운 우리동맹팀들 승전보를 울려라 ><
권이,KT한테 쳐발려서 개빡친 머저리 젠지팬 있나요 혹시? ㅎㅎ
박요한,뮤비는 볼떄마다 지리네
나태와성실사이,kt는 퍼펙트만 1인분하면 됨
규륵규륵,오히려 농심전이 불안한 kt팬은 개추 ㅋㅋㅋㅋ
fukube,쇼메이카 플레이메이칵
ᄋ,보기 싫으면 나가라 쓸데없는 말 싸지 말고 ㅋㅋ
돼지고기 키우기,현피 뜰사람 몸이 근질근질하네 ㅋㅋ
락구,8강딱따라닥딱 8강딱딱 ㅋ
da cho,농심한테 질수도있는게 kt읾
조아무,88848 결국 2등딱..
Ndjdk,퍼펙트만 똥 안싸면 이김
John Nadalo,저 진짜 궁금해서 그런데 왜 젠지를 LPL이라고 하는거에여?? LCK팀이자나여
치당,농심 애들이 게임 재밌게 하지
김홍석,대상혁
돌망치,친중행동해가지고 사건터졌음
