name,message
Wonyoung_10,채팅 꺼놓고 보는게 답임 ㅋㅋ
소구연준환조,몇시시작임?
침착한하루,몇시시작인지 아시는분
The Answer,3
sh k,t1
Choi alex,t1
물고기머리,:face-purple-wide-eyes::face-purple-wide-eyes:
xaybr,정몽규 아웃!
똘복이,T1 오늘은 어떤 즐겜픽으로 예능대떡 보여줄라나
보톡스날라리,소.상.혁
Edinelma Pereira,Go T1 :flexed_biceps:
닛끔,아오 아직도 30분이나 남앗네
하관이상준,술먹고 왔다 10분안에 경기준비해라...
도토리,FOX 이겨라 화이팅이다
sky called,t1 이겨라 페이커 그리고 우재 화이팅
이보크,롤파크 현장예매 실패하고 다시 집가는 고속버스탓다 :angry_face:
한설,17분
도토리,Fox 무조건 이겨라.
JS H,t1 경기 개노잼
워그류,그냥 재미나게 보쟈
이명건이명건,무조건 티원이 이기지
녹차맛커피,몇시경기임?
김도한,3시영
꾸달,어떤 서커스가 우릴기다리고있을지
늑늑,현장예매실패 ㅠㅠ
ABLE GAME,지금 롤파크임
김홍석,대황 T1 다시 1위 탈환드가자!! 
빡콩,빅매치가 없네...
똘복이,크트가 람머스 보여줬으니 T1은 누누 나오면 되는건가
이보크,현장예매 실패하고 집가는중... 천안에서왔는데 lck 너무하다 진짜 다시는 직관안온다
マホlove,천안사람들은 좀 이상하네
워그류,현장예매 선착순 아님?
랑,젠지랑 티원임?
이보크,아니 1시50분에 매표소가니까 현장예메 안된다네 이게말이되나 lck운영 ㅈ가치하네 내 하루날리고
돈가스,현장예매는 실패할 확률이 더 큰 거 아니냐 뭘 기대하고 lck를 욕함 ㅋㅋㅋㅋㅋ
욕먹기시르면아닥,농심 감독 경질됨
닛끔,축구 감독은요?
YEJI *,Fear X랑 티원임
밍크,t1오늘도 이기자
이보크,lck 현장예매도전했다가 주말 6시간날림 lck횡포심하니 님들도 조심하세요 기분다잡치고 티원이고뭐고 이제 꼴보기싫어짐
도토리,fox 오늘 꼭 이겨라. 연승 좀 끊어라
ED Kwon,티켓살 돈은 가지고 갓엇고?
욕먹기시르면아닥,지가 늦게가 티켓못사고 왜여기서 징징거림
Revolver Nuke,천안은 사람없어서 선착순 현장예매도 항상 널널한가보네 ㅋㅋ
귀찾,티원이 피어엑스한테 지겠냐;
푸하핫,2월달까지만 쉬고 3월달부터 일하게 해주세요
비실하지못한그곳,앙
이보크,중립응원석은 현장예매도 가능하다고해서 천안에서 힘들게 간거임 근데 예매안된다하니 얼마나 화남 알고 떠드세요 lck다시는 안볼라고요
귀찾,점심 짜장면 먹었는데.. 쥰내 느끼하다 짬뽕먹을껄
ShinIChi,2시반인데 왜 시작안함?
Ward1420,티원경기를 날로먹으려한 너의 잘못이다 ㅋㅋ
Revolver Nuke,당연히 현장예매 되겠지 ㅋㅋ 근데 자리가 무한정도 아니고 선착순인데 늦게가놓고 다시 안보니 어쩌니 하는거 보니 사회 부적응자같네 ㅋㅋ
닛끔,시바 20분또 기다리게할거면 대체 카운트는 왜하는거여
John Nadalo,FOX 정글 훈훈하던데 남자인데 고백받으면 사귄다
마끼아또,문열어줘어어
좌키티,3시부터임
돈가스,지가 모르는 건 횡포 이러면서 허위소문 퍼뜨리네 진짜 ㅋㅋㅋ
낑깡이맛있냐,머야
시바새끼,일요일인데 개노잼 매치네
sowon kim,그래도 티원경기라 20만넘을듯
놀자,대상혁이다
ᄋᄋ,1셋 21.5오버 가능?
심시,또 얼마나 어떻게 양학할지 기대중
WS J,대충해도 이길경기 재미있게 이기자 ㅋㅋ
이보크,멀리서오는사람에대한 배려가없잖아 그러면 지방사는게 죄냐 나는 주말에 6시간날렸는데. lck에서 보상해주냐 현장예매를없애던가 뭐가 허위냐 고속버스타고 다시 집가고 있는데
NightHawk,헉 채팅방에 /호랑이 치면 :tiger: 나오네..
파카,2시 30분이라고 해서 싱글벙글 아메리카노 들고 왔는데 이게뭐노 ㅠㅠ
헛 포비 Hut Poby,페이커 손목
김용환,티원 경기는 몇십만명이봄
펜타조신,/호랑이
다슈리,니얼굴
김대은,오늘도 T1 실험실 오픈인가요~~
o미로o,모야모야 1경기 t1 이자낭 
유준이아름다운지,아침에 가서 현장예매를 하세요 ㅋㅋㅋ
Rizerotte,피어엑스는 어떻게 강팀이 되었는가
도막사라무,18분이나 남았군
심각한라쿤,뭔 노래냐 신나네
KWK,천안에서 온게 벼슬임? 먼곳에서 올거였으면 더 부지런하게 예매했어야지
kalo,님들 울프 오늘 방송킴?
HanCOffeE,:tiger: 
진,이거 뭔노래노
지텍이,1
야옹이,팔팔팔4팔
헤헤,엔버
Why P_S,?
J U,오늘 다시 티원 1위 쟁탈하자!
GM,울프 오늘 중계 못한대
Nihaomyknee걸,17분뒤에 정확히 시작하나요?
김태훈,정글 2 미드 3
최진호,럭키 FOX와 언럭키 T1의 대결. 가슴이 웅장해진다.
Revolver Nuke,방에서 안나가는 히키 티내나? 그럼 현장예매가 아니라 온라인 티켓예매를 하던가 ㅋㅋㅋ 인터넷은 겜하라고만 쓰는게 아니야
서정희,대상혁~~~팀도 1등 피오지도 1등 가보자!
샛별,클로저가 저기 사이에 껴있는게 자랑스럽다
John Nadalo,17분이면 ㄸㄸㅇ한번 치고오면 되겠네 다녀올게요
듄대,보 올 탱
해태호두마루,지방살면 죄 맞음
김홍석,대황 티원 실험픽으로 박살내고 1위 드가자!!
EL__cst,대 상 혁
Luna tra le stelle,lck안가봐서 모르는데 현장예매밖에 안되나요?
전정현,폭스련들 다 잡자
KJH,오늘은 1경기만 보고 빠지면 되겠네.. 2경기는 꼴찌결정전아니냐? 재앙이네
여우별,티원 오늘도 화이팅:four_leaf_clover:
김씨,누가 주말에 BRO DRX 경기 넣었냐
흰머리,대상혁 잘생겼네
이보크,lck 정신차려라 지방사는사람은 현장예매힘들다 그러면 전날에 서울에서 하루자야되는데 이게 말이되냐 직관하러갔다가 아무것도못하고 집에가는데 진짜 홧병걸린다 티원유니폼도 챙겼는데
도토리,fox 이겨라!!!! 연승끊어라 꼭!!!!!
Don't Die,따이 상 혁
사탕주세요🍭,T1만 기다렸다고
평생마법사,유메노 아이카 아시는분 계심?
연꽃,FOX팀 잘하는팀인가요???
Peneuma,ㄴㄴ
ᄉᄃ,아침에 가면 현장예매 성공 함? 인터넷도 ㅈㄴ빨리 마감되는데 현장이 성공하는게 가능한가
인간,비디디 vs 쵸비
올드잉글리시쉽독,그만찡찡거리샤.
leo j,중국 영토완정을 공개적으로 지지하는
촉촉이,때 상 혁!
Tfu8h8gdwhe6ll,찌엔쯔이
Laala,티원 가보자고1
de ja,아 어제 젠지이겨서 단독1위 다시바꼇구나
Wolfgang Edward Min,대상혁
