name,message
으잉,막말로 티원이 룰루잔나유미소나세라핀 해도 이김ㅇㅇ;
김민기,kt 짱!
STlNKY PAJEET,88848
하띵,티원이 이긴다
민석,티원 : 오늘은 뭘로 요리해줄까? ㅋㅋ
SKU LL,티원밴픽이 너무좋음
강두완,"T1, KT 파이팅"
남성하이테니,몇리
이현우,티원 또 우승 확정일듯 이렇게 강팀인 팀은 못 봤음
Louis Gong,애디 화이팅!
JSoOoOoOs,"T1 하나, 둘, 셋! T1 화이팅!"
도토리,티원 해체해라
HSP,직관왔다
마요인데 :3,직관맨 ㄷㄷ
똘복이,두번째 경기 큰거온다
짜세,티원승
김홍석,T1 제오페구케 화이팅!! KT 화이팅!!
진K,ㅋㅋㅋㅋㅋ다른 팀들이 다 하나같이 너네 오ㅐ케 극혐하는지 잘 알겠다
Light Nguyễn,ngày nào có t1 mới xem
승환,한화 kt 궁금하네 ㄹㅇ로
S M,ez
김뭉,19금 장면이 포함되어있으니 시청에 주의하시기 바랍니다
도토리,그 팀 오늘 졌으면 좋겠다
마스,88848
트페리,애디 쵸비랑 무슨일터짐 얘들아? 쵸비 화내던데 뭔일이노
뽀뽀인뎅왜혀넣어,농심화이팅
혀기,애디 쵸비는 조금만 검색해봐도 나온다 검색부터 ㄱㄱ
정창희,티원 2:0으로이길라나
스윙스문,대 상 혁
권혁준 Gwon Hyeokjun,한화 kt 이거 크다
Matthew Hwang,혁준아 조용히해라
얼얼얼,근데 그건 애디가 존나 잘못함
린포스,먼 듣보 솔랭이 현프로한테 깝치는건지
이성적인댓글러,대회에서 디도스 걸리면 레전드 ㅋㅋㅋ
ghostcho,문열어
권혁준 Gwon Hyeokjun,솔직히 에디가 100퍼 과실이지
Hubbyllama,씨맥이 맥문철 올리면 그거 보셈
갓겜,쵸비가 애디한테 실수한거임 별일 아니야 관심 ㄴㄴ
린포스,씨맥 보자마자 빵터지드만 
Kyung,애디는 좀 본인우월주의임 많이 심함; 사회성 결여.히키코모리 스타일
hj lee,그냥 솔랭중에 일어난 헤프닝이지 지금 작셈해서 한명 매장분위기로 가는게 문제지
권혁준 Gwon Hyeokjun,쵸비는 cs 가 지상최대과제인데 정글이 먹으니까 제대로 긁힌듯
박상훈,갠 그냥 매장당해도 되겠더라
녹차맛커피,오늘 서폿니달리 나온다는게 정설이라는데 맞나요
파릿 파릿!!,네:)
이은강,"""문 열어"""
권혁준 Gwon Hyeokjun,그나저나 클XX씨는 나락가고 개인방송하는구나...
이용석,정글 니달리 나올지도
Nightbot,"@skippyhippo -> Yeah, piece of cake! [stop spamming caps] [warning]"
닛끔,오늘은 티원이 또 어떤 재미난 픽을 보여줄까나
나는 무너가 아닌 나는 무녀,문열어어어
익명2,:face-green-smiling:
트페리,애디 쵸비 문철 누가이겻냐 대황맥 씨맥 판결 누가이겻노
빈,보올탱 pog 공동1위 ㅋㅋㅋ
Ji Oh,근데 pog는 동점일때 알파벳 순도 아니고 나이순도 아니고 무슨 순서임??ㅇㅅㅇ
무명,한화 케이티 재밌겠군
그치맞지,에디 편인 사람이 있음??
jiyun0982,문 열어 ㅋㅋ
플 아,ㄹㅇ 무슨 순서임..
ㄹㄹㄹ,씨맥도 빡쳐서 문철종료함
푸른꽃,쵸비 차이나는 중국안가나
뀨,케리아 저번부터 컨디션 안좋던데 괜찮겟지.?
고중사,1군임?? 혹시 경기?
동구리,클레드
김시온,애디 나락 진짜 개꿀
엔타로," LCK 관계자님들, 그 첫번째 매치업은 그냥 경기 안하고 T1 승으로 하고 바로 케이티 한화 경기 시작하면 안되나요? 굳이 경기 안해도 경기결과는 다 알텐데...;;;"
메론바,한화 kt 큰거 온다..
hel ye,데마피고 롤 시청 ㄱㄱ
동불주,애디 승 솔랭과 대회는 다름 솔랭에서 대회처럼 cs먹다간 무지성 갱당하고 죽음 ㅇㅈ?
Tlqkf련들아 나 kt팬이라고,나 페이커 빠는 놈인데 쵸비 욕하는 놈들은 페이커 팬도 아님 걍 애디가 문제임
혜써니데이,ㅎㅎㅎ
ヒョンソプについていく,T1 서폿 케틀나오나요
Rumuya,오늘 t1 2:0승 kt 2:0승으로 칼퇴각이다
권혁준 Gwon Hyeokjun,에디편은 그냥 젠지안티뿐
얼얼얼,구마구마야 오늘은 POG먹어보자
김민정,쵸비랑 중국이랑 무슨상관이야. 막 같다가 붙이지좀마. 
범,"팟지 순서는 최신순일걸, 최근에 쵸비가 다시 공동 1등되서"
지성 천,한화 제발
