name,message
Lipa Lipa,drx이겨라
도토리,젠지 항상 믿는다 화이팅!!
막되먹은 돼지용,ktㅎㅇㅌ
ㅇㅇ,오늘 첫경기부터 좁밥대전이네 흠
진현우,88848
밥버거,숏메이커 또 패배 ㅋㅋ
메론바,DK가 좁밥은 아니지 좀 선넘네?
JK Kim,설마 dk 지는건 아니겠지
이보크,"경기포인트1) 여우들의 화끈한 반란, 서부수문장 담원기아마저 무너뜨리나 경기포인트2) 라스칼테디 베테랑의 품격. 젠지를 당황하게 만들어라"
Tfu8h8gdwhe6ll,Drx 파이팅
A_mericano,젠지보러왔는데 언제함?
Dongeon,대상혁
Red_wizard,대상혁
K.won Kim,대상혁
The Answer,확실히 베릴이 딜라이트보다 못생김.
gyu gksRB,대 황 비
Ra No,올 대상혁
모찌말랑빵떡,557
마이너,쵸비님 멘탈 괜찮을려나 문제엊ㅅ겠지
명의박효범,광동화이팅
응애,Dk 지지ㅋㅋ
사라지지않는형체,얘들아 얼굴 가지고 뭐라 하지마.......
곰큐,누가 동부의 왕일까
Amber Zhoon,브금 - Courtwalk
이창민,쵸비 멘탈땜에 지는거 아니노?
오종민,왤케 너가너가 거리는 애들이 많냐 너가 라는 말은 없다
영태,대상혁
JK Kim,dk 루시드는 콜업이라 그러러니 하겠는데 킹겐은 연봉더주고 대려왔는데 칸나보다 모든면에서 후달리는것같던데 도대체 뭐냐...
치당,DK 가 순위권팀들의 대악마였던 적이 있던거 같은데. 이제 그냥 특별할거 없는 문안한 팀이 되어버린거 같기도 하고…
이창우,오늘 클로저 야스오 나오자
공드리,디플러스 기아의 영혼의 라이벌!!
도,오늘 지는팀 플옵 못간다
ㅇㅇ,67위면 좁밥경기지 딮민이들 발작보소 ㅋㅋ
명준그릴스,dk 이젠 좀 이겨보자
Latte Cream,어제 농심잘하더라. 순위 낮아도 그정도 컨디션 보여주면 모든 경기가 기대감있을듯
좋아하니까 보러왔어요,오늘 1경기 동부왕 선발전이네 ㄷㄷ; DK가 어쩌다
단우,2강팀 gen vs 최하위권팀 
The Answer,와꾸는 캡틴잭>윌러>윤수빈>오너>딜라이트>베릴
user-ot7de6li6b,담원이 뭔 서부임 계속 동부에 있어야지
으엥,dk왜 이렇게...하
이보크,(초보를위한 경기집중포인트) 1.동부중의왕vs서부수문장 자존심대결 2.클로저의물오른폼 ad캐리로 쇼메이커상대하나 3.제2의피넛 윌러 vs 초신성 루시드 정글전략대결 4.헤나vs에이밍 이제는 증명해야할때 명성대비부진 누가먼저 털어내나
Amber Zhoon,브금 - Odyssey
팡수,대 상 혁
JK Kim,쇼메는 3년계약했는데 암걸리겠누 ㅠ
