name,message
김팔똥,끝말잇기 할사람
홍구,ㄵ
페이커,농심 티원이랑 할때처럼 하면 이길수 있어~
방금온,나도 이제 채팅 칠수있다!!
뭣이중헌디어허이,2라인건가?
도토리,오늘 노잼 경기들이네
정창희,농심 한세트정도는 딸수도있어보이는데 
Myeonghoon Kim,gg
정창희,광동은 2대0으로 브리온 잡고갈거같은데
페이커,낼 경기 재밌겠다~~
페이커,bro는 언제 1승 해보누~~
힘내유미,광동 스프링준우승합니다
김봉현,뀨
김성일,캐리아 멘탈 나간애 누구냐 여기잇냐??
힘내유미,브리온은 어떻게 강팀이 되었나?
lika ai,그걸 왜 여기서 찾냐 ㅋㅋ
감자,아 진짜 맨날 4:30분에 시작한다 해놓고 또 화면바뀌고 30분 대기시간있고 왜 이딴식으로 만들어놈?
김홍석,광동 한화 화이팅!!
김성일,누가 캐리아 맨탈 나가게 햇냐고 여기잇냐?
형님,한국은 걍 정해져있다. 슼 겐지 담원 큿 정도. 얘네는 일년내내 경기하고 나머지들은 가을겨울에 놀잖아 개꿀인가
힘내유미,광동 월즈 적금들었다 진지하다
닛끔,브리온 첫승 언제하냐...
풉키풉키,광동 가자!
김성일,여기 없내..ㅜ
도토리,오늘 개 노잼경기 보는것도 귀찮다
happy cake,안보면되는거아니노
kwiat,4시 30분인데
힘내유미,쾅쾅!!
아스날리그우승,엄
한군소,광동!!!!!!!
조성호,문열어
김선한,와 오늘 가지반찬이네;;
파프,문열어~
Jinu Keem,오늘은 ㅈ밥팀 대전이네
콩쥐,광동 브리온 2연전이네
MATT AHN,5시에 경기시작한다고 일정에 딱 밖혀있는데 징징거리고있네
user-yv5zm8en7p, 불이야
김동현,광동 4등 ㅊㅋ
Polar bear,오늘 뭐냐;;; 밥상에 고기반찬이 없네
닥더페퍼교수,조선제일견!!
hs lim,!
김성일,누가 캐리아 멘탈 나가게 햇냐?? 여기잇냐??
모험과탐험,대 상 혁 !
qorrud,모야 나물반찬이야 오늘? 
GG*-* IIDX,오늘 개 상 혁 이지
THre,광 서 프 릭 스
P YJ,NS 폼 좋지않냐
Myeonghoon Kim,님들 오늘 저녁 추천좀
ᄋᄋᄋ,광동 한화 오늘 Ai전이네 노잼이라 안봐야지
lika ai,농심은 ai보단 잘하지
엌ㅋㅋ,광동 서부로 왔냐?
zz,ㅇㅇ 광동서부임
