name,message
이창민,88848 젠지는 중국팀!
retire,드릉드릉 서포터는 몇위??
Mmm,단합대회 어디갓노
혈마검선,오늘 노잼경기만있네 ;
NAIYC,딮기 이번에 지면 플옵 위태로워질수도 있겠네 
아재요,대 황 딮
ㅇㅇ,경기 볼 생각에 드릉드릉 신난 롤붕이들은 개추 ㅋㅋ
투리 우,브리온 광동 또해?
Jaden Yoon,님들 세나 인가 그 챔은 왜 원딜 선택해도 킬 안먹는건가요? 진짜 몰라서 물어봅니다..
STlNKY PAJEET,88848
Louis Gong,클리드 방송 켜!!!!!!
에러,1557 888룰8 
ㅇㅇ,드릉드릉
조현준,1557
조현준,1557이 뭔데 ㅡㅡ
hs lee,하꼬팀만있네 ㄵ
ᄋᄌ,작은거 온다
부끄부끄,오늘 리벤지네 광동 ㅋㅋ
Mr.C MooHyun,오늘 브리온이 이기면 맘스터치 깊카 2장 뿌립니다.. 어그로 아니고 진짜 드려요...
유바라기유바,드릉드릉
성바민보,딮기 이기겠지?
김진욱,디알엑스이겨랑
mike Jung,롤 점검중임? 
Spade,티쪽이 언냐들=드릉드릉 쓰는 페미언냐
깎인배,점검중이라 시작 못하는거임?
기둥돌,드릉드릉
DK K,14625
롱신병자,드르릉 주무시다 오셨나
J orion,"롤 급점검,,,ㄷㄷ"
t,88848
ㅇ,드릉드릉이 뭔데 다들 치는거임?
Jh M,DK가 DRX는 이기것지?
달달하나,개상혁
석,단합대회 영상 어디갔냐
예나,원딜단합대회 언제 올라오려나 ㅜㅜ
이유찬,단합대회 영상 어디감?
W Y,드릉드릉 한녀 웅챠!
sangjin lee,88888
Ver,드릉드릉 한남형아들 다같이 힘죠
동윤,브리온이랑 광동 게임한지 얼마 안되지 않았음? 2라라 그런가
황이트(knight),"팩트 : 티원의 롤드컵 우승은 반쪽의 반쪽짜리 우승이다 근거 1. 젠지한테 만나는 족족 ㅊ맞는 팀이 우승팀? 2. BLG에게 5전제 털림 3. LCK 1황 미드는 쵸비, LPL 1황 미드는 나이트이다. 4.징동전은 카나비가 애국행동으로 던져줌 5. 징동전은 룰러가 포지션 잘못으로 운좋게 아지르에게 궁 각을 줌"
솔직함,몇시까지점검임?
이재호,드릉드릉 한남 데스웅챠
구독좋아요,이트야 오늘 어그로는 그거 아니다
좋아하니까 보러왔어요,브리온 1승 했네?
dlees,쵸페제제
이형진,또..당신들입니까
Goodthinking,페이커 보고 싶어서 드릉드릉 하자노 ㅠㅠㅠㅠ
정광열,제가문이 롤 잘하네
준로,왜 롤 지금 안되나요
ly,2.BLG에게 5전제 털림 -> 젠지 자기소개?
이성,88848
DAS S,1557하고 우승할게 ㅎㅎ
J끄앙,황이트 저사람 오ㅐ 저렇게 화남? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
W Y,댓글지우는 언냐들 화이팅 ㅠㅠ! 케이블에서도 허버허버쓰는데 뭐가문제야!
sujiw1,주말인데 경기수준실화냐 drx 브리온ㅋㅋ
류민석나가네,님들 저만 롤 안됨?
Humming,888룰8 이 뭔가요?
LIVON,롤망했어
굠문,담원 이겨라
큐큐큐큐큐큐,2경기가 꿀잼이겠네
Y S,또 브리온이 이기면 레전드
Jaeyoung Lee,드릉드릉이 무슨뜻이에여 근데?
retire,드릉드릉 경기 하나
전인범,드릉드릉 기대되누
Invincible,ㄷㄹㄷㄹ
정장훈,오늘 ㅈ밥 대전이네
Kimchi Lee,오후 2시35분인데 벌써 백수 1900명 대기중 ㄷㄷㄷ 님들은 일 안함?
강아지보고갈래?,롤 근데 ㄹㅇ왜안되냐
Llll,브리온 2승 가자
달달하나,서부 광동 개상혁
이것저것,일요일에 일하는게 자랑이냐
dlees,주말이잖아ㅋㅋ
깡통 프릭스,일요일에 누가 일하냐
90 Hyunss,국가대표 미드와 대 상혁
이걸사네?,뭐 드릉드릉 자막 누구냐 ㅡㅡ 어휴 티를 내요
WALLA,광동 브리온 기대된다
성민칼,광동 브리온 어캐될지 궁금하다
문막기,브리온 광동 했었지않음??
inni,drx 할만하겟네
김예성,원딜단합대회 영상 왜내려감?
R-R,드릉드릉~
이다산,광동 브리온 바로 2차전임?
Brian Son,드릉 드릉 시작 13분전~
주붕이,얼마전은 농심 kdf
keeper grave,강팀이면 1557 안당했겠지 ㅋㅋㅋ 약팀 ㅋㅋㅋㅋㅋㅋ
ㅇㅇ,드릉드릉ck
큐큐큐큐큐큐,lck 드릉드릉
KK,대황드 vs 대황맥 입갤
로리로리나,자막빨리 수정해서 왜안올리나요
honeybee,지금 롤 서버 터졌나요?
RTX Quadro 8000,드릉드릉이 뭐임?
DONALD _TRUMP,드릉드릉
이름은비밀,hide on bench
골방,드릉드릉 여초단어아닌가ㅋㅋ lck 뭐 페미터짐?
김경빈,드릉드릉 출발!!
뀬뀬,폐미전사 일터 lck 정작 시청자 90%가 남자인 웃픈 현실 ㅋㅋㅋㅋㅋㅋ
양념건빵,드릉드릉 허버허버
Humming,888룰8 이 무슨뜻인가요?
Doge,롤 안되던데
디붕이,페이커가 먼저 700달았는데 왜 2번쨰로있음?
Brian Son,ㅇㅇ 최근영상에 드릉드릉 자막넣고 지금 영상 내림
Hsuychwixojr,슼릉슼릉 on
정jshun,888룰8이뭔데
ᄋᄋ,드릉드릉 출발~~
조현준,1557이 무슨 뜻인가요 하도 도배하고 우리 아들도 막 1557 1557 이러네요 ;;;
도토리,1557이 뭔데 그지야 조용들해라
메삼잭,아니 브리온이랑 오늘 또붙어요?
엄지충룬몽,88878은 무슨 뜻인가요 현준님
담배만갑,대리운전
큐큐큐큐큐큐,lck 데스노웅차 드릉드릉
오레오,님들
Lime,드릉드릉~
박레오나,드릉드릉 LCK
맑음,15분57초만에 졌다고 t1을조롱하는애들입니다.혼내주세요 혼나야합니다.
김태희,드릉드릉이 뭥미?
정영석,허버허버
양념건빵,"'드릉드릉'의 어원 자체에는 혐오의 의미가 없다 보니 남초 커뮤니티에서는 해당 유행어가 거의 알려지지 않고 있었다. 그러다 여초 커뮤니티 여성시대, 투디갤, 워마드 및 트위터 등지에서 '드릉드릉' 유행어를 남성혐오적인 글에서 사용한 사례들이 알려지면서 해당 단어가 남성혐오 용어라는 논란이 점화되었다."
Juhwan,지금 티원 미드 쵸비로 바뀌면 그랜드슬램 쌉가능일텐데 아쉽
이름은비밀,t1팬들 다 몸무게 100kg 넘는 페미여전사들이란게 팩트인가요?
PPLL,롤 터짐?
에헤이조졌네이거,니만 조용히 하면됨
김영하,드릉드릉~
신동빈,대 상 혁
지나가던 행인,^88848^
림밤,나만 롤 지금 안됨?
STlNKY PAJEET,88848
달달하나,보릉보릉~
배틀니그라운드,돌돌티젠 ㄷㄷㄷ
Invincible,ㄷㄹㄷㄹ~
ehdgus_rla,비에고 해주면 좋겠다ㅏ
이정길,대 황 비
Tmd xor,롤 대회는 다른섭이라 될라나
kh y,pog 보 올 탱!ㅋㅋ
용하모,롤 되는데
user-yv5zm8en7p,2경기만 좀 볼만하겠네
RiotGames,그릉그릉
날개달린호랭,쵸페제 ㄸ
노오아아아,이번엔 복수하자 꽝동!
신원겸,브리롱 광동은 경기한지 얼마지났다고 또 둘이붙네
Eunju Jo,나 롤 안되는뎅
뀬뀬,888룰8은 쵸비 국제대회 성적입니다 여기서 룰은 룰러 아니면 4강도 못갔다는 뜻이에요
조현준,1557이 무슨 뜻인가요 채팅창에 하도 도배하고 우리 아들도 막 1557 1557 이러네요 ;;;
Y,롤 왜 안돼냐
이종훈,Dk ㅎㅇㅌ 연승드가자
류소방관,아니 drx bro 경기를 하루에 다 집어 넣은 놈은 머리에 생각이란게 있냐?
나이승 너저승,등드름드름 ㅋㅋㅋㅋ
Teddyy,bgm 제목좀
가나다,:text-green-game-over:
예나,브리온 광동은 재밌을것 같은데
rirjdndnd,주말에 ㅈ 노잼 경기만 쳐하네 ㅋㅋ
A,DRX 듀릉듀릉 가보자~
엄지충룬몽,88878뜻이먼가요 궁금해서 그 팬들한테 물어봅니다^^
박레오나,듀릉디릉
Qerr,브리온 광동 2일전에 하지 않았노 ㅋㅋ
Amber Zhoon,브금 - Psyops
모든 문제의 원천은 내 정신에 있다,벤치 = 88848한테 밀린 부품갈이 해줘형 미드를 뜻하는 말
해적제이지,오늘 시청자 3만 예상된다
김블랑,원딜 단합대회 영상 떴다가 왜 지워진거임?
김영하,허버허버 마라탕먹고 후식으로 탕후루먹으면서 lck 기다리느라 드릉드릉ㅠㅠ 
Juhwan,지금 티원 미드 쵸비로 바뀌면 그랜드슬램 쌉가능일텐데 아쉽
영혼의 꽃 요네,따이후앙제엔
설화가인,지금 롤이 안되던데 시합은 됨?
Humming,거짓말하지마세요 어떡해 사람이 8강만 그렇게 많이할수있나요?
Denkwürdigkeit,허버허버 마라탕먹고 후식으로 탕후루뚱가롱 먹으면서 lck 기다리느라 드릉드릉ㅜㅜ
J,대상혁
RR DRrr,대 상 혁
류민석나가네,사용자설정겜은 되용
Ýøķiyū,지금 롤 왜 안됨??
큐큐큐큐큐큐,리그꼬라지 드릉드릉
뀬뀬,브금 제목은 드릉드릉 페미전사입니다~
디붕이,lck관계자에 페미있음
김홍석,DK KDF 화이팅!‘
최진명,드릉드릉 lck 가보쟝!!
F초,opggㅋㅋ
이광득,롤 서번 언제 복구하냐
Jh M,롤 시합은 어차피 클라이언트 다른걸로 알고 있는데
ㅇㅇ,왜 브리온이랑 한번더함?
배틀니그라운드,어디 커뮤니티에서들 오셧나 채팅 보소 게임이야기나 합시다
조세래,대상혁
엄지충룬몽,지금 젠지 미드가 페이커엿다면 lck원툴이아닌 롤챔 우승이엿을건데 아쉽 ㅠㅠ
마이너,아우솔 버프졈....
Porda 1011,🇨🇳 🇭🇰 🇲🇴 :person_with_skullcap:
양념건빵,"'드릉드릉'의 어원 자체에는 혐오의 의미가 없다 보니 남초 커뮤니티에서는 해당 유행어가 거의 알려지지 않고 있었다. 그러다 여초 커뮤니티 여성시대, 투디갤, 워마드 및 트위터 등지에서 '드릉드릉' 유행어를 남성혐오적인 글에서 사용한 사례들이 알려지면서 해당 단어가 남성혐오 용어라는 논란이 점화되었다."
이종민,님들 지금 롤 됨?
WALLA,2경기는 기대됨 
교만색욕탐욕나태,인벤 전체가 페미로 불타네
개순막,드릉드릉 LCK 출방 준비!
멜랑콜릭,애들 목이 왜 불편해 보이냐
쏘이파파,작은거 온다
스킵충,DRX이겨라
두루미,드릉드릉 lck 화이팅!
하지마,게임 버전이 지원되지 않는데 tlqkf
ㅎ,드릉드릉 자가보자구~
김유현,드릉드릉 ㅋㅋㅋ
김동환,지금까지 퍼포먼스만 보면 원딜 퍼스트 누구인가요?
정영훈,4대미드중에 가장못하긴함
Seeu Ki,지금 그게 중요하냐? 롤이 안되는데
이동주,drx 화이팅
Juhwan,지금 티원 미드 쵸비로 바뀌면 그랜드슬램 쌉가능일텐데 아쉽
narangd,드릉드릉~
예나,바이퍼지
KK,LCK 잘해보자 드릉드릉
Louis Gong,클리드 방송키라!
황,롤체 왜안됨?
라니짜,첫경기 인기없겠당
난백,롤 대회서버는 문제 없나?
박레오나,드릉듀룡
디붕이,드릉드릉 관계자는 징계떄려라 
뀬뀬,근데 왜 쵸비는 세체미라면서쇼메이커도 있는 국제대회 우승 성적이 없나요?
김경빈,드릉드릉 출발~~
응애독타,드릉드릉 
ㅇㅇ,궁존야'딩
W Y,그 1등시민들 드릉드릉 출발~
블랙홀,브리온하고 광동 이번주에 2경기임?
YC J,경기볼 생각에 드릉드릉하네
나르도,보올탱 듀오 ㄷㄷ
