name,message
xxsxxxxinxxx,캬 역시 2부리그 수준 ㅋㅋ
affetto _,녹방으로도 lck를 볼수 있다니 정말 행운이다 이제 하나하나 챙겨보면서 녹화버튼 안눌러도 되니까 테이프값 아낄수 있을듯
lvy,??
와포루,ㄹㅇ 핫생녹이네 ㅋㅋㅋ
SGY K,숙소에서 진행하는거 아님? 녹방이 아니라
뭘봐,녹화중계 신기하눙
스윗규규,ㅠㅜㅜㅜ 디도스 공격범 죽어라!! ㅜㅜ
람머스,브리온이 이겼다는거는 누가 순위표사진 조작해서 잘못 믿고있는 것
송치현,녹방뭔데 ㅡㅡ
안녕,오늘 두두벤되서 씨맥이 탑으로 나옴 ㅇㅇ
STR(Stella Terra Randezouce),핫생녹 개웃기네
jw han,생방이면 공격당해서 서버가 맛이 가니...이거 수요일엔 해결 될런지..
SH Lee,와 페이커가 대리출전함?
Porda 1011,스크림의 광동을 드디어 보나??
Invincible,대 황 브
루시안로즈,숙소에서 진행하고 녹하방송기더 함
Yaegun Kim,광동 관계잔데 2:0으로 한화가 이김
임주환,브리온 2대1이라는건 어디서나옴?
쿠아,뭐야 오늘은 볼거없네
디마겐,"마지막으로, 모든 리그 관계자들은 이번 주 수요일 정규 리그 6주 차를 예정대로 치르기 위해 최선을 다해 디도스 공격으로 의심되는 상황에 대한 대비책을 강구 중에 있습니다.이와 관련해 추가 안내가 필요할 시에는 LCK 공식 채널을 통해 다시 한번 말씀드리겠습니다.감사합니다.LCK 드림 수요일 디도스 또 걸리면 어캄"
tdtd123,스크림의 태윤 보여주나
noname,녹방 머냐 진짜 라코 이정도밖에 못함?
zxld234,브리온 2대1 승 2세트 광동 가렌 꼴픽 안딜 노틸러스 0/8/4
박정현,오늘도 퍼즈 잼
Philippe Coutinho,아니 88848까지 핑이 튀는데 어케하냐 ㅋㅋ
yhs 1781,관중 환호소리 없는건 좀 아쉽겠네
tunar,가자가자
겐샤,녹방임?
이건형,오늘도 퍼즈 걸리잖아? 불매한다
장도원,88848 치면 경기 시작한다네요!
내이름,ㄱㄱ
홍미,브리온이 이긴거 알게됐는데 무슨재미로보냐
Latte Matcha,문열어~
SB CHO,ㅇ
