name,message
a,광동젠지 1:2 젠지승
양경식,kdf 화팅
마흔 세살무직,여자친구 구함.
Kud N,오늘도 디도스 터지면 철퇴떨어지나?
앙토니,그냥 디도스 없길 빌어야 되는 상황임? 뭐 대책 같은거 안세웟나?
메론바,디도스 해결은 했을려나
브리츠,오늘은 멈추지않고 하는거임??
장구라,해결은 안되지 않았을까..싶은
페이커,운영 정상화~
E = L,"T1, 젠지 인데 디도스가 어떻게 되려나"
STlNKY PAJEET,88848
하이콩,티원 경기 몇시노
Khvicha Kvaratskhelia,이곳이 그 디도스 맛집인가요?
ㄱㄷㅎ,오늘도 녹화중계인가요?
김에토,녹화아님오늘?
𝔹𝔹𝔹𝔹,오늘도 디도스 터지나
하이콩,오늘 녹화아닙니다
Minseok Lee,서버 오늘은 화이팅해라
마흔 세살무직,여자친구 구함.
민석,디도스 할려면 아마 2경기때 부터 할듯 페이커 개인 방송만 디도스 거는 놈들이니
ByungJin Yoo,디도스 오나? 녹방 가나?
FDD,나루토 춤 춰
혀노,유리야 보고잇으면 끄고 일해라
뿌뚱,티원때 디도스걸리면 라이엇본사에 트럭박히는거 아니냐..??ㅋㅋㅋㅋ
브리츠,그런데 저기 자기네들끼리 IPX 이런거로 하면 안됨?
life is ox head = 삶은 소대가리,솔직히 오늘 젠지전부터 디도스 걸려서 t1은 경기도 못할것 같으면 개추ㅋㅋ
sangjin lee,888888888
ᄋᄌ,이것도 녹방이겠네 디도스때매
엔타로,오늘 일요일날 못했던 경기 이어서 하는건가요????
도토리,티원 처발려라
호프,오늘도 녹방임??
후니비Universe,디도스
Flora Ch.稲糸フロラ,디도스 해결하지 않았을까요
무적권,진자림 신챔 이름인가요?
바코드,디도스 때문에 정신과 약 먹는중
21b,두근두근 오늘은 어떤 논란이 일어날까
념무스트,이번엔 1군이에요?
도토리,티원이 싫다
엔타로,오늘 일요일날 못했던 경기 이어서 하나요??
이정길,대 황 맥
요야이요,두구두구짜짜두구두구짜짜
박시혁,녹방일듯
안녕하세요,뭐야
이민수,왜 안켜냐?
권tomer,젠지 발릴듯
크리스티아누 메시,디도스해결이 가능한거야?
이동학,취소
가나다,88848^^
루시안로즈,문열어
henry song,왜 시작 안함?
ㅇㅇㅇ,문열어 주인장
Morataaaaaa,ㅎㅇ
이동현,듀과쟤
김휜,오늘 녹방이에요 ?
페이커,운영 정상화
옥광호,디도스
옳은갖음,오늘도 디도스 가나?
unji king,티원경기때 디도스 공격 하겠습니다
최선우,녹?
김주안,캬
심시,역시 큰일은 미드가한다
panther 2,88848
김태우,페쇼쵸 ㄷㄷ
ISLAND VIBE_Island Bois,미드사이에 탑이...
무니자니,광동 오늘 찢기겠노
엌ㅋㅋ,2등이 없네
아르클,오늘은 갠춘해?
멍뭉,티원 대악마는 젠지밖에 없는건 팩트 맞잖아요...? 반박하는건 다 롤알못 인증하는거 아닌가
고양이애호가,이번에도 녹방이라네요~
팡팡히,티원 경기 몇시에 해요?
피자스쿨쿠폰도둑,대 상 혁
김석원,4미드
정동진,라이브 말고 녹방하는 방법 밖에 없다
퍄카,디도스 공격하려고 드릉드릉한 놈들은 개추 ㅋㅋ
지나가는시민,티원 경기때 30초 간격으로 공격 진행합니다 시간 버리기 싫으면 지금 나가세요
Joshua Kim,오늘도 녹방임??
icewaffle,이걸 실시간으로 한다고???
현궁,미드 4명인데 제우스 있는거 상당히 자랑스럽군요... 
박시혁,7시30 ㄷㄷ
ㅇㅇ,도스햄 감본다 오늘
altecc,녹방임 오늘도 공지뜸
AloE마린,ㄷ
ㅇㅇ,디도스 또 공격 들어오나
배다훈,광동 연패하느라 힘들겠네
JJ,나 직관러인데 녹방아니다 라고 하는 애들 없음?
퍼즐1231,오늘 녹방이면 유출 또 떴냐?
HICA,젠지 ㅋㅋㅋㅋㅋ
두씨부인,제발 광동아 이기자
sy,오늘 녹방이라고?
최민서,오늘 디도스 걸리냐?
도토리,나는 아무팬도 아닌데 티원이 졌으면 좋겠다
워니 투, 오늘도 녹방이에요?
박성민,젠지이겨줘 제발
싸이즈좋다?,녹방임?
한성현,오늘도 녹방입니다 젠지2:1슨 티원2:0승
AI,디도스 언제 잡냐 라이엇아
NAIYC,오늘 경기는 유출된거 없나요?
j,녹방이지
유우즈_Yooujeu,젠지인거보니까 12시넘기겠구먼
힙투,이 브금머임?
DDD UUU,기대중
전마스터대황주노,88848
아이,브금쩔어
유제,오늘도 녹방이라네요...일시젠지 떄문에 어쩔 수 없다네요 ㅜ
엔타로,오늘 일요일날 못했던 경기 이어서 하는거에요?? 누가 대답좀...ㅠㅠㅠㅠ
경태풍,정보: 젠지 2:0으로 이미 결과유출되었다
강호석,디도스 해결됨?
히어로개미,광동 파이팅!!!!!!!!
고양이애호가,오늘도 녹방입니다
페이커,라이브
peroorse hindipwdasap,티원경기때 디도스걸리겠네 젠첩들이 단체로 공격할테니까
Dua Lipaa,브금 제목 : Curiosity 입니다
JWH,엥 오늘은 중국팀 경기하네
yb,젠지 2:0 으로 승리 T1 2:0 으로 승리 결과 유출됨 ㅋㅋ
ㅈㅎ,티원 좀 처음으로 해주지
쿠아,메가갸라도스 
J w,오늘 t1이 졌나요?
내일 뭐 먹지?,어늘 라이브임?
Suboyaniano,카리나가 누군데 
니노노,녹방임?
J,ㅋㅋㅋㅋㅇㅈ
이정길,씨맥 지금 소드한테 2연패중인거 아님?
맨유팬,뭐?녹방임?
music_gorani,젠지 1대2로 졋답니다 젠갈젠첩분들 유언비어자제좀
박건태,생방아닌가요?
김현승,이거머 오늘 땡겨서하나/
최소고빈,녹방임?
안녕,오늘 녹방임 결과 1셋 2대1 젠지 승 2셋 2대0 티원 승
오랜지7,오늘 태윤 나옴??
hrth,디도스 on
이창민,광동 승 ㅅㄱ 88848 중국팀아
ᄋᄌ,녹방임 롤 줫망겜
권tomer,브금제목: psyops-2020
크로우,대 상 혁
마먕이,d
문큐,오늘은 퍼즈 없기를 ㅠㅠ
skippyhippo,Is this live?
choi파이,무사히 할 수 있을까 ㄷㄷ
Red Violet,뭐지 왜 떙겨서 방영하지? 불안하게
magic,경기 결과 유출 됐습니다 2대1 광동 승 
솔직함,브금제목 : DDOS1557
한성현,2:0티원승 2세트 구마유시 스몰더 펜타킬 pog도 구마1세트는 페이커
INNI,아직도 디도스때문에 녹방중계인가요??
쩌러러쩝쩝이,오늘은 정상적으로 되려나
테더,이거 녹방임 ㅋㅋ
워니 투,어그로 그만끌어
하바나,오늘은 디도스 없음?
j,녹방임ㅋㅋ
주노,디도스
Au revoir,대상혁 선발인가요?
전마스터대황주노,젠지 1ㄷ2로 진거 이미 커뮤보면 나와있음 무관견들아 망상싸지마 ㅋㅋㅋㅋㅋㅋㅋㅋ ^888룰8^
김동환,오늘은 라이브지
루시안로즈,이거 진짜 녹방이야 ㅋㅋㅋ
김TIMO,방청제
Su Bin Kim,녹방이고 자시고 재미만 있으면된다~
Paul Park,오늘 녹방임?
섭지,녹방인지 어캐암?
주개땅,자~ 디도스 드가자~~~ 오늘은 몇시간 연장이 될까?
rase pera,광동뭐노 브라온한텐 지고 젠지한텐 이기네
최,1557
페이커,녹방에 손목거세요~
고양이애호가,젠지팬분들은 디도스공격을 멈춰주세요 ㅠㅠ
결,약팀에 약하고 강팀에 강한 광동 과연 두구두구:face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes::face-blue-smiling::face-orange-biting-nails::face-orange-biting-nails::face-orange-raised-eyebrow::face-orange-raised-eyebrow:
재원,재미만있으면 돼~ 한잔해
똘복이,이번주 전부 녹방이랍니다 편하게 집에서 보세요
h2ph0 pch1cker,녹방임?
한성주,녹방 아니니까 어그로 그만ㅡㅡ
ㅁㄴㅇㄹ,^무^
유제,젠지팬분들 디도스 공격을 멈춰주세요 ㅠㅠ 제발요...
qucjdu,T1 ㄷㄷ
파카,녹방경기는 공지로 올라와요 근데 오늘은 공지가 없죠? 라이븝니다
Casey케읻시,젠지는 여기서 또스걸면 이상해지는거 알지?
YognYong,"녹방인지 아직 모름 커뮤, 공지 아무 것도 확실한거 없음"
Cloud,광동 최근 2패가 ok브리온한테 한거맞나요?
바나나꿀단지,오늘 정상영업 하나요?
Hell The,형들 다른팀들은 했던팀이랑 리메치 자주하는것같은데 티원이랑 젠지는 왜 안하나요?
yb,젠지 2:0승 T1 2:0승 결과유출됨 ㅅㄱ 녹방임 ㅅㄱ 
엔타로,님들아 오늘 일요일날 못했던 광동 브리온 경기 이어서 하는거에요?? 제발 누가 답변 좀 해주세요..ㅠㅠ
안드 개발자,/녹방
불기,ㅋㅋㅋㅋ
asdf,디도스분들 저희 티원 잘좀 부탁드립니다
윤.,오늘도 녹방임?
유승훈,"lck도 이제 변화가 필요하다 일단 늙다리 아나운서들부터 쳐내고 어리고 이쁜 mz한애들 예를들어 진자림,우정잉 같은 유명 인플루언서들을 분데에 섭외해서 세대교체를 통해 어린시청자들 유입을 노려야함"
김성훈,광동 브리온 이미 녹방으로 했음 
Uk-BOY fan,대상혁 지리더라 오늘
dain,왜 다들 말하는 결과가 다르지.. 뭐야
choi파이,디도스 땜에 아무런 공지 없는 걸까
김수민,어그로 다 신고때려요 
스리슬,광동브리온경기 이미 끝났고 브리온이 이김
케리건우,광동브리온 어제함 녹방으로
루베트,광동 3연패하면 치명적인데
1914キムソンジュン,디도스오브레전드 시작이다~
선정환,진자림 존못
ㅇㅇ,오늘도 핫생녹인가?
ㄹㄹㄹ,또 쵸비가 위네
메론바,근대 디도스 진짜 중국에서 거는거임?
러버덕,이놈들 경기 시작할때 공지 올릴듯? 녹방이라고
ㅇㅇ,오늘 녹방임?
LIV NsP,진자림이 누구임
손인욱,녹방 아닙니다 어그로 그만
행복하자,ㅎㅇ
전마스터대황주노,"현재까지 공개된 정보)젠지 1:2 패배, 티원 2:0 승리 녹방 ^젠첩들아 결과는 안바껴 무관견들 ㅋㅋㅋ^"
evinghost H,젠지2대0 티원 2대1 pog 페이즈 쵸비 페이커 제우스 구마유시
송선호,버러지들이 관심받으려고 녹방드립 치는거임 ㅇㅇ 무시 ㄱ
무적권,오늘도 디도스 맞으면 페이커가 직관러들 햄버거 돌리나요?
김도현,진자림이 뭐여
나운동 비니시우스,진자림 ㅈㄴ 예쁘다
열일하는 족제비,이미 여기 탑골공원이야 임마 ㅋㅋ
주개땅,t1 팬분들 쵸비가 앞에 있다고 쵸비 욕하지 말아주세요 ㅠㅠ 먼저 700점 달성해서 맨 앞에 있는겁니다
Suboyaniano,진자림이 뭐냐 또 신챔임 ? 
고양이애호가,젠지팬분들 제발 디도스공격을 멈춰주세요 ㅠㅠ
兆燊 谢,1
ㅇㅇ,난메이커
blue radish,티원 화이팅 오늘 티원경기에는 렉안걸리길
Paul Park,녹방인지아닌지는 12분뒤에 알꺼임 그냥 닥치고 보고있어라
스즈메,작은 거 오네
호마무,개상혁이가 쵸비 이겼으면 좋겠다. 
이태현,77757 나오나
ㅁㄴㅇㄹ,/일시젠지
파카,디도스 기대되는 사람들은 개추 ㅋㅋ
ㅇㅇㅇㅇ,젠지랑 티원은 언제 다시 붙음? 이거만 기다리는데
ktwome,오 이번엔 유출 안됐네
v,둘이 ㅈㄴ 닮았노 ㅋㅋ
김홍석,쵸비가 먼저 700점 달성한적없고 알파벳순이다 어그로ㄴㄴ
s에스,"700점 페이커가 먼저 ㄷ,ㄱ점했고 스펠링이 앞서서먼저있는거야"
yb,젠지 2:0승 T1 2:0승 결과유출됨 ㅅㄱ 녹방임 ㅅㄱ~~ㄹ~
유제,여기까지 와서 짜리밍 욕하는 애들은 뭐냐 ㅋㅋㅋ 진자림이 니네한테 무슨 피해를 줫냐 못생겼다는건 억까지. 참고로 난 젠첩임
김수빈,오늘은 유출없나요
Dua Lipaa,두두 이찬원 닮았네
김기유,닮았노 ㅋㅋ
바나나꿀단지,오늘 함예진 나오나요?
아유후,다음주 티젠전이다
유미쉐,녹방 아닙니다
최세찬,88848
정현,녹방 아니라고
여행,오늘도 유출 됐습니다~
조슈아,이국주 ㅈㄴ예쁘다
전성민,광동 2라운드 전패 할꺼같은 기분 
김진욱,녹방맞는데 선동좀작작해라
kuki,88848
ㅇㅇ,어그로한테 먹이 그만좀
이보크,오늘도 녹방인건아니겠지 불안하다 괜히 유출될꺼봐
페이커,녹방이라는분 패가망신 할겁니다 제 사주에 누군가를 저주하면 진짜 실현되는 사주라고 하더군요
유승훈,여기 꼭조쿠 있음??????
김석우,아니 이걸해?ㅋㅋㅋㅋ
김성은,근데 다른팀들은 자주만나는데 왜 티젠전은 한번밖에 안하나요?
선정환,진자림 얼굴로시비텀 헤카림>>>진자림
이은강,근데 유출이고 머고...너무 오늘 승패는 뻔한데 나도 결과 유출가능ㅋㅋ
쉬어가자,광동2대1로 이긴답니다
메론바,근대 유출은 누가하는거? 내부에 스파이가 있나?
ㅇㅇ,롤 공식 공지 보니깐 녹방이라는데
aa1234,하나님께 기도하십시오 기도하면 이뤄집니다 하나님께 기도하십시오 기도하면 이뤄집니다 응원하는 팀이 있다면 혼자서 응원하지 말고 하나님께 기도하십시오 그리고 교회를 가십시오 
정경호,오늘결과 유출됐대서 리퀴피디아 가봤더니 아직 유출 안됐습니다 어그로 먹금 ㄱㄱ~
히히,재밌겠다
콩콩이,녹방이라고?
mar vin,나도 꼭조쿠다
도니,광동 꼴지 가즈아
김현승,LCK만 유독 디도스심한갑네
김서린,날짜보면 녹방임
최민서,오늘 녹방 아니야 얘들아 속지마라
가슴이답답해,녹즙!
주개땅,나도 꼭조쿠다 ~
러버덕,녹방 맞습니다 lck 디스코드 공지에 올라와 있습니다
마스터리,녹화본? 아니면 라이브임. 미리말해라
SJ Lee,공지로 녹방이라는 애들 진심 노잼이네
