name,message
지노초이,?
피겟츄,ㅎㅇ
코노반,ㅎㅇ
히아노,?
정재현,이게 머누
미운오리,뭐지? 이시간에?
너무힘들어요,2세트 하나보다
이상민,진짜 운영뭐하냐
Jun_D21,12시반에 2세트 하는거임?
니캐쩔,이시간에?
Charlie Jonathan,녹화방송임
Daniel Kim,녹방임.
김상원,??
KK,유출 누가 이김????
오리,그냥 결과 알려줘 
우기,녹방
벨롭,수고하시는 관계자님들 감사합니다. 더 좋은 해결책을 마련해 lck를 살려주시면 감사하겠습니다.
ᄋᄋᄆᄂᄆᄋ,유출 2대1 t1 승
ᄀᄋᄋ,ㅎㅇ
김요한,유출 어디서봄?
호잇쨔,또유출됐냐
일이삼사오,유출됨 2ㄷ0 티원승임
ㅇㅇ,티원이 2ㄷ0
티탄학살자,ㅇ
밍키쓰,ㄷㄷ 진짜함?
김동하,?
토스토스,??
김승민,????
나랑드,중계 개판이네 ㅋㅋ
박성주,녹방임니다
쇼비,??
Joon,아직도 방송함?
HeeMyung Rho,ㅇㅅㅇ?
Colo,유출 아프리카 클리드 방송 클립에 있음
ヤギサナYagiSana,뭐여
aaa bbb,이거 뭐냐?
oneion__,gogoo
지하고수,아니 어케 유출됨?
청주김프로,???
레이뭉,??
For nation,그니까 또 숙소에서 한다는거지?
Nightbot,@요르프FRONT -> You have to let it go. [stop spamming words/phrases] [warning]
AA,뭐야 뭐야??
최날씬,?
드라곤,버근가
S,녹방임
이시,이건 뭐야 이 시간에~
FalconLover xxxXxxx,??
히히힣,?
조성하,9분뒤에 
김영민,티원 2ㄷ0은 유출이 아니어도 알 수 있는 거긴 해
THT,유출로 2ㄷ0 폭스가 승리했답니다~
엄쌤,????
윤석진,녹?
ㅗㅗㅗㅗㅗㅗ,진짜 존나 힘들다 상황 ㅋㅋㅋㅋ
내향인H,굳이 유출 아니여도 누구나 예상 가능함
피자스쿨쿠폰도둑,?
김지훈,뭔데 이거
Jun,지금 하는겨?
김현준,뭐여
무파,벌써 했음?
YKH,lck 해외에서 진행중
jh j,이거 뭐야
강퇘,뭔데
Navi,???
응애캉,안잔 내가 레전드
칰키차카,??
Hyeonsu Kim,레전드 레전드 ㅋㅋ
초코님,ㄷㄷ
흥하래,유출작?? 나도 품번좀
Eric Joo,88848 88848 88848
무명,머선일이고
Faker,녹화지?
린카요,?;;
신민철,이게 뭐꼬
지금거기에있는나,녹화방송인가
성이름,?
진진자라 진호,??
우즈벡,머야 안끝난거????
op op,ㅋㅋㅋㅋ다른건 모르겠고 개웃기네[
행복추구자,그래서 킹콩 누구임?
안녕,뭔데
모니니,ㅋㅋ
지노초이,방금 공지 뜸 비공개로 하고 0:30부터 녹방한다고
누.,ㅋㅋㅋㅋ 야밤에 뭐하는짓이냐
김정수,???뭐임이게?
ᄋᄋ,?? 뭐임??
박도우,???
무무,오잉
볼리베어,????
이도경,뭐임 이거
David Choi,???? 뭐야 이거?
딩댕동,옘병하고있네 ㅋㅋ
u,fox 2ㄷ1 역전승
브록레스너,이 시간에 진짜 경기함??
오서호,?
유자민트티,ㅇ? 모임?
bnf,방송사고
최민서,뭐여
SG,착석
김태윤,머임
민경,30분부터 녹화방송 한대여
sk Lee,T1이 이겼을거 같은데 케리아가 뭔 이상한거 뽑았을까봐 본다..
Hyunjun Ham,아직도 하네?
조요셉,? 
현무암,뭐냐?
호호로롱,뭐임?
쿠쿠다스,???
dhsu,ㅋㅋㅋㅋㅋ
즐거운인생,?
서키,?
덩얼,녹방?녹방임?
이정헌,지금 올라오는거면 대떡 아니면 불가능아님?
조예,녹방입니다
현우,뭐냐?
Nightbot,@ᄋᄋ -> You have to let it go. [stop spamming words/phrases] [warning]
ᄋ,녹방 맞음
인트메인,아니 설명은 달아놔야지 이걸 또 기다려야됨;;?
김세현,지금 이시간에 하는가이?
랄뚜기,L C K 부 활
Anhk9416,뭐노?
윤현빈,?
devmun,페이커 노모 팝니다. 당근으로만 거래요
Roxx,어이가 없네 ㅋㅋㅋㅋㅋ
ᄒᄋ,.?
조재성,?
CHI KIM,뭔데
Trade22,????
호동생,자리 해라 
nvdl,ㅈ버그뭐야?
edgerunner,?.....
유태훈,뭔데
ki-young Park,핫생녹
1703기아,2:0 수고여
연우 김,녹방
나는돈까스,?
유네이버,?
28 NEW,뭔데?
틈새에낀먼지,경기 한번 보기가 힘들다..ㅋㅋㅋㅋ
Ssun,?
하하히히,녹방 피어엑스승리
Aimer,갑자기?
치킨존맛탱,지금 한다고?
김윤재,진짜 어이가 없네 어이가
조나단리,녹방인듯
Ebon,뭐임 ?
벚꽃,녹화 아닐까?
배진영,가지가지하네
3 M,이시간에 한다고? 진짜임?
민곤,나 타임리프한건가?
블랙문,이걸 지금?
Ole,녹방임
Lee DongHoon,샷다 올려
민구김,그냥 눈치싸움리그가 되어버렸네
LIKE,선수들이 그래도 2셋은 무사히 경기한거 같아서 다행임...
전수영,????
준상,?
이동찬,엥
도토리,지금 12시가 넘었는데 선수들이 이 시간에 경기 한다고? ㅋㅋㅋㅋㅋㅋㅋ 녹방이겠지? ㅋㅋㅋ
인생걸어,ㅋㅋㅋㅋㅋㅋㅋ 직장인들은 경기
RAY,지금한다고?
윈드빌,어?
ssslll,뭐야
시애틀피주먹,브금 지리네
일이삼사,경기 이제 시작한대
인니무용토끼,양측다 비공개로 하고 그 녹방 틀어주는거 같아요
미니뇽,지금 한데요 ㅇㅇ
심재현,??????/
WALLA,아진짜 황당하네 ㅠㅠ 
흐허허,녹방 임?
delight,?
ㅈㅇㅅ,녹방임
김서윤,???
뿡까,미리 경기한거 틀어준데
손민수,뭐냐
탐라곰탱이,????
Mincho,ㅋㅋㅋㅋㅋㅋㅋ 참 이게 뭐하는걸까
백지웅,지금 2세트임 ??
김돌덩이,커뮤보고오셈 님들
김단아,공지 안봤냐?
나는나야,대 상 혁
ㅇㅇ,녹방이겠지 ㅋㅋ
손재영,12시 반에 겜을 한다고?
템포르테,????
S,????????
김동민,녹방이다 지금 실시간으로 한다는게 아니라 ㅋㅋㅋㅋㅋ
kdy,녹방 피어엑스 2ㄷ1 승
무빙,스플릿 써놓은거 안보이냐 ㅡㅡ 녹방이잖아
JSLEE,녹도스 걸렸어?
킴동그릐,?
조정민,녹방이라고
DEAN fluenza,뭐임?
우쭈,유출없다
SKTelecomT1FAN,녹방임
타임리스,이시갼에한다고?
크앙,나 못자?ㅋㅋㅋㅋㅋ
ku ku,이시간에한다고?
고양이펀치,녹방입니다~
이성준,....?
주말에좀쉬자,이거 머임?
이인호,이거뭔데?
김시우,2세트 녹화방송임 양 측 선수들과 합의해서 겜 경기 녹화하고 지금 송출하는거임
Attainment,뭐야 왜 아직 라이브지?
블루 큐라소,지금 한다
jyun,갑..자기?
Cube,커뮤니티 글 보세요
나나난,녹방 유출 2대 1로 피어엑스 승리
없없,유출뜸 피어엑스가 1557갱신함
이,녹방이예요
hl j,녹방을 지금하네 ㅋㅋㅋㅋㅋㅋ
AJ김,녹방임
Zippo,캬 기습경기 후 녹방 ㅅㅅㅅ
Juno,오늘 디도스 걸림?
양승호,이거슨 무엇이지
드뱃,커뮤보라고
choi파이,이게 뭐요
박하음,당연히 녹방이겠지
전성민,녹방이지 당연힠ㅋㅋㅋㅋ
