name,message
김형민,드디어 오는구나 개처럼 달려왔습니다~ 멍멍
강봉진,쇼메 펜타킬 지렸다 ㄷㄷㄷㄷ
L45,디도스.. 더 이상 나를 화나게 만들지 마라..
도담헬스,와 2경기 1세트중 대지우 트리플킬 ㄷㄷ
ㅇㅇ,유출뜸?
신지,현장 직관러입니다 DK 2:0 BRD
김가을,3꽉 경기 하나도 없나보네 빠른 거 보니
sg l,디플 2:0승 유출됨
밥뭇나,유튭에서만 라이브 함?
BolT,기습중계ㄷㄷㄷㄷ
Yonghoon Jeong,진짜예요?
이보크,Lck 없으니까 이게 이렇게 소중했나라는 생각도들고 너희도 답답한거 느끼지않냐... 앞으로는 lck 욕하지말고 롱런하게 응원좀하자 말마따나 Lck없으면 망해서 없어지면 우리처럼 팬들은 인생 어케살아가라고... 욕하던애들 반성좀해라
슈가코트,이게 스포츠? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
HICA,디도스 언급하는것도 자제 해야되요 그 버러지들이 원하는게 격한 반응이라고 생각해요
생갈치1호의행방불명,DK 2:0 승 농심 2:1 승입니다 
애는착해요,브리온이 이겼습니다 유출뜸
우한섭,비공개 녹화방송인데 현장직관 저러고있네 ㅋㅋㅋㅋ
RiotGames,농심 듀렉스는 아직 하는중임. 근데 이번 세트 지우 스몰더 잘 커서 농심이 이길듯?
루로크,담원이 이김 ㅋㅋ
신동민,오 기습중계
얜그냥 게임을 잘함,아니 뭔 두 경기 다 끝내고 중계를 하냐 1경기 끝내고 2경기 하면서 1경기 중계하면 될걸
김형순,녹방이건 뭐건 알겠으니 예정된 시간 맞춰서 방송 내놓으라고 ㅡㅡ
Robin Kim,그냥 롤파크 없애져? 어차피 온라인으로 만나서 녹방하면 되는 스포츠 아님? 
PHin,진짜 죽는꼴 보고싶은거야???
도담헬스,농심은 3꽉 갈듯 지우가 미쳐날뛰는중임
워너비판다,유출은뭔유출이야 찐이면 벤픽말해보던가
엄준,직관러인데 딮기가 우승함 ㄷㄷ
ㅇㅇ, 이러면 결승도 녹방으로 해야돼는거아님?
롱크스,녹방이 응원이 되냐구 결과 보고지
ravvitlittle,와 라코 ㅅ너무싫다 개시르다 극혐 
Zane,생방이 안되면 선수들 코스프레라도 시켜서 UFC룰로 맞짱이라도 뜨게해라 이게 뭐노 준내 짜치게
102a12,일관성없이 헛소리 넘치는거 보니까 유출은 없나보네
이건한복이다,이제 2시간씩 미루는거야? 
다라이,와 
이보크,lck 무지성 억까하는애들 반성좀해라 솔직히 lck 없으면 왠지 공허하고 무료하잖아... 잘되고 롱런하게 칭찬을 해야지 니네진짜없어지먼 그때서야 후회하고 울거냐 .. 정신차리고 앞으로 lck 욕하는 인간은 사라지길바란다
준우,유출 사이트 어디서 봄?
준체,이게 1000억 운영 기습 9시 방송키기 ㅋㅋㅋ 
흔한일상,아니 여기 뭐하는데...2000명이나 있노 ㅋㅋㅋㅋㅋㅋㅋㅋ
RiotGames,아니 든버지 거기서 죽으면..
히잉호홍,지금9시에 dk
Louise Joe,하긴 해...?
minyoung,구독 5주에서 13주로 채팅 제한 둔거 개추하노 ㅋㅋㅋ
오열이야?,와ㅜ
hwahoyou,NS vs DRX 1경기중 탑가렌 나온거 픽도 유출됨 ㅋㅋ
Junewon Park,대상혁
송경운,디도스만 피해라 제발..
HICA,님 말투자체도 추함 ㅋ
23 LBJ,ㄷㄷ
너나잘해,ㅋㅋ
황윤우,?
정신병없습니다,DK 2:1 / 오케이브리온 2:0 으로 이겼
Nightbot,@강성우 -> No! Come on! No! [stop spamming words/phrases] [warning]
Nightbot,@UTom -> You're on my naughty list. [stop spamming words/phrases] [warning]
Nightbot,@레니드 -> You are the missing link. Goodbye. [stop spamming words/phrases] [warning]
Nightbot,@보리 -> Get off the stage. [stop spamming caps] [warning]
Nightbot,@캬캬1 -> MrDestructoid [stop spamming words/phrases] [warning]
둥이조앙,ㅋㅋㅋㅋ
레비세,형들 근데 이 경기들을 볼 필요가있냐? 티원경기도아닌데;;;
lmw99,우흥
양말이,야발 어떻게된거얔ㅋㅋ
이용성,????
Nebaek,msi때도 이지경이면 레전드게센
lee jaeik,??????]
킬유,오ㅏ~~~
블르밍,크~
정신차리세요,기습중계 ㄷㄷ
Aniusya,드가자
potatoofjejuisland,어어
메가제드,왔냐?
졸리빈 Jollybin,기습
Audemars P,?
DH P,기습ㅋㅋㅋ
용가리,?
asdf,왜 아직도 안함? ㅋㅋ 또도스임?
ㅇㅇ,기 습 경 기
