name,message
Coke Mania,88848
이보크,LCK가 늦게라도 경기해주는게어디냐 어차피 우리는 공짜로보는데... 그저 감사히잘볼게요 디도스 앞으로 잘막으시길
아재요,따이 후앙 찌엔ㅋㅋ
의상학과,이걸 9시에 쳐보고잇네
yuyuyuyu yu,1000억 리그 ㅅㅅ
FX man,다 광고랑 후원사 붙는데 공짜라뇨
ᄋᄋ,젠킅전 그럼 12시시작임? 어지럽노 진짜
이보크,우리입장에선 LCK 공짜로보는게맞지... OTT처럼 월정액끊고 유료회원으로보는거아니잖아 별시덥잔은태클거네
Dua Lipaa,근데 이거 맞냐 ㄹㅇ? 새벽까지 쳐보라고 하는게 난 이해가 안가네
닐카프리,하루 펑크내고 녹화한 다음 시간 좀 맞추면 안돼냐?? 팬들 생각은 일절 없고 주먹구구식 땜빵만 하고 있네
하우,녹방이면 넘겨보기 안돼??
H J,기습중계 상습대기
용암쥐,핫 생 녹
이보크,어제 DRX 농심다보고 새벽 2시에잤는데 생각보다 채팅이클린해서 장점도 있었음... 뭐 이러나저러나 장단있으니 그냥 보자... 우리도 공짜로 유튜브중계보는건데 너무 과한 요구는 안하는게나을듯
마니아,젠킅전 기대된다
ㅇ.ㅇ,ㅈㅈ
프린이,진짜 lck 뷰어십 보소 ㅋㅋ
ᄋᄋ,평일에 새벽두시까지 롤방송볼수있는사람은 백수밖에없으니까 ㅋㅋ
소갈비살,유출된 두팀다 대떡임
크림미트볼,그래도 봐야지..
simple dark,백수들많네 나가서 한잔하고 와
쿄큐리,케티가 2:1 로 이겼데
김일현,우리가 안보면 lck진짜망해 친구야
치킨너겟,케이티가 2대1로 이겼답니다
Ws016,한화가 2:0임? KT이긴건 알겠고
마니아,어제 채팅 클린했던건 티원이나 젠지 경기가 없었기 때문...
시 월,어차피 하이라이트로 보면 1시간이면 다보는데 뒤ㅡㅡ지게 징징대네 ㅋㅋ ㄹㅇ 어차피 욕하면서도 다 볼건 챙겨보는 개돼지 수준
이보크,다들 화로 가득차있누... 새벽에 손흥민팬들이면 해외축구도 보는마당에 LCK도 응원하는팀있으면 시간상관없이 볼수도있는도있는거아닌가 그리고 LCK가 유튜브수익으로 돈버는것도아니고 시청자적으면 채팅이 깨끗하다는 장점도있다말한건데 다들 화만 그득그득... 둥글게 살자 제발!
푸른별하나,한화 젠지 승
이용석,kt는젠지한테 강한가;; 상성인가
호댕이,젠지대 kt 기대되는펨붕이면 개추~~~ㅋㅋㅋ 
"2,2 1.111",88848은 절대 대라이를 못이긴다.
솔직함,1557단독주파수에서 디도스걸림
Ym,경기 왜케 늦게하는거에요?
김블랑,지금 밴치에서 디도스 거는중
정신이,1000억 챙기고 인트라넷도 없는 워라밸리그 ㅋㅋㅋ 
이이재원,페1이1커 이게왜 금칙어지?
쿄큐리,나 사실 모르는데 2:1로 KT가 이겼다고 제일 먼저 구라 친거야... 그냥 경기 봐
얀포,녹방인데 편집하느라 늦는듯
chack bo,1000억
FX man,늦게 하는 이유는 님들 열받으라고
김일현,유튜브 수익으로 돈버는게 아니라니 저거 보는 시청자들한테
이보크,기다리는게 시간아깝다는 사람은 LPL보다가 오면되는부분임. 지금 탑이스포츠랑 IG 경기중인데 탑피오라에 미드레넥톤 등등 볼거리 많음 ㅋㅋ 물론 상대가 이기고있지만...
레비세,오늘도 킅이 이겼다는데 이거 맞냐? 쵸비kda는 9/1/3이던데 왜 진거임?ㅋㅋㅋㅋ
Um Jun-Sik,유출 된거잇냐
이이이이이이이이,유출픽좀
강무 이,레전드다
환희,오오 드디어 시작한다
쿄큐리,나 그냥 KT가 2:1 로 이겼다고 구라친건데 ... 진짜 2:1로 이긴거야?
Bigpicture ST,시간왜이럼?
레비세,한화는 모르고 kt는 이겼다고 유출됨
HICA,아니 근데 유출 알면 경기 안보는건가?
이이재원,오늘 유출자료 kt 2대1 승
ᄋ0ᄋ-_-,켜졌다
현윾건,아 뭔 맨날 9시에 쳐올리노ㅡㅡ
지호,방송 시작이 9시면 경기전에 뭐하고 뭐하고 하면 10시 시작아니누?
더모즈The Mods,시청자들 구라 치는것부터가 그방송 그시청자 수준이다 걍 접자
베트남외노자,녹화방송
추억별하나의,한다 한화생명화이팅
랄로,디도스 공격 때문에 녹방으로 9시 시작
DING,뭔 녹방도 유출이야?
simple dark,자 드가자!!
김mh,녹방인데 4분 뭐냐
efgh abcd,녹방컵
한성현,진짜 kt또 이겼다고??
noname,이게 맞냐 진짜 이따구로 운영할래?
STlNKY PAJEET,88848
우시후,한화생명이 이기고 2경기는 kt가 이겼다고 하네요 
121몰라,9시에바잖아 그럼젠지 경기는 11시냐ᆢ
ᄋᄋᄋ,kt승??
oiyuhi,기습공격!!!
Gosaring _,한화 2:0 젠지 2:1 승이라네요 주무세요~~
뇌절장인,t1 vs gen은 또 언제다시하냐?
성이름,5꽉 젠지 승입니다 발표났네요 방금
워니 투,엥 그럼 새벽까지 봐야한다고?
식빵맨,ㅋㅋㅋㅋ
얼짱푸들,9시에 해주는게 얼탱이가없네 ㅋㅋ
나랑드,시청자 호구라 9시중계ㅋㅋ
롱크스,야 새벽까지 보기 힘들다 말이야..
논리적인병신,오늘 유출자료 젠지 쵸비의 88848 행동으로 인하여 2대0 패배
심영준,경기가 늦게 끝나니 9시에 올리겠징
용용이,진심 9시가 맞음?? 이게 스포츠야? 시청자가 우선이어야 스포츠 아님?
허공도인,아니 LCK 진짜 망하려고 작정했나.. 아니 황금같은 불금인데 9시에 방송을 시작한다고 ㅋㅋㅋㅋ 참나 .. 
율무,와 운영 잘한다
도산 주,니들은 잠도없냐? 이게맞냐
자 이제 시작이야,한화2:1 젠지2:1승이라는데
쫑이,교도소출소한지 3일됬습니다... ㅇㅅㅇ하지마세요... 경고했습니다.. 조용히게임즐기고 싶습니다...
백동헌,또또 티원팬들 지들 소망 적고 있네 ㅉㅉ
루하,3꽉 2연속나오면 12시넘어가겠네
가비,장난하나
Um Jun-Sik,유출근데 어캐되는거임
다빈,ㅇㅅㅇ
ᄋᄋ,3일연휴 저녁에 이래도 꾸역꾸역 챙겨보러온 이대남들 레전드노
이야기꾼,기습중계좀 제발
변지섭,이거 녹이냐
zEs,그래도 오늘은 티원경기 없어서 보다가 졸지는않겠다
슌,버스좀 보내라
김도운,너무 한거 아니야
호야,KT 2ㄷ1승 젠지 럼자오자레 풀었네 ㄷㄷ;;;
KHS,여기는 ㅇㅅㅇ 안보여서 좋네
qwer1234,응애
chy,한화 2:0 승 / 젠지 2:0 승 경기결과 나왔다고합니다
희로애락,장난치냐
곰이,하..... 밤12시에 경기하면 늙고힘없는 아저씨들은 어찌 보라고.
FINN JEONG,롤 진짜 망했노 ㅋㅋㅋㅋ
이대호,제발
손정인,ㅇㅅㅇ
킈킈뤼,대기시간은 왜있음? 녹뱅인데?
어느덧,젠지언제하냐 형들?
물개애껴욧,아 안봐요 안봐 ㅋㅋ
