name,message
김상민,7시 시작 안하고 8시 시작 실화냐?
강이노,지연임??
미스티엘,꽉 경기였나보네 ㅋㅋㅋ
hyeongho yun,8시에는 디도스가 안나오낭
정깽이,누가이겼냐?
JS H,아니왜 1시간 지연됨?
real K,72분후? 7시에 한대매
고병헌,왜 8시 시작임 ? 7시 시작이라더니
허준영,아니
김준태,야랄났네;
응애,그냥 전날경기하고 제시간에 방송하면된느거아님?
신성우,줄었다
큼큼,7시로 바꼇네
DH P,6꽉 갔나보지 ㅋㅋ 선수님들 워라밸 때문에 오전에 경기 못하는데 ㅋㅋ
김태희,언제해
Gin ger,백수백수야...주말이라 시간당긴거다..
Wonyoung_10,선수 워라밸이 아님 lck 직원 워라밸이지 ㅋㅋ
뽀뿌,9시에서 바뀐게 아니라 주말은 7시에 한대요~
잼노,이거 기다리면 방송시작하면 알아서 틀어지나요 틀어놓고 자려고 하는데
Minchul Jang,뭐 이리 시간이 계속 틀리냐?
집사주제에,주말에 이 시간 공개하는 거 실화냐? ㅋㅋㅋㅋ
메가제드,ㅇㅅㅇ
Lifestyle ,녹방 시간대 너무 피곤하구만
HeeMyung Rho,7시 맞는거 같은데 누가 1시간 늦어졌다고 구라쳤냐
진K,안딜아 안경벗어줘
문영석,두판다 대떡이었나보네 일찍시작하고
인연,오옷
이윽고,확실히 영국에서 하느라 시차가 좀 나네
universe,오늘 경기해서 차라리 내일 일정 시간에 공개를 하라고
미소갈매기,원래 7시 예정이엇습니다 국평오님들
어 이,기습중계 뭐냐ㅋㅋ
콩콩이,아까 8시로 뜨긴 했었음.. 잘못 눌렀나벼
응가마렵다쁑,녹방이면 걍 경기부터 보여주면 안되나요?
Aki,님들 럼자오자레가 무슨뜻임?
김상민,운영좀 똑바로해라
나비,요새 디도스 공격 잘 막고 있나보네
오영재,녹방일거아냐어차피
Daeho Kim,가즈아ㅏㅏㅏㅏㅏ 광동뿌릭스
라면,디도스잡아라아아아아
네우,기습 녹방
수천,컹컹스
이승민,ㅎㅎ
공백,유출)광동 2ㄷ0 승리 티원 2ㄷ0 승리
이주경,럼자오레 뜻
T1 LCK 우승가즈아34,T1 ㅎㅇㅌ
김세윤,이거 핫생녹인가요?
현호야옹,?????
Ms Kim,경기결과 유출 좀
듄대,황 족 미 드
beom kim,녹빵 보소 ㅋㅋ 
Crypters,올미드 ㄷ
황민우,농심이 이겻어요
지나가는행인,이거어차피
김우빈,핫생녹이죠 ㅋㅋ 당연히
Satang Jo,어제도 유출충들 다틀림
가즈아,경기결과 ㄱㄱ욤
하낫둘,놀이터컵 한정 최강 쵸비 ㄷㄷ
박철순,경기 결과 어떻게 됐나요?
진이,올미드 말안되긴라네
Nightbot,@yoon y -> cmonBruh [stop spamming words/phrases] [warning]
iPhone 16,미디어들 페이커랑 POG 경쟁시켜서 억지 호응 유도하는거 역겹네 예전부터도 그러더만
여누,롤은 미드게임이다
야장지환,둘 경기 전부 2ㄷ0으로 끝남
마이웨이,페이커 가자 ㅈㅂ
조영욱,두팀다 대떡
김홍석,KDF T1 화이팅!!
동동동동,가즈아~
두건,이젠 롤 게임보는것도 힘들어졌네
유튭유튭,농심이 이겼다 걍 디비자라 농심이 압살함
O,오 벌써 올라오네
위예성,디도스 제발 걸리지마라 ㅂㅈㅂㅈㅂ
임지혁,오늘부터 유출드립치면 라이엇에서 고소한다네요 ㄷㄷ
신동준,근본!
김,깐부야 힘내
마스터리,경기 결과 누출 알려주실분? 결과만 알면 되지뭐
흔한일상,결과아는 사람 있지않나???? 
JO MO.,님들 이것도 핫생녹인가요?
기역,녹방입니다 다 처 다물고 보세요
김종식,결과
명박존박산다라박,광동 2-1 광동승 티원 2-0승
삼대육백,농심 2:0 승리 / T1 2:1로 승리 했음.
요기,녹방이예요?
블랙버드, 씨맥의 매직이 시작된다ㅑ
마로,일본 방사능 유출좀 알려주실분
Philippe Coutinho,경기결과 호날두 해트트릭 입니다~
SH Lee,중국 클라이언트는 디도스 공격 못한다던데?
조국,티원 1군임?
Aki,바루스 케틀 버프좀 ㄹㅇ
항상,말이 다르냐ㅋㅋ
강혁,라이브 아니고 관중없이 진행해서 결과아는 사람 없어요
승빈 노,광동 농심 걍 어무곳이나 2대떡 해버리고 티원이나 불러와라
구구구구,솔직히 브리온이랑 티원 경기는 안봐도 될거같은데 ㅋㅋㅋ
SUN,클라문제는 매번 나왔는데 결국 대회까지 영향을미치네 ㅋㅋ
크카캐리,브로가 이걌음 티원 개쳐발림
짱덩어리,아니 우리나라는 왜 디도스를 못 막는가.....
Nightbot,@김레오 -> You are the missing link. Goodbye. [stop spamming words/phrases] [warning]
dkfltm101,3분전인대 시청자수봐라 뷰어쉽박살난거
셈시,"광동 2:1승(41분경기,36분경기,43분경기)T1 2:0승(28분경기 , 26분경기)"
그레이,콜미VS불독 / 페이커VS카리스
아유,기 습 중 계
참치말랭이,동부의 왕을 결정하라
솔솔,섹
하이방구,오늘 라이브냐?
mozzi,광동 2대0으로 졌다네요 유출떴음
화안,유출됨?
치킨맨,레전드 lck 
Coke Mania,88848
조현준,KDF 2:0 T1 2:1 승
냠냠,티원경기하면 사람많아질거다
웅이,디도스 원흉 좀비 피시가 얼마나 많으면.. 다들 백신좀 깔자..
플러스알파,셈시야 저거진짜면 pdf따서 lck 데스크에 보낼께 ㅋㅋ
루루체고다,오늘은 디도스 방어됨?
김범준,치킨 추천 받는다
쥭쟈,나 이경기 몰래들어가서 의자 밑에 숨고 직관으로 봤음
이름따윈 없단다,미드 ㄷㄷ
마이구미,다 미드네 
프레이야,주말에 7시경기하면 방어를 했겠냐?
unname,4대 미드 ㄷㄷ
에러,푸라닭 순살
헤이hey!,ㅋㅋㅋㅋ 다들 예상 스코어 말하나
sk. J,광동이 3:2로 역스윕했다네요
지블,오늘도 녹방임?
로또,유출 대응 쌔게한다는데
여누,무관중 녹방인데 태윤 나오나요?
ㅗ,pdf ㅋㅋㅋ 과제 쳐함?
STlNKY PAJEET,88848
박수철,현준아 데스크에 보낼게
심심토끼,짜피 녹방일텐데 걍 시작하면 안되냐
AP,한명빼고 다 월즈 위너네
ㅇㅇ,오늘은 라이브 아님?
우빈아사랑해,ㄹ ㅏ이브임?
MUCHIM GOCHU,88848
팍이튜브,너같으면 생방하것냐 ㅡㅡ
vincent van,손흥민 선발이라네요
T1 LCK 우승가즈아34,T1가즈아
다이아,광동 2:1 승 브리온 2:0 승 이랍니다
유튭유튭,디도스 다음에는 디윈도우 공격이 올것이다 저항하고 발버둥쳐도 소용없다 디윈도우의 시대가 올것이다
저녁이 있는삶,오늘은 라이브 맞음
Astalgia,오프닝 좀 멋잇노
무명,광동이 농심은 잡겠지?
처훈,스크림킹 태윤
마로,지코바에 밥이나 비벼먹어라
ms kim,ㅎㅇ
장작패기,녹화임?
Ari,오늘은 ㅇㅅㅇ 없어서 좋다 ㅋㅋ
Quatinue,t1 37:0으로 이겼대요 유출뜸
Hyoo,이시간에 하는게 맞습니까???
hanseock lee,이시간에 하는게 맞냐 라코야?
PPLL,지금 지코바 먹는 중인데 소름
부기나이트,광동 11연패로 거짓말같이 8등
H J,브리온도 못잡는데 농ㅋㅋ심을 어케잡음?
사랑해요💙💙,지금 시작하는거 보면 녹방인거 같은데
덕배,녹화라고?
곽정우,ㅇㅅㅇ
인연,큰거온다 대상현!
밍키군,지코바?
피해,아오 좀 전날하고 오늘 제때 방송하라고 제발
ㅁㄴㅇㅁㄴㅇ,브리온이 젠지 이겼었나?
SH Lee,디도스 범 유트브도 디도스 공격 가능?ㅋ 이거 디도스 걸면 미국이 찾아주는거 아님?ㅋㅋ
진이,ㅋㅋㅋ 헛소리말고 진짜인척 하는애들 일단 신고 잘못된정보로 다 넣어봄 어찌되나 보자
Sweet rain,응 티원 아직 경기안함
하이콩,녹화 아님
하잇티비,녹방 ㅋㅋㅋ
Myjmin,니들이 페이컬 안
다라이,몽말인지 알지
그레이,근데 애들 주머니에 손은 왜 넣는거지 이상한데 포즈 누가잡았냐 ㅋㅋ
보올탱,주말인데 늦게도 쳐한다 운영 참 잘한다 아주
yss,대상혁
hijo del,와 티원이 5조5억대 3으로 이겼네
웅이,미국 펜타곤 서버 써라 공격당함 바로 잡아준다
11l,첫세트한지 4시간은 지났을텐데 뭔 아직도 안해
아무개,와 티원이 15:57로 이겼네
KS Lee,/대상혁
하늘,ㅌㅇㅎㅇㅌ
Crypters,티원 2 - 0 브리온 플래쉬스코어 결과뜸
SKTelecomT1,드가자 ㅅㅅ
휴지통,아 주말이 5시가 아니라 7시 였어? ㅋㅋㅋ
저주할께,녹방인거 모르고 늦게한다 뭐라하는 ㅈ병진들 없지???
정우,현시간부로 유출시 캡쳐후 LCK 법무팀에 업무방해죄로 제출합니다. 선처 절대없습니다. 매너채팅부탁드립니다.
이승민,키보드 딸깍충들이 저러니까 개웃기모ㅠㅋㅋㅋ
건우,88848
김태희,t1 ㅎㅇㅌ
김건희,티원 그랜드슬램가자
조현준,1557
Yamada Ryo,신 상 혁
이건칠,15분 57초만에 이겼대
엌ㅋㅋ,대 상 혁
람쥐썬더,티원 경기에 젠첩들이 몰려온다~~~!!
한큐,녹방
김태환,대 상 혁
시계초침,티원이 88848대0으로 이김ㅋㅋㅋ
배승민,이거 녹화는 어제 한거냐 오늘한거냐
kw lee,난 KT가 우승할거라고 생각된다
김민이,브리온 2:1승라니 대단하네 
돌이몽신,오너는 간지가 있네 ㅎㅎ
리진,티원을 응원하는 나 ㅍㅇㅌ
Astalgia,배경노래 선정이 스베누때 생각난다
Papissa Loanna,zzz 업무방해죄
BB,리버스 1557 될거같은데 브리온 상대라
ㅣㅣ,젠지 별 두개 개짜치네
콘치즈,88848이 뭔데ㅔ 대체
에러,15분 57초요 ?????????
모카라떼,t1경기가 먼저임?
o미로o,오늘 광동도하고 t1도 하네 알차네 ;
1111아,88848 럼자오자레
돌리,kt가 어캐우승하냐 말되는소릴해라
STlNKY PAJEET,88848 ㅋㅋㅋㅋ
taehee yoon,근데 젠지 깃발에 왜 별 두개냐?ㅋㅋㅋㅋㅋㅋㅋㅋ
ㅇㄷㅇㄷ,지우 ㄱㅇㅇ
ko koo,ㅇㅅㅇ
마로,888룰8
Kershaw Clayton,불 VS 흙
긍정,12시 다되서 끝나것네 ㅋㅋ
동구,1557
ㆍ,선수들은 복지 빵빵한 t1에 가고 싶을까 좋좋소 젠지에 가고 싶을까?
푸딩푸딩해,1557
최서방,티원 팬들은 전경기마다ㅋ나와서 난리네ㅋ
집사주제에,캬 성캐
김우빈,광동 오늘지면 끝장이다
옆방형님,불 2군에서 지우한테 개뚜까 맞았는데 ㅋㅋㅋㅋㅋ
동동동동,88848이 뭐임
hey honeybees,녹방임?
화니,1557 vs 럼자오자레
어머,경기도 뒤지게 늦게 하면서 질질 끄는 거 왤케 열받냐
김발슉,녹방이냐이거
YYY,또 녹이야?
jjw,젠지 구 삼성이라서 별 2개
qucjdu,오늘 2대 0 2대0이네 ㅋㅋ
부산불주먹햄찌,녹방인데 굳이 왜 라이브로 하는거임?
ㅇㅇ,젠첩 따운 ㅋㅋ
승빈 노,88848 vs 800008
SH Lee,24년까지 젠지성적: 888룰8디도스
doi od,노페다 노페
냠냠,1. 젠지의 최근 5년간 월즈 성적은 88848이다.(4강은 룰러의 힘으로 올라옴) 2. 젠지는 중국의 영토 무결성을 지지한다. (이 말은 중국이 현재 주변국과 다투고 있는 영토문제에 대해 전부 중국을 지지한다는 의미이다) 3. 젠지는 삼성의 월즈 2회 우승을 자기네 것 마냥 별 2개 달고 광고중이다. (젠지는 삼성을 계승하지 않았다고 발언한적 있음)
Nightbot,@딸기할배 -> You're mistaken. [stop spamming words/phrases] [warning]
토플,지우가 흙인가요
조승윤,오늘 해설 맛도리네
H J,실비가 서부한테 하는만큼 해주면 이길거같은데
머쉰로보바이칸,이게 누구야? 이게 불이야!
쥐잡는야옹이,젠지가 왜 삼성임?? 삼성해체 했는데
쵸빠,관중 없이 하는거 재정적으로 괜찮은거냐? 1000억 받으니까 상관없다는건가
백승우,2대1로 농심이 이김 유출됨
Dayoung Kim,^무관중사전녹화스포츠^
hijo del,솔직히 브리온 상대면 티원이 정글없이 해야 밸런스 비슷함
T1 LCK 우승가즈아34,T1페이커 대상혁 ㅎㅇㅌ
Ari,오늘은 ㅇㅅㅇ 없어서 좋네 ㅎㅎ
이민성,광농 0:2 티브 0:2
lvyunxia吕沄夏,이거녹방인가요?
YY,ㅇㅅㅇ
Nikita Cho,누가 이겼냐
하얀토끼,하느님 제발 농심이 이기게 해주세요 제발요 ㅠㅠ
SKTelecomT1,오늘 클템 노페 성캐조합 달달하고여
윤희종,농심아....
천지개벽,김동준 좀 써라 .. 클템으로 버겁다 ㅜㅜ
OYO,젠지 가라별 두개 멋ㅈㄴ없네ㅋㅋㅋ
이수빈,젠지 언제 졌음?
Myjmin,니들이 페이컬 아냐
정우,현시간부로 유출시 캡쳐후 LCK 법무팀에 업무방해죄로 제출합니다. 선처 절대없습니다. 매너채팅부탁드립니다.
화안,오늘 젠지경기도 없는데 젠지얘기는 왜나오는거임?
김민재, 중국팀이잖아 ㅋㅋ
PPLL,업무 잘해죄슨 없나요
이준원,디도스 언제 잡냐
ㅣㅣ,젠지는 지입으로 삼성이랑 다르다면서 깃발엔 꾸역꾸역 별 두개 ㅋㅋ
バーカ,그래도 여긴 ㅇㅅㅇ 안해서 좋네
잭 더리퍼,힘내라힘
김대은,주말에 7시에 시작한다더니... 지금 치킨 시키면 됨?
웅이,경기결과 유출 해주세요
taehee yoon,젠지 좀 짜치긴해 ㅋㅋ
무명,광동은 어떻게 약팀이 되었는가
돌이몽신,젠지 별 2개는 LCK 우승인가?
사나운알파카,핫 생녹
도지화성간다,ㅈ밥대전 ㅋㅋㅋㅋㅋㅋㅋ
배틀니그라운드,광동 작년에 비해 진짜 성장 했다
백수,김동준 아직도 아악 아악 이거 밖에 안하더만
강대훈,ㅇㅇ시켜 치킨
아재요,광동 3연패함
닭재훈,광동2대0승
30억,ㅋㅋㅋㅋㅋ lck 수준 디도스에 쫄아서 녹방하는거 봐 아이티 강국. 이스포츠 강국에 자화상 ㅋㅋㅋㅋ
옆방형님,솔까 저정도는 아니지 광동이 무슨 티원이냐 ㅋ
Youngbin Kim,녹방 구라야
전용 노래,ㅇㅅㅇ
아라한,광동이 무난하게 압살할것 같긴 하던데
thomas,아프리카 역배충 개많네 ㅋㅋ
Brandon Lee,이거 재방송인가요?
Coke Mania,피?뜨백
도담헬스,젠지 삼성 별2개 훔쳐붙인거 좀 짜치네
김꺼추,88848
권민찬,누가 농심 ㅈ밥이래
loveyoudangerously,젠지 국제전 무관 팩트 때리면 ㅂㄷㅂㄷ 대는 게 젠첩들 종특
청경채 'ᄆ',저거 투표를 한 기억이 없ㄴ느데
희희,광동 선수랑 감코진 파묘봤다는데 경기끝나고 ㅋ 이긴듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
김우빈,광동은 딱 6위권임 .... 작년부터 팬이었는데 이게맞음
vincent van,광동 십전대보탕
달달하닭,씨맥은 지팀도 못하는데 맥문철은 왜하나요
팜팜,두두 개못탱
선비,대상혁
천상마다,비공개라고 하지 않았나
초코맛바나나우유,남은 경기 녹방으로 한다고 공지를 쳐 해줘도 생방타령하는생키가 있네
아,든 . 든.... ㅋㅋ
티키타카,녹방임.
신재현,두두 지표 뒤지긴하네 6등팀인데
마로,화웨이가 삼성계승했다는거 같누
qucjdu,두두는 좀 치네 ㅋ
장재민,든든 솔킬 왤케 많냐
이게몽미,든버지…. 화이팅 
11l,솔킬 원툴이노 ㅋㅋ
두부아이스크림,든 버 지
hermit,두두와 든든은 취향차이
예의있게얘기해,브리온전 두번하고 지표박살남
itminghing,후니 해설 불러와라 해설 GOAT
최종욱,t1경기잇어서 이시간에틀었나
yC,솔킬 잘따네 든버지
Foby_1420,이거 녹방임??
jaebong jeon,안 든든..
임준범,제도기 (x) 제두기(o)
ᄋᄋᄋᄋᄋ,두두둥장
김지훈,불독이 솔랭1위던데 ㅋㅋ
Nightbot,@no nonon -> Nice try. [stop spamming caps] [warning]
현윾건,개 상 혁
시온,생방인가요
김정혁,한 1시는 되야 끝나겠네 ;;
ㅅㅎ,두샤이 와 든버지
레이코,젠지 억지별 ㅋㅋㅋㅋ 역겹네
머쉰로보바이칸,개상혁
사 예,유출 2:0광동승입니다~
두마리아,해설도 녹방임???
ㅇㅉㅌㅂ,ns이 이김
blue boii,녹방이에여 
박주환 남,해설도 녹방입니다
H J,Dndn한데?
민식 유,티원 2:0 이김
협사꾼,녹방임?
박태원,생방임?
기묘한나그네,광동이 왜짐?
정우,현시간부로 결과유출시 캡쳐후 LCK 법무팀에 업무방해죄로 제출합니다. 선처 절대없습니다. 매너채팅부탁드립니다.
팍이튜브,유출 광어 승
SKTelecomT1,drx라스칼도 19킹존시절 기억 찾았던데 두두 한화시절 고점 띄워야댐 ㅇㅅㅇ
영혼의꽃 요네,녹이지
CJ,녹방이잖아 이거 ㅋㅋ
김범준,2연 브리온 꿀통을 걷어 차버린 광동..
호라우시오,누가 이기든 서부엔 영향 없으니 관심없다
ㅇㅇ,녹방 진짜 짜치네
PPLL,핫생녹이요
2네쉐,녹방 새벽까지 봐야되는거 다시 생각해봐도 그지같네
be11a,젠지 가짜별 개웃김ㅋㅋㅋ
Jimhooo Lee,유출) 대상혁
Doge,ns화이팅
sk. J,광동이 3:2 승으로 들었습니다 
윤태희,siu
성공의 길,광동 영화보러가고 농심 솔랭하는데 5시 20분 솔랭하드라 2대0 광동승임
Samfa온,라코 해체해라
 Healing Korea ASMR🎵,곧 죽어도 방송시간 못당기겠다는 그 회사
뿅,농심 화이팅
냠냠,광동이 브리온전만 이겼어도 서부권 확정인데 ㅋㅋㅋ
Brandon Lee,디도스 잡았나요?
이말년,라이브 인가요
젠이츠,오늘 차범근 선발인가요?
하얀토끼,하나둘셋 농심 화이팅 
T1 LCK 우승가즈아34,오늘 롤 렉 걸리지마라
집이체고야,ㅎㅇ
박건우,? 왜숙소아님?
박정민,2라운드의 광동ㄷㄷ
탐욕왕,형들 파묘 결말어케됌?
물티슈,광동프릭스 2:1 승리라네요
For nation,기습생방 지렸다
ᅮ,2ㄷ1 농심승이라는데?
최준영,dk가 이김
ᄆᄉᄇ,광동 2:0 T1 2:1 승입니다
ㄱㅁ,녹화방송 입니다
HawkEye,디도스 멈춰!
XXflaming,3판1선승제?
김지성,녹방임
죽창,광동 2대1 28승 35패 32 승 입니다
팜팜,피터 귀여웡
호야,저 젠지팬인데 유출 광동승 티원승 ㄷㄷ;;;
배틀니그라운드,피터 기여워 ㅋㅋㅋㅋㅋ
김진욱,광동 아까 단체로 영화보던디
정깽이,관중 꽉찼네요 월즈 보는것 같네요
KK,대 황 맥
긍정,아니 예측 대로 이면 농심도 있고 광동도 있고 스코어도 다나왔는데 ㅡ 5지선다에서 답 5개 중 있다고 말하는것 같네 ㅋㅋㅋㅋㅋ ㅡㅡㅡ의견이 모이는게 아니라 제각각 ㅡ
이승진,대황맥
DDhoony,경기결과 유출입니다 광동1 농심2 농심승입니다
11l,명훈햄 그립읍니다
가나다라,씨맥 머리감았냐?
L45,홍익인간 ㄷ ㄷ
