name,message
얼얼얼,기대기대
이동호,대 상 혁
room 4long,크으 KT 담기는 무조건 봐야지
봄날의기억,보성아 화이팅
바코드,대상혁
Mile Green,딮기 이겨라
임형준,"이미 결과가 난 경기로, kt가 이긴 것으로 알고있습니다."
keeper grave,디플이 2ㄷ0으로 이김 이미 결과 나옴
댓글써서 구독자1만명찍기,"kt 2:1 DK, 듀렉 0:2 한화임"
ko koo,ㅇㅅㅇ
이게몽미,Kt dk 가보자앗
바이,이미결과나왔네요
이수향,결과가 어디나옴?
Still Alive,;;;;
동동준,형준아 조용히 하자
Oo,케이티 화이팅
SURF,생?
아재요,따이 후앙 찌엔ㅋ
아아,KT 2:1 DK - DRX 0:2 HLE
ㅇㅇ,88848 치지말라고 1557번째 말한다
Great Kim,KT가 2대떡냄
真与自由,요즘 케티 폼이 내려가서 이거 모름 디케 이길지도 
사루비아,하긴 하나
Firestarter2077,미친놈들이 시간을 새벽까지 하면 얼마나 본다고.. 게임시간을 1시부터 하게 하던가.. 
room 4long,KT vs DK 요런게 꿀잼이지
안종민,케이티 화이팅!!!
장태환,표식비디디가 함 보여주자!
Philippe Coutinho,88848 팬들은 좀 나가라
SURF,ㄹㅇ 상위3 하위3 매치 ㄵ
oiyuhi,중계도 녹화임?
ㅇㅇ,끊긴다고 징징대지말고 구독취소하고 다시구독해보라고 좀
아키라,어우 딴 거 하고 있었는데 깜짝이야
김민성,대상혁
이서라,보올탱
새로운마음으로,보올탱
도연정,라스칼 오늘도 웃어줘 ㅠ
명승민,결국 미드 네명이누 pog 포인트 ㅋㅋㅋ
바빈,미드의시즌이다
파피하크,구독 취 
멍뭉,티원 대악마는 젠지밖에 없지..? 아니면 중국팀???
김성훈,ㄷㅅㅎ
응아니야,Park park wherever you may be
일론머스크,대상혁
Nani K,미드 등수대로 순위네 ㅋ
세풀베다,pog 공동 1위 결국 또 너희야? 페쵸 쵸베 보올탱 
유프,결국 미드네 ㅋㅋㅋ
ㅋㅋ,1557
서민재,대 상 혁
신호철,무관중의왕
공용계정22,쵸비 Vs 제카 누가더 위대한 선수임?
안알려줭,큰거오냐..?
Paul Choo,이거 녹방임??
재너럴,페밑쵸
dkffhdp2020,제카지
김주이이,대악마 이러고 있네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
수정길,제카지
ㅇㅇ,당연히 제카지 쵸비 뭐 월즈있름?
azure,페쵸짱
부자나,위대한것 굳이 따ㅣ자면 제카지 현폼으론 쵸비가1등~~~
하얀토끼,생방 녹화 중개 방송입니다
tobis,켈린 우르프 돌렸네;
메갓,켈황대 롤도사
메트로무민,제가 lck 우승해봄???
고석균,:text-green-game-over:
S Kim,롤리나잇도녹방이야?
Nightbot,@적 셔 -> Beep Boop! [stop spamming words/phrases] [warning]
부산개미,월즈없음 의미없다 축구도 월드컵처럼
Yin,ㄹㄹ나잇도 녹이냐?
정지훈,킅딮전 오늘 ㄹㅇ 단두대매치네
IlllIlIl,생방임?
현정한,시장가치는쵸비가높지
ss coalstjd1111,중간거 온다
SURF,ㄹㄹㄴㅇ 생?
흐아암,롤리나잇 녹방아닐까..
DaiSung H,이런 개쩌는 매치를 라이브로 못보네;;;
SeungGwon Lim,또 디도스 때문에 녹방인가
이이잉,빨리킨거보니 대떡 2판인가보네 ㅋ
장정우,Dk가 이걋네
멍뭉,티원 대악마는 젠지가 맞나 kt가 맞나..? 그래도 통신사대전인 kt인가?
빠르,7시니까 지금하겠네
숲속의 일곱고양이와 김집사,KT DK 박빙이네
한파랑,대상혁
J B,와 오늘 이기면 단독4위 ㅈ되내
ㅇㅇ,대 상 혁
얼빵설효,미드 pog ㄷㄷ
chese K,4 대 미 드
이정민,또 둘이냐
이기민,ㄷ ㅅ ㅎ
H J,신 상 혁 영 원 하 라…
배고프다,대 황 미 드
뚝배기충,왜 10년째 대상혁이냐
크리스티아누 류태환,그미드는 인기투표로 pog1위인거 너무 어이없다..
서원준,역시 게임은 미드지..
Paul Choo,누가 이김? 
공백,유출)DK2ㄷ0 승리 한화 2ㄷ0승리
정현,페쵸 ㅋㅋ
00빵,DK가 2대0으로 이김
잘생긴 오징어, 녹화 방송 이죠??
Daniel Kim,dk가 이김
참치,쇼메화이팅
middle of,쇼메는 걍 스트리머나 하자
허수의반대는,하나 둘 셋 디플러스 기아 파이팅
콤v,이번주는 다 녹방임
이현우,진짜 dk 승 유출이면 기뻐죽어
ᄋᄋᄋ,켈황ㄷㄷㄷㄷ
덕배는덕배다,어우슼
최태윤,켈황 진짜 씹간지네
애는착해요,생방입니다
서동요,dk유튜브에 벌써 승리 인터뷰 올라왔던데 ㅋㅋㅋㅋㅋㅋ
YouTube Client,middle of 사진봐라 ㅋㅋ
심심할때 누름,썸네일은 역시 켈황ㅋㅋ
태원,결과 유출됨 dk가 2ㄷ0
푸른별하나,와 담원 개잘함
Karen,켈황 담원 종신 기원
ㅇㅇ,Let's go DK
룰루랄라,dk가 이겼노
Kyle Lee,광우병 ㄷㄷ
도토리,KT 화이팅!!
Saebyuk Hwang,라이브임? 녹방임?
성씨네 비단털쥐,그거 승리 인터뷰 저번경기에요 ㅜㅜ
Sirius,녹방인데 기다리는 시간 좀 없애라
주르도네,이걸 케이티가 이기네
가나다,켈황진짜 씹간지네
james park,8
윤윤,속보)) 속보임
대암산,얘네 그냥 녹화인척 하고 사실 생방하고있는거 아니냐
최수,누가 이김??
홍해두동강,대상혁
고감자,결과 유출 kt 3:2 승리랍니다
정깽이,구원 선발인가요?
윤서,유출 어디에 됨
호잇쨔,녹화인척ㅋㅋㅋㅋ
Eunju Jo,생방으로 바꾸지
뱁새,3ㄷ2는 어느미래를 보고온거임
챙,다들 파이팅
ㅇㅇ,담원 화이팅!!!!!
언더독캐스터,대암산이 맞음
뿌리깊다,유출안됨 
댕댕이자장가,어떤 경기 먼저인가요?
gle gyu,역시 서폿은 켈황
라곤,3ㄷ2는 뭐임?
김홍석,KT HLE 화이팅!!
개순막,그래도 광고는 해야할꺼 아니냐 ㅋㅋ 왤케 뭐라하냐 광고비 받아도 조까치 쓰는게 함정이지만 ㅋ
JD K,녹방이여도 아니 애들이 땅파서 일함??? 돈은 벌어야될꺼 아냐 ㅋㅋㅋㅋㅋ 광고도 잇어야되고
안녕,유출 됬다는데 T1이 우승했다네요
Soon,오늘 선발로 캐니언 대신 구원 선수 나온답니다!!🥹
두루미,담원 트윗보니까 이긴거같은데?
ㅇㅇ,생생한 녹방입니다
재너럴,Lck우승은 ㅈ도아니지 괜히 캐리어가 Lck졌을땐 안울고 월즈졌을땐 우는게 아님
종수리,3대2로 DK승
동훈,페쵸대전
sjsjsjs2kf,나만 소리안남?
김효섭,2:1 담원승이랍니다
World Hello,여기는 88848 거리는 애들 없어서 좋네
레이몬드,해커들이 얼마를 요구했길래 디도스를 때리냐
탕구잉,순진한애들 낚고있네 ㅋㅋ
멍뭉,"@대상혁 예배시간입니다@ 오프닝뮤비 마지막에 페이커 등장시 ""대 상 혁""을 입력해주세요! 띄어쓰기 주의해주시기 바랍니다. ""대 상 혁""입니다. 상습숭배단 화력 보겠습니다!"
Justins478,88848
하얀토끼,케이티 화이팅 플옵가자
트레비자몽맛,/경기결과
노바소닉,녹방이에여?
아기와나,결과 유출됐냐
1557 T1,DK 2:1 승 HEL 2:0 승 
김유한,Dk2대0이래요
뀨큐,1567
hee,준위는 없는 계급입니다그만 물어보세요
기묘한나그네,롤 소스코드 100만달러
DAN,한화가 2:0으로 이김
유승훈,벌써 개학인거 실화냐?? 인생 ㅈㄴ 암울하네
에에에,또 디도스 걸리려나
서동요,dk트위터 댓글보면 유출있음
TEAMREIGN,대 티 원
김민준, 대 상 혁 
사루비아,결과 유출 
북극성,여러분 오늘 3월3일 세계최고미드라이너 쵸비선수의 생일입니다 다들 축하메시지 한번씩 부탁드려요~:goodvibes::goodvibes::goodvibes::goodvibes:
yb,여기는 ㅇㅅㅇ하는애들 없어서 좋네
정깽이,아무리 ㅈ으로 보여도 KT가 이기겠지
Llll,1 5 5 7
크리스티아누 류태환,가오 ㅈㄴ 잡네 ㅋㅋ
얼짱푸들,대 상 혁
chese K,ㅇㅅㅇ
그치맞지,같이.우르프할사람
jade,대상혁
Pikapika Chu,피츠골
돌,dk 5:0승
D:e,Lck 관계자 지인입니다.. kt 2:1 승 / drx 2:0 승이라고 합니다
메가제드,ㅇㅅㅇ
빈,딮이 이겼다네여
고감자,결과 유출 dk 2:1 너구리 단독 pog랍니다
김재우,유출 어디에 됨?
문핀,젠지야 별 떼라~ 삼갤꺼지 너네꺼 아니다~
호잇쨔,ㅇㅅㅇ
이준석,ㅅㅇ
박레오나,이강인 골
Nabo,대 상 혁
김성훈,ㅇㅅㅇ
김윤,나 우르프 초대좀
금jj,쇼붕아 해줘
Nightbot,"@evinghost H -> Yeah, this should help. [stop spamming words/phrases] [warning]"
김Dangerous,ㅇㅅㅇ
필립Phillip,ㅇㅅㅇ
박영만,패이커덕에롤판이정도로커졋다
새로운마음으로,역체롤 대황비
breach,여기는 1557하는 애들없어서 좋네
슬픈어느날,녹방이네
찐따,오늘 라이브구요 박지성 선발입니다.
김수밧,오늘도 녹화임?
조혁규,채팅 드디어 바꿨네
gle gyu,녹방 맞아요 선수들 지금 솔랭 돌리고있어요
성용 나,쵸비가왜세계최고??
ABC,ㅎㅇ
double O,게임폐인여러분
윤윤,클템 굳
얼빵설효,에욱;;
알라이쿰,하오레?
hanseo park,담원승 스포함
Dongheon Yu,어차피 우승은 젠지
드사이,야 보고온놈들아 결과말해봐라 듣고가게
공루슈,속보) 배고픔
한예서,기습중계 고고
ENTAGE,킅듵
협사꾼,/녹방 스코어
이승민,지구나이가 언제 2024 살이나 됐을까
World Hello,88848 입력하시면 ppap따고 iq추적해서 젠지 법무팀에 보내서 고소할게요
ᄂᄆᄉᄒ,크트 2대빵 승 ㅅㄱ
부웨구,호날두가 오리아나들고옴
개순막,LCK 관계자 피셜)) 담음주 부터 한 주 미루고 녹방인척하면서 생방으로 정시간에 시작한다고 합니다~ 참여하세요~~~~
fdzz,티젠
동훈,lck카메라맨입니다 kt가2대1로 승리했습니다
이정헌,롤리나잇 어디팀임?
피코미터,디플 가만히 있으니까 갑자기 4위로 올랐네 ㅋㅋㅋ
yota,2강3중5약
니얼구루,저러면 광동 오늘 서부가나
insbkj,3강 3중 4약
호야,또 유출떳네 ㅋㅋㅋ 디시 롤갤 인기글 ㄱㄱ
Nani K,콩두는 브리온 2개만 이겼어도 4등인대
SURF,KDF가 잘하는거냐 DK KT가 못하는거냐
인연,데프트 사랑해 쇼메도 사랑해
항상화이팅,2-4
잠시걷기,11연승은 진짜 ㄷㄷㄷㄷ
강예아,솔직히 2강아닌가
Nepliov,2강 1중강 3중 4약
ㅇㅇ,우르프 썰 없냐
room 4long,DK KT 꽝동까지 빡세네.ㅋㅋ
김띠용,레츠고
L45,켈황입니다 오늘 kt가 2:1로 이겼어요. 반박 안받습니다
11l,둘다 대떡당해도 서부네
칸예웨슷흐,티젠은 진짜...
황제루카쿠,오늘경기 kt 1.66배 dk 2.1배 kt승 예상
한양대데사24학번,88848치시면 캡쳐해서 젠지 법무팀에 보내겠습니다
버스,88848
김동진,제라스 한번 나올지도?
벚꽃엔딩,kt압승
김도현,요즘 디케이도 괜찬은편인데
lol nael,진짜 켈황 씹간지네
다라이,착취아지르 랄로가 따라하던데 쇼메이커 너 뜬거야 임마 ㅋㅋ
정깽이,속보)로 걸었다
유승훈,님들 지코바랑 꾸브라꼬중에 어디 시킬까요??
Scivian,젠지 누구한테짐?
킴수덩,ㅈ밥대전ㅋㅋㅋ
Minkyu An,88848
한입,클래식 필체 뭔데ㅋㅋ
A.K.L,88848
냔깻,DK 함 보여주자
아르클,캐이튀
niemi,무관중 라이브 드가자!
조이라이더,아지르 누구 하나가 가져가면 둘다 저거 내껀데 말 나온다 ㅋㅋㅋ
이하,88848
김다운,착취아지르 원조가 엘더우드 아님?
신정민,유출된거보면 DK가 15:57만에 1세트 이깁니다
새로운마음으로,무관중 최강 개숏습
??,88848이건 1557이건 켈황 앞에선 평등하다
배틀니그라운드,착취아지르 솔랭장인이 한거 배운거라던데
yb,쥐꼬리만한리그에서 동부서부 ㅇㅈㄹ ㅋㅋ
박레오나,역시 선발은 켈황
슈거,kT는 탑이너무못해
훈,그놈의 유출 좀 그만해라
무정전활선전공,경기들이 다 3꽉인가 오래걸렸네
봉봉,중위권 따리 대전이네
조필연,지금이 코로나냐? 무관중은 디도스한테 쳐발리는 LCK
