name,message
뽀뿌,모두 화이팅:face-red-heart-shape:
블랙문,이번주 부터 녹방 아닌가? 디도스 해결?
진K,해결 됐겠냐
여노,5시에 녹방 틀어주는거면 실제경기는 몇시에 한거여
하띵,이것도 녹방임?
donghwan Kim,라이엇이 일하겠냐 잡을생각 안중에도없음
쿵딱,동환아 너나일해
Lee JunSoo,ㅋㅋ
김홍석,DRX GEN 화이팅!! 1경기는 치열하겠다 2경기는 정배는 젠지승!!
아!!! 퐁퐁이형!!!,젠지경기면 디도스없겟누 ㅋㅋ
송윤아,ㅇㅅㅇ
하하호호,이거 녹방임? 생방임?
창민고,생방임?
이유나,녹방임
End Lee,녹방일걸요?
순위몬,오늘은 생방으로 진행 됩니다
조수현,디도스 또 온다
ㄹㄹㄹ,생방이겠냐
윤서진,ㄹ
기묘한나그네,핫생녹입니다
기역,생방드립 역겹네 ㅋㅋ
욕먹기시르면아닥,커뮤좀 읽고와라 녹방이라써있자나
Elias Park,녹방임
z fl,drx가 2ㄷ1로 이김
식빵,본방입니다
이신,이거 녹화방송? 생방송?
이진우,녹방 평일 9시 아님 ?
chottery,무관중생방 아님?
맛있는 치즈스틱,유출 브리온 젠지
JB Kim,오늘은 누가 이겼음?
주왐쥐,DRX 승 ㅅㅅ 맛나게 먹어보즈앗
infrgo,좀 일찍틀어줬네?
king s,라이브인데
be11a,리퀴피디아에 유출 떴음 녹방임 브리온 2:1승 한화 2:0 승
榊原曄,커뮤 보니까 녹방 맞네요 미리 경기한듯
임영훈,이번주부터 원래 시간대로 보여준다네요~
잼노,앙 기무리~
poco a poco,일찍틀어줬네 6꽉인가 ㅋㅋ
Tommy Lee,토욜이 진짜구나 치맥해야겠네
순위몬,2024년 3월 6일 HLE vs GEN 경기는 무관중 생방송으로 진행 됩니다
페이커,토요일이 무관이라니 안타깝다
bin,지금 제카 우르프 돌리는 중 ㄷㄷ
칙촉,6꽉이라 일찍틀었다는건 신빈성이 있네ㅋㅋㅋㅋㅋㅋ
솜이네,라이브임?
코코발,ㅋㅋㅋㅋ
긴ᄂ금바리야나,bella야ㅋㅋ 무슨 한화가 2:0 승이야ㅋ 그럼 구라네 ㅉㅉ
JB Kim,오오 한화 대박
이신,라이엇코리아는 진짜 발전없네 걍 모두 다 사퇴시키고 한국정부가 라이엇 인수하고 세계최고 게임강국 만들자 
KyoungMo You,한젠전 기대된다 ㅎㅎ
다람좌,느낌이 녹화일을 하루씩 땡겨서 미리하는듯하네
강동우,DRX가 이긴거 직접유출했다고 들어서 왔습니다 맞습니꽈?
복숭아,무관중이라니
heavy Windism,티원경기 아니라 라이브해도 무죄인건갘ㅋㅋㅋㅋㅋㅋ
