name,message
kh y,신 상 혁
진K,광동화이팅~~~~~~~~
NAIYC,안녕하세요 
리뽀뽀,페이커♡대상혁♡제오페구케♡ T1
디마겐,대 상 혁
나대철,오늘은 첫 매치부터 강등 결정전이네
Lo ve,오늘은 레클레스 경험치 먹이자!!
페이커,오늘 누가 이기나요?
디마겐,대 상 혁
HICA,ㅠㅠ 쵸비의 pog를 막아야해!!
고기먹다걸린스님,요즘 다 녹방인가요?
디마겐,네 7주차 전부 녹방 
박예훈,몇시에 시작하나요
ㅇㅇ,88848
김민석,티젠전이 더 기대됨
디마겐,대 상 혁
M N,이거 5시에 진행됨?
김부딱,5시에 진행됩니다 착석 바랍니다.
SH,kt 화이팅
디마겐,디도스가 좋은점이 있긴함 관중들 없어서 악악대는소리 안들어서 좋음
과거란,내일5시에해요
Eduardo Cif,T1:trophy-yellow-smiling:
Andy Lee,티원 드가자 드가자 드가자
jordan john,아직 시작 전인가요???
김홍석,T1 KT 화이팅!! 대상혁 신 제우스 화이팅!! 광동잡고 젠지도 잡고 복수 제대로 하고 스프링 우승가자!!
디마겐,시간 안보임? 왜 물어보는거?
CRAZYPEPPER,21시간뒤면 내일 하는거임?
정민호,자 드가자
ㅇㅇ,뒷자리가 초단위인데 21시간 뒤 ㅇㅈㄹ ㅋㅋ
너굴너굴,1초를 1분으로 느끼고 있는 마법 ㄷㄷ 
당근복,케리아 ㅈㄴ잘생겼네
정민호,오 9분
김윤수,녹방이죠?
ㅍㅡㅍ,개잼밌겠다
진석준,광빈이도 잘 샹김 ㅎㅎ
수헌,녹방인가엽
이리,녹임?
사랑인가,T1 KT 승리가 정배
이은강,오늘은 무슨 픽벤 무슨 경기력을 보여줄지 너무 기대된다
준영콩,이리 바보
유승훈,하 카리나 연애하는거 때문에 배신감 들어서 일주일째 밥도 잘 못먹는중이다
qwzxer_11,1557
Nightbot,@sanjojorange -> You're on my naughty list. [stop spamming caps] [warning]
Nightbot,@랄뚜기 -> moon2PLSNO [stop spamming words/phrases] [warning]
박준혁,벤픽
김종호,대 황 젠
짱덩어리,결과 아는사람 없나?
박영민,이번주 토요일 1위 결정전
포카칩먹고싶다,누구 응원하지
김태영,젠밑티
래곤쨩,대 황 슼
김민정,흠.. 혹시 녹방인지 물어보시는분 디도스 거실라고 그러시는건 아니지요?
황사장,오늘도 녹?
ᄋᄌ,카리나는 너의 존재 유무를 모른다
DD당근,2vs0 2vs0
재한,와훗 쵸비
이기태,개상혁 vs 대상혁
LIV NsP,나도 카리나 내 신부후보에서 제외함
최민서,카리나는 너네가 누군지도 몰라 얘둘아
당근복,88848
바바방앙,너넨 베리나가 딱임
랑구,큰거 온다
applism,카리나는 니들 살아있는지도 모름ㅋㅋㅋ
초보미식가,티원승 ㅋㅋ
행복한고양이 라온,카리나 고백하면 내가 찰건데? ㅋㅋ
적 셔,아 토요일 언제오냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Minho An,888룰8
Andy Lee,윤수빈 화이팅 !
박카스,페이커가 오늘 한손으로 캐리한단다
EL__cst,여기서 댓글로 분탕치는 애들 말 다 무시하면 됨. 특히 88848 1557 카리나 등등
김홍석,대상혁
ᄅᄋᄏᄏ,오늘 1557 기록 깨졋답니다 티원팬분들 축하드립니다
랄뚜기,노래제목: 크산테
직전신장,유출좀 해라
다르킨,잼민이들아 카리나가 너네랑 만나겠니?
래광이,재밌겠다
포도젤리,이거 녹방?
We are the champion,오늘 도스형 오냐?
신분세탁,오늘도 녹화임?
yuuh,오늘도 구원 나옴?
이재황,녹화에요?
김동현,오늘 티원광동 1군 2군 다 붙네요ㅋㅋ
요야이요,^ 888룰8 ^
Um Jun-Sik,1경기네 나이스
행보칸병거니,5분!
김동현,토요일에 진짜 존나 재밌겠다
황민우,머해
김민정,오늘도 오너 아파요?
stun_H,대황딮!
유승훈,쵸비는 월즈만 먹으면 goat 확정인데 올해가 진짜 적기임
이재호,그 긴거 브금이네
Ji Oh,오늘도 여전히 녹화네요 ㅠㅠ
차태평,페커센세 !
량룡령량,이젠 lpl이랑 라이벌즈 안해?
yu ki,토요일 재밌을듯
양성민,이재욱 부럽다 ㅠㅠ
Agare,T1 !!!!!!
밤양갱chestnut red bean curd,1등 내려와 젠지 거기는 우리자리야
승현,티젠전 기대되네
박영민,티원 지금 로스터로 골든 로드 조지고 흩어지자
이선호,.
짝퉁반지,쵸비는 매년 월즈 적기냐?
십조,오늘 1군이야?
노오오력,s
iiiiiiiiiii,티원 오늘 광동이랑 3꽉가서 젠지랑 공동1등 될거같긴함
어우슼,라이브야?
태하,노래 되게 아프리카 스러운데 좋네
다르킨,ㅇ
Humming,88848
정민호,이거 노래 크산테릴리즈될때 나온 노래같아요
멘지GV,와 티원 오늘도 구원 나오냐??? 
c k,무슨 저거뭐야 흑표범영화 머고 거기나올거같은데
김민정,티젠전은 솔직히 누가 이겨도 빅잼
행복한고양이 라온,형들 왜 저것만 쇼다운임?
Flourdoll,녹방임?
하하,88848
김홍석,어차피 우승은 대황슼이야 젠지야 딱 기다려라!! 복수 제대로 간다!!
Ji Oh,@유승훈 신인도 아니고 지금 년차에 월즈 우승 한번 했다고 goat? GOAT는 아무데나 붙이냐?ㅋㅋㅋ 쇼메도 goat 안 붙이는데 감히? 근데 쵸비는 매년 적기임?ㅋㅋ?ㅋㅋ
flttk fkdrm,젠티전 노잼일것 같은데 어차피 젠지가 이길거 뻔해서
두두,누가 이겨도 빅잼인거 ㅇㅈ 근데 채팅창 개드러움
한,더데프트
김지수,t1 2:0 승
C young,88848
밤양갱chestnut red bean curd,내가 볼때 광동 그냥 털림 2세트로 티원이 압승함
석가영,혹시 티젠 경기때도 무관중인가요?
유천띠,88848
랄뚜기,노래제목: 챌린저
이재호,티젠전은 댓글창만 좀 클린하면 완벽한데
방고미,녹임
PHin,페이커 오늘 pog 받겠지?
요야이요,^ 888룰8 ^
Right E,와 황족미드봐라.
하모리,2:0 티원 승 ㅋㅋ
Integral DENEB,4등의 둘이...
우주를줄게,광동 2:1 승
미역,젠지 국제전 노잼인데 어차피 8강딱 할거라서
워런버핏,광동이 2:1로 이겼네;; 유출....
Lukasz william,ㅇㅈ
남진환,88848 역시 쵸오오비
김준혁,미드의.시대 ㄷㄷ
이선호,오늘광동이일넨다
네모,왜이렇게들 싸움 도대체 그냥 재밌게 보면되지 하여간 자기들 인생도 못돌보는애들이 GOAT 따져서 뭐하겠음 다들 먹이만 안주면됨 그냥 짖게 내버려두죠
최영은,꺄아
"('-'€D,,",2025 유행여 888488
디마겐,대 상 혁
다르킨,채팅창에 뭔 카리나 연애해서 배신감 든다니 뭐니 야 상상은 속으로 해 뭔 여기서 그걸 싸지르는거 ㄹㅈㄷ다 ㅋㅋㅋ
Humming,888룰8이 도대체 뭔가요??
쫑이,교도소출소한지 3일됬습니다...ㅇㅅㅇ하지마세요 경고했습니다... 조용히 게임즐기고 싶습니다...
우노아,걍 볼것도 없이 2:0 t1승리 롤하러감 ㅅㄱ
이라경,와 실시간 처음봄..
빡경,ㅇㅇ
하루,미드가 못하면 바텀이 짐
윗집소리,신 상 혁
ㄷㄹ,88848하면고소당함 키키
re,88848 대황젠 ㅋㅋㅋ
량룡령량,이게 축구도 아니고 어차피 국제전이여 봤자 잘하는곳 한국 중국 두곳 뿐이라 그냥 lck가 제일 잼이지
qosncns,페이커 벤치 1557 친다는데 진짜에요?
T1 LCK 우승가즈아34,T1이 승리한다
오봉이,미안해 쫑이야ㅠ
iiiiiiiiiii,솔직한 순위를 매긴다면 젠지>광동>티원>한화>광동임 반박시 롤알못
OOㅇㅇ,ㅇㅅㅇ이 머임?
알티,또 당신입니까 대 상 혁
Oblique,88848
K K,어차피 우승은 대상혁
즐거운,쫑이는 출소를 매일하냐??
익명,ㅇㅅㅇ 없어서 좋네
김민정,솔직하게 젠지팬들도 t1겜 너무 재미있어서 보는거자너
호잇쨔,나도보고싶ㄷ다.....
김진욱,티원화이또
Ofkfjfndjdj,님들 디도스 해결했음?????이제 안걸림??? 
솔직함,88848 치면 젠지 법무팀에 고소합니다 
치킨맨,11연승 ㄷ
기린이다,젠지 업는데 젠지는 또 왜패노?ㅋㅋ
박준우,이거 녹방이야
후아앗,오늘은 젠도스 공격없나요?
DHiHi,888488의 8목 보호대 띵~
Lo ve,1557 또한 깨지지않는 기록이라 난 너무좋은데.. 럼자오자레 보단 덜긁힘 ㅌㅋㅋㅋㅋ
OsOsOs,88848
황시티,젠첩긁혔네
용킴,내일 젠티전 개 재미있겠다
꼬맹이,팔팔사팔팔
커다란박격포,"6등까지플옵임,"
