name,message
김홍석,HLE DK 화이팅!! 
댓글써서 구독자1만명찍기,유출본 결과=한화담원 둘다 2대0 클린승
wickKid,그건 유출본 없어도 안봐도 비디오임
디마겐,오늘은 2개다 애매한거네
힣힣힣힣힣,아 오늘 양학쇼네
채아,오늘은 왜 5시시작이에요
닛끔,브리온 3승 보여주자 
웅,디도스 고침?
슈카랜드,응 이미 한화2-0승리 공식인스타에 회식사진올라옴ㅋㅋ
LlI 1!,브리온이 이겼다네요
hey honeybees,쵸비가 누군데
핑구,저녁으로 치킨 피자 추천좀
이태현,족보세트 어떤데
유예빈,칙힌
Tommy Lee,노틸 풀면 브리온도 승산 있음
유승훈,티원 제사날 D-1
적 셔,브리롱이 한화 2:1로 잡았다는데 사실이냐?? 
무명,노잼과 노잼
주시,따이 후앙 찌엔
아재요,따잇 후앙 찌엔 까지 24시간
LIV NsP,오 내일 티원 멸망날이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
엔타로,케이티 광동 갑자기 왜케 못 해졌어요???
건방지는구만,따잇후앙찌엔이 뭐임??
RealWK What's,이제 정상인가요?? 
이나니,차단할사람들 많이보여서 좋네 ㅋㅋ 젠지 응원하는사람들은 동북공정가지 옹호하는거 맞지?
HeeMyung Rho,쵸비가 1황이네 ㄷㄷ
Dog. D,오늘 그팀 멸망하는 날인가요?
부기나이트,88848은 올해 8을 추가한다는게 기정사실인가요?
슈카랜드,티원 내일 개처럼얻어터질듯
적 셔,채팅으로 개소리그만하고 하트나 쳐눌러라 
하얀토끼,5:00 와 작은거 온다 두근두근 ㅋㅋㅋ
rogamese,888룰8 vs 준준준준준
kids hay,한가지 확실한건 티원이 지든 이기든 8이란거..
Tommy Lee,봄가을에 많이 드셔.. 가을 겨울에 굶으실텐데 
보로롱,내친구가 매번 8~4등하는데 자꾸 1등이라고 우겨요. 뭐라고 해야할까요??ㅜㅜㅜ
노기명,님들 쵸비가 잘함 벡크가 잘함? 난 모르겠던데...
korea no.1,대황비
부기나이트,88848은 브리온 경기보다 시청자 수가 적다는데 사실인가요?
김현수,백크가 훨씬 잘함ㅇㅇ
Ddong,오늘 개노잼판이네ㅋㅋ
건방지는구만,한화 화이팅!!!!
한번,백크가 누구임?
하얀토끼,토요일은 경기 3시에 함? 아니면 똑같이 5시에 함?
아트리,어허 그걸 말로하면 어떡해
Q Sa,1등이랑5등이 좋을까 2등이랑4등이 좋을까
Aki,토요일은 경기 1시임
산적조무래기75,브리온이 폼 오지던데 오늘 한화랑 경기 재밋겟다ㅋㅋ
무야호,티원은 개지 승점자판기잖아 토요일에 주인물려고?
디마겐,오늘 두 경기 다 고만고만한거 오네
이호두,젠지 Lck우승
GM,듣보잡 방송쟁이 언급좀 그만해라
Woojin Lee,T1이 2:0으로 이겼다네요
ᄋᄌ,한화 DK가 이길듯
적 셔,미드는 손흥민이 잘하지않냐??
황진범,gma
부기나이트,오늘 똥리어vs엄앵란 실비vs똥넛 누가 더 똥싸냐 대결인가
남진환,88848
하얀토끼,브리온이 오늘 이기면 플옵 가능성 있을까
jennieruby,역시 대황쵸비~
한번,오 이 브금 뭐냐 개좋네
Acegood Cool,브금 뭐임?
Q Sa,바로 꺼버리죠
디마겐,오늘은 양학쇼라 재미없을듯
Latte Cream,정보) 젠지는 월즈우승 2회다. 그래서 별 2개 있다. 
권순철,막차는 광동이야~
하 마,쟁
호잇,캬
김상순,언제까지 녹방임?
아아아아아아아오오,벤치딱
권영민,출산률 1될때까지..
인직남친,무관의 왕 비쵸비
