name,message
블르밍,어그로 멋지십니다 젠지 2대0 t1이깁니다
쪼율,88848
모브,오늘 한국이이김 중국이이김?
Woosuk Shin,88848
kids hay,이기든 지든 8.
비스마르크폰 사파엔츠,젠지 2:1 티원 승리 bbq 치킨 맞짱 뜰 사람 있냐
유근영,벌써 5천명있네 ㅋㅋㅋㅋㅋㅋㅋ
박민수,아.. 젠지가 중국기업임?
미최존,오늘은 티원이 이길 느낌인데
나자엘,이기던 지던 888룰8인데
why not?,둘중 하나가 이길 듯
KØŠMØŠ,이미 녹방임
이준,목표 롤드컵 2연패다
메정보,오늘도 젠지가이기겠네 케리아 거만픽은 약팀상대로나 나오는거라 젠지같은 강팀만나면 쫄보픽함 ㅠㅠ
STlNKY PAJEET,:trophy::trophy::trophy::trophy: vs 88848
신나는하루,손흥민 우승 vs 쵸비 월즈우승 뭐가 더 가능성있음?
HICA,ㅋㅋㅋㅋㅋㅋㅋ티원 vs젠지
Pureboy,한중전이라 한일전만큼은 아니네
ㅇㅇ,오늘 중국이 이겼대
김상우,(진) 888488
김홍석,안물 
에하임,88748
Helley,젠지 2:0 무조건임
김창성,즐
HaramKim,88848
밀크티블랙,젠지가 이겼다는데 사실인가요
제오페구케,언제와 티원ㄴㄴㄴ
K wa,아니 언제 켜 
월화,LCK인데 한중전 어케했누 ㄷㄷ..
김민이,쪤찌 오늘 이기나요 중국승
이재호,88848
검사,온르 한중전하네요 호달달
SecondRun,1577
라이츄,어제 윤수빈이 3시에 보자고 마무리멘트했는데 5시 시작인거 해명하세요
counting star,유출떴나요
dy K,중국 영토의 무결성을 무조건 따르는 젠지 화이팅
ᄋᄋᄋ,오늘 안 함??
화팅,2대0
서민석,srx
chese K,유출) 울프신남 젠지 2:0 승
jh p,쫌 짜증나네?
room 4long,벤픽에서 끝날텐데 바텀 벤으로 조져놓으면 젠지 필승이다
파일로,88848
박민수,아니 누가 답변좀... 진짜로 젠지 중국기업인데 한국에서 프로팀 운영한다고? 진짜에요? 나 잘 모름 대답좀.. ㅠㅠ
김홍석,오늘 젠지지면 커뮤니티 폭발할 예정ㄷㄱ
육식공룡,돈이먄 되지 멀 따지노
gr gr,오늘이 롤갤 폭파하는날인가요?
Asdf,허수 짱
은채,lck 119만명 구독자 ㅊㅊ
jwkdbr,오늘 젠지 2:0 승입니다 ㅋㅋ
Jimmy Edward,와 티원젠지야 여친 집에 보냄
서진영,30분 전에 좀 켜라 lck 돈 개 날로처먹노
빡콩,큰거 온다
얍얍얍,와 존나 빅게임이네 ㄷㄷ
TREO DOR,젠지 2:0 진짜임?
Teemo God,믿든 말든 젠지가 이겼어요 ㅇㅇ
홍승현,왜 안함
윤기중,드가자ㅏㅏㅏ
조아란,뮨열어 ㅋㅋ
아,걍 누가 지든 상관없이 보면 되는걸;
김유현,큰거 온다 ㅋㅋㅋ
이종찬,오
마흔 세살무직,여자친구 구함.
사람,가보자잇
평생마법사,대 상 혁
ABC,4대미드 ㄷㄷ
s에스,젠첩들 나대는거 보니 티원 압승이네 오우 굿
ㅇㅇ,자두가자
BT Dv,pog상위는 다 미드네
한성현,자 드가자
Goodthinking,티원은 젠지 절대 못이김
에러,와~~~~~~~~
Leo Kim,오늘 직관했는데 티원 2:1로 이김 ㅇㅇ
삐끗,드이어!
Choi Hyun 최현옥,vamos T1
고놈,또 녹방인가
바빈,큰거온다
Black WF,가자가자가 즐겁게 놀아보자!
유제,페이커 쵸비 둘 중 지는놈 존나 깔 예정인 쇼메이커팬이면 개추 ㅋㅋ
SUGJN,미드 실력 순 ㄷㄷ
황금아리존야띵,오늘 슼갈들 뚜드러 맞는날이다 ㅋㅋㅋ
deca,녹화임?
카리나짱구,젠장 또 대상혁이야
LG위대한(ktwgod09),큰거온다
ᄋᄋ,큰거오냐
Dazzling Lux,브론즈들은 좀 조용히 봐 줄래?:cat: 일단 난 브론즈임:kissing_cat:
YJ S,2:0 오반데~
호잇쨔,큰거온다 드가자 
하임달,큰거온다 드가자
artloc,치킨시켜
이지훈,큰거온다
Evenfollowme,두가자
ㅋㅋ,1557 참수의 날
이윤성,녹방임?
햄뽀2,경기 티원부터 인가여?
박민수,젠지 진짜로 뭐하는 기업임? 첨들어봐
알랄라라ㅏ랄ㄹ,어제 등 ㅈㄴ 잘먹엇네
김경완,88848
Blanc,유출 속보) 오늘 티원 2:0 승리 총 경기시간 46분 32초
디가,드가자!!!
아무렇지 않은척,드디어 2라운드 젠지vs 
롯데 화이팅,빅매치 ㄷㄷㄷㄷ
하진,ㅌㅇㅎㅇㅌ
ᄋᄋ,직관러인데 티원 2:0 이김
최영배,헐
싱소,가즈아
이윤형,5시 경기 시작임?
ㅇㅇ,울프 기분 좋은거 보니 티원 졌네
이 이,드가자
김성우,88848 88848
페럿이,젠첩 멸망의날ㅋㅋ
나그네,요새는 걍 미드실력순으로 순위
후라이,젠장 또 88848이야 나는 또 8강딱을 해야만해 
qhgi qhgi,88848
코로롱,지코바 먹을까요 버거킹 먹을까요
밀크티블랙,젠지가 2대0 개발랐다던데
김진우,1557 벤치
고요,티원 깝치지마ㅋㅋ 티원따운!!! ㅋㅋㅋㅋㅋㅋㅋ티원비상!!!!페이커비상!!!ㅋㅋㅋㅋㅋㅋ
신나는하루,페이커 키 왜케 큼?
room 4long,누가 이기던 20만명 들어온다 유튜브 힘내라 
이원락,버거킹이요
제오페구케,가즈아 티이원 
Heeseung Woo,1557
문토닉,라이엇 관계자입니다 젠지가 또 이깁니다 이것만 말씀드릴게요 
기모리앙,녹화중계임?
유현성,언제까지 이 둘이하는거야
JY J,큰거온다
벚꽃여고생,1557
김태희,대 상 혁
j미그,1557 vs. 88848
동네무서운형,이거 녹방임?
MY K,티원이 드디어 이기다니ㅜㅜ
국민신문구,이거 녹방인데 결과 이미나옴 티원이 2:1 승리한듯.;;
이름,오늘 티젠인거 모르고 실수로 데이트약속 잡았는데 어떻게 거절할까요 핑계추천좀요
ᆢ,오늘 페이커 솔킬 1557번 당할듯
미호크,디도스 드가자~!!
Shims ShowCase,육수빈 나와라
하요,ㅇ
새로운마음으로,쵸없페왕
랫서팬더,무슨 채팅 기준이 13주전이야 13주전부터 구독한 사람이 어딨다고 
Leqwa,페없쵸왕
이은강,티젠전ㄷㄷㄷ
돼지,녹방인가요??
곎,울프방송어디서함?
name sur,Msi 벌써 시작했냐? 한중전 개꿀잼
Donghyun Lee,큰거 온다 .....
김명규,몇시에 함?
Hoon,와
정혁,솔직히 티젠전보다 채팅창이 더 기대되면 개추 ㅋㅋ
ajksssuqrra,이걸 어케 참누!!!
Nightbot,@JN jihoo -> Suboptimal. [stop spamming words/phrases] [warning]
김현우,미리 숭배합니다
갑돌이는멍청해,T1 승 유출 떴는데 뭔재미로 보냐
이찬희,라이엇입니다 티원이 2ㄷ0승리입니다
청포도,오너 나옴?
태준,돌고돌고돌고돌고돌아 티젠
미최존,그럼 오늘 미드 차이로 판가름 날 가능성이 높단거네요 ㅁㄷㅊㅇ
SeunG_YeE,가자
jsgj,드가자
Patrick Kim,디도스 고쳐짐?
금소리은소리동소리,근데 쇼다운이 머에요
Ba Banana,"오늘찐이다,,,,,,,,,"
영윤,ㅋㅋ
2SeungYong,티원 가자!!ㅠㅠ
군 수,어~ lck 니들이 이겨봤자 88848에서 컷이야~
Leo Kim,응?
koesnum,ㄷ
counting star,유출 어디뜸?
벨몽,두근두근 T1 파이팅 (ง •̀_•́)ง 
이재호,88848
호롤롤ㄹ로롤,벌써 싸워?ㅋㅋㅋ
이지영,t1 졌다는데 사실임?
Navi-Rider,젠티가즈아~
lu-_-,다들 저녁은 뭐 먹을거냐 
아나루,님들아 88848이먼가요??
N 5,t1은 lpl한테 지지않습니다
John L,큰거오나?
lulu,88848 1557
해또,미드 뺘마리빵 가자~
Jaharyeong,사실상 결승전
신우진,내수 vs 외수
미리내,가즈아!!!!
Incanto Heaven,수능등급입니다
김홍석,대상혁
지킬박사,티원파이팅!!!!
영제호,티원파이팅젠지파이팅
야옹이,888사8
김시온,88848
저기요,비지엠 웅장하다
갈맥2,큰거 마렵다!
nd2,누가이김?
박태영,지는거에요?
승원,몇시임?
이청록,하 이거보려고 새벽세신데 이러고있네 ㅋㅋ
토종곰도오리,T1은 LPL에게 지지 않습니다.
카일,왜 8 8 8 4 8이라하냐 기분나쁘다 888룰8이라고 해라
9eunu,쵸비 컷~
김원이,헐 티원이랑 젠지네 쩐댜
하야세우유카,티원슨
크하하,짜이찌엔지 져라 우우
박현서,다 미드라이너노
jordan john,88848한 미드한테 벤치당하고 금메달딴 미드가 있다??
박민수,궁금해
agarate,롤드컵 4관 VS 무관
송건우,비디디는 이제 4대 미드에서 빼야겠네
김뎅강,황족 미드 줄 세우기 ㅋㅋ
서클무신,ㅇ
정창희,이거 걍 티원승이지 안봐도 비디오
오댕이,제발 이기자 티원
낭만,444
적 셔,치킨 피자 도착했다 질문받는다
마늘치킨,큰 거 온다
ᄋᄋᄂᄂ,역시 젠지 형님!
홍윤기,젠지 팬은 다들 중국인 인 것 같음 ㄷㄷ
유승훈,내일 파묘 보러가는데 ㅈㄴ 기대된다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
사모예드다롱이,티원때문에 본다 매국노 젠지는 안보는데
sd a,T1은 LPL한테 지지않습니다
chan two,ㄷ ㄷ
MJ,쯔엔지 빠는 조선족팬들 대 단 하 다 !
SC의 개인저장소,어그래그래 페이커 아파서대신나온애 ㅋㅋ 
Teemo God,요즘 폼 보면 티원이 이길줄 알았는데 젠지가 이겼음
휘종,T1
"('-'€D,,",88848은 고소 하시면서 왜 1557은 안함? ㅋㅋㅋ
빵끄리,게임 끝났냐
이리이리,젠지 따거 ㄷㄷ
박건우,영원하라 신상혁
크크크,이제 쇼비페이커가 2대미드임
이원락,오호 오늘 재밌는 경기네
흔한옵치충,오늘은 채팅창 끄련다 ㅋㅋ
이서우,찌엔지 화이팅!
Luces,풀무원도 스폰을 하네? ㅋㅋㅋ
디마겐,ㄷㄱㄷㄱ 큰거 온다
박주한,88848 이후 다음엔?
역사,파묘 ㅈ노잼인데 ㅋㅋ
9Tube,이거 녹방아닌가 젠지 이겼다고합니다 ㅈㅈ
키타산 사토노,이제 4대 미드가 아니라 걍 다들5대 미드라고 부르는 중 아닌가
쪼율,"4회우승 vs 0회우승 , 88848 vs 11124421"
랫서팬더,채팅 기준 13주전은 선 넘었으면 개추 ㅋㅋㅋ 일단 나는 아님 ㅋㅋ 
김경민,대상혁
주벗,오늘도 유출됬내
Hoon,:face-fuchsia-tongue-out:
협사꾼,티원은 중국에 지지 않습니다 -황마유시
유튜브의 노예,드가자
lil ili,젠지가 이긴거 유출됨
권솔,1557은 팀 기록인데 88848은 개인 커리어 아닌감...
Daa,88848 럼자오자레 ㅋㅋ 수준들 봐라 그냥
논리적인병신,88848의 패배ㅋㅋㅋㅋㅋㅋ
정수인,88848 🇨🇳 88848 중국 88848 🇨🇳 88848 중궈 88848 젠지.88848 🇨🇳 88848 디도스 88848 코로나
BT Dv,광동 화이팅
Messi,생방임 아니면 녹방임?
KRSD,젠지 2ㄷ0이라고 이미 유출 떴네 ㅈ같다 녹방
김지유,웡봐보신분?
미최존,4대인 이유가 월즈에 4팀밖에 못 가서 그런 거 같은데 
김도한,어디 유출이죠
가을바람,2시에 경기 시작 이미 끝
김진욱,오늘 새러데이쇼다운이네 ㄷㄷㄷㄷ
20uvu0wg0w,근데 티원이 젠지 마지막으로 이겨본게 언제임??
