name,message
감자탕,오늘도 5시로 미뤘꼬나
숑빵,아 뭐야 5시임?
SKTelecomT1,ㅎ2 ㅎ2 
김기범,역시 5시시작은 켈황 ㅋㅋ
아재요,빅 게 임 헌 터
고양이.,Kt졌음
Kateal,t1. 어제 개발렸쥬
트페리,어제 티원 왜졌냐고 100번묻는다. 페이커 제우스 잘했는데 왜져야되냐고 왜 1세트는 13대 0으로 처발려야되냐고 빼애애애액!
asdf,티원이 13대0으로 졌다고?? 거짓말하지마
김현규,"쵸비가 너무 잘함 ㄱ,냥"
Painterfly,농심 이번엔 제발 이겼으면...
아재요,갈드컵그만하고 오늘경기나봐라
조성현,개소리 엄청 정성들여서한다 ㅋㅋ;
기역,준위 어그로는 진짜 왜케 끌어대냐 ㅈ같게
파프리카머신,디플 화이팅
흘러가는사람,어제 치킨 시켰는데 치킨 오기도전에 티원 뒤지더라 오늘은 좀 볼만한 경기 나오길
밈밈쓰,준위어그로는 10년간 꾸준히 사랑받는 어그로임
김기범,역시 1황은 켈황ㅋㅋ
슈거,어제쵸비 어떻게든mvp안주려고
줄렉스,쵸페제쇼.. 또 너네냐..
채주완,ㅋㅋ 치킨좌 개웃기네
쿤아게로아그니스,kt특성상2승주라농심못이김;; 2승2패계속하는애들이라
아재요,준위어그로 지금스타배틀넷가면 바로볼수잇다
유승훈,하 티젠전 기대되네 빨리 시작해라
준잼,어우젠
An Young Kuk,준위 그런거지 세상에 88848을하는 세체미가 어딨어랑 똑같은거임
흐느끼는망자의숲,페이커나오나요?
SUPER낭만,LCK 화이팅!!
미누미누미누성,패 수가 순위에 바로 직결되네 ㄷㄷ
rmi bo,티원 젠지 누가이김
양현준,대
TaeHyeong KIM,2라운드 광동은 막을 수 없다!!
화려했어,88848
LIV NsP,티원 어제 msi 대비하느라 진심용 벤픽 숨기고 실험픽만 해서 아쉽게짐
홍피곤,젠지1황
꿈꾸는치킨,미필들이 준위가 있다고 자꾸 우기시는데 어그로 그만 끄세요. 준위가 아니라 중위입니다. 준위가 있다면 준병 준사 준령도 있겠죠. 일부 사람들이 DP2에 준위라는 계급이 나온다고 하는데 그건 해당 작품의 재미를 위해 설정한 허구의 계급입니다. 그러므로 준위라는 계급은 없습니다.
단감몬,kt 2대0 승
정영훈,티원팬이 잔짜 최악이다
시 월,하 젠지 이제 월즈만 들어올리면 된다 이번년도엔 꼭 증명하자!! 럼자오자레만 조심하자!! 아자아자 화이팅~
KØŠMØŠ,녹방
EuiChan Song,skerrrrt
흘러가는사람,준위가 있든말든 군대에 말뚝박을 거 아니면 무슨 상관일까? 어그로가 아니라 군대에 말뚝을 박고싶어서 미리 준비하는 게 아닐까?
아재요,이번년도 젠지 국제전 가능성있어보이는데 기대중
소울트리,준위 특수보직 게급임 아무나 못 달아 
정우,구독취소했다가 다시구독하니까 채팅 딜레이 없어지네 개꿀ㅎ
뿌리깊다,녹방은 역시 켈황 ㅋㅋ
슈거,T1은 빨리 구마유시 오너 방출하고 새로데려와라
죄와벌,지금 노래제목 뭐임?
알리미,준위드립은 나이로치면 30대 중반은 됐겠다 언제까지 현역이냐 이드립은
RTX Quadro 8000,제발 오늘 이기거 롤리나잇까지..!
송지호,캐년은 진짜 미쳣네
포토몬,이런 쵸비에게 훈수 두는 에비가 새삼 대단하게 느껴지네
랄뚜기,애들아 겜추천해봐라 맘에들면 치킨 기프트콘보내준다 ㅇㅇ
SecondRun,하나 둘 셋 쇼메이커 화이팅~~
효열,라스트에폭
하얀토끼,하나 둘 셋 케이티 화이팅 
람머스,킅농전 꽤 치열하려나
김태희,왜케 조용하냐
EuiChan Song,Tooooo many BS
Latte Cream,벌써 하나? 했는데 이제 5시 다돼가는구나
별다방꽥꽥이,얘들아 치킨
꿈꾸는치킨,미필들이 준위가 있다고 자꾸 우기시는데 어그로 그만 끄세요. 준위가 아니라 중위입니다. 준위가 있다면 준병 준사 준령도 있겠죠. 일부 사람들이 DP2에 준위라는 계급이 나온다고 하는데 그건 해당 작품의 재미를 위해 설정한 허구의 계급입니다. 그러므로 준위라는 계급은 없습니다.
JC,재밌겠당~
wild flower,쇼메 케니언 담원은 2이나 있내
HICA,아니 페이커가 쵸비를 못이긴다는게 말이 돼?
Ws016,돌고돌아 쵸페제쇼임
쫑이,교도소출소한지 3일됬습니다...ㅇㅅㅇ하지마세요 경고했습니다.. 조용히게임 즐기고싶습니다.....
이상훈,농심에 지우는 나름 잘하는거 같은데 아쉽네
이승윤,ㅇㅅㅇ
LHG,700점 뒤에 찍었는데 쇼메보다 앞에 있네 
김필필,ㅇㅅㅇ
강남나,페이커는 올프로도 못들어감 ㄹㅇ ㅋㅋㅋ
지준휘,쫑이 쟤 컨셉이 바뀌질 않냐 ㅋㅋㅋㅋ 일수는 늘려라
박해준,ㅇㅅㅇ
슈카랜드,농심 가즈아
짜우어어냐,녹화방송인가용
3000판실버,뭔 소리임 페이커가 쵸비를 왜 못이겨 롤드컵 4회우승인데 너 페이커 억까하지마 
2 2,농심이 지우가 원툴이라 그럼 어쩔수없음
마신리벨,kt ㅎㅇㅌ
석총,암온뽜이아~~~~~
파프리카머신,이번 오프닝노래 진짜 좋다
닥병새,경기 진행시켜.
Latte Cream,월즈에서 T1 vs 젠지 결승했으면 좋겠네. 행복한 결승이다
이현우,니가뭔대 행복해함?
정북,오프닝 노래 제목 아시는분!?
아!!! 퐁퐁이형!!!,농심이기면 저녁 너구리
소갈비살,롤은역시 잡밥대전
이건우,Fire
남시우,fighter
먼산위에,13:0
DM k,대 상 혁
jennieruby,KT 승이지
NAIYC,데프트 화이팅
티바트에서 하프뜯는 채널,대 상 혁
서현,젠지 올해 그랜드슬램각이네
별구름빵,컹 소름
SBY,페이커 쵸비 쇼메이커 비디디 제카 레츠고우
박씨,페이커 잘하긴 하는데 제오구케 버스가 큰데 너무 신격화해뎀
ㅇㅇ,농심 화이팅
JY,13:0 1557
큼큼,ㅎㅇㅌ
아재요,kt랑 기아가 정배긴하지
꿈꾸는치킨,아 성캐나 클템 한명이라도 나와야하는데 최악이네 해설진
당당하자,ㅋㅋㅋ 박씨야 니생각말하지마라
박정균,응 포비
제로프레이,ㅋㅋㅋㅋ
스윗규규,휴.. 다행 클템이다.
박현민,Kt슛
ギョンミン,오늘 유출은 어캐 되죠 ? 볼 시간도 아까운데
sjdj3nidmri,찐 또 나왔노 포니 ㅋㅋ
RTX Quadro 8000,숫자 또 생겼누 ㅋㅋㅋ
카힐로우,오른쪽 분 쇼메인가요?
유승훈,어제 페이커 혼자 통나무 드는거 ㅈㄴ 불쌍하드라
각전,1 5 5 7
Latte Cream,내 기분은 내 맘이지 저 정신병자는 뭐고
령,'고춧가루'
asdf,1황 ㄷㄷ
ㅇㅇ,13:0 1557
gygy,서부의 끝 vs 동부의 끝
ᅳ명진,88848
모시깽이,88848
puu paa,어제 경기 몇번을 다시 뜯어봤는데 미드차이에서 이어진 정글차이가 ㅈㄴ 크더라 걍 미드차에서 겜 끝남
조영욱,전광판에 t1왜떠잇냐
권영민,킅은 도대체 젠지를 어케 대떡을 낸거냐 .. ?
다캡_다크호스캡틴,칼 끝 승부
포우,1557
2 2,88848 아닙니다 888룰8입니다
두루미,킅 꿀잼경기 또 나오냐
HaramKim,대 황 킅
람머스,보약?
김태건,티원 젠지밑이네 ㅋ
이국,젠지 포핏 티원 월즈 2연승 축하드립니다
먼산위에,13:0
Y S,대진보면 킅이 4위할거같은데
LIV NsP,1557 거리는것들은 내가 인맥총동원해서 어떻게든 교도소 보내줄게 ^^
올드잉글리시쉽독,룰은 뭐임?
골드탱커연합회,크트는 이제 하위리그만 남아서 4위임ㅋㅋ
oo oo,2ㄷ1승리면 플옵 못가나요?
청수,지우야 ㅋㅋ
이재준,베릴 롤 진짜 잘하게 생겼다
별구름빵,트위치에서 포인트로 승부예측재밌었는데ㅠ
피자한판,1557
ricardo kaka,어제 페이커 쵸비한테 숨도 못하며 쳐맞았는데 뭔 통나무드립이여 ㅋ ㅋ ㅋ
SBY,티원을 이긴 젠지를 이긴 대황킅
오준범,kt 새유니폼 안입고 나오나?
༺ৡۣ꧁진꧂ۣৡ༻,든버지 해줘
JongHeon KIM,여기 입롤들 많음지들이 프로게이머ㅋㅋ
대포무노,덩치 엄청크네
티바트에서 하프뜯는 채널,아오 든버지 ㅋㅋ 그만던져!!
애는착해요,15571557 ㅋㅋ
쫑이,교도소출소한지 3일됬습니다...ㅇㅅㅇ하지마세요 경고했습니다.. 조용히게임 즐기고싶습니다.....
집나오면고생,항상 경기내용만 좋냐 너네 그 스쿼드로 이제 2년차다
신희윤,농심아 kt좀 잡아주라
쵸오오오코비,ㅇㄴㅇ
ko koo,ㅇㅅㅇ
94년,ㅇㅅㅇ
엥,아아악 LCK의 고양이 젠지가 BLG에게 럼자오자레를 주고 3315일만에 5중국인 팀에게 패배하면서 이렇게 롤드컵 8강딱을 하고 맙니다 GG
DAN,킅 연승 가자 ㅈㅂ
소갈비살,리그컵 3개로 뽕오지게 뽑노 ㅋㅋ
맨처음,녹방인가요??
고최,오늘 매치 진짜 옹졸하다
월백개미,1557 013
한정대,ㅇㅅㅇ
3000판실버,에휴 한번 졌다고 페이커 억까하는 애들은 뭐임?? 컨디션 안 좋으면 페이커도 쵸비한테 질 수 있지 뭔ㅋㅋㅋㅋㅋㅋ
이든 김,청자 구천명 뭔데
ᅳ명진,88848
육사시미,페이커 두번짐
모시깽이,88848 070
gygy,질수도 ㄴㄴ 털릴수도 ㅇㅇ
아니,왜사람이없노
Livello,그 팬덤 어제 쳐발려서 개긁혔나 엄한데 와서 아직도 그 얘기 중이네
JC,케티 고점떳나!!
Bruno,G
킴수덩,이런 경기 나같은 할짓없는놈이나 보는거지
김태영,명진이 티원져서 부들부들하노?
부렉끼,쵸비 졋으면 매장당햇을듯 ㅋㅋ
서현,둘다 탑이 구멍이긴 한데 
두루미,지우 ㅈㄴ귀여워
김태건,시청자 cl이네
Lover Carbo,데프트 미쳤네 ㅋㅋㅋㅋ
ᄒᄐᄒᄐ,신 꺾 마
くろ 쿠로,13:0
헤븐유리링,지우 거품이노 ㅋㅋㅋㅋㅋ
NAIYC,데프트 힘내요 
골드탱커연합회,지우야...오늘은 라면에 계란넣어먹자..
종수리,킬관여율이 낮은건 팀이...
개꿀돼지,지우 눈에 살기가 가득하누
먼산위에,스코어가 13:0이어도 1557 안나온다는게 ㄹㅇ?
powerful,제발 싸우지 좀 마세요! 페이커 보기에 부끄럽지도 않나요?
유승훈,젠첩들는 어제 내수경기 고작 한번 이기고 왜이리 신난거임 ㅋㅋㅋㅋ?? 그런다고 없는 월즈우승이 생김 ??
피자한판,13:0 1557 1557
GIGA JINY,데프트 지표 좋네
GUHYUP KANG,지우야 보여줄수있다 응원한다!
키노피오,컨디션ㅋㅋ 질 수 있지가 아니고 최근 몇 년간 페이커가 쵸비한테 계속 밀리는게 팩트지
이하제,아무래도 이건 뎊쥬대전이다
babygoat,잘생겻넼 
해적제이지,시청자 와이리 없노
다람쥐,든든만 잘하면 ㅋ
야토니,99.92?
SBY,jiuuuuuuuuuuuuuuuuuuuuuuùuuuuuuuuù~~~~~~~~~~
༺ৡۣ꧁진꧂ۣৡ༻,@3000판실버 그게 실력이야 ㅎ
인정딱따구리,기모띠
령,혜자확률이네
눅드,뭔 코로나 아니고 무관중이냐
HERESY,t1 젠지 게임도 아닌데 꼭 언급하는 젠갈들과 티갈들;
맨처음,녹방이네..
박씨,페이커 제오구케 스킬받이잖아 스킬빼주는 역할
흔한옵치충,페이커도 잘하고 쵸비도 잘하고 티원도 잘하고 젠지도 잘해 자 끝~~
박정규,개노답
남진환,88848 올해에 뒤에 8하나 추가할듯
곰이 그렇지오케이 성애자,케티 1셋 삽질할예정
yc LEE,티원팬분들 월즈로 몇 달 우려먹엇으니 조금만 사려주세요 ㅠㅠㅠ
맛있는 치즈스틱,88848
SKTelecomT1,어제 티젠전 20만이었는데 뷰어십 개박살 났네 ㅋㅋ
G2농담곰,비디디 우승하는거 함 보고싶다....
L45,내가 시청자 그만 받으라고 명령했음
Charlie Kim,피터 귀욤
주혜,실비 기여워
DAN,현체미는 쵸비고 역체미는 페이커가 맞지
라비님,어제 개쳐발리더니 화가 잔뜩났네~? ㅋㅋ
ssaktoong,어제 퍼즈 걸리자마자 풀리는거 보니 녹방이 더 좋은거 같다
슈거,구마유시오너 방출언제하냐티원은
고최,신 꺾 마
김지현,신라면 레드
이리파,니들은 lck 볼 자격도 없다 걍 애니나 보러가라ㅉㅉ
흑임자,1557
포카칩먹고싶다,농심 가보자
대포무노,치킨시켰는데 두시간동안 안오는중
이재호,88848
Youngbin Kim,피터 귀여운거 그만두고 지우좀 지켜라
쫑이,교도소출소한지 3일됬습니다...ㅇㅅㅇ하지마세요 경고했습니다.. 조용히게임 즐기고싶습니다.....
김태연,농심 응원한다 
미루나무,티젠 얘기좀 고만해 찐따들아 농케전이잖아 ㅉㅉ
피자한판,13:0 1557 1557
SecondRun,ㅇㅅㅇ 지우 화이팅 ㅇㅅㅇ
규빈김,88848
Onzo,쭁이 쟤는 계속 저러네
신밥샵,쫑이야ㅋㅋㅋㅋ 매일그러고있냐
랫서팬더,이런 경기에 무슨 할 말이 있다고 하지말라는거냐 
くろ 쿠로,중국팀잘잡는 우리 ^따이황슼^ 찌엔지는 언제이김? 그만 쳐맞아주삼...
이중구,ㅇㅅㅇ
이이따,ㅋㅋ13:0
도랐,표신 견제 ㅋㅋ
응애,표드랑이
ea rh,88848
뇌내망상,킅 화이팅
JC,표신 =ㅅ=
beom kim,또 녹방이냐? ㅋㅋ 개꿀빠노 
이승빈,88848
엥,한체미가 쵸비지 현체미가 어케 쵸비임 쵸비는 중국 미드들한테 개 쳐 발리는데 ㅋㅋㅋㅋ
신민호,1.5만명...
000,벤픽 좋네
하임,언제쯤 롤대남 개찐따들이 없는 채팅창을 볼 수 있을까
Pilot Johnny,젠지 올해는 월즈 한번 들어올리자… 
ㅁㄴㅇㅁㄴㅇ,농심 폼이 너무 늦게 올라왔음...
인정딱따구리,인정딱따구리 << 구독점
강남나,티원은 페이커 있으면 우승 절대 못해 제우스는 빨리 티원 손절해야되 ㅋㅋㅋ
몽글이,아브실골플에다2까지는 걍 좀 닥치고 봐라 티어도 낮은 롤알못들이 뭔 이러쿵저러쿵 말이 많냐
자녹,13-0
해적제이지,걍 채팅딜레이 없애도 티 안날듯
재한,어제 티원 젠지전 넘 잼있었음
어깨충돌증후군,농심화이팅
music maker,이미 우승함
망고,이번판 kt가 이긴다 ㅇㅇ
루피,콜미 왜 안나오나요
DAN,데프트 껌 중독이냐 되게 많이 씹네
김상현,ㅇ
LoL Fan,꺾리스타 ㄷㄷ
영준 안,애쉬를 주네
아기치타쌈무,비에고나오려나
냥냥이,어디팀이 더 잘해?
Kyle Ahn,고양이 짤좀 보여조
ET KIM,든버지 바루스 캐리각이다
킴수덩,원딜은 농심이 쳐바르는데
junsik kim,저거 니코틴 껌
SKTelecomT1,콜미보다 피에스타 쓰는게 맞지 ㅇㅅㅇ
이재호,지우한테 바루스 별로인거같은데
이재호,피에스타 월즈 횟수 = 쵸비 월즈 횟수
usert11,ㅏㅅ
L,오 탑칼리 원딜애쉬
TYWH,껌을 씹던지 말던지
랫서팬더,누가 서폿인가 도덕책 
Nightbot,@지금집에가니 -> Let's rock! [stop spamming words/phrases] [warning]
김ᄋᄋ,레나타를 안해?
Black coffee,루나미 왜 안나옴 op 아님?
분홍색꿀떡,ㄹㅇ
심철우,???
피자한판,13:0 1557 1557
고최,그래도 콜미 대신 피에스타 나오니까 볼맛은 있겠네
응애,롤서운 사실 : 쵸비와 내 롤드컵 우승횟수는 같다
H J,두팀다 경기없는날에도 슼젠 얘기가 끊이질 않는구나..
규빈김,88848
대포무노,승리의 트린다미어 언제주냐
나는 귀요미큰아빠,츄츄 츄밍껌
강남나,유출댔다 농심이 2대1로 이긴
IMCOM 424 Network,루시안 나미를 안하네 어제 T1이 2번이나 픽한 바텀 op인데 ㅡㅡ
오오리,애쉬는 '그 녀석'만 해야해...!!!
KK,티준딱! 티준딱! 신나는 노래~ 나도 한번 불러본다~~
Cheolho Son,ㅋㅋㅋㅋㅋㅋㅋ 경기를 안해도 뜨겁노 ㅋㅋ
빵떡빵,0013
