name,message
밴먹이면디짐,디도스는 해결됐다 더 이상 동요하지 말거라
Windows XP,오프라인서버 도입하지 않았나
이보크,오프라인서버 적용되서 네트워크공격자체를 못해요 걱정안하셔도됩니당
ㅇㅇ,오늘 녹방인가여?
simple dark,큰거오나? 오늘도 광동 주유소메타하면 답없는데 센거좀해
닛끔,한화 광동 강팀 호소인들끼리의 격돌
연진맨,캬
lebe,오프라인 서버로 생중계인건가? 녹화 아니고?
영원히로딩중,빨리하네
너굴너굴,제발 광동 이번엔 이겨줘 ㅠㅠㅠ 제발 ㅠㅠㅠㅠ
박주현,디도스 오늘부로 끝났다고합니다
Yuna,드디어 생방이당
태준,생방인가요?
황진형,한화 승 티원 승 끝.
bx Hwang,34분시작은 머에여??
RememberTheMagicWords,대호야 제발 이번에 좀 우틀앓 그만 좀 ….
쏘옹,디도슼
I got your back,광동 힘들어 솔찍히 안딜 폼 못찾으면 끝장남.
강성휘,T1 벌.픽 보러왓다요
ㅇㅇ,드디어 생방 ㅠㅠ
트페리,티원 젠지한테 왜졌냐고 ㅡㅡ 제우스 잘햇자나 얘들아 왜짐?
유성진,젠지가 잘하니까 그렇지 않을까?
헤응,대호야 깝치지말고 스몰더 벤해라 ^^
다람쥐쿠키,가슴이 옹졸해지는 꽝동 경기네
김홍석,대상혁
iiiiiiiiiii,걍 1세트 13대0인가 퍼펙트로 젠지가 이기고 2세트도 한타에서 젠지싹쓸이였음 다름아니고 세나 칼리 살았는데 티원이 루시안나미 고집해서 졌음
카르페디엠,제우스도별로였는데그경긴
Latte Cream,한화가 멤버가 나쁘진 않아보이긴 한데 이정도로 잘할 줄 몰랐다
Rovin Chae,이거 생방이지? 일찍하네
LUKE120,가즈어
헛 포비 Hut Poby,얘들아 학교안가냐?
솔직함,88848치지마세요 젠지 법무팀에 다이렉트 고소합니다. 선처 절대없습니다 
Nightbot,"@Tlqkf련들아 나 kt팬이라고 -> Nightbot one, bad guys zero. [stop spamming words/phrases] [warning]"
도리,난 백수여라
이세영,나이트봇보소
Solitary,너네들보다 잘하니까 티원 못한다 못한다 하지말고 그냥 보자 ^^
강성휘,티원픽에 울프 어이없다더라
나두배,88848
머핀,생방송인가욥
whiteapple2,한화는 야구 투자 할 돈 여기에 투자하면 1등 할 수 있지안햔
ㅇㅇ,"난 목감기라 학교,학원 둘다 안감"
오공._.,88848 팔만팔천팔백사십팔 치면 법적 고소를 받는 그런 숫자 인가요 ??ㅋㅋㅋ젠지 법무팀은 무고죄 엄청 당하겠는걸요 ??ㅎㅎ
김홍석,플옵 한자리는 DRX가 탈듯 광동은 폼이 영 아니더라ㅋㅋ 자만픽하다 무너지고ㅋㅋ
Main,GenG
EOK J,피넛 도란 한화갔는데 욕좀 그만해주세요
백승우,티원 진거 밴픽때문인듯.. 꼬마 안나가냐..?
iiiiiiiiiii,오늘 광동이 이기면 젠지 PO 2라 확정임 잔여경기 여부 상관없이 젠지가 남은경기 다져도 2위확정이라
맹구,우리는 쵸비의 시대에 살고잇다
mozzi,광동 오늘도 연패드가자
헛 포비 Hut Poby,좀있다 경기 시작되믄 출소한지 3일 된 애들 올겨 갸들 항상온다 맨날 3일이야 갸들은 이상혀
Don’t ,88848이 머임?
천지개벽,광동 살려줘 ㅜㅜ
하이얀종이,광동 이기면 쌍화차 할인행사 하냐 ?
미누미누미누성,이번 롤드컵은 젠지가 우승할듯
Tang Tang,유출함 광동 2:0패배
강성휘,꼬마감독 티원 월승하니 쳐오네 퉤 냄새나 쓸모도읍고
ㅇㅇ,감독탓을 하는 사람이 있네 국대 감독인데.. 걍 선수들이 못햇음 ㅇㅇ
choi대호,젠지는 이제 압도적 1황이네.ㄷㄷ
파낙스,젠지 팬으로서 제발 기대컨좀요 설레발 금지 ㅋㅋㅋㅋㅋ 기대하면 안돼요
수☆,88848
김홍석,어차피 국내 우승은 젠지가 백날천날 먹어 월즈는 또 우리꺼임 
임준수,출소한지 3일됐습니다 ㅇㅅㅇ하지마세요 경고했습니다... 찾아갑니다
트페리,에버소울 하러와 얘들아 존잼임 원신보다 존잼이다
금닥락,ㅇㅅㅇ
sejongdaewang,드가자
ᄅᄋᄏᄏ,이제 티원의 시대는 간듯 젠지가 이번년 월즈 lck 다먹을듯
ᄉᄌ,0ㅅ0
choi파이,광
Latte Cream,MSI에서 못하면 월즈 진출 못하나요?
iiiiiiiiiii,오늘 광동이 이기면 잔여대진 다져도 2위고 한화랑 득실차 똑같다고 쳐도 승자승 적용때메 무조건 2위라 PO2라확정임
도담헬스,뭔데 벌써 1300명이 보고 있어?
