name,message
김홍석,FOX KT 화이팅!! 여우의 반란을 보여주자!! 
2210김태훈,진에어는 장소가 아니다
Kjch,얘들아 안뇽
CrazyCactus,ㄷ
하얀토끼,녹방임?
괴도키득키득,?
캬캬1,끝말잇기 시작 슼갈
김태희,대 상 혁
ᄋᄉᄋ,DRX 요즘 폼 올라가서 모르겠네.....
SKTelecomT1,ㅎ2
지나가는시민,오늘 경기 유출된거 진짜임 ?
김홍석,여우의 반란이 뭔지 보여주자!! 동부는 치열하다
sangjin lee,누가이겻노
조까마귀,프린스가 캐리해서 피어엑스가 2대1로 이김
편자,음 ㅈ밥대전이구만
호잇쨔,끝말잇기 지금도하나
보르타,브리온은 이번이 마지막 기회다!!!!이거 지면 사실상 끝이다!!!!!!!
김홍석,대상혁
다라이,오늘 매치업 수준 실화냐
efgh abcd,딱 서부팀 동부팀 나눠진 느낌이네
남진환,88848 행운의 숫자입니다
이름뭐하지,라이브인데 뭔 유출이여
B Lee,라이븐데 뭔 유출임
김태영,1557 0013
오딘,미드 4명 지리네잉
다라이,걍 오늘은 크트가 보약 한사발 하고 순위 올리는 날이네
유승훈,1557 거리는것들은 내가 인맥총동원해서 어떻게든 교도소 보내줄게 ^^ 꼭 두고보자 ㅋㅋㅋ
김시온,88848
도담헬스,오늘 보약대첩임?
하띵,피어엑스 한표
sangjin lee,88888
Lo ve,아니지.. 888룰8 아님??
Yuna,화이팅~
조현준,1557 0013 급으로 재미없는 매치네 오늘
XX X,오우 오늘 대진 쌉창난거보소 lpl이나 보러가야겠네
efgh abcd,FOX VS DRX는 누가 보약이냐? 서로가 보약임?
김홍석,첫경기는 엄대엄 매치 두번째는 보약 매치임ㅋㅋ
LIV NsP,확실히 티원팬들이 신사적이긴하네 젠지팬들은 고작 리그경기 한번 이겼다고 몇일내내 채팅창 더럽게하네;;
김태영,1557 0013
안녕수야7,오
Integral DENEB,drx응원하는 광견이면 개추
Just kk,두 팬덤이 lck를 망치네 ㅋㅋ
심술보,949명 시청 실화냐?
Kio,노잼데이네
유제,LCK팬들 모두가 싫어하는 중국팀 88848 개극혐
유승훈,티원 젠지 다음으로 팬 많은 팀이 어디임??
김홍석,티원팬들은 젠지한테 관심도 없음ㅋㅋ 원래 클린한 팬덤임
용주영,ㅈ밥매치네..
평화주의,fox 지면 광동 플옵이네
정혁,ㅂㄹㅈ매치네 롤하러간다 ㅂㅂ
심술보,테디 쨰려보는거 와이리 무섭노:face-fuchsia-wide-eyes:
김태희,대 상 혁
간바레오또상팩,어차피 우승은 젠지임
다람쥐,듀렉스 화이팅
12번째리세,작은거 온다
과거란,테디응원한다 아자아자 아쥬아
김홍석,FOX 이겨야 한다!! 광동이 플옵가면 안돼지 drx가 가야지
iiiiiiiiiii,그래도 팬덤순으로 따지면 티젠담광한 순 정도 되지않음?
심술보,POG 포인트 역겨운게 페쵸 양강구도 만들려고 심사진들이 편파심사중임
지나가는시민,유출 브리온 이기는거 진짜임 ??????
수면제,어제는 라이브였는데 녹방이 아니라
소호,1557 - 0013 전화하니까 버스혁이 받던데 ㅇㅇ
황소,팀상성이라는게 ㅈㄴ무서운거야 젠지가 티원후두려패는데 젠지는 국제전에서약하고
cproject,소호 <-- 중국인 인증
미소갈매기,0013은 또 뭐냐
MJ Park,앞의 매치 노잼각이네
Woosuk Shin,88848
김폴리,DRX WIN
김민준,아 0013이 뭐냐고 하면 대 상 혁의 솔킬 기록입니다 ~ 
김태희,대 상 혁
적 셔,:baby_bottle::baby_bottle::baby_bottle: 정글은 꼭튜브 :baby_bottle::baby_bottle::baby_bottle:
김홍석,광동은 경기력 보니깐 자만하고 강팀인거마냥 해서 떨어져야됌 
cocokorea,하위권팀 경기는 그냥 빼면 안댐?
고두기,ㄹㅇ하위권 걍 빼고 티젠만 돌리자
Youngbin Kim,오 디알엑스 3승이엿눼
송재명,누가 이길까요?
yc LEE,1557 0013 팬덤분들 분탕 그만해주세요 ㅠㅠ
iiiiiiiiiii,피어엑스 져도 광동 플옵 확정아님 그리고 내일 경기에서 티원이 한화이기면 거의 90퍼센트 확률로 젠지 티원 PO 2라 확정임
YO HAN,1경기 누가이길까 진짜
김태경,요즘 듀도 경기력 올라간거같던데
윤찬영,ㅋㅋㅋㅋ 그와중에 미드만 4명이네
남진환,외쳐 쵸비~ 88848
뚜둥,오늘은 걍 대노코 노잼이네
Ho Cha,인생 비루해서 이 시간에 집구석에서 온라인으로 연봉 80억 이상혁 까고 있는 놈들 많네 ㅋ
진참성,외쳐 1557 0013
소호,쵸비한테 양학당하는 버스혁이 왜 pog1위임?
고최,오늘 빅매치네요 피어엑스 VS 디알엑스 / 브리온 VS KT 유튜브 채널고정 부탁드립니다
TH K,노잼매치 - 양학매치 ㅆㅎㅌㅊ노;;
깐따삐아,피어엑스는 4경기 다 이겨야하고 
121몰라,1557-0013
김홍석,드가자!!
brandon 2,와 라이브 뭐노
고두기,꼭튜브 보고올란다 걍
힘내유미,꼭!
zzzzzzz,ㅇㅅㄲㅅ
조현준,1557-0013
터벅터벅나애일상,#DRXWIN
마로,오늘 밥싸움인가요
남진환,88848 외치시면 비틀어버립니다
마오카이의 1렙 솔킬,1557 0013
하얀토끼,피어엑스 화이팅 오늘 이기면 플옵진출
Yuna,오프닝 잘만들엇당
김홍석,대상혁
MJ Park,브리온 kt 는 좀 나으려나
TK,대진표 실화냐 가슴이 옹졸해진다
고최,영원하라 신상혁
소호,0013은 오프닝에서 빼라좀 ㅋㅋ
panther 2,88848
Nightbot,@Miguel Henriquez -> You're on my naughty list. [stop spamming caps] [warning]
쿠쿠,88848 무관딱
ZoZo,광동 1승7패로 상태 안좋을때가 기회지 ㅋㅋ
고독한골방철학가,8딱8딱 럼자오 됐네~~~~
김태경,폭듀 누가 이길까
TH K,꼭튜브 << 순수재미 GOAT
정요,엄대엄의 싸움
고두기,정글은 꼭튜브
김대은,폭스 과연 동부의왕 자리 뺏을 수 있나아
gwnag,지면 끝이다
cool,1544 - 0013
jack,1557 - 0013
닛끔,농심은 대체 뭔일이야ㅋㅋ 브리온보다 아래네ㄲㅋ
dioawj,88848
김블랑,1557-0013
infrgo,7등부턴 걸러내면 되겠는데? ㅋㅋ
effort,똥 오줌 대결이네 ㅋㅋㅋㅋㅋ
소호,운명의 ㅈ밥대전이노 ㅋㅋㅋㅋ
거리화가,오 듀렉스 폭스 개꿀잼이겠네 ㅋㅋㅋㅋ 얼마나 치고박고 엎어질까
김시온,88848
전성범,끼예후
ㅇㅇ,88848 치시면 디도스겁니다 
김민준,끼얏호우 
명이나물,정글은 꼭튜브
마오카이의 1렙 솔킬,1557-0013
심술보,쟤 웃는거 머임
하얀토끼,키야호우인데 예후라고 하네
신현민,오늘이 피어엑스 플옵분기점이다..
하나카나,drx가 이길수도?
박하사탕,채팅 제발좀 갈드컵 열지마
쿤아게로아그니스,모야DRX새탭2군감?
aud ans,광동에 달린거지 나머지 동부팀들은 승패 의미없자나 ㅋ
e June,77.4
Taek2DA,77.4k ㄷㄷ
꾸꾸릿,888488
Evelyn Kim,테디 행복하자
김태경,스몰더 서로 밴하겠네
롯데자이언츠v3,아무나 이김 되지~
헤응,린가드 응원
흐에,페이커 오늘 선발인가요?
DUK KIM,스몰더로 장기전가면 누구나 저정도 함... 700스택 스몰더였음
all광기군단장,테디가 저렇게 딜박는데 나머지는 뭐하냐
이창우,클로저 야스오 가자
room 4long,꿀잼 경기는 없네
ko koo,오늘부터 오프라인 뭐시기 적용한건가?
닛끔,700스택ㅋㅋㅋ
PHin,끼얏호우 부활?
박지민,drx 우승 각
내이름은백구,6500명ㅡㅡㅋ 티원젠지 경기에 10분의1이네ㅋㅋ
cream,어제부터 적용했어요 어제도 라이브
동동,둘다 피오 탈락 확정이죠?
김형민,지표;;
이재준,879
벨,대 디
김시온,88848
XX X,테디 ㄹㅇ 인간 넥서스네
ZoZo,플옵권을 따기위한 ㅈ밥대전 치열하겠네
Lifestyle ,인간넥서스 미쳤네
AHJ,스몰더 ㅋㅋ
ZOFGK,테디 ㄷㄷ
ㅇㅅㅇ,지표보소 ㅋㅋ
김덕배,대 황 디
권영민,테 사 기
노루,작은거 온다
순이가보고싶다,또 테디네 ㅋㅋㅋㅋㅋ
퉁퉁이,와 생각보다 인기많네 70만명이나 보다니ㄷㄷ
e June,남은경기 네개 다 이기면 플옵갈수있음 얘네도
민,이거누가이김?
박준혁,딜하나는 무조건 박아주네
허심탄회,2황경기 빼고 볼게 있나? 어짜피 2황한테는 다지는데
헤헷,테디 살빠지더니 잘생겨졌네
하얀토끼,7200명
쿠로미,시청률 1/10 이상 토막났네 7천명ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
소호,ㅈ밥들이 플옵가면머하노 어차피 깔개용인데 ㅋㅋ
Groucked,노페 저 얇은 목소리로 억텐긁는소리내니 ㅈㄴ 기괴하네 ㅋㅋㅋㅋ
김경중,코드름ㅋㅋ
ᄋᄌ,ㅈ밥대전이 꿀잼인데 뭘 모르네
아리안,근데 ㅈ밥대전이 재밋긴해
후니,가자 샌드박스
호이호잇,ㅈ밥대전이 치고박고 재밌음
김블랑,가자 퍼리색수
임재형,영호아니냐
브리츠,폭스는 뭐냐\
JO MO.,그나마 피어 광동 게임들이 플옵걸려서 볼만함
탕팡,05야~
하나카나,킬 많이나긴하냐? 엘시게이처럼 하는거아님?
PHin,경기수준과 재미는 별개다
Italian Stallion,담부터 동부팀 경기는 비방으로 진행하세요
서쪽전선이상없음,피어엑스 2대1 승 봅니다
혜성,세상에서 제일 맛있는 똥대 설사의 대결
이재준,노틸그랩이나 잘하자
ZoZo,ㅈ밥대전 = 벼랑 끝 승부
Youngbin Kim,엑스큐트 귀엽눼
Integral DENEB,테디화이팅
리곰,디알엑스는 오늘 지면 가망이 없다
허심탄회,윗팀이랑 비비는 모습이라도 보이면 좀 볼건데 윗팀이랑 너무 차이나니까 뭐 아래팀끼리 싸우는거 아무 의미없음
민,류감독ㅋㅋ
김민준,ㅈ밥대전은 2배속으로 보여줘라 제발
퉁퉁이,류또죽아닌가?
휴먼,테디 파이팅
조현준,이 시간에 백수가 9천명이나 되네... 대한민국 망했다...
kim ju hyun,류는 왜 맨날 죽상이냐 ㅋㅋㅋ
II II,아 누구 응원하지 둘다 좋은데
ko koo,영원히 고통받는 류
마가렛,피어엑스 지면 광동 플옵 확정임?
