name,message
OPPENHEIMER,아니 벌써
Jinhwan Jung,가쥬아!!!
RCom,큰거 온다
wickKid,숭배하라 신 상 혁 신 황 비
I got your back,애들아 그래서 오늘 한붕이가 t1 잡냠?
Shuri의 전기차세상,??? 중국에 사니까 VPN 써야만 볼수 있네요 흑흑
김준혁,젠지 티원 모두 응원합니다잇
구름,빠르게 2대떡 승 하고 한 티 가즈아
H,젠지는 오늘 그냥 라면한그릇 하러 나오네....
ABLE GAME,일단 대 상 혁 외치고 보자
이연우,언제까지 녹방임?
귀여운토깽이,⁸⁸⁸⁴⁸
mk2,네 안녕하세요 찌엔지입니다 찌엔지여러분들 정말 그러시면 안되는거죠 어떻게 중국을 지지한다는 발언을 하실 수가 있는거죠?
괄챤,"제기랄, 또 대상혁이야. 이 게시글만 보고 자려고 했는데, 대상혁을 보고 말았어. 이제 나는 숭배해야만 해.... 숭배를 시작하면 잠이 확 깨 버릴 걸 알면서도, 나는 숭배해야만 해. 그것이 대상혁을 목도한 자의 사명이다. 자, 숭배를 시작하겠어.Faker 이상혁내가 당신을 그리워하는 것은까닭이 없는 것이 아닙니다다른 사람들은 나의 미소만을 사랑하"
SuHyeon Kim,이미 녹방 끝나고 생방송임
Ww12o7,벌써 롤드컵 시작인가요? 중국팀이 왜??
s에스,티원 폼 떨어졌다고 생각했는데 아니나 다를까 젠지한테 진게 충격이 컷나보네 ... 젠지는 강수록 최고점 찍는 비트코인 같은데...
타짜,오늘 누구랑 경기하냐
oiyuhi,오늘 첫경기에 아리 눈정화 가능?
Wellon,88848
마스터 Ol,근본브금 ㅈ되네 진짜
ᄋᄋ,한화는 지금 티원 못잡으면 평생 못잡음 ㅇㅇ
뚜둥,디도스 범인 잡음?
김홍석,대상혁
user-yv5zm8en7p,"젠지 = 비트코인, T1= 위너즈 스캠"
이걸왜그렇게해,한화가 이겼으면 좋겠다
리뽀뽀,페이커♡대상혁♡제오페구케♡T1화이팅!!! 좋아해요!!
키네틱플로우,티원
박상혁,하 또 젠지가 우승하겠네 에휴..
박창현,남은시간 15:57 ㅋㅋ
꽃,농브듀 진짜 스레기팀 ㅋㅋㅋ
낭만고양이,젠지는 국내용 T1은 해외용 검증된 사실이지.. 
상혁,농심이 이겻다네 결과나옴
QQ,농브듀보단 1557이지~
더라이트,근데 티원이 한화한테 져도 나머지 다 이기면 2위아님?
DC LEE,t1은 젠제 절대 못이기는듯. 이젠
LALLA TV,오늘 농심이 젠지 잡는다
뚜모,미미정미미
라쿤시티,쵸비가 왜 2번째임 알파벳으로 해도 1번인데 ㅋㅋ
도르르,작년에도 젠지들 저소리했지 않았나 22년도에도
닉변함,왜 또 POG는 국대미드 둘이냐
푸딩푸딩해,ㅈ만한거 온다
