name,message
마요인데 :3,""" 큰거온다 """
no mic me carr y,광동 가자이~~~
김홍석,광동 KT 화이팅!! 오늘 경기에서도 지면 플옵 진출 가망없다 벼랑끝이다 모든걸 걸어라!!
사람,대상혁
공부,오늘이 진짜 멸망전이다 ㅋㅋㅋㅋㅋㅋ 광동 폭스 둘 중에 한명은 오늘 탈락위기다
키위키아래,피어엑스 할수있어!
오리,오늘 빅매치네
sangjin lee,오ㅐ캐일찍하노
하하,피어가 이길 것 같누
꿈꾸는치킨,10위맥스가 명장병이 심하게 도져서 또 질듯
솔직함,88848 치는애들 ip 따서 찾아갈테니까 마지막경고임 치지마셈 신상따기전에 ^^ 
스땁,88848
굿뀼굿,방음부스 설치 계획 없나요?
OMG,익룡갈 또 시작이노 ㅋ
전전전,풋살 할 사람?
L45,광동 지면 꿀잼리그 됨ㅋㅋ
웅후,광동 좀 이겨라!!!!
너굴삼,젠지 우승확정인가요?
김홍석,담주부터 유관중 한다고 합니다!! 우리 티원 익룡 누나들 때문에 1위하겠네요 감사합니다!!
A,"동부의 영원한 수문장이 되기위해 게임을 망치러 오신 오, 나의 광동 프린스~"
강기유,광동 지금 연패중인가요?
코드봇,광동의 감동적인 경기
뀨,광동 제발 이겨줭
카레너무좋아,대 상 혁
선한곰,피어엑스 해줘~!!
김홍석,살떨리는 광동팬이면 개추
koi s,오늘 광동 폭스 멸망전이냐
J끄앙,광동이 2:1로 이길듯 느낌왔다
Vt0ng,어우슼
Soomin Gim,오늘 멸망전임?
Haerin,"미드들 사이에 캐니언, 표식 ㄷㄷ"
OMG,솔직히 티원은 몰래 바론 칠 때 팬들이 아가리 여무는 게 역겹긴 했음
쫑혀늬,오늘 태윤 복귀전 !!!!!!!!!
na kun,오늘도 pog 대상혁임?
김기찬,DRX가 이길듯 넌 나가라
김홍석,티원팬이지만 광동 롤드컵 스크림 깐부랑 이겼으면 좋겠다!! 근데 피어엑스 여우 군단이 심상치가 않다
코드봇,여우슼
칡삵몫,뭐야 광동이랑 폭스 경기 원래 5시 아니였나 왜 지금함?
아재요,fox의 미라클런시작 ㄷㄷ
겐샤,대상혁 ㅠㅠ
노노라기,억g는 좀
조영진,광동화이팅!!!!
대황벽돌,오늘 태윤 나옴?
김홍석,대상혁
Kim Dean,이경기가 진짜 엄대엄 경기 ㅋㅋㅋㅋㅋㅋㅋ 
이효형,생방임???
제오페구케,디졌다 “진짜”의 그들이 온다..
문강이,억g pog 쵸비가 저렇게 받으면 2000점
バーカ,그래도 여긴 ㅇㅅㅇ하는 애들 없어서 좋네
쭈쏘,광동 제발 져라
홍크나이트,광동 오늘은 보여주나
달팽이,티원팬들이 관중에서 소리질러서 위험한 상황 알려주는거 진짜 사실인가요??
세린,ㅇㅅㅇ
정확한,피어엑스 광동 존나 기대되네ㅋㅋ
ᆞJM,바로시작임? 아님 예능 하나 틀고 시작?
Haerin,젠지는 내일 1경기 더 남아서 쵸비 pog 1등 찍겠네
Yoshi J,12시부터 경기 시작
김홍석,저희 티원팬 일동은 익룡과는 무관합니다 
ho,어디가 게임하던 어차피 오늘의 pog는 페이커!
매일운동,님들 LCK채널 구독 새로하면 채팅쿨 줄어듬
이이,ㅇㅅㅇ 좀 제발 그만해주세요 환공포증 걸릴거 같아요…
신나는하루,미드 단합대회 재밌겠다
너굴너굴,제발 광동 다시 뒤집어줘
na kun,담주 유관중이면 티원 귀신같은 경기력 나오나요?
김서현,샌박 팬 살려주세요....속이 아파요..
김평식,닉네임도 쵸비가 알파벳 C로 사전순서로 앞서고 팀 순위도 앞서는데 대체 왜 페이커가 왼쪽에 있는거임?
킹주농,노래 ㅈㄴ근본없는듯
홍승완,평식이형 조심해 그팬들 난리친다
ㅇㅇ,오늘 폭스가 이겼던데 내가 롤파크 들어갔다왔는데
사모예드다롱이,귀신같이 자기 자리들 찾아가는거보면 참 신기해
JH,위메이드폭스 요새잘함?
For nation,5시라고 해놓고 왜 또 3시임?
두승수,주말은 3시아님?
H J,광동 전패 가보자
정누누,평일 5시 주말 3시 생중계하던 그대론데 뭐 LCK 하루이틀보노?
panther 2,888룰8
대황벽돌,오늘 태윤 나옴
너굴너굴,광동 이번에도 이대로 쭉 전패하면 진짜 못참는다 ㅠㅠ
신나는하루,15시를 5시로 잘못본거 아님?
신다환,주말은 3시
큐큐큐큐큐큐,진짜경기나온다
잉기,ㅈ밥경기 안본더
Hidi K,녹방아니고 생방으로 돌아가서 다시 3시됐습니다 
남진환,88848 그만해라 올해는 다르다
시애틀토박이,황이커
김홍석,근데 플옵에서 한화가 일내서 젠지잡을꺼 같은 느낌이 드네..
규륵규륵,15시면 오후5시 아닌가요? 왜 3시에 함?
