name,message
지우비전,담원 홧팅
김홍석,BRO GEN G 화이팅!! 대황 미드들 화이팅!! 
아재요,대 황 딮
메트로무민,대황딮
롱신병자,우리동네는 날마다 울려총성 두루루 탕탕
쿤아게로아그니스,젠지전은기대안함..체급이너무차이나...
oo,대황딮
김홍석,1경기가 ㄹㅇ 엄대엄이네ㅋㅋ 흙지우vs대황 엔비 
기묘한나그네,인생망한 두팀과 신에게 도전하는 dk
뽀뿌,브리온 농심 둘 다 화이팅!
김수한,요즘 디케이도 멤버는괜찮지않나요
Persimmon,1경기는 줫밥대전이구만
탐욕왕,5시에 오면되냐?
evinghost H,양학은 담원
ㅇ__ㅇ,담원이 젠지 이겼으면 좋겠당
어깨충돌증후군,젠지 화이팅
달팽이,끼이이에엥에ㅔㅇ에ㅔ엑!! 그들이 온다..
준민,라이엇은 양심있으면 똥꾸릉내나는 농브전 미루고 젠담전 틀어라~
zEs,1황 젠지 2강 헌화티원
Eddie Lee,대기실 음악 찰지네
어리둥절범고래,후아유맨ㅋㅋㅋㅋ
김시온,88848
난 매,오늘 농심이 이겨서 농브듀 3대 멸망존 봐야지
에러,888룰8 잘하네
KK,자랑스러운 LCK 스프링 써드팀 T1
TOd M,같은 1100점인데 왜 그분이 왼쪾임
홍민용,작은거 오냐
감자맨,이번만큼은 담원응원한다 
오늘,대 상 혁
Nah,브리온 농심 누가 더 잘함?
아빠제주도감,광동이짐
김홍석,1경기는 누가 이겨도 이상하지 않음 근데 미드 바텀 차이로 끝날듯
DY K,멸망전 온다!!
A,브리온도 플옵가능?
hoohoo,브리온이 이길듯
어리둥절범고래,브리온도 탈락인걸로 암
hrth,담원 처형식날
헐퀴,이건 진짜 작다
미최존,담원 국제전 이겨줘
푸른별하나,젠지 스프링 우승 msi 우승 할 수있을까?
Junsu Park,와우~ ㅈ밥대전
기묘한나그네,젠지는 국제전만 잘하면 참 완벽한데
김홍석,둘다 탈락했고 플옵은 FOX가 갈듯 남은 대진이 BRO NS이고 광동은 DK KT임 확률도 이젠 FOX가 더 높음
신두형화이팅,결과 나왔습니다 브리온 2대0 승 젠지 2대1 승
내이름은백구,꼴찌들의 생사결
최유라,구마유시 제리는 ㄹㅇ 다딱이 수준인데 왤케 올려치냐?
Latte Cream,T1: 레알마드리드/ 젠지: 아스널/ 한화생명: 바이에른 뮌헨/ DK: 맨시티/ KT: 맨유/ 광동: 토트넘/ DRX: 마요르카 / FOX: 도르트문트 / BRO: 에버튼/ NS: 셰필드
윈터,젠지가 맨시티 아닐까...
웅이,젠지 2:0 압승이었겠군 결과 안봐도 비디오일듯
김홍석,T1은 나라로 따지면 브라질이 맞음 월즈 우승만 4회임ㅂ
푸른별하나,월드컵 우승많이 한 나라가 브라질임?
꿈꾸는치킨,아무리 경기 시작전이래도 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 시청자 1000명대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개망
J끄앙,티원 뺴고는 인기 없음ㅋㅋㅋㅋㅋㅋ
라이소,그냥 응원만하면 되는것을 남 까내리는 젠지팬이 새삼 대단해보이네
마도라,젠지가 맨시티지
ㅇㅇ,젠지는 맨유지 뭔 맨시티야
김홍석,ㅇㅇ 월드컵 우승 최다국가 브라질 그다음이 프랑스임
내이름은백구,티원경기 5.5만 보더니 여긴 1.8천이네ㅡㅡ
user1222,내가볼때 DK는 챌시임.....
영태,대상혁 vs 르브론 누가 더 goat임?
Black,페이커 pog 몰아주기 그만
좋아하니까 보러왔어요,나락 OF 나락전
푸른별하나,와 브라질이 5번했구나
법선벡터,작은거 온다
이승훈,끼에에에에에엑
ᄋᄋᄂᄂ,단두대 매치 ㄸ
가나가나,이런 듣보팀들 경기는 왜보냐 ㅋㅋ
꿈꾸는치킨,함 다음주부터 익룡단 때문에 또 귀 썩겠네
김홍석,롤에선 페이커가 신 축구에선 호나우두가 신임
준체,어차피 플옵도 못가는데 누가 꼴등인지 가려보자 ㅋ
