name,message
Ho Cha,T1 여기저기서 분석 빡세게 당한 듯 
Crux 04,롤드컵도 바텀 라인전 원툴로 다 이겨서 너무 중독된게 큰듯
Latte Cream,월즈 결승가는 여정자체가 엄청난 자신감을 얻지만 동시에 매너리즘도 생기게 됨
skeloqkdn,티원 에이스견제 빡시네 ㅇㅇ..
조Man건,디플러스기아 는 최강이다
도토리,티원 처발려라ㅋ
조Man건,:face-red-droopy-eyes::face-red-droopy-eyes::cat-orange-whistling::face-fuchsia-tongue-out::eyes-purple-crying::face-red-droopy-eyes::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape::face-fuchsia-poop-shape:
으악새,개
링링배,888
댓글써서 구독자1만명찍기,"drx 0 "" 2젠지 농심 2 : 1티원"
다리버거,디알에스 사고 함 치자!!
아재요,drx gen
브리츠,아 여기 아니네
똘복이,오늘 녹방인가요
김동현,유관중 생방입니다
댓글써서 구독자1만명찍기,오늘 녹방이고 경기 결과는 젠지가 2개0 농심이 2대1로 이겼습니다^^
hermit a,시간이 왜 저래요?
조현준,1557-0013 이라는 채팅은 자제 부탁드립니다.
FreeQ TV,농심이 티원 이길거 같누
똘복이,님들 티원 오늘 1557 당했다는거 사실인가요
용훈최,티원 젠지 선수들은 사이좋은데 왜 팬들은 분탕질이냐 아이고
하띵,팀이나 선수들 임신공격은 자제해주세요
isfp,인신
NORU,임신 ㅋㅋㅋㅋ
리리타그,15분 넘엇는데 머임
도카다도캐,인신공격이지..
후우아,오늘부터 유관중 아니냐
쏘핫,가저
Nightbot,"@S L -> Oops, I did it again! [stop spamming words/phrases] [warning]"
가보자,유관중 생방임 무슨 ㅋㅋㅋ
김시온,88848
김준영,젠지는 저렇게 잘하는데 어떻게 국제전만 가면...
노루,오늘은 진짜 작은거만 두개네 .. 노잼이겠다
디디릿디,이거 좀 보다가 야구봐야겠다
dkanrjsk,언제시작함?
Keith Min,콘텐츠 이렇게 많았어..?
장성민,인신이겠지 똘북아..
히안,농심이요? 2판 다 해서 50분컷
A_mericano,1557-1300
조현준,진짜 요즘것들 맞춤법 과관이다....
댓글써서 구독자1만명찍기,1557 VS 88848
서인 이,과관?
사람,88848
오잉잉,88848은 어떻게하냐 ㅋㅋㅋㅋㅅ뱔
isfp,가관
나비,1557이지 ㅋㅋ
hs lee,T2 경기력 떡상의 날
하후,ㄹㅇ 88848페이커 고등학교 내신등급이라는데 나 공부안해도 22134는 나오던데 ㅋㅋ
Rscher,티원 발리니까 댓글 ㅆ창났네..
슈거,나라를중국에넘기겟슴돠 훠훠훠
q123qz,88848이면 북미 시드받아도 88848하는거아닌가?
수달,내일 5시에 ㅈㄴ 큰거 온다
panther 2,88848
강현호,광동전이 제일 기대되는데 지금
하띵,이번주는 근데 생방임?
김홍석,ㅇㅇ 생방 유관중임
고추장가오리볶음,또 댓글 더럽다싶으면 다 젠지팬이네 ㅠㅠ
김동현,관중 있는 생방임 이번주부티ㅣ
꼬북이,아직도 14분이나 남았네
