name,message
밥버거,dk가 이기겠다
이정길,대 황 메 이 커
박무개,한화 2등 가능성 있나요?
뽀뿌,비디디 쇼메 화이팅:yougotthis:
Rose Ran,한화가 2승하고 t1이 한번 미끄러져야
미이췬,비디디
진K,데를아 사랑해
김진욱,킅 이겨보자잉
rywifinnr,오늘 다 중요한 매치네
Yuna,화이팅~
이정길,대 황 메 이 커
망나니,몇시 정도에 경기 시작함?
༺ৡۣ꧁진꧂ۣৡ༻,4;30
복자,"경기는 5시, 라이브 열리는건 4시 30분"
I got your back,낙낙~ 문열어 주세요 ~
치킨,오
쿠앙쿠앙,5시 5분 정도면 시작해요
엔타로,오늘 6곽 가나요?
조성학,kt 광동이 이겼네
ᄋᄌ,오늘 두경기다 승부 예상하기 어렵네
챔상,씨맥의아이들올려줘라
레비,한킅전 기대되네
김홍석,오늘 누가 이기든 3꽉 명경기 보여주라!!
이진영,케광 화이팅
카미카즈,88848
DEVRAN,yoooooooo
Kappaa,한화야 개발라줘라
대 황 킅,KT 화이팅
simple dark,한화 담기에 승걸면 되나?
스마일애플망고,1557
hwahoyou,1 5 5 7 - 0 0 1 3
뢰의,딮기 다음대진 어디임?
DD,건방에열아홉의페이스미소짓지너네가준아픔에악플에대처할필요없이그냥하품해이건달라도같아아침해그니까나건들지마바쁠땐팝팝원샴페인헤이러한잔에따르지트로피스물여섯룩탑에윗옷벗어던져더워밖
김홍석,토요일 HLE전임
여름남자,애덜아 형 왔아
나빌레라나빌레라,케이티 한화 바텀차이때메 못이김
ho,이야 한쪽은 티원을이겨본 한쪽은 젠지를 이겨본 팀들간 대결이네 가슴이 웅장햐진다 ㅋㅋㅋㅋ
HP 0,옛날부터 KT경기에는 돈걸지 마라는 격언이 있었다
ㄹㄷ,젠지 티원 한화 kt dk 
조현준,오늘 경기들 어제보다 꿀잼 경기만 있네
Azure 7,오늘매치 재밋겟노
PIGPO II,kt 젠지좀 이겨줘
Jun,안녕하세요
하핳,퇴근후 보는 lck 달짝찌근하노
guB,슼팬인데 쵸비페이커 억지 pog구도 만들려고 페이커억지pog주는거 좀 역하더라
역시넛신,한왕호하이팅!
오정우,P O G 강 탈 혁
아담,3꽉 가즈아~~
테스,큰거 오나?
메정보,KT특 1등잡아도 안이상하고 꼴등한테 져도 안이상한팀
ㄹㄷ,시청자수왜이럼?
온니블랙,KT가 젠지패고 T1이 KT이기는 그림이 좋은데
혜성,대상혁
90 Hyunss,대 황 비
옥탑방에서 복덕방,페이커가 세체미는맞아 근데 쵸비한텐 맨날지더라 ㅋㅋㅋㅋㅋ
냊,ㄱㅊ 롤드컵에선 만나기전에 사라져주더라
S P,원래 킅이 이럴 때 꼭 한 번씩 티원 좋은 일 해줌 ㅋㅋㅋ 킅은 절대로 티원한테 좋은 걸 받지 못하지만...
김홍석,페이커 역체미 쵸비 한체미
흐에,제발 킄 져라 한화야 티원의 복수를 해줘
권순기,ㅇㅈ
KH Han,KT 이겨야 잼있지
청수,대신 귀여운 알파카를 드리겠습니다
iiiii,님들 롤드컵 4회 우승 vs 롤드컵 0회 우승 이거 누가 더 잘하는거에요?
SB j__k,토요일 재밌겠네
메정보,페이커는 역체미고 쵸비는 현체미인거지 지금폼은 쵸비가 씹바르는건 개팩트고 솔킬 14:0인데 근데 쵸비 지금연차도 이제좀있는데 아직 무관이면 페이커넘기는힘들듯 어쨋든 남는건기록이니까
아무무,페이커는 몰아준 pog 제외하면 제카보다 점수 낮음 내가 본 이상한 pog만 3건이었으니까 최소 300점은 까야됨
루키루키,페이커 노인네가 언제까지 해줘야하냐
김만형,제카는 오지게 못하는데 왜 pog900점이나 해?
리준스,대 상 혁
유종성,페이커 쵸비 정도 말고는 제카 못 막는다
조성오,세상 좋아 졋네 아무무따위가 페이커를 평가하네
지나가던사람,페이커 우물에서 잠수타도 POG받는다는게 사실인가요?
승,ㅋㅋㅋ
ᄋᄋ,익룡컵 ㅋㅋ
조현준,1557-0013 그만좀 치세요 안지겹습니까?
오늘,님이 인생 잠수타도 살아가는 이유랑 비슷합니다
th7386,신 상 혁
라우타시,브리온 파이팅!
Nightbot,@iiiii -> What were you thinking? [stop spamming words/phrases] [warning]
강동의호랑이,솔킬 14대0 진짠줄 알았는데 선동이네 ㄷㄷ
심응민,하 퇴근하자
크롬,담원 광동 아프리카 잼걸라는데 어디가 정배임?
엔타로,이번주는 오늘이 치킨시켜야하는 날인가요??? 대진 미쳤네
맛있는 치즈스틱,"그냥 싸물고 봐 ㅋㅋㅋ 어짜피 너네 발악해봤자 프로들은 연봉 몇억 몇십억받고 너넨 백수거나 월급 기껏해야2,300이잖아 ㅋ"
훈,요즘 젠첩분들 신난거보면 웃음나옴 ㅋㅋ 어차피 '국제전'음
DUK KIM,솔킬 14대0이 말이되냐 같은 프로게이머인데 ㅋㅋㅋㅋ
코봉,손흥민이랄 미토마랑 비비더니 페이커랑 쵸비랑 비비냐ㅋㅋ
hwahoyou,1 5 5 7 - 0 0 1 3
성이름,담원쌉정배
quartet,88848아닙니다 정정해주세요 888룰8입니다. 그리고 우리 젠첩은 영토의무결성을 지지합니다. -젠마갤 일동-
V V,1557-0013이 뭔데?
Siuuuu,8 8 8 4 8
도종현,1577-0013
해적제이지,bgm - whale hunt
ㅇㅇ,딱 정리해줄게 페쵸 둘다 ㅈㄴ잘하는거 맞아 근데 젠티전 보면 쵸비가 좀 더 잘해 근데 제발싸우지말아줘ㅜㅜ
즐거운,아 첫매치 정글갭이 너무 크네
박지완,근데 같은 라이너끼리 솔킬 14:0이 가능한가요?
정원오,이래도 1557은 안나오네
박종현,오늘 티원 경기 없는데 그만 돌려주세요~~ 어차피 역채미는 페이커입니다
섬클갓겜,1세트 롤스터승 2.75배 500장
최현우,젠첩들은 영토의 무결성이나 주장하러가거라
리준스,와 원딜들은 얼굴보고뽑냐? 바이퍼 데프트 상윤 프레이 ㄷㄷㄷㄷ
카미카즈,88848
공새롬,대 상 혁
woojiwon1990,10
로키의 따뜻한 밤,표식 화이팅
김도현,어자피 플옵팀끼리 경기라 더 중요하긴하네
why who Am i,럼자오자레 88848
김홍석,드가자!!
권영민,신 꺾 마
조현준,1557-0013 좀 그만쳐라 안 지겹냐 ㅡㅡ
Chris,어 우 슼 ㅅㄱ
Ye,1557은 브론즈 5명이노 ㅋㅋ
Aseanbio,ㅋㅋ
난나야,ㄱㄱㄱㄱ
no one,정보) 브리온은 최근 1년내 젠지를 이겨본적이 있으나 티원은 최근 1년간 젠지를 단 한판도 못이겼다.
iiiii,님들 근데 롤드컵 4회 우승 vs 롤드컵 0회 우승 이거 누가 더 잘하는거에요? 자꾸 제 친구들이 롤드컵 0회 우승이 롤드컵 4회 우승보다 잘한다고 하길래 손절할까 고민중이에요;; 알려주세요
라우타시,브리온 파이팅!
시온,1557-1300
전성범,kt 고점 터져라
DUK KIM,그냥 대상혁은 솔킬 88848번 당한다해도 역체롤인건 아무 영향없음... 월즈가 4개니깐 ㅋㅋㅋ
김재현,0회요
엔타로,님들아 이번주는 오늘이 치킨시키는 날이죠?? 더 재밌는 대진 없죠???
기묘한나그네,T1은 나오지도 않는데 그숫자 치고 않자있네
Youngbin Kim,표식이냐피넛이냐
호오라앙이,1577-1300 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이게 말이 되는 스코어냐 ㅋㅋㅋ 아이언이냐
송민우,일요일이 훨 중요함
sky,1557ㅡ 0013 컬렉트콜
오늘,그래서 그 미드 롤 스킨있음??
김지훈,벌써부터 젠첩 더러운댓글들이 보이네 ㅋㅋㅋ
영준 안,신 꺾 마
마흔 세살무직,여자친구 구함.
정수빈,한화 승리까지 가자
봉식 김,티원을 위해 시종이힘내야지.ㅇㅇ
Qwdk109,대리운전 1557-1557
쪼잉,진짜 오프닝영상 볼 때마다 웅장하다
케이크맛있어,롤은 팀게임이라 승률은 팀빨임 그러므로 개인 기량으로 보면 솔킬을 볼수밖에 없지 ㅋㅋ
강형욱,티원화이팅!!!!!
hy- jo,0013 차렷
방개,댓글 ㅈㄴ 더럽네
이학스파드격기얼간이들,1557은 아는데 0013은 뭐임?
코봉,정보) 젠지의 4강 신화는 실제로 일어난 일이다.
장재민,1557
장인택,개멋있다
JM,대 황 슼
혁,대상혁
날씨맑음,대상혁
전승민,아시안게임 쵸비가 나간거면 한국대표미드는 쵸비인거지 먼 말이많냐
채주완,대상혁
비네여,가즈아
란제,한화 화이팅!
ㅇㅇ,님들 한화 응원하셈 티원 개발랐던 그경기 연승 이어가야함
room 4long,오늘이 개꿀잼이네 ㅋㅋ 다 걸려있는 애들이네
PL,ㄷㄱㅈ
아키라,대 상 혁
minchul,문열어라
beom kim,나는 홍어~ 꿈을 꾸는 홍어~ 꿈속에선 무엇이든지 될 수 있어
V V,1557-0013이 뭐야?
박한중,꺽마햄
고담봉,제카바이퍼 화이티이이잉
모든 문제의 원천은 내 정신에 있다,"pog 1, 2위가 어떻게 솔킬 전적이 13ㄷ0임? 주작아닌가요?"
Lanpe P,0013이 머임
homeageify,오늘 다 플옵권이네
DDprime,T1 그랜드슬램 가즈아~ 지금 폼 역체팀이다
2w 1q,젠지는 롤드컵 우승을 단 한번도 한적이 없으며 그것은 쵸비 또한 마찬가지다
롤커뮤니T,성캐 ㄴㅇㅅ
김영민,kt도잘함 kt승가능성도많음
보우보우닷,88848이 뭐임?
리준스,드가자
Nyamsus,1557은 다 아는 거니까 그런데 0013은 뭔데 또 생겼음?
zzz,클템 없는거 에반데 ...
하윙,아 클템 없네
