name,message
김홍석,GEN FOX 화이팅!! 어차피 플옵 진출 탈락한거 승이라도 올리자!! 여우 군단
도토리,젠지 화이팅!! 마지막까지 이겨보자
이상원,농폭은 어쩌피 플옵 떨어진거 경기는 왜 하는거냐? ㅈ밥들 싸움 ㅈ도 의미 없는대. 그냥 집에가서 잠이나 자라
김민혁,너도 공부안하고 인생 ㅈ망했어도 학교는 가잖아
유종성,왜 학교도 안 다닐 수도 있지
Kkkodo Young,딱 말하는꼴 보니 학교 안간거 티나긴 해~
적 셔,밀리오 궁에 힐있는거 모르는 서폿달고 77.7k 딜꽂은 원딜은 퍼스트 줘야하는거 아니냐?
엔타로,"오늘 경기 안 봐도 되죠?? 젠지가 당연히 이길거고, 피어엑스가 당연히 이길거니까. 오늘은 안봐도 상관없겠다."
닛끔,fox 플옵진출실패 확정임?
Yuna,오늘도 화이팅~
탭만치는사람,ㅎㅇㅌ
갓팡,20분을 또기다려야돼?
신두형화이팅,정글은…? 꼭!
니콜라돈치치,lpl보다오면되지
이DON,88848 하이
슈거,아니 5시에시작하는걸 30분을앞당겨서 하고자빠졋네 ㅋㅋ
연금술사,50분시작임
ghl1213,점마는 시간볼줄모르나
실수는실력,01년생이 뭔 어린나이야 틀이지..
김근호,넌 몇년생이냐
김태연,민혁이 팩폭 오졌고 ㅋ
구구구,이미 플옵 선발은 끝났나요???
비전딜없다,이 방은 1557안 쳐서 좋네ㅇㅅㅇ
헤헷,오늘은 젠지 노잼게임이네 어휴
아이리,연속 10연승 ㄷㄷ
박성철,1557이 뭐예요?
키라벨라,플옵막차 이미 광동이 꿀꺽함
섭,난 페이커 우승 인정 안함 페이커는 잘하는게 아니고 걍 이기는법 아는거임
오늘,이제 노잼경기아닌가
Spade,솔직히 페이커는 걍 제오구케 메이지 원툴 메타빨 ㅋㅋㅋㅋ
안뇽,젠지 화이팅
무의미,메타빨 이러네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 빨로 롤드컵 우승하면 개나소나 다 하겠노
읭읭,짜요
Cashew_ nuts,ㅋㅋㅋ 광동 올라가서 피어엑스 ㅋㅋㅋ 선채로 죽었노
김현범,아 늦게와서 1557 못봤네
히안,플옵 이제 전체 확정이잖아 ㅋㅋㅋ 
efgh abcd,굳이 경기 해야 하나요? 그냥 젠지 2:0승 주고 시마이 하죠?
feather,1557-0013
연금술사,이기는법 아는게 잘하는거아닌가... ㅋㅋㅋㅋㅋㅋㅋ
