name,message
파이리,야구터지면 일로와야지
김홍석,HLE T1 화이팅!! 대상혁 11주년 축하해!! 씹캐리하고 POG 받고 1200점 찍자!! 우리혁 화이팅!!
中日드래곤즈,푸흡~~ㅋㅋ 
Fake faker,t1또 치매와서 22월즈의 복수하겠네
jooggum 2,m.
김몰랑토끼,담원기아 하나둘셋 담원기아 화이팅!!
서정희,대상혁 11주년 축하축하~~~goat!!!!
최인혁,한화생명 2:0 찢어!!
니얼굴,우리는…담원의 시대에…살고있습니다…(울컥울컥) 이 말을 꼭! 전해드리고 싶었습니다…
ᄋᄌ,한화 티원 승이네
세나비,오늘 대 황 딮 승
Nihaomyknee걸,쵸비 pog 몰아주기 오진
박씨,위기의 신플러스 짱아
쭈,T1 아자아자!! 화이팅!!
라면,켈황
보키 (Boky),무어ㅑ
최인혁,한화생명 2:0 승
끼토산,"한화, DRX 승리"
김몰랑토끼,대 황 젠
푸른별하나,한화최강 류현진
도토로,한화 류현진와도 플옵 못가니깐 걱정 ㄴㄴ
미미,대상혁
Bao Lian,대 황 비
깽후이,대 상 혁
rain J,고점은 당연 페이커지 뭔소리야
적 셔,어제 3만따리 오늘 몇만이 볼까 ㅋㅋㅋ
김C,오늘 5만이요
New Hippie,프로들 다 대황이다
신승훈,이젠 팀 받쳐주는 픽만하는 페이커가 무슨 고점임
세나비,티원 아니면 뷰어십도 안나오면 그냥 대황티원 외쳐라
Azure 7,어제 농심 재밌었는데 3만밖에 안벘노?
S M,88848
호호호하하하,왜에케 일찍 ㅛㅣ작함
srb,페이커 탈리야로 이상한 메이킹 좀 안했으면 ㅇㅈ?
itsgonnabe okay,오늘 DK 또 얼마나 털릴지 궁금궁금!!!!
야미,뭐노 왤케 일찍해
김도현,님들 티원 2라운드 확정이죠? 득실이나 그런거 땜에
유승훈,이번시즌 탑퍼스트 진짜 치열할듯 ㅋㅋㅋㅋㅋㅋ 기이 도란 제우스 3파전 지리네잉 ㅋㅋㅋㅋㅋㅋㅋㅋ
보키 (Boky),한화랑 디플러스 기아가 위에 있는데 왜 티원 듀렉스 먼저함?
라라,도뭐요?
dgw,오늘 The goat 데뷔 11주년이라고 합니다 :trophy-yellow-smiling:
하낫둘,쵸비는 그냥 페이커한테는 그냥 지나가는 미드중 한명이야 ㅋㅋㅋ
김홍석,티원 2라운드 확정이요
라면받침 제작 장인,한화 dk 왜 또함?ㅋ
H J,한화가 이기고 티원이 지면 티원 1라 시작임
오늘의 제리 Today's_JEERY, 오. 표 펴
푸른별하나,한화최강
Paul Park,한화가 한세트라도 따이면 티원은 2대1로 이겨도 2라운드 직행 아님?
kkkjjjsas123,네 다음 지나가는 미드한테 솔킬전적 15대1
김태영,쵸밑페
102a12,딮붕이들은 머리가 아프다
JS,t1이 이기면 한화 승패상관없이 2등임
윤성,그래봤자 사람들이 알아보는건 페이커죠
세나비,압도적 팬1위 티원 외쳐 그냥 롤드컵때 바지 끄댕이 잡던거 잊은거야?? 
Viktor creator,순위 결정전이냐?
S M,lck 1등인데 왜 월드는 8강 밖에 못감? 진짜 모름 :face-blue-smiling::face-blue-smiling::face-blue-smiling:
_FRI_FRI_FRI_FRI,사진을 왜 저런걸써....
mali Kim,꺾상혁
박혁거세,gd
keeper grave,오늘 녹방이라서 drx가 t1 이겼다는데 개웃기네
정수빈,한화 티원 둘다 경기라 오늘 무조건 2위 확정나는 날이구나
Hermit,쇼메 순위에서 어디감?
돌리,pts가머임?
itsgonnabe okay,쇼메? 그 dk 미드 똥쟁이>?ㅋ
기역,녹방드립은 무뇌임?
송이초코,쵸ㅡㅡ황
됐구영,쇼메이커~~플레이메이킹메이크메이커~~~
사재경,피기견들 쇼메 까는 거 웃기긴하다
빵순이,뚱러 화이팅!
루이아빠TV,와..와꾸...
세나비,인지도 커리어 실력 인성 모두가 인정하는 페이커를 까는 놈들 심리 ㅋㅋㅋㅋ 알만하지 어떤 애들인지?? ㅋㅋㅋㅋ 여기까지 ㅋㅋㅋㅋ
전영웅,역시 켈황 ㄷㄷ
BBOND,이니쉬는 켈황
스웨코,녹방드립 그냥 관심종자 최소 중 2 중3 ㅋ
Tommy Lee,담원 한화 이기고 개족보 만들자!!!
Didjxjxkdos,류현진버프받고 이기저
2019시작이 좋아,이노래 검정고무신에서 들어본거같은데
윤성,한화 담원이겨도 t1플옵2시드아님 ? 
대대,캐니언 이 좋은걸 담원만 쓰다니..
임건방,브금좋네
김C,젠지vs kt t1vs한화 이렇게 하면 변수 발생아님?? 한화 vs kt 결승전 가능성 있지 않나??
만잘알,와 이브금 예전 밴픽 브금 서부 st로 리워크한건가 ㅈㄴ 좋네
소야,타잔 딮기가는거 맞음 ?
이성훈,대상혁 단독 POG 몰아줄거면 개추 ㅋㅋ
ㄹㄹㄹ,캬 쵸비
이보크,딮기는 이겨도 KT와 득실차이로 져도 피어엑스와 격차로 순위변동없을예정이고 한화는 이길경우 티원을 넘고 2위 가능합니다. 끝까지 긴장감의 연속 그리고 예측불가한 꿀잼 lck를 재밌게 봐주세요 다들 감사합니다.
하얀토끼,오늘 페이커 피오지 2번받아야 스프링 1위 할수있나요?
iphoneX,이음악들 오랜만이네 좋네
솔직한말,오늘 대상혁 단독 pog 받아야하면 개추
oo H,단독 pog 쉽지않음
비비지바라기,근데 이거 2번 다 먹어도 1등 안되는거임?
이상준,근데 한화가 이겨도 어차피 티원이 듀렉스 이길거라 한화2등 힘들지않나
썰로뒤풀이,오늘이 빅매치지 한화는 이겨놓고 슼이 지길 바래야하는 상황 ㅋ
영혼의 꽃 요네,역체포은 역시 켈황 ㅋㅋ
Suboyaniano,님들 진자림이 뭐에요 ? 또신챔나옴 ?
세나비,걱정하지마 한화전은 켈황이다
12니,역시 종신은 켈황ㅋㅋ
김홍석,광동한테 진 딮기가 한화를 이길 확률은 하늘과 땅차이다 결국 전차에 쓸릴예정 
G1 J,오늘 왜 일찍 시작하나요?
김도현,애들아 오늘부터 아지르 글벤 풀림?
테스,ㅇㅅㄴㅅ vs ㅇㅅㅋㅎ?
정수빈,한화 5연승시 도란 여행 브이로그도 걸려있는 오늘의 경기 ㅋㅋㅋ 일단 무조건 이기고 봐야지
Y S,아지르 글밴 플옵때부터 풀림
량룡령량,페이커 pog 2개 다 받아야 공동 1위 아님?
sy nabro,주말은 원래부터 일찍 시작했어요
Q brick,울프 오늘 휴방임? 왜 안옴
박수영,역시 1등은 쵸비 ㅋㅋ 쵸비는 진짜 뭘 하든 1등을 하네 ㅋㅋ 어라?
여기서뭐,ㅋㅋㅋㅋㅋ
apbox,쵸비가 키가 크네
됐구영,님들 진자림이 뭐에요? 또 신챔 나옴?
이진우,그건 울프한테 물어봐라 왜 안오는지
썰로뒤풀이,하긴 오늘 DRX가 T1이길순 없을거 같다
하얀토끼,내 생각대로 객관적인 LCK 정글 순위 1.오너 2.케니언 3.표식 4.피넛 
intp,미드 순위는?
Minsik Kim,오너가 정글1등이라는 놈은 정글러 맞냐?
조현준,1557-0013 좀 그만 쳐라 진짜 에휴... 진짜 과관이야
하정민,대 황 젠
Dobbang,한화 화이팅
서승범,1557 0013
김도현,캐니언 1등
유하현,3315 88848
소야,딮기 타잔감 ?
Youngbin Kim,딜라이트 뭐라하지마라
이보크,담원팬인데 루시드 쇼메 에밍 구심점으로 두고 탑서폿 교체해야된다고 봅니다... 킹겐은 뭐 빅게임헌터라고 포장하지만 그게 반대로이야기하면 약팀하나 못찍어누르는 기복 심한 탑솔러고... 켈린은 뭐 말할것도 없죠 유틸아니면 못하는 반쪽자리 그나마 밈같은걸로 웃겨서 인기많은거지 팬들입장에서는 복장터짐... 제 개인적으로는 더샤이랑 중국에서 폼좋은 라이프 추천해요.
슉슉,그냥 쇼메 폼이 더 살아나야
