name,message
HICA,피어엑스 브리온도 못 이기면 알지..?
게이,ccc
최재아,브리온 화이팅
뇸,여러분
HICA,왜용
연희,광동 화이팅!
뇸,현존하는 스킬중에서 어떤 스킬이 제일 사기라고 생각하시나요
SpaceKat,브리온 ㄹ파이팅
김재형,작 은 거 온 다
유제,오늘 짬처리용 개노잼 경기네
노약자,작은거 오네
김시온,88848
김홍석,대상혁
솔직함,티원의 1557스킬이 사기입니다
이승민,KT 광동은 재밌겠다
이세도리,젠지의 룰러스킬이 사기아니였나용??
고독한골방철학가,영토의 무결성을 위하여!!
김광현,무관견 방빼~~
hwahoyou,1 5 5 7 - 0 0 1 3
하이바라아이,ㅈ
신밥샵,채팅방 파서 니들끼리 싸워라
Kim in the north,캬 ㅋㅋㅋ 4대미드.. 가아닌 정글의 신 캐니언 ㄷㄷ
데드유 투브Deadu TV,제카도 많이컸네
김홍석,KT 4위로 마감하자!! 광동한테 진거 되갚아주자!! 플옵에서도 화이팅!!
왕뚜껑,아 오늘은 
강현호,케이티 제발 이겨보자.
이하,88848 3315
고독한골방철학가,동북공정을 위하여 젠지 짜요!!!!!
뇸,이건 약간 다른 이야기인거 같은데 윌러 잘생기지 않았나요
ED Kwon,바이퍼 매력 쩔더라
dssw jin2,88848-1557 
김진영,몇시에함?
LLUU,플레이오프 진출을 노렸지만 안딜을 뺀 광동에게 빼앗긴 피어엑스 vs 개노답 브리온
이세도리,오늘 광동한테 다져도 kt4위확정아니냐??
Violetforest choi,아 겁나 웃기네 ㅋㅋㅋ 티원경기때마다 젠지팬인척 개소리하던애들 여기와서 젠지까고 있넼ㅋㅋㅋㅋㅋ
김홍석,윌러 송강 닮음 미스틱 이후로 2대 개존잘임 
뇸,모건도 잘생겼죠
트리스,모간
ddd1,서렌쳐라 걍
Chris,제르키 vs 구리 그나마 뭐가 낫나요?
HICA,윌러야 제발 정신 좀 차려줘!!
푸바오,88848 거리는애들은 한달연봉 100억씩 버는 쵸비가 부러워서 그런가보네
Porda 1011,1557은 뭐임
덕구,한글부터 배우고와 한달연봉이 뭐냐 ㅋㅋㅋ
뭘봐,오늘도 안딜선수 안나옴?
김홍석,얘들아 29일에 7인의 부활하는데 많이 봐줘라!! 
BareFootian,맏춤법 틀리는거 어글이잔아 무시해
슈거,마춤뻡인데
크림슨,하하
물속안돌멩이,어글이뭐냐
배승현,브리온보다 밑이네..
몰라,오늘 폭스 브리온전 유출뜸 20분 바론 한타때 대상혁 난입하더니 1대10으로 이기고 티원 2승챙겨가서 1위로 마무리함;
ED Kwon,초글링들이 자라서 롤대남이 되엇다
푸바오,88848 하는거캡처해서 쵸비한테 이몌일로 보내는중 곧 사이비수사대에 연락올꺼임 ㅅㄱ해
윤지민,퍼스트 제우스 캐니언 쵸비 페이즈 케리아 
qucjdu,미드 점령기 on
뇸,비디디 귀엽지않나요?
hazard abdul,오버가면 되지않나
Mino Han,888f8
김홍석,제일 귀여운건 페이커 쵸비임 
조현준,1557-0013
Toàn Thiên,:face-orange-raised-eyebrow:
퉁퉁이,미리보는 플옵 1라운드
D.I Lee,플옵은 다 확정인가유?
DUK KIM,의미없는경기 오버 개꿀 ㅋㅋ
hwahoyou,1 5 5 7 - 0 0 1 3
은날,l557-00l3
크림슨,kt ㄱㅈㅇ
새로운마음으로,광동 바텀 폼 올라왔던데 kt이길만 하지 않음?
트리스,화호유 은날 친구 없을듯
레모니,0013은뭐임?
소갈비살,제오구케가 같은편인데 pog가 1100점이라고? ㄷㄷ
뇸,lck 선수들 다 귀엽죠
김민건,88848 3315 
게이,티원이 킬스코어 13ㄷ0으로 짐
호기탐탐,호
Dm,3315는 머임?
정상윤,폭스승 광동승
BareFootian,미드단합대회 재밌겠다
STlNKY PAJEET,88848
모볼,1557
조현준,1 5 5 7 - 0 0 1 3
DUK KIM,3315는 33경기 했는데 쵸비한테 15솔킬 당한 페이커 조롱하는거임
김민혁,유하!
이하,88848 3315
hwahoyou,1 5 5 7 - 0 0 1 3
김홍석,드가자!!
dssw jin2,싸우지 말아요 1557 88848 우리 모두 화이팅
고독한골방철학가,여러분 싸우지마세요! 영토의 무결성을 위해 우리 모두 하나됩시다!! 젠지짜요!!!!
몰라,꺽
Junghyun,1557 0013은 어디 전화에요??
jennieruby,ㅈ밥 대전이네 오널은
라우타시,하나 둘 셋 엘지 파이팅!
Dream of Dandelion,오늘 젠지 T1 양쪽 다 경기도 없는데 젠첩들 또 분탕질이네
조선왕조 실룩실룩, 광고에요 
쇼메이커,0013은 뭐에여
nyyang,ㅇㅅㅇ 채팅 치지마세요... 찾아갑니다
D CHU,엘지 있음?
세린,ㅇㅅㅇ
게이,ㅇㅅㅇ
정원오,1557 0130
박영만,t1 안나오는날은 그냥 무관중 하이라이트만 요약해서 해줬으면 좋겠다~~~~
하띵,임신공격하지마세요
XX X,lG=롱주=KZ=DRX
라면,ㅇㅅㅇ
새로운마음으로,1557하고 월즈 우승 vs 쓰리핏하고 국대 주전
이,광동은 플옵 확정임?
화이팅,대상혁
이경태,대 상 혁
권영대,대 상 혁
조복이,대상혁
쿠냐앙,또 너야?
brandon 2,신 상 혁
주먹이,대 상 혁
Aki,님들 이번 월즈는 누가 우승할거 같나요?
Michael Garcia,Bomba
조현준,1 5 5 7 - 0 0 1 3
김승민,플옵 순위확정임? 아는사랑
연,아우
Jenn Yi,넵
erdkgzed,녹방 인가요
제기,ㅇㅇ
ᄋᄋ,플옵 탈락인데 ㅋㅋ
dohyeon,게임폐인 여러분
DUK KIM,월즈는 대상혁 우승확정임 이미 월즈 4회
Tài Trần Tấn,hello việt nam đây lck tiếng ko live kkkkk
STlNKY PAJEET,88848
밍크,구마유시 지우 드래곤 사냥 못봄?
무단횡단,똥맨이 되버렸다
도담헬스,왠지 브리온한테도 따일거 같냐ㅋㅋㅋ
라이츄,벌써 담주 플옵임?
진K,피어엑스들 팬한테 진짜 넘 잘하더라
Teemo God,키 엄청 크네
김시온,88848
ZoZo,FOX 는 디플이 밉다
Dream of Dandelion,젠첩이란 말에 긁히면 젠첩 인증인거임
상망,drx 재작년 우승 아니었나
이하늘,기드온 안나왔네
D.I Lee,와 중간에 피지컬 뭐야 ㄷㄷ
ᄋᄋ,점마 누구임
yoon y,오른쪽 정글은 무섭게생겻노
몰라,모건 뒤에는 어깨형님 아님?ㅋㅋ
광기의 뮤지션,500점 ㅋㅋㅋ
packer,bro 는 광동지원금 안타먹었으면 1승이네 ㅈㄴ 무능하네..
Tý,gg ff
Khvicha Kvaratskhelia,형 167에 53키로다 깝치면 뒤진다
PromeX 프롬X,ㅋㅋㅋㅋㅋ
SJ J,신인임?
11l,에포트 살아있었네 ㅋ
이재산,표정보소 문돼 가능성 있어 보인다
김도훈,ㅋㅋㅋㅋㅋㅋㅋ하위권 경기라서 벌써 텐션 올리네
헤롱헤롱,에포트를 꺼낸다고?
박효신, 신입 에포트
유제,또이부
변지섭,카리스는 안빼냐
더울땐 바밤바밤바,서폿신인은 오랜만 ㅋㅋㅋ
Y S,괴물신인이 2명이나 ㄷㄷ
마흔 세살무직,여자친구 구함.
아무이야기와 퀴즈, 콧
배영하는피카츄,살벌하네
잡렬,기대된다 대형신인 에포트!!
ᄋᄋ,쵸비랑 동급인 쓰리핏선수
새로운마음으로,퍄
킴동그릐,신안임
YONGJIN AHN, 2군 콜업 신인 기대됩니다
Ginza,여긴 중학생 리그냐?
Jio Hong,zi
소갈비살,클로저 왜케 ㅈ망했냐
ㄱㄷㅎ,플옵확정났나?
힘내유미,ㅋㅋ 리버스딜라이트.. ㅋㅋ
Tia nắng nhỏ,fighting
Nightbot,@마신리벨 -> moon2PLSNO [stop spamming words/phrases] [warning]
ㄹㅋㅇ,윌러 홧팅
믕믕이,덩치보소
퉁퉁이,샌드박스아닌데;;
김댕,ㅋ
솔직함,누구냐쟤 태릉선수촌임?
000,브리온 화이팅
김승민,유망주 에포트 출격이다 !!
Jenn Yi,기드온이랑 폴루 어디간지 아시는 분 계신가요
크림스파게티,폴루 어디갔노
이성적인댓글러,? 폴루 팔아먹음?
Big_Ster,봉준이 아님??ㅋㅋㅋㅋ
nw be,에포트 나왔네 ㅋㅋ
hwahoyou,1 5 5 7 - 0 0 1 3
슈거,등치 존나크네 ㅋㅋㅋㅋㅋ
조현준,1 5 5 7 - 0 0 1 3
Flav,또이브가 뭐여 ㅋㅋㅋㅋㅋ
도담헬스,피지컬 ㅈ대네 ㄷㄷ 지면 현피 가자ㅋㅋㅋ
panther 2,888룰8
SSangQ,에포트 2군에서 와올라왔노
민지웅,엄 티 보고 싶다
Linerain812,헤다 지표 왜저래 ㅋㅋㅋㅋ
게이,브리온 승
ZoZo,대형신인 에포트 기대된다
Shibaya,대형신인 에포트 ㄷㄷ
Untitled,헤나 지표는 좋네 지우한테 원딜힘차이로 졌는데
rain J,헤나 지표 뭐야?
옆방형님,오늘 에포트 데뷔날이냐?
CityPop Lover,넌 노숙해라…
웨일스,:trophy-yellow-smiling:
Min Taylor,이야 저걸 보내려한다고?
몰라,뚜이부치 키랑 덩치만 보면 한화선수인데 ㅋㅋ
숨셔,짜증나게 잘생겼네
진K,피어엑스들 팬한테 진짜 넘 잘하더라
김동혁,중요한??
나현우,집에서 보던 모쏠아다들 단체 경직
다크맨로빈,진짜존잘이네 윌러
홍기김,폴루 어디감
별이는외계인,ㅠ
STlNKY PAJEET,88848
다라이,괴물신인 에포트 ㄷㄷ
Takahashi Kentaro,에포트?? 10 위하려고 작정함??
DDprime,대충 2대0 ㅃㄹ끝나라..
Bb Aa,아직 에포트는 신인이지
ㅇㅇ,마지막경기의 에포트와 카리스는 젠지도 이긴다
제로스, 에포트??
Daniel,괴물신인 킹포트 ㄷㄷ
유종성,커리어가 엄청난 신인
호날두,초대형신인 ㄷㄷ
희로애락,역대급 신인등장이다 ㄹㅇ
키토신,류또죽
김승휘,뇌신
믕믕이,ㅁㅅㄹ
시어링,그검이 코치..?
미즬뜨쌀라매뜬끼어기,구라가 뭐냐 구라가..
ᄒᄐᄒᄐ,멸망전 드가자~
stoo RE,엄근진
슈거,윌러여자 ㅈㄴ많겟네
마음고생심함,소드가 코치임? 정치질하는법 가르쳐주나 ㅋㅋ
김도현,브리온 꼴찌벗어날수잇을려나
돌맹이,윌러 개잘생기긴 했네 근데
CEH,아지르는 밴 언제 풀림?
Vlack.,23.5 오버
ZoZo,2군에서 막 올라온 대형신인 에포트 잘해보자
범호,시청자 레전드노 이기들 ㅋㅋㅋ 공감되면 개추 누르자 말 안해도 알제?
조현준,1 5 5 7 - 0 0 1 3
도담헬스,윌러 존잘이노 제꼬삼...
히리,브리온에 잼걸었다!ㅣ!!
차유찬,왜 아지르 글로벌 밴임?
ㅇㅇ,윌꼬3
양자중첩의 원리,에포트 skt 1군이였음
이선주,아지르 벤 이유거 머임??
재영,버그
장혁,루나미?
TTU2239,진심 아무의미 없는 경기 ..
행복,이거 맞냐
Min Taylor,에포트 신인임
산삼이,세나풀어줘버리기 ㅋㅋㅋㅋ
조준서,좀 재밌게 하면 안되냐
몰라,구마유시 뭐여 ㅋㅋ
rororo,아지르 eq쓰면 순간이동 되는 버그
아라,탈락팀대탈락팀임?
ㅇㅇㅇ,누가 더 못하냐 겜
서쪽전선이상없음,와 브리온 신인콜업 지리네 ㄷㄷ 에포트 또이브라니
펙트전도사,세나노틸이 10의 9는 이김 그냥 한번상대해볼려고 시험해보는거같네
이.,오
e June,진짜 세상에 기대가 단 1도 안되는 겜이네
thomas,돌비가 누구임? 영화관임?
솔직함,강호동이앉아잇노 
이정훈,브리온 이거 지면 10위딱인데 꼴등인 그렇잖음
장석윤,님들아 그냥 재밌게 보면되지 왜이리 욕을하는거임 ㅋㅋ 이해안가네
이성적인댓글러,아니... 그나마 폼 괜찮은 기드온이랑 폴루 내리는건 뭐임? ㅋㅋㅋㅋ
논타보,시청자수 실화??
테더,브리온정글 어케읽음?
ACX,또이브
lllIIIlllllol,누가 최약자인가 겨뤄보자 ㅋㅋㅋ
피아노연습노트,또인비
듀미미,브리온 정글 도인비입니다~
치프키프,픽이라도 재밌게해봐 좀 
공기긱,루나미인가
Woojin Lee,마지막대진꼴아지 이게맞냐
11l,이 좋은 날씨에 이런거나 보는 애들이 그렇지 뭐
박성현,뇌신의 미친 돌림판 ㄷㄷ
순우리맛,노잼대결
하이,뇌신식 무상복지밴픽 ㄷㄷ
럭키데이,브리온 밴픽 실화인가????
박서준,브전드 서도일 다시 불러와야지..
ddd1,걍 서렌치자
영준 안,세나노틸 카운터도 없고 이니시도 좋고 밸류도 높고 라인전도 세고 왜 푸냐?
Gonna be allright,또이브는 ㄴㄱ임?
돌맹이,피터 왜 브리온 정글됐냐?? 이적함?
SC의 개인저장소,브리온은 신인을 둘이나 또갈앗네 정글이랑 서폿 ㅠㅠ
정문영,노 지 훈
정깽이,누가 꼴등 인가요?
DD KK,엔비 젠틀한탑 닮았냉
김도현,먼가 굳이;;
호박고구마,감독이 오늘은 욕받이 하려고 각오햇나? 에벌지 와 신인 정글에 세나노틸 주기
김주완,Haha sx
김동렬,에포트 오랜만이네
Jinbing Jillina,브리온은 카리스가 문제인데 카리스말고 다른 애들만 돌림판 돌리네
이원석,아 ㅋㅋ
김진영,막판이니까 즐겜픽좀 보고시파
kim ju hyun,우범아 머릿속에 생각한게 다 있다며.... 세나노틸 주는게 그 결과냐 
BS,괴물신인..
김홍기,엔비가 젠탑맞음. 프로로 데뷔한거임
잡렬,ㅇㅈ 카리스 무생무치 상수로 지는 미드긴함
망나뇽,세나노틸 탈리야를다주노 ㅋㅋ
끼끼꾸꾸야미,개 노잼픽이네
Min Taylor,역대급 기대주 에포트
펙트전도사,근데 브리온이 밴픽을 졸라 못하네 실험해볼가치도 없는 굳이 세나노틸을 풀어준다는게 꼴등팀답달까ㅋㅋㅋ
쏘이파파,에포트 다시 올라왔네
꾸버,꼴지 결정전이넹?
SOOYOUNG JIN,세나 노틸은 젠지도 못 뚫는데 브리온이 무슨 제주로 ㅋㅋㅋ
