name,message
에러,0013이 뭐에요 ?
SGPP,안녕하세요
김홍석,대권주자로 인정 받고있는 킹화생명 체급의 파괴전차 화이팅!! 광동 3:0으로 박살내고 2라 올라가자!! 광동은 1세트라도 따면 잘한거다
황이트(knight),팩트 : 티원의 롤드컵 우승은 반쪽의 반쪽짜리 우승이다 근거 1. 젠지한테 만나는 족족 ㅊ맞는 팀이 우승팀? 2. 티원은 BLG 한테 5전제에서 먼지나게 맞았다 3. LCK 미드 1황은 쵸비이고 LPL 미드 1황은 나이트이다 4. 징동전은 카나비가 애국행동으로 던져줘서 운좋게 이긴거다 5. 징동전은 룰러가 포지션 잘못으로 운좋게 아지르에게 궁 뽀록 각을 준
김주명,그렇군요
chulkyu Sung,나이트가 나이트했네.. ㅎㅎ
도토리,티원 처발려라
Sun Glass,2시 시작인가 했는데 3시네
lmw99,우흥~
김대기,황이트황이트야.. 여러 의미로 힘내라..
정신병없습니다,2시 시작 아니엿노?
고봉밥,ㅅㅅ
ㄱㅌㅇ,왜 갑자기 3시 시작임? 2시인줄 알았노
미미,대 상 혁
S L,큰거 오냐
바나나꿀단지,한화광동이면 7:3 정도 되냐?
듕골브레이커,우웅...
세린,ㅇㅅㅇ
ghost1,광동 이겨라 플옵을 뒤집어보자
iiiiiiiiiii,오늘 지면 끝아님? 단두대매치아님?
박기범,또 운영측의 장난인가보네
ㅇㅇ,오늘 2시 시작 아니였음??
jone hoeh,디도스때매 1시간 녹생!
SH,광동 화이팅
깅뽕,야
정원준,원래3시아님?
정신병없습니다,내여친 어디갔는지 아시는분
세린,안태어남
에러,ㅋㅋㅋ
숲정령,아 2시 인줄 ㅠㅠㅠ
Matt lee,원래 3신데 롤벤이 2시로 잘못표기
ㅇㅇ,깡!
July,그러네 롤벤만 2시로 되어있네ㅋㅋ
권호진,사회문화 지문에 페이커 가정 구성원 본사람 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
건희 이,광동 이겨보자
건희 이,"호진이는 가정 구성원이 "" "" 아님? 셀카찍으면 그게 가족사진 아니노 호진이는"
채채성,갑자기 소리나노
성은,20분이면 칼바람 한판하고 와야겟노
천지개벽,광동 사고치자
뽀시레기,치킨시켰다
친구의친구,3 0 가즈아!!!!
Kenny Yang,몇시에 시작해요?
에러,5 of 3임 ??
김민우민우,4월4일 경기 티켓은 몇일 예매인가요?
눈손,좋은게임 좋은 경기 화이팅!
선지석,3:2한화승
Cavalier,또 허지원이야?
알파카,광동 유쾌한 반란 보여주나?
ghost1,3시 시작입니다 2시40분에 시작 안한다고 화내지 마세요 
김종필,가즈아 한화
CrazyCactus,광동 이기면 한강다이브함 ㅅㄱ
Slender Man,브금 뭐야
최강 NS Jiwoo,광동 응원해봅니다
방가링,우주그루브
마요인데 :3,광동이 과연 ㄷㄷ
여우동물원,안할거면서ㅋㅋ
