name,message
도토리,티원 처발려라
Ul,날씨가 덥다…
김진영,날이 더운 KT는 다르다
종쑹,dk ㅎㅇㅌ
티마,KT가 이길거 같다
안태원,딮기 화이팅🫶
조현준,ㅋ
이승현,Dk 화이팅
STlNKY PAJEET,88848
박준서,재밌겠당
Aldjfjdjd,이거 언제 하는건가요?
조현준,15시
김창세,kt 화이팅!
러버덕,T1 파이팅~
김홍석,스프링의 KT 서머의 화끈한 KT는 막을수가 없다..DK잡고 복수 드가자!! 2라 올라가보자!!
랫서팬더,켈황 화이팅 오늘은 몇킬 먹을까
조현준,티원 한화나 젠지한테 철저하게 막힐듯 ㅠ
피코미터,KT이기면 베릴 케리아전 다시 나오겠네 ㅋㅋㅋ
공현우,무슨 소리냐 젠지가 한화 고르겠냐
안녕,님들 저만 전투기 소리 들림?
아재요,역시패배는켈황ㅋㅋ
도벽솔탑유미,대황딮
Gyuho Lee,이거 왜 안함?
랫서팬더,켈황 오늘은 와드 잘 안박아주려나 다른팀 서폿들은 와드박다 짤리는걸로 욕먹는 경우 많은데 켈황은 한번도 없어 
하이방구,문열어라
Kim TJ,레츠기릿
꿈꾸는치킨,미필들이 준위가 있다고 자꾸 우기시는데 어그로 그만 끄세요. 준위가 아니라 중위입니다. 준위가 있다면 준병 준사 준령도 있겠죠. 일부 사람들이 DP2에 준위라는 계급이 나온다고 하는데 그건 해당 작품의 재미를 위해 설정한 허구의 계급입니다. 그러므로 준위라는 계급은 없습니다.
유미니,화이팅
케옹,kt 파이팅!!!!!!
ㄹㄹㄹ,오늘 안덥더라 고로 디플이 이긴다
오천재,.
한정윤,Kt 압승 가자
김종필,kt가자
마나그프레,오늘 누가 이길거 같냐
뽀시레기,꺽마햄 라스트댄스 어캐됌?
꿻,롤러코스터 떨어질때 됬다
hs lee,표시기 가즈아~
ᄋᄋᄂᄂ,대 황 킅
ᄋᄋ,이노래 뭐임?
이승일,담원이기자
비담TV,담배는 디플
라이언,KT 화이팅!
육지 육,대 황 딮
박신제,디케이 화이팅
준성 박,역시 라인전은 켈황
아이유가뭐하는아이유,켈황 ㅎㅇㅌ
미역,88848
호롤롤ㄹ로롤,역배는 켈황ㅋㅋ
Eunju Jo,ktkt
석민기,꺄ㅘㅇ
이하,88848 3315
Norang,멀신 브금
김태훈,몇판해요?
허심탄회,응 정베야
태 경,5판3선인가
가형,5판 3선승
느긋한두부과자,준위 있는데?
피코미터,롤 근본 브금 나오네
Jeong min Oh,대황딮
이상규,ㅎᆢ이
킴수덩,쇼메이커가 맛탱이 간 실력이 돌아오면 이김
트동트,스읍메이커
고영희의냥냥펀치,대황딮
Jeong Kelvin,88848 1557
꿈꾸는치킨,미필들이 준위가 있다고 자꾸 우기시는데 어그로 그만 끄세요. 준위가 아니라 중위입니다. 준위가 있다면 준병 준사 준령도 있겠죠. 일부 사람들이 DP2에 준위라는 계급이 나온다고 하는데 그건 해당 작품의 재미를 위해 설정한 허구의 계급입니다. 그러므로 준위라는 계급은 없습니다.
Youngbin Kim,근뎁 쇼페폼이 지금 나락 아님
YongMae,오늘 뭔가 5꽉갈듯
김홍석,대황킄 DK 박살내고 2라가서 젠지 쓸어버리자!! 
랫서팬더,켈황이 자아를 가지는 순간 세계는 멸망한다. 
Jinwon Hwang,아무나 이겨라~~!!
yeonu,졸롸 재밌겠다 그냥
빼미,준위 없다는건 도대체 뭔 정신나간소리냐 당장 육군 준사관들이 헬기운전하는데 ㅋㅋ;
Windows XP,쇼붕이 vs 보성이
한지훈,dk 화이팅
정창희,5꽉가자!
Dream's of Ilaoi,관심주지 마셈
JJ J,Kt 3:0
이원준,3시시작?
Jacky,3-0
Nightbot,@郑利东 -> How barbaric. [stop spamming caps] [warning]
hs lee,쇼메보단 켈린이 역할을 1도 못하는게 큰거같은데 
susj sjsjd,준위가 어딧냐 중위겟지
starboy2,켈황
준성 박,예시
beom kim,딮민이들은 쇼메가 범인인데 무족건 따른애들만 까더라 ㅋㅋ
허심탄회,3판 3선승 입니다. 어제도 그 룰대로 했어요
하띵,kt가 이길거같은데
원아이언,솔직히 티원 담원전 봐야지 담원은 플레이오프에서 계속 한번씩 패줘야됨
아르님이브노아,대 황 K T
고영희의냥냥펀치,대황딮 KT따위 3:0으로 개박살내고 올라가서 우승하자!!
힘내유미,한달연봉 1000만 이하 채팅금지
ᄋᄆᄋ,쇼메가 세로운 신무기를 깍느냐 마냐에 따라 승패 결정될듯
방서진,KT 파이팅!!!
정성훈,중위가 어딧냐 준위겠지
keeper grave,이거 녹방으로 이미 끝나서 디플이 3ㄷ1로 이겼다던데?
박준수,한달은 ㅆ 월급이겟지
Yuna,화이팅~
시세,대황딮
박카스,페이커가 캐리할꺼임 걱정 ㄴㄴ
킴수덩,켈린은 딱 5등팀 서폿만큼 함. 쇼메는.. 솔직히 농심 브리온 미드 급임 지금 폼은.
AllBlue,플옵에서 비디디 만나는데 하필 아지르 밴 풀린 버전이네 ㅋㅋ 쇼메 큰일났누
박유준,녹방드립은 뭐노 딱 봐도 kt 3대 1 승임
yam_dh,디플리 3대1로 이겨요 유출떴습니다
Windows XP,오늘 kt가 이기면 페이커가 비디디한테 전번 준다네요
헤르메스,1006
랫서팬더,역시 알리스타는 켈황
성은,딮기가 3대2로 이김 무조건 박빙임
이병주,ㅓ
hionbh,어짜피 pog는 페이커임ㅋㅋ
전개,kt 하나 둘 셋 kt 화이팅!
나자엘,켈황 쇼메가 그대로면 KT가 무조건이김
Maga,88848
곰자,화이팅 t1 작살내자
이서우,앙앙앙 난 팔협지가 좋아 
SUS 304,오늘은 젠서운 이야기 안올라오나요?
준성 박,유출떴음 딮기가 3대0 으로 대떡냈다
FJ,아오 88이형들
트동트,숏습 파이팅!!
정민호,자 드가자
Fuu리,강계봉진막국수
박홍시,기아도 담원도 호감인데 ㄱ둘다화이팅
김지수,88848
호라이즘,1557
91 Jinius,젠지 대 DK / 티원 대 한화 나오면 진짜 꿀잼 매친데
susj sjsjd,d준위라는 계급은 인터넷에서 미필들을 속이기 위해 만들어진 가짜 계급임
beom kim,냉정하게 응디디>>> 쇼메지 ㅋㅋ 
준체,결승 t1 vs 젠지 ㅅㄱ
hs lee,분탕갈들 벌써 와서 더럽히네
Dm,1557 88848
청주욕쟁이,젠지는 누구 뽑을려나
소갈비살,젠지는 담원안고름 항상 고전했음
뽀시레기,이노래 뭐임?
나나부,노래좋다
김종필,다음달선거라니ㅡㅡ
A K,오늘 박빙이려나 ㅎㅎ
A,한화가 티원보다 잘한다
고영희의냥냥펀치,딮기가 무조건 이긴다
랫서팬더,유출됐다 켈황 알리스타 꺼냈다 
권혁준 Gwon Hyeokjun,dk이길것같다
teul tol,노래제목 뭔가요
박현민,노래 신나노
황이트(knight),팩트 : 티원의 롤드컵 우승은 반쪽의 반쪽짜리 우승이다 근거 1. 젠지한테 만나는 족족 ㅊ맞는 팀이 우승팀? 2. 티원은 BLG 한테 5전제에서 먼지나게 맞았다 3. LCK 미드 1황은 쵸비이고 LPL 미드 1황은 나이트이다 4. 징동전은 카나비가 애국행동으로 던져줘서 운좋게 이긴거다 5. 징동전은 룰러가 포지션 잘못으로 운좋게 아지르에게 궁 뽀록 각을 준
hrth,화이팅
이하,88848
gha,4대 미드 결정전 ㄷㄷ
꿈꾸는치킨,미필들이 준위가 있다고 자꾸 우기시는데 어그로 그만 끄세요. 준위가 아니라 중위입니다. 준위가 있다면 준병 준사 준령도 있겠죠. 일부 사람들이 DP2에 준위라는 계급이 나온다고 하는데 그건 해당 작품의 재미를 위해 설정한 허구의 계급입니다. 그러므로 준위라는 계급은 없습니다.
주성_,노래 뭐냐
뿕빵,둘다 응원하는데 
정신병없습니다,저 여친어디갔나요? 아직까지 안보이는데
roses,노래이름 자일리톨
th7386,켈린 화이팅
모르지,젠지는 거짓 별 두개를 달고 있다
eastdown,Xylitol-synthion
성은,뎊트때문에 킅은 방심할수가없다
UTNT,노래는 좋네
김상우,오우ㅑ
Windows XP,보성이형은 솔리드함 항상 쇼메메쇼는 살짝 기복있는 느낌 미드최다 펜타보유자지만 못할때는 존재감이 없음
곰자,DK던 KT던 어짜피 T1은 이김 ㅈㅈ
Kim in the north,젠지는 한화 안고를거같다 느낌이
나루,젠지가 한화를 왜골라 ㅋㅋㅋ
최원형,ㅎ
Rose Ran,근데 젠지 크트말고 누구에게 졋더라
91 Jinius,유관 미드 쇼메 화이팅!!!!!!!!
beom kim,딮민이들 뭔 젠지한테 지명을 받니마니 ㅋㅋ KT 경기에 짐 싸야 될 수도 있는데 ㅋㅋ
mm k,예언하나 하고 간다 올해 우승 담원이한다 쇼메 각성으로 젠장
하루,페밑쵸
치킨너겟,킅 너무 오락가락이라 질듯
hoohoo,쵸밑페
피코미터,부두술 ㄴㄴ
FJ,롤 자일리톨 치면 노래 나온다
유하,KT 승리
현,고를만도 하지 유일한 6꽉팀인데 ㅋㅋㅋㅋ
칸타타,딮기야 젠지전 80%만해라~~~
Someone,Dk화이팅!
의지박약,저거 직관 갔을 때도 저 화면이랑 음악 나오는 거예요?
빵끄리,오늘 kt 초 고점 찍는다
SOOYOUNG JIN,케티 승에 내 랄부하나 건다
A,머리는 쵸밑페 가슴은 페밑쵸
무비,드가자~
랫서팬더,쇼메의 근본은 카타리나임. 판 깔리면 쓸어담는걸 잘했음. 내구도 패치 이후로 킬각 허들이 높아져서 예전보다 폼이 떨어지는건 인정함 
뽀시레기,노래 플리에넣어놔야지
hexane Cyclo,13:00 페밑쵸?풉ㅋ
Yeoul,우리도 이기자!!!
심현섭,멸망전가즈앗
조현준,"1 5 5 7 - 0 0 1 3 , 1 5 5 7 - 0 0 1 3 "
김인수,대 황 젠 지
루이,딮기 화이팅!
이하,팩트:1.쵸비는 88848이다 2.쵸비는 3315일만에 중국인5명한테 몸 대줬다 3.국제전에서 야가오햄한테 만날때마다 패배했다. 4.쵸비 월즈 우승횟수는 나랑 같다 5.쵸비는 룰러버스를 쳐 부수고 내린적이 있다 6.쵸비는 환각라이즈를 세계를 놀라게 했다:grinning_face_with_sweat:
정신병없습니다,bgm 정보) Heungkuk Kim - Tiger Butterfly
가나인,오늘 덥다
빵빠레,DK 가즈아 ~~
ᄋᄆᄋ,케이티는 결국 비디디가 해줘야해요
허심탄회,"솔직히 티원 입장에서는 젠지가 한화골라주는게 더 좋긴함. T1, 한화 상대로 점점 따라잡히던데 플옵에서 질것같음"
iiiiiiiiiii,젠지는 한화고를거같긴함
타타쿠야,케이티가 이기고 젠지가 한화 선택할듯 ㅋㅋㅋㅋㅋ
홍삼,울프이새기 뭐함?
이태규,kt 파이팅
lll,돌고돌아 티젠전임
Suboyaniano,준위라는 계급이 존재함 ?
유동석,dk는 플옵수준은아니지
히히,중위가 높나요 준위가 높나요?
꿈꾸는치킨,미필들이 준위가 있다고 자꾸 우기시는데 어그로 그만 끄세요. 준위가 아니라 중위입니다. 준위가 있다면 준병 준사 준령도 있겠죠. 일부 사람들이 DP2에 준위라는 계급이 나온다고 하는데 그건 해당 작품의 재미를 위해 설정한 허구의 계급입니다. 그러므로 준위라는 계급은 없습니다.
S KEL,젠한 이지 이제 티원은 한화한테 따잇
멍멍,ㅇㅅㅇ
이진영,이건 케이티가 이기겠네 ㅇㅇ
beom kim,라운드 젠지 vs KT . T1 VS 한화 ㅅㄱ
Opnqc,비리리
개쩌는영상에만댓글다는사람,KT랑 딮기는 다음 경기가 없을 수 있겠네요?
준성 박,쇼메이커가 조스로 보이냐?
Kim in the north,젠지 왠지 한화고를거같음
기선우,kt는 젠지를 이긴적이 있다.
신태기,담원올라오면 한화고를듯
연락하세요,느므 포 ㅡㅡㅁ
777 AK,무조건 t1이랑 한화 붙겠네
햅ㅂ씨,3ㄷ1 킅승 각이다
빵끄리,젠지는 한화 찍는다
빈,젠지가 담원이랑 상성 안좋음
STlNKY PAJEET,88848
ho,옵젝쌈도 못하고 20분 이후로 못하는 담원이라 kt가 그냥 이기겠네 ㅋㅋㅋㅋㅋ
하띵,결국엔 젠지랑 티원이랑 또 붙을듯 ㅋ
모아이,어차피 결승은 티젠전
조현준,"1 5 5 7 - 0 0 1 3 , 1 5 5 7 - 0 0 1 3 "
Nightbot,@불질러 -> AAhhh... much better! [stop spamming words/phrases] [warning]
믹스,오늘은 좀 팽팽한 경기를 보여줬으면 좋겟다 어제 한화 광동 경기 너무 재미없었따
미미,대 상 혁
달짝지근,정보) 쵸비는 쇼메도 가지고있는 월즈 우승커리어가 없다
응애기야,울프 방송 안함?
鄭水渙,여기서 이긴 팀이 광동이랑 하는거임?
장형민,ㅇㅇ
iiiiiiiiiii,아니다 젠지 KT고르고 한화한테 너네 티원 ㅈㄴ잘패잖아 가서 패고와 하면서 짬처리 시킬듯
SOOYOUNG JIN,ㅇㅇ 광동이랑 섬머 진출전 함
불편맨,T1 vs HLE 하면 T1떨어질수도 있겠다 복수하느냐 떨어지느냐
서수기릿서대기릿,루시드vs퍼펙트 덜싸는 팀이 이길듯
골디르,광동은 떨어짐 그냥 ㅋㅋ
소호,팩트) 페이커는 월즈4회우승하고 쵸비한테 얻어터지는게 일상이다
마신리벨,캬 오늘 큰 거 오넹!!!!
꼼뮤,88848
이형민,그대신 쇼메는 군대가야 하잖아
김종필,람머스나오면되겟당
이하,88848
박지완,솔킬14:0 고트가 있음?
민떡,쇼메는 다음 아시안컵 있잖아
이영빈,울프 뭐해
아앗,정보) 페이커는 국대로 중국에게 지고 이후 쵸비가 주전으로 중국을 이기고 페이커는 밴치였다.
도벽솔탑유미,Big Game이다
공현우,젠지가 바보가 아닌 이상 한화 절대 안고르지
골드문,9
박성욱,큰거온다
qawsedrftgyhujikolp,근데 어차피 누가 올라와도 젠지한테 터지지 않을까?
서쪽달,오늘 경기 정배겠지만 그래도 재미있었으면 좋겠다
이상준,쉬고 온 kt는 젠지도 이겼다
김홍석,드가잡!!
엔타로,케이티가 그냥 3대0으로 이길텐데 도대체 이걸 왜 보고 앉아계세요 다들????
P K,지금 젠지가 1황임?
김연진,촉촉
th7386,오늘 DK가 정배맞지?
이장원,루시드가 우승하면 루시드드림임? 아ㅅㅂ꿈임??
뽀시레기,댚 상 혁
준성 박,역시 라인전은 켈황 ㅋㅋ
허심탄회,솔직히 티원은 젠지가 한화 골라주기바라고 있음. 티원이 한화랑 경기할때 비볐던 팀은 한화임. KT는 뭐 젠지한테 우연히 이긴거고 티원한테도 안되던데. 당연히 젠지는 KT 고르겠지
한정윤,Kt이기자 
Windows XP,4회우승하고 쵸비한테 쳐맞는다( 아직도 상대전적이 페이커한테 쳐발리는 쵸비를 언급하며)
Shin Yu,그래도 한판은 따내지 않겠냐
조원일,DK 정배임
ᄋᄆᄋ,젠지 한화 고르고 디케이티중 한팀이 티원이랑 붙음
김대기,"팩트 "" KT, DK경기인데 갈드컵이 왜 일어나는지 모르겠다"
_loong,오늘 어디랑 어디임?
랫서팬더,역시 이니시는 켈황 ㅋㅋㅋ
잠왕,찐 kt 팬들은 이미 마음 다비웠다 ㅎㅎ.. 우리 도닦는 마음으로 볼 뿐
ᄋᄋᄂᄂ,그래도 누가 이기든 젠지는 한화 고를것같은데...
이창희,젠지는 티원고르지
박효신,대상혁
김태연,담원이 이길 것 같지는 않지만 이겨줬으면 좋겠다
빙더굥,노래 좋노
박준,젠지가 한화를 고른다는 근거는 먼가요??
STlNKY PAJEET,88848
이현우,치킨 시켜도되나요?
숙코사지절단,어차피 결승 티젠아님? 이걸 왜보고있는거임?
혀누는철드는중,뻔할거라 예상하는 경기를 보는이유가 스포츠이기 때문입니다
fgiowfgweijofw,zzzzzzzzzz
yhs 1781,담원은 베릴 나가고 계속 추락하네..
이상해씨,노래제목 xylitol
premium youtube,이거 노래이름 뭐임
카우스톤,오늘 아나운서 누구?
달짝지근,정보) 페이커와 쵸비는 잔인할정도로 쇼메한테 쳐맞았다
이름,이건 다시봐도 잘만듦
조현준,"1 5 5 7 - 0 0 1 3 , 1 5 5 7 - 0 0 1 3 "
