name,message
iiiiiiiiiii,애초에 담원은 젠지랑 5세트 까지 가면 진다 22년도 부터 쓰여진 젠지와의 5세트 경기에서 담원은 항상 맛있게 싸우다가 맛있게 5세트에서 졌다
에러,DK 각성 또 하냐 ?
아재요,빅 게 임 헌 터
iiiiiiiiiii,담원팬이면 너구리 고스트 바이블 방송가서 봐라 그게 더 재밌다 젠지팬이면 안녕수야 가서 보고
전용근,오 감사
현준,88848
김현범,바코드 꿀팁 고맙다
쥰스,건부 잡나?
민영정,"팩트:쵸비는 월즈 기록이 88848. 페이커의 발 끝에도 미치지 못함. 비리비리한테 3ㄷ2로 발리고 설레발떨다가 lpl 공식 중계진한테 조리돌림 당하고 5중국인한테 3315일만에 졌으며 ""영토의 무결성"" 을 외치며 스스로 lpl이 된 팀. 따이 후앙 찌엔ㅋㅋ 지금 쵸비>페이커,1557거리는 분들은 전부 다 자신이 중국인임을 알리고 동북공정을 지지하시는 거죠"
민영정,"팩트:쵸비는 월즈 기록이 88848. 페이커의 발 끝에도 미치지 못함. 비리비리한테 3ㄷ2로 발리고 설레발떨다가 lpl 공식 중계진한테 조리돌림 당하고 5중국인한테 3315일만에 졌으며 ""영토의 무결성"" 을 외치며 스스로 lpl이 된 팀. 따이 후앙 찌엔ㅋㅋ 지금 쵸비>페이커,1557거리는 분들은 전부 다 자신이 중국인임을 알리고 동북공정을 지지하시는 거죠"
유제,젠지 멸망의 날^^
싸이즈좋다?,어휴 그런말좀하지마요 그러니까 젠지팬들이 티원욕하잖아요
루디쿠,젠지 지옥가자 제발!!
Doge,젠지 화이팅
yocook,3시작 아닌가? 언제 시작함?
Kim in the north,3:1
T1 Keria,그나라팀 따운!
iiiiiiiiiii,제발 젠지욕할생각하지말고 티원은 한화한테 이기고 젠지한테 덤벼라
싸이즈좋다?,디도스땜에 안되나?
iiiiiiiiiii,평일은 5시시작 주말은3시시작 결승전이랑 하위결승전은 토크쇼때메 2시시작인걸로앎
ㅋㅋ,젠붕이들 멸망 ㅇㅇ 담원 3:1 승
Yoshi J,왜 이렇게 늦게하나요 오늘은
치킨무덤,젠지무조건이기겟지해서 다들안볼거같은데
STlNKY PAJEET,88848
I got your back,오늘 담원 이기면 ? 상상도 하지마라 정규리그 젠지다.....ㅡㅡㅋ
유제,젠지 멸망의 날^^ 난 담원팬
모리,드가자
이론천문학,88848
K,당연히 DK 승:fire::fire::fire:
킁킁이_아카이브,뭔데 오늘 경기함?
유제,젠지 멸망의 날이구나^^ 참고로 난 담원팬
조현준,"1 5 5 7 - 0 0 1 3 , 1 5 5 7 - 0 0 1 3"
유제,쇼메(월즈유관)>>>쵸비(국제전무관888룰8)
또숑,시간아 달려라 기다리느라 목 빠지겠다
김태훈,젠지vs딮기 0-1 1-1 2-1 2-2 2-3 딮기승!!
마스터리,오늘도 1군 하나?
싸이즈좋다?,담원 미라클런?
Normal,담원 화이팅!
이건한복이다, 울프도 딥기 승리예상 담원 화이팅
121몰라,그팬들 또 이러고있네ㅋㅋ
황준하,아 담원 로고에 넣고싶네... 참고로 딮기 팬입니다
윤기중,딮기만응
김수현,페이커 화이팅
화이팅,대상혁
ogidni choese,딮기가 이기면 그녀에게 고백할거야
동건,곧 학교끝난다 ㅋ
카우스톤,Cgv에서도 볼 수 있다하지않음??
히니디힌디,죠비 타랑해🩷🩷🩷🩷🩷🩷🩷 
유제,대황젠 멸망의 날 ㅋㅋㅋ 난 담민이
별,어차피 티젠이다 
잉꾸,어차피 젠지압승 ㅋ
초미찰,젠지 화이팅
성씨네 비단털쥐,담원힘내자
김진욱,ㄱㅂㅇ
박영권,형들 치킨 시켜야할까?
Mihai Danilov,hi guys 
KH Han,딮기 2판만 잡아도 인정이다
박서준,가보자
gold,???: 건부야 죽이러갈게!!!
카페 디오,재밋게 젠3:딮2 가자!!
hoon Cli,캐니언 vs 쇼메
David Lee,젠지 3:1 예상
고구마,몇시시작?
