name,message
영구없다,딜라이트 존잘 ㅇㅈ?
r qwe,아니 이 구슬픈 소리는?
Lil youngbe,느낌이 한화가 일길것 같은데
awe q,1557
하아,빨리 시작했으면
NEW트리아,시작 몇 시야?
awe q,ChatGPT한테 물어봤는데 한화가 3:1로 이긴다네요 ㅅㄱ
메정보,티원이무조건이기지 오늘 오브젝트 익룡 천마리 장전중일듯
김현준,5시시작임
오,큰거논다
조현준,익룡 풀참석 한다네요
권영대,대상혁
브기저기,오늘 티원 풀로스터 아님
주댈리,와 지렸다 대상혁
거누,한화 ㅎㅇㅌ
따스한,5꽉 꿀잼기원
Acis,오늘 큰거 오나
Anchovy,대황칰
김홍석,오늘 문현준이가 씹캐리하고 구마유시도 POG 받고 티원이 역전승으로 이긴답니다 역시 대상혁
의새,한화 이겨라
진K,다른 9팀이 이렇게 일관되게 싫어할순 없는뎈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ눈치도 없고 염치도 없는 그 팀^^
렬이이,애들아 살아있냐
맛있으면짖는개,가즈아
윤갱,한화는 야구를 봐야되...
소천,누가 이기든 3:2만 해줘~
이기적유전자,주말에 있을 DK T1전 기대된다
테순이,몇시에함?
공주,빨리 시작해
김김진진우우,ㄸㅇ~~~~
황이트(knight),팩트 : 티원의 롤드컵 우승은 반쪽의 반쪽짜리 우승이다 근거 1. 젠지한테 만나는 족족 ㅊ맞는 팀이 우승팀? 2. 티원은 BLG 한테 5전제에서 먼지나게 맞았다 3. LCK 미드 1황은 쵸비이고 LPL 미드 1황은 나이트이다 4. 징동전은 카나비가 애국행동으로 던져줘서 운좋게 이긴거다 5. 징동전은 룰러가 포지션 잘못으로 운좋게 아지르에게 궁 뽀록 각을 준
굿,드디어 오늘 티원 개발리는 날인가
Music Dragon,T1 따운!!!!!
예준,대상혁가즈아
이경환,세로로 1557 완성하시면 치킨 보내드립니다
희 박,반쪽짜리 우승이어도 3.5번 우승이면 세계 탑급 아닌가요???역시 대단하다
TeaFoo,화이트님 혹시 사랑못받고 태어나셨나요?
이포링,제발 티원
innout,모두 잠수준비
Austin Kim,어우젠
프리미엄,문 열어!!
김명원,잘 안들료요우
쿠쿠루쿠쿠,어휴 저런 댓글 쓰고싶냐..참
김동현,대 상 혁
Man3 Sausage,꿀잼경기 가즈아잇-!
기민,오늘 50만 예상합니다.
김뽈뽈이,ㅋㅋㅋ
랑구,빠른 시작 바랍니다
innout,모두 잠수준비
상망,대 상 혁 화이팅
jiweon kim,ㄷㄷ
하하,롤대남 집합
노공채널,한화생명 화이팅!!!
브리츠,ㅇ ㅏ오늘 승리해도 또 만날수도 있는거 아냐
쥭쟈,오늘은 쵸비가 해주겠지
noo,1경기 누가이겻어요 ???
김현범,헉 3분뒤 그 시간...... 안돼 
뿡뿌루삥뽕,t1 따우우우우우우운!!!!!!!
식빵맨,3대1 한화승
정후,한화 나락
Ken•Arok,mantap
H W,제발 티원 이겨줘
Nightbot,@서예찬 -> moon2A [stop spamming words/phrases] [warning]
산나비,오바선생
남moonu,큰거온댜
Cat Lying,대 상 혁 
살짝대,3：0 티원 압승
힘내유미,원딜차이심해서 한화 3대1승임
STlNKY PAJEET,88848
NAIYC,T1 화이팅 페이커 화이팅 
Nightbot,@Polar bear -> How barbaric. [stop spamming words/phrases] [warning]
류지호,먼가 이노래 나올때마다 사펑생각남
송송송파파팍,사랑해요 T1
Ania,티원지고 담기랑 하는게 좋지않나..
vchnjg cfdrtghv,3판하고 겜 끝날듯
경기과학고등학교,피넛 화이팅
조하늘,티원 제발 져라 부탁이다
방서진,T1 파이팅!!!
ㅇㅇ,호령견들 득실득실하9나
준민,슼룡들 사형의 날
Russell Candia,T1 win 
기혁,3:2 박빙예상 누가이기든
P K,어우슼
희 박,5꽉 개꿀잼 경기 기대한다
innout,오늘 축하공연 이세계아이돌인가요? 
커피콩,어차피 돌고 돌아 티젠전
프리미엄,르세라핌 축하 공연 언제하나요?
뇌뇌뇌절,어차피 우승은 젠지
Jason,3대떡 1557 가자`
qwerty,페이커 바이퍼 가슴이 웅장해진다
마산창투박,거품생명
Jong Taek Jeong,티원이 유리한데 한화 이번시즌 폼이 너무 좋아서 모르겠다
이시범,5시 시작아님?
빵찬,어제가 진짜 개꿀잼이였는데
maker,누가 이기든 5세트 가자 
에러,어짜피 국내킹 888룰8 ?? or 1557
사람,T1 한화이기고 R3 가즈아!!!
I got your back,솔찍히 싸하다
조현준,1557
신재민,5세트 드가자~
니코,오늘 누가 이길거 같나요 형님들
김시온,88848
Ken•Arok,3:0
Hs Khadyg,한화 드가자ㅏ
낑깡,아 현기증 나니까 빨리 젠도스 걸어주세요
공현우,한화 가보자
room 4long,T1 또 초반 타임어택 운영하다가 개처발릴거같은데
Y.B Ko,풀세트 접전이였으면 좋겠다
대한항공,티원이 지면 끝인가요?
슌니 다이어리,페이커랑 바이퍼 둘다 포스가 장난 아니네 둘 보고있음 저사람들을 어떻게 이기나 싶다
NAIYC,또 5꽉 나오면 치킨 한마리 더시켜야될듯 
k.o,5꽉가줘 제발
케리건우,울프 왜 라이브안킴
의새,오늘 티원이 집니다
천호정,5시임 4시 35분임?
chop5,오늘 혹시 페이커 요네 보여주나?
머스탱,t1 희망 없어
류지호,근데 너무 한화 얕보는거 아님? 한번 잡히기도 했는데
vchnjg cfdrtghv,경기는 5시 시작아님?
헬로맘 (Hello Mom),져도 좋으니 티젠전 한번만 더 보고 싶다
문석빈,티원 파이팅
protective,상혁이형 결혼하자
P K,치킨두마리는 좀 너무 많지 안나요
준용,바선생
Red_wizard,니들이 뭔데 승패를 미리 예측함
WALLA,티원 상태를 정말 알 수가 없다 미지수임 
김유찬,T1 할 수 있다!! 화이팅:fire::fire:
ax Dream,:face-blue-smiling:
김문춘,T1 화이팅:fire::fire::fire::fire:
유제,티원 우승!
이우찬,대 상 혁
jiweon kim,티젠전 또하면 ㄷㄷ
헤라디야에,오늘 잼나겠다
말악귀미래,일주일 동안 뭐 방송도 안해서 상태가 어떤질 모르겠네
이재준,한화 화이팅~
Faker,T1 화이팅!!!!!
Bite,한화가 무난하게 이길듯
재한,잼있겠다!!
UzE,오늘 케리아 표정어떰?
송상현,님들 호식이 맛있나요?
Bravo MyLife,한화 체급 장난아니라 아모르직다
이지훈,t1화이팅
손빨발라,한화가 이긴다 티원 폼 영 별로더라 서커스 안되면 힘빠지는 느낌
뼈다구리,큰거온다
