name,message
개쩌는영상에만댓글다는사람,한화가 3대떡나면 그냥 디도스범 입고리 승천하는거죠
조현준,캐니언 페이즈 리헨즈 폼 상태에 따라 결정될듯
갓팡,이세돌 화이팅
드림보트Dreamboat,젠지맴버끼리의 싸움이다 ㄷㄷ
rain J,new젠지 vs old젠지
먕먕,젠vs지
Philippe Coutinho,젠도스 여러분 제발 오늘은 디도스 걸지 말아주세요 ㅠㅠ
2,문열어 쾅콰오캉
L45,누구맘대로 30분 일찍 시작하래???
누가이사람을,아라하시 타비 화이팅
JangHyeon,젠지 화이팅
영구없다,딜라이트 존잘 ㅇㅈ?
바람이 분다,오늘 기대되네
panther 2,88848
궁금한사람,손흥민 선수 나오나요?
HooN You,어차피 우승은 젠지~ 쵸비가 그냥 넘사
궁금한사람,근데 젠티전 피하고싶어서 디도스핑계 아닌가요?
gdb,신 짱 비
조현준,치킨 지금 시키면 딱 알맞게 올듯
화장품,국내는 젠지가 압도적 1위 하지만 해외 대회는???
ㅇㅇ,1557
유제,불공정 리그 LCK는 지금 당장 철폐하라!
ᄋᄋ,1557 디도스 핑계
크르릉,젠지가 3:0으로 이길듯 ㅇㅈ?
화장품,근데 애들아... 나는 롤 보는게 굉장히 재밌거든? 근데 볼때마다 졸고 있는데 왜 그럴까? 나 같은 사람 있음???
하띵,딜라이트 하마계 존잘
김민준,ㅎㅇ
조현준,치고박고 싸워야 재밌는데 운영으로 이겨야하니까 지루한건 사실임
Jeans,대낮부터 치킨 먿음???
1914キムソンジュン,그래그래
화장품,근데 애들아... 나는 롤 보는게 굉장히 재밌거든? 근데 볼때마다 졸고 있는데 왜 그럴까? 나 같은 사람 있음??? 없음???
김준혁,님들아 몇 시 시작임 3시 시작임?
오동환,젠과지의 대결...웅장하다
suhan noh,이게뭐임?
노호준,ㅇㅇ 3시 시작임
누가이사람을,근데 딜라이트 진짜 잘생기지않았냐
유제,"불공정 리그 LCK는 지금 당장 철폐하라! 젠도스컵 부당 이익 눈 뜨고 볼 수 없다. 철폐하라! 티원에게만 집중포화되는 디도스 테러, 누가 우승하든 추악한 불명예만 남을 것이다. 지금 당장 철폐하라!"
Foster,88848 평생 ^무^
키신,이 시대 최고의 프로게이머 페이커 선수님께서 불공정한 기회가 주어졌다고 확언하셨는데 한화랑 무승부 처리하는게 맞지않나요
히안,머야 3시부터 아니었어?
공현우,유제야 나가라
화장품,딜라이트와 이혁재와 비슷함
Porda 1011,팬덤이 커서 어쩔 수 없다지만 저 슼갈들 진짜 .. 가면 쓴건지 의심될 정도
꽃,그 미드가 한 발언들이 예전부터 논란이던데..
Sang-jun Oh,몇시에 하나요?
BY YA,오늘 어디가 이길 것 같음?
유제,"불공정 리그 LCK는 지금 당장 철폐하라! 젠도스컵 부당 이익 눈 뜨고 볼 수 없다. 철폐하라! LCK의 명예를 드높인 월즈 우승팀 티원에게만 집중포화되는 디도스 테러, 누가 우승하든 추악한 불명예만 남을 것이다. 지금 당장 철폐하라!"
알라신의가호,불공정 리그 lck
Min Taylor,오
Nightbot,@Coke Mania -> Beep! [stop spamming words/phrases] [warning]
Nightbot,@유제 -> Justice delivered! [stop spamming words/phrases] [warning]
아담,드가자~~
비둘기,날씨도 좋은데 밖에 나가서 꽃구경이라도 해라 도태롤대남들아 ㅋㅋㅋ
옥지빵빵,무관vs유관
크림슨,젠지ㅈㅂ
Enter a name,님들 트위치 lck 제목이 t1 vs hle임 ㅋㅋㅋㅋㅋㅋㅋ
태민,몇시에 하는지 검색을 해라 손가락이 있으면
ㅇㅇ,이 경기가 사실상 결승이지ㅋㅋ
논리적인병신,진짜 88848 ㅋㅋㅋㅋㅋ 들이 넘 까부네 ㅋ
없다,담원화이팅
dkn dlaks,몇시에시작함?
빠켠이,한화이기고 티원이랑붙자 티젠전보고싶다
기모리앙,티원은어디갓나요? 그팀 디도스타령하는그팀어디갓나요?
정수빈,한화 가자 결승으로!!
2,ㄹㅇ 여기서 채팅칠 기력이면 검색하고도 남잖아 ㅋㅋㅋㅋㅋ
단비,아싸개발레타
EOK J,아니 전용맛집이 안오고 간식이 올라왔네
rla eogh,티원 이긴다는 보장은 뭐노 ㅋㅋ
ABC,미리보는 결승전이네
채석구,이건 젠지가 이길것같음
김민준,티원은 뭔 티원이노 담원한테 털릴 예정인 팀이 ㅋㅋ
susu,에라이 슼갈아
김민수,한화 화이팅!!!
Jeong min Oh,미리보는 결승
인테르나치오날레밀라노,젠vs지 오늘이구나
소천,오늘은 채팅창 좀 깨끗한 날이네
가나다라,제카가 쵸비 잡았던거 기억안나냐?
S M,근데 LCK리그에 젠지는 왜 뛰는거임? 진짜 모름 중국팀 아니였음? 젠지 경기때 '중국은 젠지 형제를 응원한다'는 댓글 나오던데
리진,한화 ㅍㅇㅌ 
이민규,젠지에 쵸비있음?
테스,무슨 브금이징?
NK엔케이,티원이 지금 담원을 어떻게 이기냐
조현준,불공정 드립치는 페이커 너무 추함 딮기한테도 쳐발릴듯
유아이,결승전이다
진우,ㅇㅅㅇ
리준스,한화야 제발이기자 도피제바딜 화이팅
게이,젠지 내전 ㅋㅋ
Mingyu Choi,몇시시작임?
하아,젠지가 정배긴 한데
뿡뿌루삥뽕,찐vs짭
Owx,불공정 드립치는 페이커 너무 추함 딮기한테도 쳐발릴듯
김준성,류현진 선발임?
Latyi,23젠지 vs 24젠지
준성 박,미리보는 결승 ㅋㅋ
Dk,꼴랑 한번 잡아놓고ㅋㅋㅋ 제카는 쵸비 앞에선 쪽도 못써 봐봐라
FDD,티원은 중국만 잘패나보네
jaehyun,솔직히 티원 디도스 공격으로 연습 못했는데 재경기해야되는거아닌가..?
장장항요,ssw vs ssg
격분,와 진짜 생각해보니 LPL내전이네 LCK 진자 뒤질래? 뭐함?
준민,아 빨리 일요일에 슼 탈락하는 거 봐야하는데 ㅋㅋ
예네?,페이즈 밑천 까발려져서 혹시모름 
;,티원 화이팅!!
최영욱,큰거 온다
용혁김,지금 경기력 보면 내일 승자 DK인데 ~ 
손태용,진짜 슼갈때메 플옵 ㅈㄴ식었네
노동준,오늘 경기로 확실히 바텀 퍼스트는 정해질거 같다
용거잔,몇시시작인가요
루피,3시
Jun J,연습못해서진걸 실력탓하는거보면 댓글 가관이네
행복한집돌이,누가 진짜 젠지인가
곰자,하나 둘 셋 젠지 화이팅
십삼월,큰거 온다
kimkim,응원하는 팀이 한팀도 없어 ㅜㅜ
홍,젠지대젠지네
flower sol,티중딱 티중딱 신나는노래~~
개쩌는영상에만댓글다는사람,뭐야 지든말든 결승갈 가능성은 있네
palcon US,한국 팀 한화 화이팅!! 중국팀 무찌르자 화이팅!!
추억은방울방울,티원없으니 시청자수 나락이네
BitchCoin,젠지 화이팅!!!
김건우,티원은 아예 떨어진건가요 
노호준,원래 그렇지 뭨ㅋㅋㅋ
비둘기,날씨도 좋은데 밖에 나가서 꽃구경이라도 해라 거북유방단롤대남들아 ㅋㅋㅋ
까치산,ㅍㅌㅇㅇㄹ
주니모,8강딱의 범인은 누구인가 
정인수,역시 핑계는 티황 ㅋㅋ
랄뚜기,티원 우승시켜야 너네가 먹고살텐데 ㅋ
팩린탄,티원이 디케는 이길듯? 근데 결승에서 젠지한테 또 따잇 당할듯 ㅋㅋ
오잉,중국팀 나왔네
랄로,날씨좋기는 부산 미세먼지땜에 앞이안보이는구만
keeper grave,t1 디도스 때문에 출전 포기했다고 합니다.
Jiwon Na,젠지 화이팅 <3
헤밍웨이,경기 몇시시작인가요?
R6r6yiy8 Ydyfy,디도스때문에 티원이 개발렸는데 재경기해야지 뭐하는거냐 ㅈㄴ불공평하네
coco,월즈 4회라 이제 욕해도 타격없음.... 작년에 성불했거든
리마스터,한화 ㅎㅇㅌ!!!!!!!!
허리둘레,부들부들 ㅋㅋ
나,T1 졌어????
안녕로봇,dk우승임
니안,티원은 한화 벤픽 보고 담원을 발라버리고 한화도 썰어버리고 젠지를 상대하는건데 젠지한테 또 지겠지 
0S0o,디 도 슼 범인찾기 트럭 박아버리기~
Na Lu,한화가 이기면 조켓다
미펭귄,dk 이겨도 젠지나 한화랑 한번더 해서 이겨야 결승임
큐민,한화 ㅎㄹㅌ
소천,ㅋㅋ디도스때매 뭐 연습 하나도 못한 줄 알았더만 솔랭도 다 했고 스크림도 다 했더만 뭔 디도스타령 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
성환 김,디도스컵 의미 있나?
바람이 분다,신 젠지 vs 구 젠지
S M,"안녕하세요 젠지팬입니다. 궁금한게 있어서 그런데, 젠지 팀 마크 위에 별 두개는 어디서 주워온건가요? 들어보니까... 88848? 이라던데 별 어디서 난거죠? 돈주고 산건가요? 진짜 모름"
ㅇㅇ,오늘 의문의 칰팬 대거출몰 예정ㅋㅋ
낭만야옹이,티원은 끝난겨 서너 월즈 다 디도스 걸릴텐데 뭔 경기를 하나 그냥 해체해야 끝난다
예징,아
유제,"불공정 리그 LCK는 지금 당장 철폐하라! 젠도스컵 부당 이익 눈 뜨고 볼 수 없다. 철폐하라! LCK의 명예를 드높인 월즈 우승팀 티원에게만 집중포화되는 디도스 테러, 누가 우승하든 추악한 불명예만 남을 것이다. 지금 당장 철폐하라!"
Jsl,제카가 이길듯
남moonu,온세상이 젠지다 ㄷㄷ
준용,옛날에 삼성이 딴 별 두개 물려받은거임
고수고수,대회의 제왕 젠지
J,젠vs지 가즈아
