name,message
room 4long,T1 4위 확정인데 뭘 기대하고 있냐??
개쩌는영상에만댓글다는사람,솔직히 이게 제일 기대되면 개추 ㅋㅋ
이 름,반쪽의 반쪽짜리 우승이면 다른팀은 당연히 우승이 있겠죠?
양소TV,티원도 좋은데 DK도 정가고 응원을 누구를 해야하나아아아
gdb,대상혁 T4 ㅊㅊㅊㅊ
올드잉글리시쉽독,왜 다들 싸우는거임? 사는게 빡빡해서 여기다 푸는건가요... 그냥 재밌게보면되는거징
선생님,이거 3대0으로 지고 패배 인터뷰에 디도스 문제라면서 한화 묻듯 담웜 묻을듯 ㅋ
소호,역대급 플옵에 역대급으로 똥뿌리는 T대떡 :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
매트릭스,디플러스 화이팅
Harry,담원 게이밍 화이팅!!! 
여맹구,왜 티원이 질꺼같지 .;;
조현준,승리팀 한화 디도스로 묻은 것처럼 오늘도 디도스 핑계 대면서 묻을듯 대단하다 역체갈 슼갈!
hoon Cli,경기력만 보면 딮기가 정배지
ji seon,어찌저찌 이겨도 한화한테 질듯 ㅋㅋ
ㄹㄹㄹ,현준이 티원까기 바쁘네 너인생 똑바로 살지 ^^
ᄋ안성탕면,디플러스 기아 가보자 한화 잡고 젠딮전 결승 젠지 복수하러 가보자
@QWE123,레츠고 신 플러스 짱아
박성욱,문열어라
hoya Roa,하나 둘 셋 !!! 담원 화이팅!!!
감동이었어,t1 오늘 경기 진다 연습 부족으로 디도스때문이다
Nalpee,힘내 t1 
전형준,걍 티원이 이김 딮기는 항상 그래왔음
조이,담원 결승가좌~~~
jsddi77,88848
푸딩푸딩해,1557
sky,1557
이종현,그팀 오늘도 지고 그미드 디도스핑계대는거 기대되면 개추ㅋㅋ
lIlllIllllIIIll,t1 탈락 드가자
민,제발 티원이 이겨라 제발 제발
조현준,티
모기,오늘은 명품조연 말고 주연 좀 해보자 신플러스 짱아..
달빛그리기,스크트가 이긴다
야놀자,젠 상대로 5꽉 갈만한 팀이 딮기 밖에 없다... 걍 딮기가 결승 가는게 맞다...
hoya Roa,또지면 디도스핑계댈거같아서 걍 응원할가치가없다 담원이나이기자 아무리연습문제여도 3대0만들정도로 하자있는실력인건 ㅋㅋ그래도티원인데 10등팀이나다를바없는수준 ㅋㅋ
EH C,담원 msi 가자~
미녀사냥,형님들 t1이기면 바로 결승인가요? 
BigLyfer,티원 이긴다 걱정마라. 잔다
김윤화,디플 화이팅
신민우,티원이겨도 한화랑 다시해야함
김홍석,티원이 이길꺼라고 믿는다 억지로 까는 얘들은 열등감에 찌든 얘들이라 무시하셈
두이두이,"결승은 결국 티원과 젠지, 이런저런 말 많을때 티원이 다 잡고 결승 우승까지간다."
sky,티원 우승 글렀나요?
곰자,민우 홍석 광현 세세는 누가 이길것같니?
Nebaek,딥기 제발 3대떡내줘 
RUNE,딮기의 저력을 보여줘라
이종현,티원이 최종전가봤자 한화한테 대떡당할듯
흑우촌_권대리,올시즌 담원 우승
선플러,티원 화이팅!!
Cat Lying,제리 브금
조조,딮기응원=젠첩 ㅋㅋㅋㅋㅋㅋ
버블,두가장
John L,티원 개같이 부활 가자
chlfuf,티원 3대0
야미,섹섹섹 보보보보
정영훈,불공정하게 이겨버려
Shorts Coin HighLight,티원가자
깅보미,티원화이팅 !!
스카라무슈,보여주는걸론 딮기 완승인데
석백,담원팬인데 티원이 이길서 같냐
조민성,뉴네오 디플러스기아 화이팅
leesoyoung,대상혁
Polar bear,티원 비이이이이상
아담,드가자~~~~~
a rb100,담원 올라가즈아
랑짱,몇시에함
Melon A,큰거 온다
지환 박,티원 서커스 let's go
ghgjei,티원 화이팅
태훈김,티원응원은 페빠 아님???
김진욱,교도소 출소한지 3일 됐습니다... ㅇㅅㅇ하지 마세요...조용히 지내고 싶습니다...
MS K,잘하는 팀이 올라가라
청강대 갈래요,서폿인 역시 켈황
임채영,어디가 이기려나 어제 젠화전 진짜 재밌었는데
구리,어디서 딮기한테 비비려고 ㅋㅋ
메가제드,담원드가자!!
순둥이,담원 다시한번 가보자
서용환,티원 차다리 개같이 지쟈!!썸머 월즈 준비하자!!
당근복,티원 나락 가즈아`~
소갈비살,대 상 혁 대상혁 대상혁~~~~~~~~~
ㅇㅇ,티원팬인데 딮기도 화이팅!!!!!!!!!! 둘다 열심히 해봅시다ㅏㅏㅏㅏ 최고의 경기력 마구마구 보여주세요
한루네,티원 폼 안좋은데 이거 이길수있냐..?
gdb,대상혁 T4 확정 ㅊㅊㅊ
Nightbot,@오늘만사라 -> How barbaric. [stop spamming words/phrases] [warning]
Nightbot,@라고할때살걸 -> I'm not scared. [stop spamming words/phrases] [warning]
Nightbot,@영원히로딩중 -> How embarrassing! [stop spamming words/phrases] [warning]
hionbh,페이커는 롤 몇년찬데 연습부족드립치냐 ㅋ 그냥 승자에 대한 예의가 없는 추한 패자일뿐이다 ㅋ
Pochi,DK같은 노근본팀한테 지면 그냥 해체가 맞다
junny,응 딮기 이겨도 불공정 승리야 응 딮기 이겨도 불공정 승리야
단요설,두팀다 승패 상관없이 아름답고 멋진 경기했으면 좋겠당
DoYoung Kim,티원 디도스땜에 피해봤지만 이겨서올라가보자
박현수,진짜 딮기한테 지면 해체해라 
탑신병자,티원팬이긴 한데 오늘은 질거같다..
보로롱,제 친구가 반에서 8등8등8등4등8등을 했는데 자꾸 1등이라고 우겨요..뭐라고 말해야할까요?알려주세요ㅠㅠ
감자,Dk근본넘치는팀인데 ㅋ
김준학,DK 결승가자!!!!!!!
낌숙형,어차피 우승은dk
따뜻한 망고 주스,최강기아
아빠는지구인,이거 이겨도 한화네
공백,아지르 포탑 3대 맞고 죽는것도 디도스임?ㅋㅋㅋㅋㅋㅋ
YB,팩트 말해줌
이신혁,그냥 딮기가 깔끔하게올라가자 솔직히 T1경기말곤 다꿀잼이엿어
이이재원,페1이1커 이게왜 금칙어지? ㅋㅋ 개웃기내
언덕아래,DK 올라가야 꿀잼이다
새로운마음으로,쇼메이커 MSI 진출 기원
Nightbot,"@k -> Nightbot one, bad guys zero. [stop spamming words/phrases] [warning]"
김시형,페이커
SW J,오늘 디도스변명혁 나오나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
goo,dk 가보자
호잇,ㅂㅇㄹ
뜨 타,채팅 너무드럽다
:D,쇼메가 페이커보다 기량은 높긴함 
까만 썬글라스,DK응원자 = 이재멍 지지자
이우빈,dk가야지
유재훈,머라노 티원이 진 이유는 한화가 더 잘해졌기때문임 어찌해서든 실력탓안할라하네ㅋㅋ
D4N,oe cuma la ctmr no me cages el draft
아키에이지빌런,젠지를 2:3까지 내몰리게한 담원 vs 한화한테 3:0 당한 T1 누가 이기냐?
교사,이커대전..
ᄋᄋ,오늘 티원 승리 시: 디도스에도 승리하는 불멸의 티원 ㅠㅠ
김중현,아오 디도스만 아니였어도 전승 우승인데
곰자,LCK 꾸준히 봤다면 딮기가 3대떡으로 이기는게 정배긴하지 그런데 T1이 딮기이겨도 문제인게 한화는 절대 못이길것같은데.. 어제 젠한전보니까 내가볼떄 젠지는 쵸비떄문에 이겼어... 객관적으로 젠지랑 T1차이는 명확하게나고 다른팀 이적생들 적응하니 T1 한화 젠지 DK에게도 힘들고 T1은 광동이랑 비슷할것같은데? 내말이 틀렸니?
이종현,디도스때문에 T1 연습도힘들텐데 신플러스짱아가 연습할일없게 만들어주자
머석,자 멸망전 드가자 ㅋㅋㅋㅋㅋㅋㅋ
조하민,페이커 쇼메이커 키에커 레츠고
생쥐,애들아 좀 싸물어라 채팅이 이게 뭐냐
근면,딮기 압승 예상
송율,1557
박복춘,변명혁은 나가라 ~
ᄏᄏ,밴픽에달렷다 루시드 잘하는거풀리면 담원이이길듯
BALRKNUT,ggs
무민,lck우승 2억 <월즈우승23억 lck로 거들먹거릴거면 50번정도 우승하고 말해라
둥이,lck 댓글들은 왜 항상 이런애들만 있는거야..?
아오,응 월즈 최다 우승ㅋ
도슨,디도스 문제 어떻게 해결할건데? 아무런 답이 없어. 
지환,티원 누가 막을건데
민갱이,걍 형들 여기서 쳐보지막ㄱ
EH C,노래 신나네
모볼,디도스걸려라
몽몽님,어떻게는 페이커 까려는 애들 걍 불쌍함.. 페이커 깐다고 인생 좀 나아지나
어둠의댄서,T1의 몰락 스타트..
김기원,3대떡각이야 오늘도
1914キムソンジュン,오늘은 T1대떡나서 탈락하고 슼갈들 피눈물 흘리는날~ 
ttttttg,확실한건 둘다 msi는 못감 ㅋㅋㅋㅋ
세비,디도스는 언제 해결하고 피드백은 없나요?
