name,message
희 박,러브다이브 하셈
kkkikonsoske,몇시에 함
Ba Banana,난 티원도 한화도 팬이라서 너무 재밌을거같다
진K,한화야 결승 진출 축하해 
브기저기,오늘 케리아 못나온다는데
S KEL,제우스 오늘 도란한테 개털리겟노 또
소호,T대떡으로 처발릴거생각하니 치킨 시키기도 아깝네 ㄹㅇ 노잼
굠문,한화 요즘 야구 못하더라 롤도 그럴듯
Choi alex,지방 살면서 왜 한강까지옴???
chop5,한화 개츠맞는거 구경할 생각에 설레노 ㅋㅋDK처럼 3대떡날거 뻔하제 ㅋㅋ
버스,88848?
감말,.
심시,그 사건만 아니었어도 딜라이트가 다패는데...
K,T1 :red_heart: :glowing_star: :glowing_star: :glowing_star: :glowing_star:
ㅁㄴㅇ,ㅋㅋ 얼마전에 3대떡으로 쳐발렸는데 몇일 지났다고 역으로 3대떡낸대 ㅋㅋ 
아영,T1화이팅!
아빠는지구인,딜라이트 노틸만 벤하자 ㅜㅜ
희 박,오늘 여러분들에게 재미를 주기 위해 열심히 노력했을 선수들 응원해주세요
굿,페이커가 쵸비 나이일때 롤드컵3회우승 했다는게 사실인가요?? 쵸비는 0회우승이라던데 
호오라앙이,오늘 슼갈들 장례식 ㅋㅋ
Bellingham_kor,티원 개발리겠네 또 ㅋㅋ
차태평,근데 왜 서로 못잡아 먹어서 안달이에요?
hackxas,한화가 올라왔으면 좋겠다 티원 올라가면 또 젠지한테 대떡일텐데 ㅠㅠ
Cat Lying,ㄷㄱㄷㄱ
ᄋ용ᄋ,이제 시작할때안됏나요?
김태준,자기 자신도 연료로 태워서 재미만을 추구하는 거 아닐까
qhgi qhgi,88848 ㄷㄷㄷㅈ
Minwoo Park,언제 시작하나요
프로메테우스,88848
인자깅,진영선택권 티원임 ?
Vlack.,젠중지국
Vigilant Lettuce,ㅇ
이세하,오늘 T1 LCK 결승진출실패 + MSI 진출 실패 하는 날이라던데 맞나요? 제가 잘 몰라서요.
쿠나기,한화일듯
pemia U,5년 동안 무관이면 항상 거기 있던 사람이 범인 아닐까?
ᄋᄋ,내일 티젠전 기대된당
배여,몇시 시작인가요?게임
se l,초비는 월즈 무관인데 왤케 빨리는거에요?
꽁스,이거 풀세트끝나면 토트넘경기
깜깜,무엇보다 젠지 별 2개인게 웃김ㅋㅋㅋ
서준호,T1 화이팅
개인계정,전재산 걸고 승부예측 하면 한화 걸 그 갈들 돈 한 푼 안 들어가니까 응원하는 심보 괘씸하면 개추 ㅋㅋ
Cw P,한화우승 젠지포핏 실패하면 티원 탈락해도됨 ㅅㄱ
희 박,재밌으려고 보는건데 모두 기분 좋게 보세요 모두 화이팅인거야~~~~~~~~
ᄋᄌ,한화가 이길듯
에러,전재산드립은 머냐 ㅋㅋ
sun ,zzz제발 티원 올라가라
최정우,djsw
단요설,누가 올라가도 안이상한 게임 ㅋㅋ
김대기,게임에 전재산을 왜 검. 그리고 어차피 전재산이라 해봤자 얼마 안될거면서
Cat Lying,캬
만돌,하나 둘 셋 디플러스 기아 화이팅!!
8Chess,티원화이팅
한토리,두 팀 모두다 화이팅!
뚜루루뚜,가즈아
2,개재밌겠당
라파엘,왔따
째끼럽,이거 개꿀잼각?
lIililiillli,호령팬분들 인격모욕 그만해주세요 ㅠㅠㅠ
Nightbot,@물란 -> You're on my naughty list. [stop spamming words/phrases] [warning]
Nightbot,@감자도둑 -> Sometimes I even amaze myself. [stop spamming words/phrases] [warning]
Nightbot,@김성훈 -> You done? [stop spamming words/phrases] [warning]
ㅇ,다 화이팅
김승진 (거제 04년생),1557 1557 1557 1557
GlobalYoung,가즈아 ~~~~
잡다한거 올리는 채널,티원 지면 바지에 똥지림
꼬북,직관꿀잼~
JW,바선생 
마요인데 :3,t1 해줘!!!!!!!
Jisoo Park,ㅌㅇㅎㅇㅌ!!!!
송영민,3대1T1승
기묘한나그네,오늘도 기대하는 티붕이 많겠지? 근데 한화가 올라가지? ㅋㅋ
서인 이,가자 msi 티원
이기적유전자,우승에 반쪽짜리가 어딧어ㅋㅋㅋ
Thích Quảng Vân,Keria pick Skarner sp
김승원,치킨 시킬까 얘들아?
qhgi qhgi,2시 40분은뭐냐 3시도아니고??
피지컬,큰거 온다
램프,피자시켰다
구리,클린팬문화 88848
pizzerias,오늘도 3:0날거같다
김동석,아니 누가 젠지보고 떨어지라 그랬나 지들이 못 올라와놓고 젠지 회피컵 이러네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
어허허어,티원 해줘라
ㅇㅇ,ㅎㅎㅅㅁ ㅎㅇㅌ!
권진혁,기모링
James Yoon,3시부터 아님?
애옹,티원가자 할수있다
강민성,직관중
아재요,5꽉해라
PHin,단두대매치 드가자
poi,응 아니야
방서진,T1 파이팅!!!
익슈,화이팅 티원!!
RPDT,반쪽짜리 우승이라 지꺼려도 4번우승이니까 누구는 한번도 못한 월즈 두번 우승한거임
워터메로나,굳
쟈니월드,와 노래 뭐임
NETO,치킨 너무 일찍 시컀디
한루네,모두 화이팅
rdrrdy,페이커님 그리고 T1응원합니다
젠지우승가자 화이팅,노래뭐임?
Ch M,몇시 시작?
박경민,한어강 한화생명은 어떻게 강팀이 되었는가? 한화생명이 t1에게 이긴다면 고향에 돌아가서 그녀에게 고백하겠어!
엔드스톤,한화 화이팅
소호,젠지한테 13:0 개처발리기 vs 한화한테 3:0 떡실신 처발리기 어차피 대떡은 티원ㅋㅋㅋㅋ
붕어빵에짬뽕,티원 화이팅 ~
정충배,승패는 모르겠고 풀꽉가즈아아
RDSTS CO,A wiwi que gane T1 o sea 5to mapa mis prros
서예찬,솔직히 티원 선수들 번아웃 올거 같아서 이번 스프링은 여기까지만 했으면 좋겠음
랜드솔 최고의 반찬투정꾼 쿄우카,한화 우 승
티모, 꽉꽉 가자
크르릉,1557 0013 
장문충,한어강 한어강 한어강
이규진,치킨을 벌써 시키면 어떻게해ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ᄋ.ᄋ,한화 티원 모두 파이팅~
ㄱㄱㄱ,:finger-red-number-one:t1
Mogumofu,영원하라 신 짱 혁
ᄋᄋ,와 내일 티젠전 미치겠다 너무 기대되네
K,페이커 :red_heart:포에버 T1 :glowing_star: :glowing_star: :glowing_star: :glowing_star:
k j,피넛은 육식 못하는게 흠이다. 국제대회 나가도 걱정이 많이 됨ㅁ
Jiseong Kim,ㅋㅋㅋㅋㅋ
짜장짬뽕만,꽉 싫어..제발 t1이기자
김은비,ㅎㅇㅌ
연못오리,티원승 가즈아~~
Cw P,누가 이기든 중국팀 포핏만 저지해라
방랑사진작가,t1 져도 되니까 풀꽉만 가자
장지은,ㄷㄱㄷㄱ 
ᄒᄋ,한화 화이팅 익룡갈들 물리치자 !!!!
후니,드가자드가자
정상윤,한화승오버
주개땅,한화 T1 아무나 이겨라 대신 낀낀이형 우승만은 막아라 낀낀이형은 무관이 제일 어울린다 제발 낀낀이형을 막아
상망,대 상 혁
mehyun,대기음악 바꿨넴
아담,풀경기 가자~~~~~
낭만야옹이,킁거 오냥
에르데스 song,티원 화이팅!
Daeyoo Kim,5분후에 정확히 하는건가요? 아니면 객소리 떨고 시청자 기만하다 1시간 후에 시작하는건가요?
WATDAGUM,노래 좋다
Goat,제발 오늘도 익룡 박멸하자
츄파춥스,티원이 올라가야 뷰어쉽나온다 
Nepliov,한화 3대 0 2트 가자 ~~~~~~
소야,드가자 ~~~~~~~~
dy K,:face-red-smiling-live::face-red-smiling-live: 저희 젠지팬 일동은 중국영토의 무결성을 무조건 따르겠습니다:face-red-smiling-live::face-red-smiling-live:
chop5,팩트:무관따리 무관딱 국내용ㅅㄱ MSI에서 BLG한테 줫나처맞을 예정ㅇㅇㅋㅋㅋㅋ 롤드컵없음 ㅅㄱㅋㅋㄱㅋ 88848룰 젠서운 이야기 ㅋㅋ
응아니야,한화드가자
jae,모두 화이팅
ᄋᄋ,2시 40분부터 아닌가 오 프닝 때문인가
chchch,한화화이팅
