name,message
I got your back,황이트 밥은 먹고 다니냐 와라 밥사주께 헛소리 말고.
쩜달라TV,세시오프닝아닌가?
조현준,오늘 솔랭했는데 15분 57초만에 끝났어요 서렌 이런게 아니라 넥서스를 터뜨렸어요 ㅎㅎ
노래좋으다,T1 3 : 2 GEN
티모,ㅜㅜㅜ
자!!드가자!,젠지는 좋겠다 꽁으로 우승해서
이용현,베인 vs 티모
양소TV,넘넘 기대됩니당 ㅎㅎ
쭈니,젠지는 좋겠다 돈주고 별사서
젼스1234,키야 가자
lIlllIllllIIIll,T1 사형까지 30분
정커피,밴픽 몇시시작인가요
트페리,진지하게 오늘 젠티전 누가정배냐 100000번 묻는다 ㅇㅇ
Bích Xuyến ,GenG:four_leaf_clover:
잡동사니,젠첩
윤치웅,티원 화이팅!
선플러,티원 사랑해 화이팅:face_blowing_a_kiss:
마르코,아진짜 제발 이겨줘 T1 몇년째 리그 무관이냐ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
소라하고오이,티원 3:0 중국
J W,솔직히 직전월드컵 젠ㅈ피똥 티원이 치우고 우승가져와줬는데 이걸 뭐라하면 이완용자손아닌가 흠..
ssslll,FACT : 젠지는 결승에서 티원을 3연속으로 누르고 우승중 ㅋㅋ..
응애응애,따이후앙찌엔 
Coke Man,무슨 인과관계로 젠지가 똥을 쌌다는거임?
없다,젠지화이팅
조원준,티원이 1세트 이기면 디도스 걸림
Nalpee,티원 화이팅
itc,안뇽
eric gun,젠지 왜 별 있는 거임. 알아보려고 검색도 해봤는데 삼성 이어 받아서 있는 거다. 이러는데 또 공식 입장은 이어 받은 것도 아니래… 왜 있는 거임….??? 
채채성,기권승드가자
상훈,14시40분이면 경기 몇시쯤 시작함???
먹는샘물백산,전강욱이 나를 밀었다!!!!
리달리,팬인척 하는 악성 훌리건 넘들 그냥 겜이나 봐라
박효신,디도스 드가자
피그레이,또 용준님이지..?? 말 더듬이..으
정준희,2시40분 그것도 모름??
김남중,15시 넘어서 시작할듯
ELCM,아 지금 2시지 참
수달,3시 10분?
인,오늘 성캐가 해설안하나?
마요인데 :3,결승은 용준좌가 나오는게 맞지
Mogumofu,신 짱 혁
앙뱅공팡,하나 둘 셋 티원 화이팅
The Answer,1세트 이기는 팀이 3:1로 끝낼것 같은 느낌입니다.
dongJun,T1
TEAMREIGN,T1 3:1 GEN
종호박,4시는되야경기시작하겠네
김홍석,오늘 용준좌 나와서 역대급 오프닝 보여줄듯!!! 해줘!!!!!! 티원
쭈니,젠도스로 이젠 공격 안먹히니 티원이 이길뜻
작화,25분!!
J W,티원 화이팅!!
에러,88848 vs 0 0 1 3
언덕아래,헉헉...두근두긍
이창현,치킨언제시키면됨?
Coke Man,GEN 3:0 T1 이게 정배다
조현준,오늘 솔랭했는데 15분 57초만에 끝났어요 서렌 이런게 아니라 넥서스를 터뜨렸어요 ㅎㅎ
Nightbot,@민동혁 -> How embarrassing! [stop spamming words/phrases] [warning]
이성,88848
gdb,영원하라 신 짱 비
꼴뚜기,떴다
dddd,T1는 젠지뺴고 다 이기던데
탄산음료,젠지 파이팅!!!!
김진영,큰거 온다..
정대호,첫경기 중간에 시키면 딱임
Sonny,오늘 손흥민 출전하나요
수니,치킨시켰다
Reyals Ekud,돌돌 젠티
Nyeoriming,대 상 혁
Jackcooper,자드가자!
포카리스웨트,대황비
shift cho,젠어강
지나가는사람,큰거온다
이로로,젠지는 해외팀이 잡고 T1이 MSI우승하자 
익몽이,맨날져 젠지만 만나면
FINETHANKYOUANDYOU,88848이 도대체 뭐에요 진짜모름
구리,내수용 88848 캇!!
Jintae Kim,가즈아
진혁 이,티원 화이팅
나비,ㅋㅋ지겠냐
Hana,티원 가즈아~~
long mui,T111111111
cs먹은 돼지,낀낀이형 무관탈출
숑숑펀치,머야 결승 담주인줄 바로 담날?? 개빡센 스케줄이네
hwahoyou,세계최초 포핏 드가자 ~ 
김진우,속보) 기인 독감 ㅋㅋㅋ 대황젠 멸망 ㅋㅋㅋㅋㅋ
Haife,키아
David Rhaphael Hwang,대상혁
정우,존나스트롱 3:1 티원승 예상한다 ㅋ
Porda 1011,젠지 우승 축하드립니다 젠지 무적함대 젠지는 어떻게 강팀이 되었나 젠지가 3대 0 떡
ㅋ,88848
大豪,T1 3/1 or 3/2 bro
노서윤,T1 화이팅 
감쟈,손흥민 선발이네
개똥이,젠지를 이기고 역사하나 더 쓰자
김현범,제우스 저격으로 트페베인벤하면 젠지승이긴함
엔타로,님들아 오늘 치킨 시켜야돼요??? 어떡해야돼요????
기민,근데 이거 이겨야 드디어 젠지가 티원 욕 하는 일 없어지는건가요 ?
심영의 흑염룡,젠지가 정배지만 어제 경기 보면 티원도 가능성이 충분히 있지
쉬면서 볼거!,노래 좋노
응애,어 우 젠 이 다 벤치견들아
러시아산참치,대!상!혁!
ko koo,한국 대 중국 멸망전 못참지!
중기,88848
냠냠냠냠,호엥
ᄆᄆ,3:1 티원 승 ㅇㅇ
Won♡,두근두근 콩닥콩닥!!
확신,t1 화이팅
라파엘,와우
pig all,스케줄 개빡빡하네 ㄷㄷ
유튜브이GC,대 상 혁
222 22,y
H-J S,Chovy!!
암행어사,T1 우승확정
주먹이,대 상 혁
JS K,크으 국대미드…쵸미커
아이,가자가자가자
몽키,3시아님??
HJ,3시에 시작 아닌가요?
Yeonjoo Bae,돌돌티젠~ 돌돌젠티~
카카루,시청자 늘어나는거 지리네
waterway lee,젠이 이기겠나
김진욱,몇시시작이예요?
로우팽,재미있는경기 나왔음 좋겠다
황이트(knight),팩트 : 티원의 롤드컵 우승은 반쪽의 반쪽의 반쪽짜리 우승이다 근거 1. 뽀록 2. 젠지에 ㅊ맞음 3. BLG에 ㅊ맞음
함진경,권도엽 카멘화이팅
안의임씨,티원 젠지 둘다 좋아하는데 이제 티원 이길때 됐다
gy,"3대0 젠지우승, 쵸비 원맨쇼"
kky,페레이라 화이팅
Take Virus,3시...2시 30분은 분석이겠지..
김지성,쵸비 폼이 오늘 승패 가를듯?
irias,젠지 화이팅!!
Jin,T1은 LPL에게 지지 않습니다
Dean,가보자
단발-_-,그리 쳐맞고도 아직도 모르겠냐
ᄋᄒᄒ,미래에서 왔는데요 모르겠습니다
김준혁,t1이 유일하게 못이기는 중국팀 젠지ㄷㄷ
게임스토리덕후,페이커 파이팅!
오주환,3시에 시잗하는거임?아님 3시되기전에 시작하는거임?
박동영,T1
Loco Mistici,나 길에서 쓰레기 3개주웠다
鄭水渙,와 ㅋㅋㅋㅋ 세나밴 ㅋㅋㅋㅋㅋ 젠지도 인정했네
넫넫,어차피 우승은 티원~~
2100년에도 루시 ,티원이기면 티까들 쏙들어가덤만 오늘은 방구석에서 기어나왔누
정광열,가보자고
티원이 나라다,존멋
jw s,어차피 우승은 티원
이연희여신님,경기는 6시시작입니다
minyoung,젠지는 어떻게 강팀이되었는가?
palcon US,팩트 : 쵸비와 나의 월즈 우승 횟수는 같다 ㅎㅅㅎ
1pick,치킨 추천좀
삼진,3시 이후에 시작함 한 3시 20분쯤
허심탄회,다 필요 없고 1세트 게임 이기는 팀이 우승이다
재순이,페이커는 이번에도 지면 트라우마. 생기겠다 쵸비는 신이된다
op,T1 Win
Lee J,어우젠 ㅋ
최진수,3시에 시작인데 아나운서들 근들갑 떠는 시간이 30분정도 먹음 ㅇㅇ 걱정하지마셈
식식,어우티
Jeongwoo Park,짜요
astala15,GENG 3：0 T1
송영욱,젠지는 어떻게 강팀이 되었는가
천년아리,"불사대마왕 이였지만, 악 그자체가 되버린 쵸비를 무찌르러 가자 대상혁"
Kim in the north,위대한 예언가 대상혁이 이긴다고 했습니다
비산동호랑이,t1 복수 ㅅ
예준,치킨추천좀
쿠쿠루뿌,결승전이라 오프닝도 있어서 한참 걸릴 듯여
asdffqwerzxcds,제발 한국인이면 T1 응원합시다
LacSiya,슼갈 멸망의날 ㅅㅎㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ
피델크라이,"오래전부터 티원은 국제용, 젠지는국내용임"
DK컴,돌고돌아 티젠전
xoals,젠지는 어떻게 강팀이 되었는가
ggamsae1,젠지가 이길 것 같긴 함. 라인전 운영 한타 너무 잘함. 다만 3:0으로만 끝나지 마라 너무 재미없다
지구,T1 화이팅
이이이,\
이재현,젠지는 이거라도 이겨야지 
화,두팀다 후회없는 경기 펼치길
HICA,어젠 치킨먹으면서 봤으니까 오늘은 피자다
Fortunation,티원 파이팅
박종철,울프 왜중계안하노
김민재,오늘 젠지 포핏하면 슼갈들 기대해라 너넨 앞으로 롤 못보게 해줄게 ㅋㅋㅋ
pass,젠지는 어떻게 강팀이 되었는가 
ssslll,슼칼 멸망의 날 ㅅㅅ
Axolot1,돌고돌고돌고돌아 티젠이네
튜브,1pick 무조건 굽네 허니콤보
요들,티원은 어떻게 강팀이 되었는가! 페이커 선수 lck 최초 v11달성 축하합니다!
Background - J,치킨 주문완료!!!
쭈니,페이커형님이 우승할꺼 같다라고 했다 닥치고 그냥봐라 젠첩들아
ㅎㅇㅎㅇ,ㅎㅇ
XIA ing,gogogo
푸르나,미래에서 왔습니다 티원이 3:1 우승합니다ㅏ
짜장,오늘케스터 누구인가요?
재훈 정,우리는 하나다 우리는 t1
Nicholas Sung,티원 화이팅! (뭔가 질 것 같지만... 항상응원행)
공태견,이기자
1a2a3a,올해 골든로드 첫 시작이다 티원...
ᄀᄀ,티원 3대떡으로 지지는 말자
hackxas,오늘 꽉 나올수 있을가요?
joougun,젠지가 우승한다면 고향으로 돌아가 보고픈 그녀에게 고백해야겠어
윤지민,걍 지금 폼이면 티원승임 ㅋ
BY YA,과연
박평범,대떡이지
ㅌㄴ눈나,3대1로 티원이김
유시wc,또 너냐? 또 나다..
유니,과자준비완료!
Auto Chess,88848
김동영,그랜드슬램의 첫제물이 될 젠지
테프이로,티원 이기고 이스라엘 이란에대해 인터뷰 부탁드립니다
소호,티원 또 대떡으로 처발리면 디진다 진짜ㅡㅡ
아이유가뭐하는아이유,t1 준우승 축하해!!!!!!
Win DRX,젠지폼좋지않나 
jun Kam,e대황비 4핏가자
쵸코겨자라떼,아무나 이겨라
이희진,기인이형님 아프답니다
Dorky,ㄱㅈㅇ
그레이색 [GRAY COLOR],3:2 티원승 가자
세례명레오,진짜 돌돌돌돌 티젠
A a aaa,제발 제발 우리 티원 제발
츄르VLOG♡,8884888
있없,빠른 퇴근만 아니길
인생설계전문가,걍 어느팀이 나가든 중꿔한테 망신만 안당했음 좋겠다
kiiwell,쵸비한테 머리통 날라갈 티원팬들 ㅎㅇ
투리 우,Ufc에 롤걀승에 재밌군
안녕 달램,티원 불안하아
SKTelecomT1,골든로드 ㅋㅋ 길가의 들고양이이가 웃을 소리구만
고구마유시🫶🏻,내 새끼들 이겨라ㅠ
BBoDDo,드 가 자
이종현,놀이터에서 티원이 어떻게이김
시아스텔,메이플 재획준비완료
Hsuychwixojr,좀 LCK 공식채널이면 15분 57초랑 13분 00초같은건 안 세고 넘기면 안되나
헤헤,"티원 화이팅, 페이커 화이팅"
김태희,이번에도 티원이 털리겠지머
ㅇㅇ,1557 0013
김홍석,젠지의 포핏 저희가 막고 우승하겠습니다 -V11의 대상혁-
김준형,대황쵸비 우승
은석,또 젠티
DM_K_SH,젠지가 T1한테 강하긴 한데 어제 T1은 다름
Coke Man,"쵸비는 이번에 우승하고 파엠까지 먹으면 LCK 최초로 포핏 + 최다 POG, 퍼스트, 시엠, 파엠 전부 수상한 최초의 선수가 되는거임 새로운 아이콘의 탄생인거지"
Matthew,젠지는 어떻게 강팀이 되었는가? 이 결승전을 이기면 나 김건부는 담원 친구들과 이 행복을 꼭 나누러 갈거야. 드디어 무관의 탈출인가 나 김기인 드디어 무관귀신 탈출이다.
김재환,어짜피 젠지가 이길건데 경기를 왜 하냐
송재강,쵸바가 너무강해
기모리앙,또오늘 익룡들 등장하겟네 ㅋㅋㅋㅋㅋㅋ 
gdb,영원하라 대 상 혁
무뭉,12:15
CHANYE ,티원 화이팅 쭈안쮜이 화이팅
브랜드,젠지는 lck에게 절대 지지 않습니다
최하늘,티원이겨라
자비스,강 스포일러 간다 젠지 티원 3:0 ㅅㄱ
Prod,티원은 어떻게 강팀이 되었는가 티원이 우승하면 그녀에게 고백하겠어 티원이 젠지한테 지는것은 있을 수 없는 일이야
유명성,재환이 어차비 디질건데 왜 사냐
김성훈,ㅇㅅㄴ
de,어차피 젠지 승
J L,0013은 머임?
조현준,"1 5 5 7 - 0 0 1 3 , 1 5 5 7 - 0 0 1 3"
윤준서,티원3대0우승가자
이음,티원 젠지 둘다 화이팅!!
타이,1557 ㄱㄱ
7becks,경기는 몇시시작임?
포카리스웨트,대 황 비
Museong Lee,오늘도 가자! 기습숭배!!!
수지,ㅌㅇㅎㅇㅌ
부계정,젠지가 티원 3대떡
하마,누가 이기든 1세트 딴놈이 3:2로 이길듯
불도저,이거 우승하면 뭐가 좋은거?
이지엽,디도스혁 파이팅
엔타로,"님들아 오늘 치킨 시켜요,말아요??? 어떡해야돼요???"
스간,ㅏ
오늘뭐먹지,쵸비와 페이커의 대결
김도영,젠지 밥이지
郑利东,GOOOOOO GENG:face-blue-smiling:
Luna_1628,44484
강신익,치킨 시키자~
Toy Company,1킬도 못내고 티원이 질 것 같은데 ㅋㅋㅋㅋㅋㅋ
마이멜로디,야 치킨시켜
베베,티원 팬이지만 젠지가 이길것같다
김진우,속보) 기인 독감걸림 오늘 젠지 멸망 확정 ㅋㅋ
한남자,t1은 중국에게 지지 않습니다
김민재,티원이 3:0으로 이깁니다 ㄲㄲ
유튭 댓글 알람 꺼놓는 사람,정보 기인 독감땜에 혼자 마스크쓰고 늦게 도착함 ㄲㅋㅋㅋㅋㄱㄱㅋㄱㅋㅋㅋㄱㅋㅋㄱㅋㄱㅋㅋㄱㅋㄱㅋㄱㄱㄱㅋㄱ 어제 직관간 젠지 선수들 마스크도 기인때문 그냥 젠지 멸망 ㅅㄱ ㅋㅋㄲㅋㅋ
뽈락사랑 ,티원이기자
우는 고양이,파이널 파이야~
김현목,누가이겨도 좋으니까 3:0은 하지말자
よしっぴ,3시임?
이우빈,젠지 4연속 우승 가자
단밤,티원 win
스텐드,돌고돌아 젠지임
새싹감자,S K 멸 망
하민,캬
파피하크,쵸비 경기력에 따라 달라질듯 ㅇㅇ 근데 솔직히 티원이 3ㄷ0으로 쳐발릴듯 ㅋㅋㅋ1557~
dssw jin2,맨날 이놈들이네
