,message,label
0,카멜리온,1
1,역대최고실력 : 쵸비 / 역대최고팀빨 : 페이커,1
2,클로저 카르마 전패인데 또 질려고 픽햇네 ,1
3,신챔프유출뜸 바이아빠 하이ㄷㄷ;,1
4,수빈누나 예쁘다,1
5,오너 어디아픈거임?,1
6,롤 신 두,1
7,시청자 8억8848만명ㄷㄷ,0
8,“그냥 만골차를 내는 팀”,1
9,카리스는 다음 시즌에 해외가야겠노.. ,1
10,밥이나 먹을란다,1
11,퍽팩트 뭔데??????,1
12,멘탈 터지겠는데,1
13,콩버지,1
14,이건 양학아님?,1
15,비상,1
16,흐웨이 기대된다,1
17,페이커는 펠레지 고트,1
18,아,1
19,비트코인 4억갑니다 풀매수하세요,1
20,이렇게 하면 0대12가 나오긴하네ㅋㅋ,1
21,미니언 몰아먹고 아무것도 안하는 미드 레전드네 ㅋㅋㅋ,1
22,ㅈㅈ,1
23,대 상 혁,1
24,벽딸 뭐고,0
25,초반 2킬 먹은 트타가 하는게 아무것도 없다,1
26,야 빠중적중했다 아이가,1
27,바선생이 다 했구만,1
28,캐니언을 저렇게 쓰네 ㅋㅋㅋㅋ,1
29,원래 여기 채팅창은 개판임,1
30,22롤드컵 우승 dna 제카 ,1
31,축구도 새벽에 하는데 롤도 새벽에 하자 좋아,1
32,라고할뻔,1
33,제카 케리아아니냐? 말투가 케리아인데,1
34,태윤 이번엔 실패 ㅋㅋ,1
35,우왕 원딜편,1
36,티원 잘해보자~!!!!,1
37,lpl 88848 내수용 지리네 ㅋㅋ,0
38,조개맨과 인어소년ㅋㅋㅋㅋㅋㅋㅣㅣ,1
39,전캐 아무말해버리기 ㅋㅋ,1
40,오너강등당함,1
41,텔버리네,1
42,ㄷ,1
43,저래서 웃었네 ㅋㅋㅋ,1
44,저번에 본 조합인데?,1
45,2006년 대한민구 대통령은 누구일까요? 맞추면 문상드립니다,1
46,이래도 솔킬 14대0은 안나오네,1
47,의적맥 ㅋㅋㅋ,1
48,우좀틀,1
49,사과는 왜 일언반구도 없는건데 뭘 잘했다고 환불환불,1
50,개무서워 다리ㅋㅋ,1
51,새로운 아나운서 들어온대매,1
52,에휴,1
53,안딜 부상+폼 저하로 2군으로 감,1
54,4대 미드 페 제 쇼 비 면 개추 ㅋㅋ,1
55,drx는 롤드컵 먹고도 선수다짤랐는데 뭘 ㅋㅋ,1
56,캡틴잭 덩치크네,1
57,노래제목 fighter,1
58,But Chovy CS,1
59,럼자오자레,1
60,BLG에 멸망 당하고 젠까스 펀치 능욕 당하면 어떤 기분임?,0
61,막고라 ㅋㅋㅋ,1
62,ㅋㅋㅋㅋ,1
63,구마유시 cs저렇게 낮은데 아이템 살수있나요?,1
64,귀엽다 응원봉 들구있는거.. ,1
65,코르키 좋음,1
66,맥아?,1
67,T1 실험픽 하는거 같은데 맞나요???,1
68,대 상 혁,1
69,그만 퍼즈해ㅋㅋㅋ,1
70,울하,1
71,티원을 화나게하지마,1
72,와 리신왜죽었냐 ㅋㅋ,1
73,씨맥 생각보다 잘걷네,1
74,대 상 혁,1
75,1000억 꺼어어어억,1
76,찌걱찌걱 아흣,0
77,디도스 ㄷㄷㄷㄷㄷ,1
78,ㄷㄷㄷㅈ,1
79,ㅁㅍ,1
80,광고 진짜 레전드 타이밍에 계속 주네,1
81,예후 잘하네,1
82,그래서 젠지는 언제 우승해보냐,1
83,건국대 화이팅,1
84,end,1
85,모르면 외워라 표식이 현 세체정이다,1
86,중국겜 수듄...,1
87,ㅅ ㅣ발 무슨 댓글 흐름이 3초마다 바뀌녀,0
88,젠지롤드컵 우승 0회 실화임?,1
89,디도스아니었으면 이미 3대떡인데 ..,1
90,단군이 150이자나,1
91,ㄹㅇㅋㅋ,1
92,위장DRX팬덤 슼갈들 오열중ㅋㅋㅋㅋ,0
93,"안죽어....,",1
94,기인 맨탈나감,1
95,태윤들의 대결 눈물나네 ㅠㅠ,1
96,T1이 벨류?,1
97,자야라칸 할만한데?,1
98,동부권에서 광동 대악마는 유일하게 FOX밖에 없음,1
99,세리핀자체도 아근사거리증가시키고 유지력도 좋고 세나라 닥후반은 광동임,1
100,젠지팬들은 마라탕 드시러가주세요~,1
101,익룡 ㅈㄴ 시끄럽네 ㅋㅋ,0
102,아 답답해,1
103,ItHings 화이팅,1
104,디도스 ㅋㅋㅋㅋ ,1
105,역시 루시드 일병 구하기는 켈황 ㅋㅋ,1
106,벤픽 진짜 존나못하네,0
107,디팔러스기아 가나?,1
108,울하,1
109,제리?,1
110,????,1
111,와 ㅋㅋ 숨막히겠네 ,1
112,신드라가 저렇게나우위라고?,1
113,하늘이 우리를 돕는데..? (3315일만에 중국팀한테 지면서 '8강'딱을 하며),0
114,blg한테 안졌으면 젠지우승이였지~,1
115,노틸은 켈황 ㅋㅋ,1
116,믿차이,1
117,상큼이 어디갔어..,1
118,역시 혼자서는 아무것도 못하는 남자,1
119,gg,1
120,켈황,1
121,티원이 이겼네 이판 트페는 말려도 1인분임,1
122,루시드 호기심 천국 레전드네,1
123,똥스칼이 범인이였네ㅋㅋㅋ,1
124,아니 콜미....,1
125,신꺽마,1
126,오프더레코드는?,1
127,결과론적이긴 한데 마지막 한타에서 쇼메가 존야를 쓰면 안되는거였네,1
128,겨,1
129,아니 근데 디도스 왜못잡냐...,1
130,댄디네,1
131,얘 cs먹는 cs나하는데?,1
132,삼성이랑 젠지랑 다른 팀이면 피어엑스랑 리브샌박도 다른 팀이냐 ㅋㅋㅋㅋ,1
133,아무나 이겨라 둘다 잘했다,1
134,진짜 팀 잘만나는게 중요하노,1
135,FearX인데 왜 FOX인가요?,1
136,ㅈㅈ,1
137,1557 치면 찾아가서 다리 부러뜨립니다.,0
138,?쓰는데요,1
139,ㅈㄴ 빨라,0
140,루나미 너무 고집하네 ㅉㅉ,1
141,ㅈㅈ,1
142,8목 보호대...??,0
143,?,1
144,구마유시야 한번만하자 너가 못하면 져 ㅜㅜㅜ,1
145,대상혁,1
146,디플은 그냥 티원한데 졷집임 ㅋㅋㅋㅋ 디플은 그냥 티원한테 졷집임,0
147,담원이 진짜 준비를 계속 잘해오는데 역시 중국팀은 좀 빡시네,1
148,대상혁,1
149,1557,0
150,엄라이트,1
151,따이 황 젠 ,1
152,레나타 = 닉 가리면 에메랄드,1
153,아오 젠도스 적당히해라,1
154,티원팬 ㅂㄷㅂㄷ즁,1
155,칼리 지리는데,1
156,개꿀잼 ㅋㅋㅋㅋ 역시 수준이 비슷해야 명승부가 나오네,1
157,처형으로 웃음주는 신,1
158,크산테가하지,1
159,대 상 혁,1
160,아트록스를 알려주마.,1
161,이게 먼일이여,1
162,태윤 나와라,1
163,이게 롤파크야 도서관이야~,1
164,우정잉이 이쁘다고 저기서? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그냥 꽉수빈이랑 비교 ㅈㄴ되고 압살당하는데 억빠 지리노,0
165,켈황드립은 좀 웃기네,1
166,딥민이형 ㄷㄷ,1
167,대 황 제 리,1
168,신 상 혁,1
169,지우가 t1가면 t1리그우승임,1
170,lpl 너무 무섭네요,1
171,체력이 다시차네 ㅋㅋ,1
172,미안한데 T1 팬들은 방뺄 준비 하자. . . ,1
173,한화가 3위라는게 놀랍다,1
174,와 금일 경기한다해놓고 기습경기했네 디도스범들 얼타겠네 역시 대황lck ㄷㄷ,1
175,페밑클 ㄷㄷㄷㄷ,1
176,??,1
177,저격 ㅈㅈ,1
178,1557,0
179,조현준 방구석 여포 하남자,0
180,켈린스황,1
181,1900일만의 베인승리 ㅋㅋㅋㅋ,1
182,대 황 슼,1
183,세이브는 켈황,1
184,신인이라서 괜찮음,1
185,씨맥 요즘 진짜 몸 안좋아보이는데 괜찮나,1
186,대ㅡㅡ 상 ㅡㅡ 혁,1
187,또 이러고 지겠지 ㅋㅋ,1
188,와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 대상혁 이게 티원이야 ㅋㅋㅋㅋㅋ,1
189,이세돌 욕하는사람들 다 pdf 따고있습니다,1
190,집안에 프로게이머가 2명 ㄷ,1
191,젠지승리,1
192,테디ㅋㅋㅋㅋㅋㅋ,1
193,불이랑 세라핀 겁나 안어울리네ㅋㅋ,1
194,한지민 개이쁘네,1
195,6킬 먹으면 뭐하냐 진짜 ,1
196,미디어 쳐 내라고 브실골들이 뭔…,1
197,한화가 이길듯,1
198,또지르.....,1
199,저런 모멘트를 견딘 대상혁 ㄷㄷ,1
200,농심 오늘 잘했음 ㄹㅇ ,1
201,거인 ㄷㄷ,1
202,88848 3315,0
203,600승이잖아~,1
204,근데 어디서 누가 유출한 건가요??,1
205,emiya 의 gukizzada 입니다,1
206,무빙 지렸다,1
207,kt:우리에겐 루시드가 있다,1
208,2대1이면 끝나나요? 한라운드 더 하나요??????,1
209,광동은 서부가 맞다,1
210,페이커 ㅋㅋ,1
211,kt 승,1
212,젠지가 무슨 파워랭크1위임? lpl만나면 광탈하는데,0
213,트타지,1
214,맞을라고,1
215,대상혁 탈리야 지리네,1
216,꼴딱이들 말이 많네;;,1
217,거기서 바론을 왜 치는 거야,1
218,훠훠,1
219,딜교는 켈황 ㅋㅋ,1
220,대 상 혁,1
221,?,1
222,ㅇㅅㅇ,1
223,ㅈㅈ,1
224,걍 밀리오만 밴햇으면 편한걸 ,1
225,태윤 알깼다 ㅋㅋㅋㅋㅋㅋ,1
226,밑에는 땡큐 제대로 썼구만 위엔 왜저러냐 ㅋㅋㅋㅋㅋㅋ,1
227,킹겐도 잘했는데,1
228,1렙다이브가 확실히 좋았다 ㅋ,1
229,ㅎㄷㄷㄷ,1
230,꾀에에ㅔㅇㄱ,1
231,겜 쉽다,1
232,캐니언급 강자 등장 ㄷㄷ,1
233,뭐야 태윤 아녁음?,1
234,역시넛신,1
235,오우 제법이야,1
236,1557,0
237,미드차이 ㄷㄷ,1
238,ㅈㅈ,1
239,제우스 견문색 지리노,1
240,ㄲㅂ,1
241,쵸비는 나랑 똑같은 국제전 무관임,0
242,세나를 왜 주냐고 대체 ㅋㅋㅋㅋ,1
243,리헨즈 뭐하냐;,1
244,조마타,1
245,류현진은 개못하는데 바이퍼는 돈값하네ㅋㅋ,1
246,ㅋㅋ 개마싰네 리플,1
247,급발진 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
248,실버 스크랩스 준비하시고,1
249,몰라 마이크 내용 들어보면 알겠지,1
250,첫주차 광동이랑 지금 광동은 아예 다른팀인데 ㅋㅋ,1
251,잘생기면 뭐하노 어차피 발릴걸 ㅋㅋ,1
252,탈리야 스킬 개못쓰네,1
253,기인 저걸 사네,1
254,이래도 1557이,0
255,롤도사 ㅋㅋㅋㅋㅋ,1
256,경기 왜 지연되고 있나요???,1
257,1557,0
258,아펠하지,1
259,눈나 이쁘다 욕하지마,1
260,아니 tq 또 대상혁 이야!!!!,1
261,리안드리르 가네 스몰더,1
