,Unnamed: 0,message,label
0,0,88848 ㅅㄱ 고소 되겠냐 8월8월8월4월8월,0
1,1,기인도 폼 다 떨어졌네,0
2,2,ㅋㅋㅋ,1
3,3,켄치가 개못했네,1
4,4,실비랑 실비키우기랑 무슨관계죠,1
5,5,럭키태윤,1
6,6,혜지 개이쁘네 사랑스럽다~~,1
7,7,ㅊㅋㅊㅋ,1
8,8,다죽음,1
9,9,엄앵란,0
10,10,근데 왜 중국팀한테만 지는거임? 진짜 모름,1
11,11,최선이었다,1
12,12,금팔찌 공 몇인데,1
13,13,쵸비야 너가 강민철 인강 안들어서 88848이나 하는거다. 페이커는 강기분 4회독하니까 롤드컵 우승 4번이나 했잖니 :face-red-droopy-eyes::face-red-droopy-eyes::face-red-droopy-eyes:,0
14,14,야 우냐?,1
15,15,"아니 그럼 루시안을 밴을 했어야지, ",1
16,16,함예진 그만둠,1
17,17,레오나 잘했다,1
18,18,환중하겠네,1
19,19,KT 전도 똑같이 말아먹더니 이번에도 이렇게 말아먹냐,1
20,20,붐붐차,1
21,21,ㅇㅅㅋㅎ,1
22,22,오너 너무 던지네 오늘 ㅋㅋ ,0
23,23,카르마가 그냥 쓰레기픽 같은데,1
24,24,drx 부활 ㄷㄷ,1
25,25,용먹으려고 바론을주네..,1
26,26,또냐 또!!!!!!!!,1
27,27,근데 진심으로 태윤 승부조작 조사 들어가야하는 거 아님 ?,0
28,28,공격적으로 잘하네,1
29,29,존나 실눈캐라 ㄷㄷㄷ 무서운뎈ㅋㅋㅋ,1
30,30,표신 ㄷㄷ,1
31,31,기인!!!ㅋㅋㅋ,1
32,32,후반가면 누가 유리하지,1
33,33,3시시작임,1
34,34,파가니니 노래좋누,1
35,35,대 김 치,1
36,36,애들 티원 왤케 싫어하냐 ㅋㅋㅋㄱ 개웃기네 팬이 다 그러겠냐고,1
37,37,에이밍 또 저러네,1
38,38,문안하게 가면 KT가 유리하네,1
39,39,지금 자야가 그닥 안좋은거같은데,1
40,40,88848,0
41,41,젠지 > 한화 > t1 엌ㅋㅋㅋ,1
42,42,아트딜맞아저거?,1
43,43,이긴건 젠진데 화난건 젠지 평균 ㅋㅋ,0
44,44,노쇼메이커 ㄷㄷ,1
45,45,오늘 레전드네 ㅋㅋㅋ,1
46,46,머리 모양이 라스칼 같긴하네,1
47,47,왜 발작하냐 아직도 롤드컵 미련못버렸냐 ㅋㅋㅋㅋ 뭔 if 드립이여 야 그렇게 따지면 북한에서 김정은 안태어났으면 통일됨 ㅇㅋ?,0
48,48,기인아 베인나오면 귄카뽑자,1
49,49,제우스는 진짜 잘한다,1
50,50,좁보 ㅗㅜㅑ,1
51,51,딮동딱 딮동딱 신나는 노래,1
52,52,일단 세나..를 올려놔,1
53,53,수빈쓰 흐흐흐흐흐...,1
54,54,쵸비의 블랙홀은 그냥 미쳤네 크기가,1
55,55,ㅋㅋㅌㅌㅋㅋㅌㅌㅌㅋㅋㅌㅌㅋㅋㅋ,1
56,56,서폿3표 머고 ㅋㅋㅋㅋ,1
57,57,브리온 젠지 굳이 해야함? 걍 기권 하면 안됨?,0
58,58,뽀삐뽀삐뽀,1
59,59,젠지경기 아직 안했나요?..,1
60,60,슼카이 ㅋㅋㅋ,1
61,61,수빈언니 단발머리보구싶다,1
62,62,ziee,0
63,63,88848,0
64,64,대 황 비,1
65,65,아무나 이겨서 젠지 이겨다오,1
66,66,20cm넘게차이나는듯,1
67,67,아니 솔킬을 몇번따여,1
68,68,또 루시안 해라 ㅋ,1
69,69,왜 광동을 응원하게되징...,1
70,70,ㅋㅋㅋ클템 ㅋㅋ,1
71,71,광동 한타하면 빵딜일거 같은데,1
72,72,짜이찌엔지 88848,0
73,73,고구마 방출 해야겠지...??? 바이퍼 데려와야겠지....??? :face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:,1
74,74,ㅋㅋㅋㅋㅋㅋㅋㅋ 프로는 p다,1
75,75,대 황 딮,1
76,76,2세트 안딜 pog,1
77,77,쵸비 잘하네 역시,1
78,78,꼭수 ㅋㅋㅋㅋㅋ,1
79,79,응 88848,0
80,80,이걸 결국 용준좌가;;,1
81,81,라스칼 칼 갈러 갔습니다,1
82,82,현준아 조용히하고 경기나 봐,1
83,83,꼰리아,1
84,84,88848 ㅋ,0
85,85,아니 노틸 위치 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
86,86,젠지따운! 중국팀따운! 중국응호팀따운! lpl따운!,0
87,87,큰일이다 우리애들 스타병 걸렸나보다 ,1
88,88,진짜 페이즈는 팀원 버스타면서 잘하는척 오지네 ㅋㅋ,0
89,89,정글링 ㅋㅋㅋㅋ,1
90,90,티원 유일하게 이겼잖아 당연히 안티가 많지 ㅋㅋㅋㅋㅋ 그중 90프로가 티원팬이고 ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
91,91,(공지) T1팬들은 전부 나가주세요!! 오직 한화팬들끼리만 즐기겠습니다.질서있게 퇴장시작할게요.참고로 저는 젠지팬입니다!!!,0
92,92,윌러 존잘 ㅠㅠㅠ,1
93,93,네오젠지ㄷ,1
94,94,세나노탤 하나라도 막아야자 않냐..,1
